date,open,high,low,close,volume,dividend,split
2019-06-04,2.16,2.16,2.01,2.11,62087650,0.0,1.0
2019-06-05,2.12,2.15,2.04,2.05,32771268,0.0,1.0
2019-06-06,2.04,2.06,1.97,1.99,35991114,0.0,1.0
2019-06-10,2,2.06,1.99,2.03,24791223,0.0,1.0
2019-06-11,2.03,2.12,2.01,2.12,62791299,0.0,1.0
2019-06-12,2.09,2.12,2.06,2.07,44207703,0.0,1.0
2019-06-13,2.08,2.22,2.07,2.19,70392091,0.0,1.0
2019-06-14,2.17,2.18,2.09,2.11,40382854,0.0,1.0
2019-06-19,2.14,2.16,2.08,2.09,32492200,0.0,1.0
2019-06-20,2.09,2.14,2.06,2.13,37725644,0.0,1.0
2019-06-21,2.17,2.24,2.15,2.21,70674305,0.0,1.0
2019-06-24,2.2,2.32,2.18,2.25,72499361,0.0,1.0
2019-06-25,2.25,2.27,2.17,2.21,34847427,0.0,1.0
2019-06-26,2.2,2.23,2.17,2.2,23980264,0.0,1.0
2019-06-27,2.22,2.23,2.19,2.21,32491787,0.0,1.0
2019-06-28,2.21,2.21,2.11,2.14,31287783,0.0,1.0
