date,open,high,low,close,volume,dividend,split
1994-02-24,0.85128,0.86206,0.7543,0.81895,168050123,0.0,1.0
1994-02-25,0.82973,0.89169,0.82488,0.889,113852321,0.0,1.0
1994-02-28,0.87822,0.92132,0.8071,0.85667,102963019,0.0,1.0
1994-03-01,0.83512,0.85667,0.81411,0.84051,37053695,0.0,1.0
1994-03-02,0.82865,0.83781,0.8071,0.80818,16024925,0.0,1.0
1994-03-03,0.80818,0.86098,0.79686,0.8432,27255736,0.0,1.0
1994-03-04,0.85559,0.90624,0.82865,0.84051,125075707,0.0,1.0
1994-03-07,0.8502,0.87283,0.84482,0.87122,9046269,0.0,1.0
1994-03-08,0.87553,0.889,0.83512,0.8502,35977200,0.0,1.0
1994-03-09,0.86206,0.99675,0.82003,0.96981,124797303,0.0,1.0
1994-03-10,0.9946,1.04524,0.84589,0.86313,190823557,0.0,1.0
1994-03-11,0.86152,0.89816,0.83835,0.86475,36146098,0.0,1.0
1994-03-14,0.92132,0.94287,0.889,0.89169,46112955,0.0,1.0
1994-03-15,0.90031,0.91809,0.87014,0.89438,30147423,0.0,1.0
1994-03-16,0.87822,0.95796,0.87714,0.94287,41400506,0.0,1.0
1994-03-17,0.95096,0.95096,0.87714,0.89277,25906405,0.0,1.0
1994-03-18,0.88253,0.88846,0.86206,0.87014,17815989,0.0,1.0
1994-03-21,0.86206,0.86744,0.83512,0.8362,7507623,0.0,1.0
1994-03-22,0.82973,0.85128,0.82488,0.8432,5595917,0.0,1.0
1994-03-23,0.84589,0.84589,0.83027,0.83242,7238500,0.0,1.0
1994-03-24,0.83512,0.84589,0.81626,0.82434,8235185,0.0,1.0
1994-03-25,0.82165,0.85128,0.80818,0.82704,11605728,0.0,1.0
1994-03-28,0.80818,0.81357,0.77639,0.80818,9410050,0.0,1.0
1994-03-29,0.82434,0.87391,0.81357,0.85667,46385791,0.0,1.0
1994-03-30,0.86475,0.86475,0.82219,0.82973,16462947,0.0,1.0
1994-03-31,0.82704,0.83404,0.80818,0.81788,9521411,0.0,1.0
1994-04-01,0.81788,0.82811,0.80333,0.81357,9239295,0.0,1.0
1994-04-04,0.82326,0.82326,0.7974,0.79794,3624818,0.0,1.0
1994-04-05,0.8001,0.80818,0.78178,0.78878,4196474,0.0,1.0
1994-04-06,0.78932,0.79902,0.78124,0.79902,4025719,0.0,1.0
1994-04-07,0.79471,0.79956,0.77747,0.78124,2552035,0.0,1.0
1994-04-08,0.79201,0.79201,0.76561,0.78232,2889832,0.0,1.0
1994-04-11,0.77855,0.77855,0.7543,0.75699,4486014,0.0,1.0
1994-04-12,0.7543,0.78016,0.74406,0.76885,3008617,0.0,1.0
1994-04-13,0.78124,0.78501,0.74676,0.74676,2782182,0.0,1.0
1994-04-14,0.74083,0.74137,0.70096,0.72359,10358479,0.0,1.0
1994-04-15,0.7112,0.74352,0.67887,0.73275,14313669,0.0,1.0
1994-04-18,0.72736,0.72736,0.69018,0.70042,6666844,0.0,1.0
1994-04-19,0.69234,0.71335,0.67456,0.67456,7806444,0.0,1.0
1994-04-20,0.67294,0.67294,0.63415,0.63415,9560388,0.0,1.0
1994-04-21,0.62499,0.70527,0.62499,0.68965,10482832,0.0,1.0
1994-04-22,0.72628,0.72628,0.64277,0.64762,9690310,0.0,1.0
1994-04-25,0.64924,0.65732,0.62499,0.62499,5477131,0.0,1.0
1994-04-26,0.63846,0.67456,0.63038,0.67348,8619383,0.0,1.0
1994-04-27,0.68426,0.69665,0.66432,0.69342,15223122,0.0,1.0
1994-04-28,0.70096,0.7112,0.67187,0.67564,11438686,0.0,1.0
1994-04-29,0.67887,0.68426,0.62068,0.65247,5430731,0.0,1.0
