date,open,high,low,close,volume,dividend,split
1999-10-21,2.57053,2.78046,2.52769,2.77831,163318651,0.0,1.0
1999-10-22,2.7419,2.94111,2.69906,2.79545,97779637,0.0,1.0
1999-10-25,2.80188,2.84472,2.73761,2.81259,33199833,0.0,1.0
1999-10-26,2.81901,2.90898,2.76332,2.79117,36860028,0.0,1.0
1999-10-27,2.85971,2.88113,2.80616,2.84686,32740258,0.0,1.0
1999-10-28,2.849,2.87042,2.76332,2.78474,22486304,0.0,1.0
1999-10-29,2.78474,2.83615,2.73119,2.83187,16521169,0.0,1.0
1999-11-01,2.82758,2.82758,2.74618,2.7826,7818767,0.0,1.0
1999-11-02,2.77403,2.80616,2.75475,2.76118,6383106,0.0,1.0
1999-11-03,2.76546,2.84472,2.72048,2.77403,12450076,0.0,1.0
1999-11-04,2.75903,2.88328,2.73333,2.85543,21309855,0.0,1.0
1999-11-05,2.84472,2.90256,2.77403,2.82758,12553661,0.0,1.0
1999-11-08,2.81044,2.88113,2.76332,2.86614,11818641,0.0,1.0
1999-11-09,2.88113,2.99252,2.849,2.87685,37185894,0.0,1.0
1999-11-10,2.85971,2.91327,2.82116,2.88542,12479570,0.0,1.0
1999-11-11,2.88328,2.93255,2.83615,2.84472,7559555,0.0,1.0
1999-11-12,2.849,2.88328,2.81687,2.82758,5628929,0.0,1.0
1999-11-15,2.849,2.85115,2.78902,2.80616,5703472,0.0,1.0
1999-11-16,2.81687,2.849,2.69906,2.70334,11617531,0.0,1.0
1999-11-17,2.69477,2.74404,2.6455,2.7269,11053801,0.0,1.0
1999-11-18,2.7419,2.77403,2.65621,2.73119,7836334,0.0,1.0
1999-11-19,2.70977,2.74618,2.67763,2.69477,7013761,0.0,1.0
1999-11-22,2.69049,2.69049,2.65193,2.66692,5242006,0.0,1.0
1999-11-23,2.6605,2.71619,2.65193,2.67763,2225290,0.0,1.0
1999-11-24,2.67763,2.72048,2.65621,2.70762,2214716,0.0,1.0
1999-11-25,2.69906,2.7419,2.66692,2.72476,3197571,0.0,1.0
1999-11-26,2.71619,2.76118,2.69906,2.69906,2123983,0.0,1.0
1999-11-29,2.67763,2.7419,2.67763,2.72904,1474072,0.0,1.0
1999-11-30,2.71191,2.72476,2.67763,2.72262,1843745,0.0,1.0
1999-12-01,2.71191,2.82758,2.67978,2.74832,5961937,0.0,1.0
1999-12-02,2.76332,2.76332,2.69477,2.69477,2755231,0.0,1.0
1999-12-03,2.69906,2.73119,2.67978,2.71833,2418777,0.0,1.0
1999-12-06,2.72048,2.72048,2.68192,2.69906,1837676,0.0,1.0
1999-12-07,2.69906,2.7269,2.68406,2.6862,1440264,0.0,1.0
1999-12-08,2.6862,2.71619,2.67335,2.67763,2091702,0.0,1.0
1999-12-09,2.67763,2.82758,2.67763,2.70977,2611050,0.0,1.0
1999-12-10,2.69906,2.7419,2.67978,2.73547,1593758,0.0,1.0
1999-12-13,2.73333,2.75261,2.69477,2.73761,2297364,0.0,1.0
1999-12-14,2.70977,2.75903,2.67763,2.70977,3033895,0.0,1.0
1999-12-15,2.7419,2.81901,2.70977,2.7676,9216853,0.0,1.0
1999-12-16,2.7676,2.7676,2.71191,2.72048,3983092,0.0,1.0
1999-12-17,2.73333,2.73333,2.67763,2.68192,3823151,0.0,1.0
1999-12-20,2.73333,2.73333,2.67763,2.68192,0,0.0,1.0
1999-12-21,2.68192,2.68192,2.68192,2.68192,0,0.0,1.0
1999-12-22,2.57481,2.6455,2.47628,2.50198,8035096,0.0,1.0
1999-12-23,2.47842,2.4977,2.35203,2.39916,13805918,0.0,1.0
