date,open,high,low,close,volume,dividend,split
2008-10-06,25,48.125,15.75,16.65,25826400,0.0,1.0
2008-10-07,16.85,18.975,13.825,15.2,8742400,0.0,1.0
2008-10-08,13.775,14.475,12.625,13.175,2941200,0.0,1.0
2008-10-10,11,12.45,10.75,11.675,1362600,0.0,1.0
2008-10-13,12,13.35,11.925,12.475,878000,0.0,1.0
2008-10-14,12.5,13.375,10.75,11.175,561800,0.0,1.0
2008-10-15,10.05,12.95,10.05,12.175,862800,0.0,1.0
2008-10-16,10.875,14.6,10.675,13.875,1467800,0.0,1.0
2008-10-17,14,14.4,11.125,11.125,1611400,0.0,1.0
2008-10-20,11.45,11.725,9.9,11.025,593000,0.0,1.0
2008-10-21,11.15,11.475,10.575,10.725,205400,0.0,1.0
2008-10-22,10.625,11.225,10.05,10.175,339800,0.0,1.0
2008-10-23,9.85,10.05,9.35,9.45,194400,0.0,1.0
2008-10-24,9.25,9.5,8,8.2,135600,0.0,1.0
2008-10-27,7.95,8.9,6.925,7.55,164400,0.0,1.0
2008-10-29,9.25,9.95,8,8.175,171800,0.0,1.0
2008-10-31,8.25,8.975,8.125,8.4,197800,0.0,1.0
2008-11-03,8.75,8.875,8.4,8.5,149000,0.0,1.0
2008-11-04,8.5,9.6,8.05,9.15,189800,0.0,1.0
2008-11-05,9.025,9.45,8.775,8.975,97200,0.0,1.0
2008-11-06,9.475,9.475,8.5,8.975,116600,0.0,1.0
2008-11-07,8.725,10.725,8.725,10.225,331600,0.0,1.0
2008-11-10,10.5,11.2,9.775,9.9,270200,0.0,1.0
2008-11-11,10,10,9.15,9.2,61200,0.0,1.0
2008-11-12,9,9.95,8.8,9.125,56200,0.0,1.0
2008-11-14,9.5,9.75,9.25,9.325,101200,0.0,1.0
2008-11-17,9.25,9.25,8.75,8.975,16800,0.0,1.0
2008-11-18,8.55,8.825,8.475,8.575,28400,0.0,1.0
2008-11-19,8.65,8.95,8.2,8.325,37600,0.0,1.0
2008-11-20,7.85,8.45,7.85,8.25,15200,0.0,1.0
2008-11-21,8.675,8.675,7.925,8.05,23400,0.0,1.0
2008-11-24,8,8.65,8,8.275,11200,0.0,1.0
2008-11-25,8.05,9.675,8.05,8.65,117400,0.0,1.0
2008-11-26,8.975,8.975,8.3,8.3,8000,0.0,1.0
2008-11-28,8.575,8.6,8.1,8.25,7400,0.0,1.0
2008-12-01,8.1,8.625,8.1,8.15,21000,0.0,1.0
2008-12-02,7.8,8.1,7.675,7.875,9000,0.0,1.0
2008-12-03,8,8.125,7.85,7.95,16200,0.0,1.0
2008-12-04,7.75,8.4,7.75,7.925,14400,0.0,1.0
2008-12-05,8,8.625,7.8,8.125,35400,0.0,1.0
2008-12-08,8.45,8.65,8.05,8.175,35600,0.0,1.0
2008-12-10,8.05,8.5,8.05,8.475,23000,0.0,1.0
2008-12-11,8.25,9.475,8.25,9.225,80800,0.0,1.0
2008-12-12,9.35,9.35,8.4,8.5,28600,0.0,1.0
2008-12-15,8.3,8.825,8.3,8.625,30400,0.0,1.0
2008-12-16,8.575,9.05,8.575,8.825,27400,0.0,1.0
2008-12-17,8.9,9.15,8.15,8.275,45400,0.0,1.0
