date,open,high,low,close,volume,dividend,split
2000-01-03,550,569.900024,550,560,16900,0.0,1.0
2000-01-04,540.099976,560,535,547,17350,0.0,1.0
2000-01-05,530,536.900024,514,522.75,5150,0.0,1.0
2000-01-06,510,533,506,530,15350,0.0,1.0
2000-01-07,530,530,502,507.75,28200,0.0,1.0
2000-01-10,548.349976,548.349976,533,540,14455,0.0,1.0
2000-01-11,548,548,534,535.5,4848,0.0,1.0
2000-01-12,548,549,530,538.900024,2115,0.0,1.0
2000-01-13,533.950012,540,522.599976,527.75,3632,0.0,1.0
2000-01-14,527,527,514.349976,524.450012,4023,0.0,1.0
2000-01-17,535,549.849976,515.049988,519,7830,0.0,1.0
2000-01-18,516,527,515.099976,524.950012,1598,0.0,1.0
2000-01-19,525,525,519,520,2008,0.0,1.0
2000-01-20,525,527,515,515,26685,0.0,1.0
2000-01-21,522,525,515,518,16438,0.0,1.0
2000-01-24,525,527,518,518.049988,19178,0.0,1.0
2000-01-25,518,527,518,520,8147,0.0,1.0
2000-01-26,520,520,520,520,0,0.0,1.0
2000-01-27,515,518,505,505,4869,0.0,1.0
2000-01-28,505,510.25,489.049988,504,9519,0.0,1.0
2000-01-31,495,510,495,506,1730,0.0,1.0
2000-02-01,504,511,495,495,3375,0.0,1.0
2000-02-02,513,513,495,500,7323,0.0,1.0
2000-02-03,500,500,500,500,0,0.0,1.0
2000-02-04,480,494,465,470,23722,0.0,1.0
2000-02-07,484,488.75,465,475,4965,0.0,1.0
2000-02-08,474.950012,477.5,450,456,11568,0.0,1.0
2000-02-09,462,470,451.25,462,4470,0.0,1.0
2000-02-10,469,469,425.049988,425.049988,14934,0.0,1.0
2000-02-11,444,444,407,440,33147,0.0,1.0
2000-02-14,430,431,407,407,7036,0.0,1.0
2000-02-15,407.950012,410,400,410,3590,0.0,1.0
2000-02-16,415,421,409.899994,420,9133,0.0,1.0
2000-02-17,428.950012,453.549988,425,453.549988,20359,0.0,1.0
2000-02-18,469,469.700012,432,459,17931,0.0,1.0
2000-02-21,453,460,425,430,3058,0.0,1.0
2000-02-22,412,424.950012,410,417,4011,0.0,1.0
2000-02-23,415,419,396,400,5356,0.0,1.0
2000-02-24,400,407,390,400,4212,0.0,1.0
2000-02-25,401.5,415,380,415,15127,0.0,1.0
2000-02-28,408.950012,414.899994,402,411,4080,0.0,1.0
