date,open,high,low,close,volume,dividend,split
2006-09-26,40,42.169998,37.09,38.689999,28961110,0.0,1.0
2006-09-27,39.16,40.860001,38.200001,40.150002,12606540,0.0,1.0
2006-09-28,40.360001,44.16,40.360001,41.990002,23275965,0.0,1.0
2006-09-29,42.150002,42.580002,41.119999,41.580002,5476445,0.0,1.0
2006-10-03,42,42,40.009998,40.330002,2067500,0.0,1.0
2006-10-04,40.560001,40.779999,38.700001,38.91,2730095,0.0,1.0
2006-10-05,39.57,41.549999,39.25,40.41,5092795,0.0,1.0
2006-10-06,40.41,40.66,38.830002,39.07,1493410,0.0,1.0
2006-10-09,39.380001,44.82,38.650002,43.27,17736605,0.0,1.0
2006-10-10,43.580002,45.16,42.259998,42.639999,10641040,0.0,1.0
2006-10-11,43.080002,44.25,41.619999,42.029999,7746640,0.0,1.0
2006-10-12,42.310001,44.200001,41.619999,43.57,9194340,0.0,1.0
2006-10-13,44.630001,48.18,44.630001,46.259998,20614200,0.0,1.0
2006-10-16,46.700001,47.099998,44.34,44.669998,6665865,0.0,1.0
2006-10-17,44.799999,49,44.310001,46.880001,18156050,0.0,1.0
2006-10-18,47,49.580002,46.41,47.310001,8612800,0.0,1.0
2006-10-19,47.689999,48.900002,46.48,47.259998,4253795,0.0,1.0
2006-10-20,47.68,48.450001,47.200001,47.470001,3305720,0.0,1.0
2006-10-23,47.990002,48.18,46.5,46.860001,1620865,0.0,1.0
2006-10-26,47.200001,47.400002,45.810001,46.380001,1485045,0.0,1.0
2006-10-27,46.75,47.880001,46.110001,46.990002,2363905,0.0,1.0
2006-10-30,47.200001,47.200001,45,45.150002,1388150,0.0,1.0
2006-10-31,45.200001,45.439999,42.209999,42.490002,1266230,0.0,1.0
2006-11-01,42.939999,44.549999,42.799999,43.880001,1893925,0.0,1.0
2006-11-02,43.990002,45.299999,43.599998,43.84,1418140,0.0,1.0
2006-11-03,44,44.220001,42.599998,42.740002,842590,0.0,1.0
2006-11-06,42.82,45.240002,42.82,44.459999,2195140,0.0,1.0
2006-11-07,44.849998,51.98,44.419998,48.939999,16028355,0.0,1.0
2006-11-08,49.16,53.599998,49.099998,50.290001,14617545,0.0,1.0
2006-11-09,50.799999,52.16,49.419998,50.310001,6767100,0.0,1.0
2006-11-10,50.68,51.799999,49.639999,50.470001,4570470,0.0,1.0
2006-11-13,50.73,51.380001,49.709999,50.150002,3348110,0.0,1.0
2006-11-14,50.200001,51,49,49.220001,2358630,0.0,1.0
2006-11-15,49.540001,49.540001,47.220001,47.400002,1275705,0.0,1.0
2006-11-16,47.580002,50.349998,47,48.830002,3018705,0.0,1.0
2006-11-17,49,49.779999,47.049999,47.630001,2176850,0.0,1.0
2006-11-20,47.599998,52.110001,45.599998,51.580002,5305270,0.0,1.0
2006-11-21,51.950001,54.790001,51.599998,52.439999,5617270,0.0,1.0
2006-11-22,52.849998,56.380001,52.43,54.720001,10896415,0.0,1.0
2006-11-23,55,56.98,53.07,55.369999,9496990,0.0,1.0
2006-11-24,55.400002,57.360001,55.02,56.049999,5323680,0.0,1.0
2006-11-27,56.200001,58.16,55.610001,56.610001,5276495,0.0,1.0
2006-11-28,56.169998,57,54.66,55.18,2835145,0.0,1.0
2006-11-29,55.799999,66.209999,55.619999,66.209999,15864010,0.0,1.0
2006-11-30,68.989998,77.739998,68,74.839996,22125860,0.0,1.0
2006-12-01,75.360001,76.760002,59.880001,73.290001,11343775,0.0,1.0
2006-12-04,73.800003,79.559998,73.540001,77.029999,11644475,0.0,1.0
2006-12-05,77.989998,81.580002,77.800003,78.660004,8240700,0.0,1.0
2006-12-06,79.339996,80.480003,70.800003,73.559998,9715035,0.0,1.0
2006-12-07,74.400002,76.800003,73,75.809998,8284630,0.0,1.0
2006-12-08,76.400002,77.400002,72.419998,72.919998,5677160,0.0,1.0
2006-12-11,73.199997,73.519997,66,67.290001,4678760,0.0,1.0
2006-12-12,67.290001,67.900002,60.57,60.57,5908725,0.0,1.0
2006-12-13,61,62.48,57.549999,61.459999,6790550,0.0,1.0
2006-12-14,62.34,64.529999,61.400002,64.529999,3450680,0.0,1.0
2006-12-15,66,67.199997,65.209999,65.790001,3501885,0.0,1.0
2006-12-18,66.260002,66.470001,62.630001,63.810001,4023905,0.0,1.0
2006-12-19,63.900002,65.690002,61.200001,61.799999,5173495,0.0,1.0
2006-12-20,62.68,63.400002,60.5,60.98,2418795,0.0,1.0
2006-12-21,61.360001,62.740002,59.639999,60.959999,2367135,0.0,1.0
2006-12-22,61.380001,62.279999,60.52,60.91,1106420,0.0,1.0
2006-12-26,61.16,62.889999,61,61.509998,1330835,0.0,1.0
2006-12-27,62.119999,64.580002,62.009998,64.580002,3562200,0.0,1.0
2006-12-28,65.400002,66.489998,63.200001,63.59,2746305,0.0,1.0
2006-12-29,63.950001,65.400002,63.48,64.57,1616380,0.0,1.0
2007-01-02,64.800003,67.18,64.300003,65.860001,2840175,0.0,1.0
2007-01-03,66.199997,66.370003,64.82,65.080002,1046985,0.0,1.0
2007-01-04,65.199997,65.459999,63.52,63.650002,737015,0.0,1.0
2007-01-05,63.599998,64.389999,62,62.560001,776635,0.0,1.0
2007-01-08,62.599998,63.18,61.419998,61.669998,486515,0.0,1.0
2007-01-09,62,63,60.529999,61.18,554760,0.0,1.0
2007-01-10,61.18,64.230003,60.400002,60.939999,1947540,0.0,1.0
2007-01-11,61.200001,62.18,60.900002,61.380001,621700,0.0,1.0
2007-01-12,61.939999,63.189999,61.02,61.32,682755,0.0,1.0
2007-01-15,61.900002,64.199997,61.889999,63.689999,1331980,0.0,1.0
2007-01-16,64,65.690002,63.639999,63.91,1644865,0.0,1.0
2007-01-17,64.290001,64.559998,63.009998,63.23,472760,0.0,1.0
2007-01-18,63.75,63.799999,61,61.759998,335720,0.0,1.0
2007-01-19,62.16,62.290001,60.619999,61.040001,465185,0.0,1.0
2007-01-22,61.580002,61.580002,60.799999,60.959999,262610,0.0,1.0
2007-01-23,60.799999,61.299999,59.119999,59.580002,308430,0.0,1.0
2007-01-24,60.18,61,59.099998,59.650002,339505,0.0,1.0
2007-01-25,60,60.959999,58.619999,59.299999,408630,0.0,1.0
2007-01-29,59.799999,60.580002,58.200001,58.400002,407730,0.0,1.0
2007-01-31,58.880001,58.970001,56.110001,56.560001,287000,0.0,1.0
2007-02-01,57,57.200001,54.82,54.970001,332450,0.0,1.0
2007-02-02,55.57,57.200001,54.779999,56.220001,403690,0.0,1.0
2007-02-05,56.650002,57,55.419998,55.650002,237045,0.0,1.0
2007-02-06,55.98,55.98,54.040001,54.25,194795,0.0,1.0
2007-02-07,54.490002,54.490002,52.599998,52.700001,225865,0.0,1.0
2007-02-08,52.400002,55.330002,51,55.330002,703175,0.0,1.0
2007-02-09,55.799999,57.099998,52.619999,53.380001,550310,0.0,1.0
2007-02-12,53.200001,53.200001,48.080002,48.459999,342035,0.0,1.0
2007-02-13,47.98,49.77,45,46.98,585445,0.0,1.0
2007-02-14,46,47,45,45.330002,213900,0.0,1.0
2007-02-15,45.400002,49.860001,45.400002,49.860001,581265,0.0,1.0
2007-02-19,50.400002,53.18,50.18,50.849998,487525,0.0,1.0
2007-02-20,51,51.290001,48.43,48.779999,183025,0.0,1.0
2007-02-21,49.200001,49.779999,47.959999,48.099998,210960,0.0,1.0
2007-02-22,48.5,48.68,46.400002,46.900002,112250,0.0,1.0
2007-02-23,46.200001,47,43,43.369999,281765,0.0,1.0
2007-02-26,43.369999,44.299999,42.619999,43.509998,189215,0.0,1.0
2007-02-27,43.799999,46.880001,43,44.75,407700,0.0,1.0
2007-02-28,40.279999,45,40.279999,42.970001,339850,0.0,1.0
2007-03-01,43,43.799999,41.599998,43.040001,224240,0.0,1.0
2007-03-02,42.799999,44.200001,41.02,41.84,150855,0.0,1.0
2007-03-05,41.200001,41.200001,37.66,37.849998,175955,0.0,1.0
2007-03-06,38.200001,39.389999,34.139999,35.889999,243050,0.0,1.0
2007-03-07,37,37.200001,34.099998,34.099998,148485,0.0,1.0
2007-03-08,34.200001,35.09,32.400002,34.77,349185,0.0,1.0
2007-03-09,35.360001,36.5,34.400002,36.5,364675,0.0,1.0
2007-03-12,38,38,36.400002,36.759998,165390,0.0,1.0
2007-03-13,37,38.59,36.439999,38.59,243705,0.0,1.0
2007-03-14,36.669998,38.650002,36.669998,37.66,418980,0.0,1.0
2007-03-15,38.48,39.540001,38.220001,39.52,232520,0.0,1.0
2007-03-16,40,40.939999,38.810001,39.450001,238590,0.0,1.0
2007-03-19,40,41,39.849998,40.110001,105415,0.0,1.0
2007-03-20,40.419998,40.799999,39.599998,40.02,131170,0.0,1.0
2007-03-21,39.599998,40.580002,39.200001,40.23,129530,0.0,1.0
2007-03-22,41,41.799999,39.509998,39.650002,120335,0.0,1.0
2007-03-23,39.400002,39.560001,38.619999,38.869999,69375,0.0,1.0
2007-03-26,39.400002,39.599998,37.599998,38.07,59255,0.0,1.0
2007-03-28,38.18,38.18,36.169998,36.240002,131635,0.0,1.0
2007-03-29,36.59,36.779999,35.599998,35.75,117530,0.0,1.0
2007-03-30,35.720001,37.529999,35.720001,36.52,118340,0.0,1.0
2007-04-02,35,35.689999,34.700001,35.25,70015,0.0,1.0
2007-04-03,35.98,36.400002,34.68,35.130001,59755,0.0,1.0
2007-04-04,35.259998,36.580002,35.259998,36.049999,63795,0.0,1.0
2007-04-05,36,37,35.810001,36.310001,89715,0.0,1.0
2007-04-09,37.799999,38,36.5,37.189999,77155,0.0,1.0
2007-04-10,37.689999,38.299999,37.290001,37.68,107190,0.0,1.0
2007-04-11,38.169998,41.18,37.720001,40.330002,543330,0.0,1.0
2007-04-12,40,44.360001,39.009998,44.25,1434825,0.0,1.0
2007-04-13,45.48,45.779999,43.360001,43.630001,512005,0.0,1.0
2007-04-16,44,45.279999,43.599998,44.200001,256860,0.0,1.0
2007-04-17,44.549999,46.41,43.5,46.41,663430,0.0,1.0
2007-04-18,47.740002,48.73,47,48.73,573655,0.0,1.0
2007-04-19,48.799999,49.700001,46.799999,47.189999,606395,0.0,1.0
2007-04-20,47.669998,48.849998,45.459999,46.310001,349325,0.0,1.0
2007-04-23,46.889999,47.18,45.419998,46.5,258850,0.0,1.0
2007-04-24,46,48.82,45.450001,47.560001,507775,0.0,1.0
2007-04-25,47.560001,49.799999,46.799999,48.779999,499525,0.0,1.0
2007-04-26,49.009998,49.790001,46.599998,47.009998,182240,0.0,1.0
2007-04-27,46.799999,47.580002,45.049999,45.529999,107960,0.0,1.0
2007-04-30,45,46.529999,44.619999,45.720001,90790,0.0,1.0
2007-05-03,46.400002,47.200001,45.630001,45.98,89475,0.0,1.0
2007-05-04,46.540001,46.799999,44.799999,45.060001,87350,0.0,1.0
2007-05-07,45.939999,46.060001,44.049999,44.419998,67000,0.0,1.0
2007-05-08,44.200001,45.5,42.799999,43.200001,103785,0.0,1.0
2007-05-09,43.799999,43.799999,42.400002,42.849998,90080,0.0,1.0
2007-05-10,43.209999,44.990002,42.84,44.790001,191640,0.0,1.0
2007-05-11,44.400002,47.02,43.139999,47.02,286710,0.0,1.0
2007-05-14,48.939999,48.939999,47.509998,48.09,258235,0.0,1.0
2007-05-15,48.439999,50.279999,47.610001,48.560001,278340,0.0,1.0
2007-05-16,48.810001,50.98,48.240002,50.98,411530,0.0,1.0
2007-05-17,51.889999,53.52,50.639999,51.540001,696460,0.0,1.0
2007-05-18,51,51.400002,49.68,50.130001,156360,0.0,1.0
2007-05-21,50.560001,52.380001,49.400002,50.220001,176660,0.0,1.0
2007-05-22,50.560001,50.560001,48.799999,49.130001,95065,0.0,1.0
2007-05-23,48.91,49.360001,47.150002,47.459999,144050,0.0,1.0
2007-05-24,47.34,48.759998,46.220001,46.849998,120850,0.0,1.0
2007-05-25,45.799999,48.740002,45.700001,47.709999,110245,0.0,1.0
2007-05-28,48.700001,50.09,48.240002,49.459999,216665,0.0,1.0
2007-05-29,50.189999,51.93,49.860001,51.93,397375,0.0,1.0
2007-05-30,52.400002,54.52,50.799999,54.52,326070,0.0,1.0
2007-05-31,55.400002,56.360001,52.470001,52.900002,334945,0.0,1.0
2007-06-01,53.66,55.400002,52.02,52.619999,230440,0.0,1.0
2007-06-04,53.279999,53.740002,51,51.470001,91925,0.0,1.0
2007-06-05,51.889999,53.5,50.400002,51.619999,170090,0.0,1.0
2007-06-06,52.040001,52.040001,49.599998,49.970001,85965,0.0,1.0
2007-06-07,49,50.799999,48.799999,49.66,119460,0.0,1.0
2007-06-08,49.099998,49.650002,48.200001,48.509998,122930,0.0,1.0
2007-06-11,49.299999,50.599998,48.849998,50.029999,119415,0.0,1.0
2007-06-12,50.41,51,48.599998,49.669998,94830,0.0,1.0
2007-06-13,49.240002,50.200001,48.220001,49.119999,72880,0.0,1.0
2007-06-14,49.900002,49.900002,49,49.189999,98310,0.0,1.0
2007-06-15,49.400002,51.299999,49.060001,50.110001,108385,0.0,1.0
2007-06-18,50.549999,52.599998,49.82,51.869999,175345,0.0,1.0
2007-06-19,52.470001,53.279999,52.310001,53.02,101010,0.0,1.0
2007-06-20,53.240002,53.619999,52.400002,53.119999,107570,0.0,1.0
2007-06-21,53,54.5,52,52.75,207160,0.0,1.0
2007-06-22,52,52.98,51.41,52.709999,105115,0.0,1.0
2007-06-25,53.220001,54.400002,53.220001,53.810001,184945,0.0,1.0
2007-06-26,53.799999,54.150002,53,53.349998,36625,0.0,1.0
2007-06-27,53.599998,53.700001,52.599998,53.060001,61660,0.0,1.0
2007-06-28,53.59,53.990002,52.599998,53.099998,62565,0.0,1.0
2007-06-29,52.610001,53.560001,51.700001,52,101420,0.0,1.0
2007-07-02,52.200001,53,51.82,52.060001,171135,0.0,1.0
2007-07-03,52.959999,54.59,52.419998,54.130001,207205,0.0,1.0
2007-07-04,55.84,56.799999,52.610001,53.25,318315,0.0,1.0
2007-07-05,53.599998,54.200001,51.43,51.889999,103710,0.0,1.0
2007-07-06,52.599998,52.599998,50.799999,51.220001,118485,0.0,1.0
2007-07-09,52.380001,52.380001,50,50.540001,107885,0.0,1.0
2007-07-10,50.599998,52.900002,50.5,50.970001,449400,0.0,1.0
2007-07-11,51,51.900002,49.799999,51.330002,206055,0.0,1.0
2007-07-12,51.98,55.740002,51.799999,55.349998,453080,0.0,1.0
2007-07-13,56.330002,58.799999,56.200001,57.049999,1051100,0.0,1.0
2007-07-16,57.880001,57.880001,54.650002,55.259998,212925,0.0,1.0
2007-07-17,56.279999,58.560001,55.459999,57.75,521940,0.0,1.0
2007-07-18,57.240002,59.200001,56.619999,58.240002,437160,0.0,1.0
2007-07-19,58,59.400002,56.400002,56.830002,97765,0.0,1.0
