date,open,high,low,close,volume,dividend,split
2007-07-25,180.225006,180.225006,155,165.899994,248922,0.0,1.0
2007-07-26,165.899994,169.449997,160.300003,161.475006,320650,0.0,1.0
2007-07-27,161.475006,161.475006,146.75,150.75,223476,0.0,1.0
2007-07-30,148.850006,155.199997,144.5,148.649994,703324,0.0,1.0
2007-07-31,148.649994,165.25,148.649994,160.050003,442542,0.0,1.0
2007-08-01,160.050003,160.050003,144.5,146,492960,0.0,1.0
2007-08-02,145.699997,151.5,142.824997,144.050003,114240,0.0,1.0
2007-08-03,147.5,149.524994,145.050003,147.350006,168388,0.0,1.0
2007-08-06,143.5,156.149994,139,153.300003,134510,0.0,1.0
2007-08-07,156.649994,165.774994,156.225006,160,110500,0.0,1.0
2007-08-08,160,165.449997,158.774994,159.975006,138660,0.0,1.0
2007-08-09,160.25,164.25,151.625,153,96080,0.0,1.0
2007-08-10,145.5,150.475006,141.5,148.824997,87344,0.0,1.0
2007-08-13,150.050003,156.824997,150.050003,153.300003,99454,0.0,1.0
2007-08-14,153.949997,160.25,153,157.074997,92306,0.0,1.0
2007-08-16,147.5,152.5,146.649994,147.300003,74566,0.0,1.0
2007-08-17,145,151,141,144.800003,87336,0.0,1.0
2007-08-20,151.350006,155,149.25,150.074997,58942,0.0,1.0
2007-08-21,151.75,154,137.5,139.100006,63364,0.0,1.0
2007-08-22,144,146.350006,137.100006,140.149994,109402,0.0,1.0
2007-08-23,148,148,140.5,141,129434,0.0,1.0
2007-08-24,139.5,142.524994,138,141.5,72674,0.0,1.0
2007-08-27,146.5,146.550003,142.600006,145.574997,53286,0.0,1.0
2007-08-28,146,149.25,145,145.975006,51740,0.0,1.0
2007-08-29,142.5,150.300003,142.475006,147.675003,63214,0.0,1.0
2007-08-30,150,153.5,148,149.725006,54330,0.0,1.0
2007-08-31,149.725006,152.449997,147.5,148.125,64868,0.0,1.0
2007-09-03,148.125,156.125,148,153.300003,157612,0.0,1.0
2007-09-04,154.5,160.925003,153.5,159.75,86318,0.0,1.0
2007-09-05,160.5,186.850006,160.5,175.600006,3925172,0.0,1.0
2007-09-06,174.149994,178.899994,166.524994,169.875,922852,0.0,1.0
2007-09-07,172.5,175.550003,168.649994,169.625,425202,0.0,1.0
2007-09-10,167.5,170,166,167.300003,206648,0.0,1.0
2007-09-11,168.949997,172.475006,165.050003,166.074997,346396,0.0,1.0
