date,open,high,low,close,volume,dividend,split
2016-08-01,242,248.550003,233.710007,235.660004,5785870,0.0,1.0
2016-08-02,235.559998,277.01001,232.199997,274.730011,5919820,0.0,1.0
2016-08-03,274.730011,283.679993,267.019989,274.070007,2082480,0.0,1.0
2016-08-04,277,281.600006,268.200012,272.730011,982310,0.0,1.0
2016-08-05,275.559998,292,272.51001,284.730011,1681010,0.0,1.0
2016-08-08,286.959991,295.980011,278,292.98999,980815,0.0,1.0
2016-08-09,293,296.73999,287.209991,294.230011,830640,0.0,1.0
2016-08-10,294.230011,301.399994,291.459991,294.320007,711845,0.0,1.0
2016-08-11,290.399994,290.399994,276.130005,280.220001,617280,0.0,1.0
2016-08-12,280,287.799988,276.01001,278.279999,378965,0.0,1.0
2016-08-16,279.600006,281.980011,266.609985,271.779999,315300,0.0,1.0
2016-08-17,274.200012,280,272.799988,274.100006,160400,0.0,1.0
2016-08-18,275.980011,284.950012,274.299988,280.579987,385380,0.0,1.0
2016-08-19,280.429993,282.869995,275.049988,276.899994,246380,0.0,1.0
2016-08-22,277.619995,279.75,270.040009,272.399994,97425,0.0,1.0
2016-08-23,272,277.600006,262.399994,264.649994,216345,0.0,1.0
2016-08-24,265.940002,271.600006,265.089996,266.850006,165520,0.0,1.0
2016-08-25,267.01001,272,267,270.529999,127135,0.0,1.0
2016-08-26,271.570007,273.26001,267,271.549988,101290,0.0,1.0
2016-08-29,271,271,254.100006,259.48999,607145,0.0,1.0
2016-08-30,260.200012,285.600006,260.200012,280.440002,791400,0.0,1.0
2016-08-31,282,284.73999,271.700012,273.399994,278795,0.0,1.0
2016-09-01,275.600006,277.950012,270.799988,274.459991,151770,0.0,1.0
2016-09-02,276.76001,282,272.399994,277.320007,2295395,0.0,1.0
2016-09-06,280,285.450012,280,282.779999,270450,0.0,1.0
2016-09-07,283.059998,291.970001,278.269989,290.209991,261000,0.0,1.0
2016-09-08,287.059998,293,284,288.73999,137795,0.0,1.0
2016-09-09,288.73999,291.059998,276.98999,283.119995,159505,0.0,1.0
2016-09-12,280,290,274.609985,286.839996,118810,0.0,1.0
2016-09-14,286,291.600006,286,289.589996,145480,0.0,1.0
2016-09-15,290.01001,318.579987,289,308.549988,859495,0.0,1.0
2016-09-16,330,330.880005,311,323.690002,947970,0.0,1.0
2016-09-19,326,332.619995,325.660004,326.929993,255225,0.0,1.0
2016-09-20,327,333.600006,318.480011,328.709991,309230,0.0,1.0
2016-09-21,328.799988,337.600006,328.799988,335.820007,243960,0.0,1.0
2016-09-22,340.600006,341.799988,336,340.420013,257845,0.0,1.0
2016-09-23,342.390015,344.709991,338.399994,341.170013,266470,0.0,1.0
2016-09-26,340,344.480011,334.839996,341.809998,172000,0.0,1.0
2016-09-27,343.399994,345.600006,339,344.5,117080,0.0,1.0
2016-09-28,346,349.799988,343.160004,348.679993,89705,0.0,1.0
2016-09-29,350.399994,350.399994,307.049988,333.23999,290550,0.0,1.0
2016-09-30,332.399994,339.799988,329.269989,336.480011,142460,0.0,1.0
2016-10-03,337,344.920013,337,343.329987,54090,0.0,1.0
2016-10-04,343.399994,367.640015,343.399994,357.640015,314660,0.0,1.0
2016-10-05,357.640015,369.76001,357.640015,362.179993,195495,0.0,1.0
2016-10-06,362.200012,367,348.799988,358.910004,136260,0.0,1.0
2016-10-07,359,365,356.019989,360.649994,136065,0.0,1.0
2016-10-10,363.600006,389.700012,361.200012,368.649994,644040,0.0,1.0
2016-10-13,369.799988,374.859985,362.200012,365.950012,215700,0.0,1.0
2016-10-14,366.410004,378,366.410004,371.890015,170850,0.0,1.0
2016-10-17,374.200012,390,374,380.420013,324405,0.0,1.0
2016-10-18,383,411.799988,383,407.540009,657340,0.0,1.0
2016-10-19,412,439.980011,412,434.140015,640315,0.0,1.0
2016-10-20,444.200012,466,441.320007,448.140015,701455,0.0,1.0
2016-10-21,448.200012,451.899994,432,442.790009,359775,0.0,1.0
2016-10-24,446.799988,461,443.320007,458.850006,331555,0.0,1.0
2016-10-25,462.600006,475.399994,462.200012,469.670013,478515,0.0,1.0
2016-10-26,471.399994,472.399994,407.899994,428.600006,374030,0.0,1.0
2016-10-27,420,424,368,405.26001,1113360,0.0,1.0
2016-10-28,411,433.899994,410.869995,425.149994,551545,0.0,1.0
2016-11-01,452,464.799988,429.820007,438.859985,465985,0.0,1.0
2016-11-02,439.779999,440,414.440002,420.230011,350640,0.0,1.0
2016-11-03,422.399994,428.399994,396.579987,399.869995,406815,0.0,1.0
2016-11-04,398,404.600006,375.390015,379.200012,484720,0.0,1.0
2016-11-07,387.019989,394.670013,375.600006,377.529999,350080,0.0,1.0
2016-11-08,383.98999,385.769989,368.220001,376.779999,282740,0.0,1.0
2016-11-09,330,396,310,386.98999,878595,0.0,1.0
2016-11-10,400.399994,410,392,399.890015,336825,0.0,1.0
2016-11-11,393.980011,398,380,382.25,296115,0.0,1.0
2016-11-15,393.799988,395,368,372.019989,260820,0.0,1.0
2016-11-16,380.399994,387.089996,370,372.679993,204020,0.0,1.0
2016-11-17,372.600006,375.75,362.200012,370.940002,149775,0.0,1.0
2016-11-18,369,380,362.320007,371.130005,210550,0.0,1.0
2016-11-21,378.790009,380,362.019989,363.76001,193480,0.0,1.0
2016-11-22,365.200012,373.899994,364,366.720001,102720,0.0,1.0
2016-11-23,370.940002,384.98999,365.429993,381.850006,238525,0.0,1.0
2016-11-24,379.200012,387.600006,374.209991,380.839996,222315,0.0,1.0
2016-11-25,384.230011,397,382.910004,393.790009,216900,0.0,1.0
2016-11-28,397.399994,424,394,419.329987,515575,0.0,1.0
2016-11-29,425,440.190002,425,428.320007,356155,0.0,1.0
2016-11-30,433,437.399994,417.76001,428.019989,269605,0.0,1.0
2016-12-01,431.980011,433,419.799988,423.869995,143285,0.0,1.0
2016-12-02,426.799988,436,424,428.709991,312825,0.0,1.0
2016-12-05,431.399994,431.399994,416.399994,419.630005,88195,0.0,1.0
2016-12-06,420,426.299988,413.600006,415.440002,76570,0.0,1.0
2016-12-07,416.420013,420.799988,400,401.619995,157800,0.0,1.0
2016-12-08,404,415.179993,404,412.049988,110545,0.0,1.0
2016-12-09,411.600006,438,405.600006,430.549988,288230,0.0,1.0
2016-12-12,440,444,426.359985,431.880005,154310,0.0,1.0
2016-12-13,433.98999,433.98999,418.200012,419.579987,88150,0.0,1.0
2016-12-14,420.799988,421.839996,406.200012,407.720001,98635,0.0,1.0
2016-12-15,388,426.190002,388,414.019989,224215,0.0,1.0
2016-12-16,414.600006,421.950012,410,414.089996,83485,0.0,1.0
2016-12-19,414.200012,415.579987,402,404.529999,82190,0.0,1.0
2016-12-20,409.600006,414,396.200012,398.51001,112260,0.0,1.0
2016-12-21,401,405.630005,393.899994,395.48999,72610,0.0,1.0
2016-12-22,396.420013,397.660004,383.019989,386.859985,112415,0.0,1.0
2016-12-23,382.200012,392,378.209991,383.720001,127705,0.0,1.0
2016-12-26,381.200012,383,365.609985,366.899994,130610,0.0,1.0
2016-12-27,371.390015,391,364.440002,387.790009,225530,0.0,1.0
2016-12-28,393.799988,397.600006,386,391.839996,137525,0.0,1.0
2016-12-29,392,397.880005,388,393.429993,81495,0.0,1.0
2016-12-30,392.200012,402.440002,392,396.75,88975,0.0,1.0
2017-01-02,399.98999,399.98999,383,384.679993,159435,0.0,1.0
2017-01-03,389.190002,390.820007,375.019989,376.079987,140935,0.0,1.0
2017-01-04,379,383.269989,370.399994,371.359985,140225,0.0,1.0
2017-01-05,376.98999,381.600006,372.600006,374.5,106745,0.0,1.0
2017-01-06,375.600006,381.799988,372.660004,374.380005,113980,0.0,1.0
2017-01-09,375.799988,382,372.399994,376.899994,72690,0.0,1.0
