date,open,high,low,close,volume,dividend,split
2000-06-23,48,48.5,45.450001,45.575001,48000,0.0,1.0
2000-06-26,43,46,43,45.674999,30800,0.0,1.0
2000-06-27,46.849998,46.849998,44.400002,45.5,20200,0.0,1.0
2000-06-28,45.450001,45.5,44.5,45.25,9800,0.0,1.0
2000-06-29,46,46.5,45,45.025002,12800,0.0,1.0
2000-06-30,45,48.599998,41.650002,46.974998,45928,0.0,1.0
2000-07-03,50.5,50.5,45.650002,45.775002,17600,0.0,1.0
2000-07-04,45.5,46.474998,44,44.075001,32600,0.0,1.0
2000-07-05,44.900002,45,44,44.049999,12000,0.0,1.0
2000-07-06,43.5,44.099998,43.025002,43.049999,12600,0.0,1.0
2000-07-07,43.049999,43.049999,43.049999,43.049999,0,0.0,1.0
2000-07-10,43.049999,43.049999,43.049999,43.049999,0,0.0,1.0
2000-07-11,38.049999,39.75,38.049999,38.950001,32600,0.0,1.0
2000-07-12,38.5,41.25,38.5,41,23000,0.0,1.0
2000-07-13,42,43,40.375,40.450001,16100,0.0,1.0
2000-07-14,40.75,41.125,39.5,39.700001,15200,0.0,1.0
2000-07-17,40.950001,41.450001,39.5,39.924999,14000,0.0,1.0
2000-07-18,39.75,39.75,37.700001,37.849998,27000,0.0,1.0
2000-07-19,37.549999,38.950001,37.5,37.924999,17528,0.0,1.0
2000-07-20,36.924999,37.5,36.5,36.825001,18800,0.0,1.0
2000-07-21,37.049999,37.400002,35.75,36.075001,20400,0.0,1.0
2000-07-24,36.075001,36.075001,36.075001,36.075001,0,0.0,1.0
2000-07-25,31.15,35.474998,30.85,34.875,13200,0.0,1.0
2000-07-26,35,35.474998,34,34,5400,0.0,1.0
2000-07-27,34,34,34,34,0,0.0,1.0
2000-07-28,35.400002,36.900002,34.625,35.575001,21000,0.0,1.0
2000-07-31,34.674999,34.775002,34.5,34.5,4200,0.0,1.0
2000-08-01,33.025002,33.025002,30,31.424999,47200,0.0,1.0
2000-08-02,31.225,31.25,29.299999,29.75,37000,0.0,1.0
2000-08-03,29.75,30.225,28.5,28.575001,18600,0.0,1.0
2000-08-04,28.75,28.9,27.700001,28.475,23000,0.0,1.0
2000-08-07,28,28.424999,26.200001,26.75,14800,0.0,1.0
2000-08-08,27,27.5,26,26.375,24400,0.0,1.0
2000-08-09,26.35,28.75,26.35,28.325001,22400,0.0,1.0
2000-08-10,29.875,32.849998,29.875,32.525002,16400,0.0,1.0
2000-08-11,32.5,33.450001,31.575001,32.724998,22400,0.0,1.0
2000-08-14,34.950001,37.25,33,36.900002,59800,0.0,1.0
2000-08-15,36.900002,36.900002,36.900002,36.900002,0,0.0,1.0
2000-08-16,36.700001,42,36.700001,40.950001,80800,0.0,1.0
2000-08-17,41.875,41.924999,36.875,37.099998,39328,0.0,1.0
2000-08-18,37.450001,39,36.049999,37.5,33600,0.0,1.0
2000-08-21,40.474998,40.474998,37,37.299999,40200,0.0,1.0
2000-08-22,37.549999,37.549999,34.674999,36.375,61328,0.0,1.0
2000-08-23,37.375,38,36.299999,36.924999,47200,0.0,1.0
2000-08-24,37,37,35.25,35.5,16200,0.0,1.0
2000-08-25,36,38,35.375,37.525002,38600,0.0,1.0
2000-08-28,40.5,43,39.549999,41.075001,76868,0.0,1.0
2000-08-29,41.950001,41.950001,39.25,39.875,53528,0.0,1.0
2000-08-30,40.875,41,39.325001,39.5,28384,0.0,1.0
2000-08-31,39,39.825001,38.5,38.700001,37586,0.0,1.0
2000-09-01,38.700001,38.700001,38.700001,38.700001,0,0.0,1.0
2000-09-04,40.875,41,39.5,39.650002,33480,0.0,1.0
2000-09-05,39.025002,41.75,38.549999,40.525002,55230,0.0,1.0
2000-09-06,40.25,47,40.25,46.025002,104936,0.0,1.0
2000-09-07,46.400002,53.375,46.400002,53.375,75546,0.0,1.0
2000-09-08,55.5,61.900002,55.5,61.799999,77970,0.0,1.0
2000-09-11,62.400002,70,58.525002,60.724998,180790,0.0,1.0
2000-09-12,59.5,61,55.924999,58.700001,80126,0.0,1.0
2000-09-13,61,61,51.5,53.575001,40090,0.0,1.0
2000-09-14,53.5,61.5,53.5,58.25,56222,0.0,1.0
2000-09-15,59,61,53.75,53.950001,94808,0.0,1.0
2000-09-18,53.950001,53.950001,53.950001,53.950001,0,0.0,1.0
2000-09-19,53.950001,53.950001,53.950001,53.950001,0,0.0,1.0
2000-09-20,51.75,56.950001,51,56.950001,110620,0.0,1.0
2000-09-21,56.049999,59.5,54.049999,54.799999,58914,0.0,1.0
2000-09-22,53.5,54,48.299999,49.025002,64248,0.0,1.0
2000-09-25,52.924999,56.5,52.650002,54.775002,71682,0.0,1.0
2000-09-26,54.775002,54.775002,54.775002,54.775002,0,0.0,1.0
2000-09-27,54.775002,54.775002,54.775002,54.775002,0,0.0,1.0
2000-09-28,51.950001,51.950001,49.799999,50.525002,14810,0.0,1.0
