date,open,high,low,close,volume,dividend,split
2013-04-15,48.049999,50.450001,47,49.950001,354000,0.0,1.0
2013-04-16,50.400002,50.400002,47.900002,48.200001,21000,0.0,1.0
2013-04-17,48,48,46.400002,47.049999,99000,0.0,1.0
2013-04-18,47.5,47.700001,46.799999,47.450001,51000,0.0,1.0
2013-04-22,49,49,46.5,48,30000,0.0,1.0
2013-04-23,48.049999,48.25,48.049999,48.150002,12000,0.0,1.0
2013-04-25,48.799999,50.5,48.200001,49.599998,51000,0.0,1.0
2013-04-26,52,52.049999,52,52.049999,15000,0.0,1.0
2013-04-29,54.650002,54.650002,54.650002,54.650002,15000,0.0,1.0
2013-04-30,57.349998,57.349998,57.349998,57.349998,9000,0.0,1.0
2013-05-02,59.5,59.5,58.5,58.5,9000,0.0,1.0
2013-05-03,56,56,55,55,6000,0.0,1.0
2013-05-06,55,55,55,55,3000,0.0,1.0
2013-05-07,55,60,55,60,24000,0.0,1.0
2013-05-08,60.5,61.75,60.5,61,15000,0.0,1.0
2013-05-09,60.5,61,60,61,12000,0.0,1.0
2013-05-10,61,62.900002,61,62.900002,9000,0.0,1.0
2013-05-13,66,71.5,66,70,21000,0.0,1.0
2013-05-14,71,73.75,71,73.75,9000,0.0,1.0
2013-05-15,75,75,74,74,18000,0.0,1.0
2013-05-16,73.75,74,71,72,12000,0.0,1.0
2013-05-17,70.599998,70.599998,70.550003,70.550003,6000,0.0,1.0
2013-05-20,70,70,70,70,6000,0.0,1.0
2013-05-21,70,72,69,72,15000,0.0,1.0
2013-05-22,72,72,72,72,3000,0.0,1.0
2013-05-23,72,72,72,72,9000,0.0,1.0
2013-05-24,73,73,73,73,3000,0.0,1.0
2013-05-27,75,76,72.5,72.75,15000,0.0,1.0
2013-05-28,73.5,74.900002,73.5,74.900002,6000,0.0,1.0
2013-05-29,74,74,74,74,3000,0.0,1.0
2013-05-30,74,74.400002,74,74.199997,6000,0.0,1.0
2013-05-31,72,74,71.5,71.5,15000,0.0,1.0
2013-06-03,71,72.349998,71,71.900002,9000,0.0,1.0
2013-06-04,71,71,71,71,6000,0.0,1.0
2013-06-05,71,72.5,70.099998,70.099998,15000,0.0,1.0
2013-06-06,71,71,71,71,3000,0.0,1.0
2013-06-07,73.25,73.25,73.25,73.25,3000,0.0,1.0
2013-06-10,73.5,73.5,73.5,73.5,3000,0.0,1.0
2013-06-11,73.75,73.75,73,73,12000,0.0,1.0
2013-06-12,73,73,73,73,0,0.0,1.0
2013-06-13,74,74,74,74,3000,0.0,1.0
2013-06-14,73,73,73,73,3000,0.0,1.0
2013-06-17,73,73,73,73,0,0.0,1.0
2013-06-18,73,73,73,73,3000,0.0,1.0
2013-06-19,72.5,74,72.5,74,18000,0.0,1.0
2013-06-20,74,74,72.300003,74,18000,0.0,1.0
2013-06-21,74,74,73.5,73.699997,9000,0.0,1.0
2013-06-24,74,74,72.75,73.599998,12000,0.0,1.0
2013-06-25,73.5,73.599998,72.75,72.75,9000,0.0,1.0
2013-06-26,74.849998,74.849998,74.849998,74.849998,3000,0.0,1.0
2013-06-27,75,75.099998,73,75.099998,18000,0.0,1.0
2013-06-28,74.900002,74.900002,74.900002,74.900002,3000,0.0,1.0
2013-07-01,75,75,72.599998,73.5,18000,0.0,1.0
2013-07-02,73.5,73.5,73.5,73.5,0,0.0,1.0
2013-07-03,73.5,73.5,73.5,73.5,3000,0.0,1.0
2013-07-04,74,74,74,74,3000,0.0,1.0
2013-07-05,74.75,74.75,74.5,74.650002,12000,0.0,1.0
2013-07-08,72,74.5,72,74.400002,15000,0.0,1.0
2013-07-09,72.550003,72.550003,72.550003,72.550003,3000,0.0,1.0
2013-07-10,74,74.900002,73.75,74.900002,9000,0.0,1.0
2013-07-11,74.75,74.75,74.75,74.75,3000,0.0,1.0
2013-07-12,75,75.75,75,75.75,9000,0.0,1.0
2013-07-15,75,75,75,75,3000,0.0,1.0
2013-07-16,75,76.150002,75,75,9000,0.0,1.0
2013-07-17,75.949997,75.949997,75.949997,75.949997,3000,0.0,1.0
2013-07-18,73.5,73.5,73.5,73.5,3000,0.0,1.0
2013-07-19,74,74.099998,73,73.550003,9000,0.0,1.0
2013-07-22,73,73,73,73,3000,0.0,1.0
2013-07-23,74,74.5,72.5,74.25,18000,0.0,1.0
2013-07-24,74,75,73,74.25,15000,0.0,1.0
2013-07-25,72.25,74.599998,72.25,74.550003,9000,0.0,1.0
2013-07-26,72.449997,75,72,73.5,15000,0.0,1.0
2013-07-29,75,75,74,74,12000,0.0,1.0
2013-07-30,74.400002,74.400002,74.199997,74.199997,6000,0.0,1.0
2013-07-31,72,72,72,72,3000,0.0,1.0
2013-08-01,72,72,72,72,0,0.0,1.0
2013-08-02,73.5,73.5,73.5,73.5,3000,0.0,1.0
2013-08-05,71,71,70,70.5,6000,0.0,1.0
2013-08-06,71.5,71.5,71.5,71.5,3000,0.0,1.0
2013-08-07,71.75,71.75,71.75,71.75,3000,0.0,1.0
2013-08-08,71.75,71.75,71.75,71.75,3000,0.0,1.0
2013-08-12,72,72.75,70,72.75,12000,0.0,1.0
2013-08-13,72.699997,72.699997,70,71.349998,6000,0.0,1.0
2013-08-14,72,72,72,72,3000,0.0,1.0
2013-08-16,72,72,72,72,0,0.0,1.0
2013-08-19,72,72,72,72,0,0.0,1.0
2013-08-20,70,71.5,70,71.5,9000,0.0,1.0
2013-08-21,70.900002,70.900002,70.900002,70.900002,3000,0.0,1.0
2013-08-22,69,69,69,69,3000,0.0,1.0
2013-08-23,69,69,69,69,0,0.0,1.0
2013-08-26,71.5,71.5,71.5,71.5,3000,0.0,1.0
2013-08-27,71.5,71.5,71.5,71.5,3000,0.0,1.0
2013-08-28,71,71,71,71,3000,0.0,1.0
2013-08-29,72,72,72,72,3000,0.0,1.0
2013-08-30,71.75,71.75,71.75,71.75,3000,0.0,1.0
2013-09-02,71.75,71.75,71.75,71.75,0,0.0,1.0
2013-09-03,70,71.5,69,69,12000,0.0,1.0
2013-09-04,69.5,70.5,69,69.849998,15000,0.0,1.0
2013-09-05,71,71.25,70.900002,71.25,21000,0.0,1.0
2013-09-06,70.75,70.75,70.75,70.75,3000,0.0,1.0
2013-09-10,70.75,70.75,70.75,70.75,3000,0.0,1.0
2013-09-11,72,72,72,72,3000,0.0,1.0
2013-09-12,71.5,71.5,71.5,71.5,3000,0.0,1.0
2013-09-13,69,69,69,69,3000,0.0,1.0
2013-09-16,72.5,72.5,72.5,72.5,3000,0.0,1.0
2013-09-17,70,74.949997,70,74.5,18000,0.0,1.0
2013-09-18,71.5,74.199997,71.5,74.099998,15000,0.0,1.0
2013-09-19,73.5,80,72,77.800003,27000,0.0,1.0
2013-09-20,79,81.599998,76.099998,81.550003,21000,0.51377,1.0
2013-09-23,80,84.5,80,83.849998,21000,0.0,1.0
2013-09-24,81,83.75,81,83.75,15000,0.0,1.0
2013-09-25,81,82,81,82,15000,0.0,1.0
2013-09-26,80.5,82,80.5,81.199997,15000,0.0,1.0
2013-09-27,82,82,79.050003,81.949997,9000,0.0,1.0
