date,open,high,low,close,volume,dividend,split
2000-08-24,63,64.900002,62.75,64.25,71908,0.0,1.0
2000-08-25,64.5,67,64.25,66.550003,39335,0.0,1.0
2000-08-28,66.150002,68,65.699997,65.75,20979,0.0,1.0
2000-08-29,65,68,65,67.300003,35566,0.0,1.0
2000-08-30,67.050003,67.75,66.25,67,14560,0.0,1.0
2000-08-31,66.5,67.050003,66,66.150002,23290,0.0,1.0
2000-09-01,66.150002,66.150002,66.150002,66.150002,0,0.0,1.0
2000-09-04,67.75,67.900002,65.199997,67.849998,64297,0.0,1.0
2000-09-05,67.949997,68.5,66.699997,66.900002,14060,0.0,1.0
2000-09-06,66.550003,68.199997,66.550003,67.800003,14860,0.0,1.0
2000-09-07,68,69.5,67.550003,68.650002,34726,0.0,1.0
2000-09-08,69,74.099998,69,74.099998,129161,0.0,1.0
2000-09-11,79.699997,80,79.699997,80,54395,0.0,1.0
2000-09-12,86.349998,86.349998,85,86.349998,202447,0.0,1.0
2000-09-13,93,93.199997,89,91.599998,276615,0.0,1.0
2000-09-14,92.099998,97,85,92.300003,231417,0.0,1.0
2000-09-15,93,93,84.949997,84.949997,53729,0.0,1.0
2000-09-18,84.949997,84.949997,84.949997,84.949997,0,0.0,1.0
2000-09-19,84.949997,84.949997,84.949997,84.949997,0,0.0,1.0
2000-09-20,75,76.5,69.25,73.300003,23617,0.0,1.0
2000-09-21,72.5,73.5,68.550003,68.949997,30462,0.0,1.0
2000-09-22,68,69.699997,67.5,68.5,40527,0.0,1.0
2000-09-25,72.949997,73.949997,70.099998,73.949997,13639,0.0,1.0
2000-09-26,79.849998,79.849998,79.849998,79.849998,60369,0.0,1.0
2000-09-27,79.849998,79.849998,79.849998,79.849998,0,0.0,1.0
2000-09-28,80.199997,84,80,81.199997,21560,0.0,1.0
2000-09-29,81.199997,81.199997,81.199997,81.199997,0,0.0,1.0
2000-10-02,81.199997,81.199997,81.199997,81.199997,0,0.0,1.0
2000-10-03,81.449997,83,79.050003,80.449997,84916,0.0,1.0
2000-10-04,80.199997,83,80,81.699997,16050,0.0,1.0
2000-10-05,82,83.5,79.300003,80.150002,10125,0.0,1.0
2000-10-06,79.099998,79.849998,76.099998,76.949997,13065,0.0,1.0
2000-10-09,80.099998,80.099998,74.050003,74.199997,7442,0.0,1.0
2000-10-10,75.199997,75.199997,68.550003,71.25,30951,0.0,1.0
2000-10-11,69.449997,72,69.449997,70.800003,6322,0.0,1.0
2000-10-12,68.550003,72,68.550003,72,8819,0.0,1.0
2000-10-13,70.5,72.599998,69.5,69.800003,14355,0.0,1.0
2000-10-16,75.349998,75.349998,72.5,73.099998,11505,0.0,1.0
2000-10-17,73.650002,73.650002,70.5,71.900002,13113,0.0,1.0
2000-10-18,71.5,73.900002,71.050003,73.900002,8264,0.0,1.0
2000-10-19,74,79.800003,74,79.800003,17874,0.0,1.0
2000-10-20,79.800003,79.800003,79.800003,79.800003,0,0.0,1.0
2000-10-23,89,90.199997,83.75,84.050003,17663,0.0,1.0
2000-10-24,81,90.75,80.5,90.75,31165,0.0,1.0
2000-10-25,90.75,90.75,90.75,90.75,0,0.0,1.0
2000-10-26,90.75,90.75,90.75,90.75,0,0.0,1.0
2000-10-27,103.900002,110,101.599998,106,111391,0.0,1.0
2000-10-30,106,109.5,97.550003,97.550003,36754,0.0,1.0
2000-10-31,97.550003,97.550003,97.550003,97.550003,0,0.0,1.0
2000-11-01,108.800003,110.5,103,107.75,133170,0.0,1.0
2000-11-02,109,109.900002,100.300003,109.349998,67532,0.0,1.0
2000-11-03,109.800003,118.050003,109.800003,118.050003,133589,0.0,1.0
2000-11-06,127.449997,127.449997,126,127.449997,34236,0.0,1.0
2000-11-07,137.600006,137.600006,125.199997,137.600006,705202,0.0,1.0
2000-11-08,147.600006,148.550003,146,148.550003,54361,0.0,1.0
2000-11-09,158,160.399994,152,160.399994,1100470,0.0,1.0
2000-11-10,172.5,173.199997,147.600006,167.300003,715621,0.0,1.0
2000-11-13,160,173,154.050003,155.5,372567,0.0,1.0
2000-11-14,154.050003,167.899994,150.050003,160,318441,0.0,1.0
2000-11-15,164,167,159.25,160,237300,0.0,1.0
2000-11-16,160.100006,161,154.5,155.850006,102435,0.0,1.0
2000-11-17,155,163,151.5,158.199997,213249,0.0,1.0
2000-11-20,155,160.5,152.399994,153.600006,100265,0.0,1.0
2000-11-21,152,153.899994,141.350006,142.350006,228801,0.0,1.0
2000-11-22,140.050003,143,131,131,215660,0.0,1.0
