date,open,high,low,close,volume,dividend,split
2002-07-01,2.375,2.665,2.375,2.5,18400,0.0,1.0
2002-07-02,2.75,2.75,2.565,2.575,33600,0.0,1.0
2002-07-03,2.65,2.865,2.65,2.865,28000,0.0,1.0
2002-07-04,2.85,2.85,2.665,2.74,15800,0.0,1.0
2002-07-05,2.75,2.85,2.75,2.85,1600,0.0,1.0
2002-07-08,2.29,2.765,2.29,2.765,18368,0.0,1.0
2002-07-09,2.75,2.765,2.7,2.75,20800,0.0,1.0
2002-07-10,2.575,2.75,2.5,2.625,26000,0.0,1.0
2002-07-11,2.74,2.74,2.74,2.74,1600,0.0,1.0
2002-07-12,3.275,3.275,2.5,2.525,1624,0.0,1.0
2002-07-15,2.575,2.575,2.54,2.54,8800,0.0,1.0
2002-07-16,2.575,2.575,2.55,2.55,4000,0.0,1.0
2002-07-17,2.55,2.55,2.19,2.19,18000,0.0,1.0
2002-07-18,2.29,2.29,2.29,2.29,3200,0.0,1.0
2002-07-22,2.5,2.5,2.475,2.475,5200,0.0,1.0
2002-07-26,2.125,2.125,2.075,2.075,13600,0.0,1.0
2002-07-29,2.125,2.125,2.125,2.125,7600,0.0,1.0
2002-07-31,2.125,2.125,2.125,2.125,800,0.0,1.0
2002-08-02,2.49,2.49,2.49,2.49,800,0.0,1.0
2002-08-05,2,2.25,2,2.25,3200,0.0,1.0
2002-08-07,2.24,2.24,2.125,2.125,10360,0.0,1.0
2002-08-08,2.15,2.49,2.125,2.49,9280,0.0,1.0
2002-08-09,2.375,2.45,2.375,2.45,13600,0.0,1.0
2002-08-12,2.25,2.25,2.2,2.2,1600,0.0,1.0
2002-08-13,2.24,2.24,2.175,2.2,23200,0.0,1.0
2002-08-20,2.415,2.425,2.3,2.325,4880,0.0,1.0
2002-08-21,2.175,2.175,2.175,2.175,800,0.0,1.0
2002-08-22,2.425,2.475,2.425,2.475,8000,0.0,1.0
2002-08-26,2.6,2.6,2.6,2.6,800,0.0,1.0
2002-08-27,2.825,2.875,2.515,2.525,16000,0.0,1.0
2002-08-28,3,3,2.74,2.74,960,0.0,1.0
2002-08-29,2.7,2.7,2.7,2.7,800,0.0,1.0
2002-08-30,3.225,3.225,2.565,2.565,1760,0.0,1.0
2002-09-02,3.075,3.075,3.075,3.075,160,0.0,1.0
2002-09-03,3.69,3.69,2.525,2.6,5648,0.0,1.0
2002-09-04,3.115,3.115,2.625,2.74,8552,0.0,1.0
2002-09-05,2.75,2.75,2.5,2.5,6408,0.0,1.0
2002-09-06,3,3,2.375,2.375,1920,0.0,1.0
2002-09-09,2.85,2.85,2.625,2.625,7280,0.0,1.0
2002-09-12,3.15,3.15,2.6,2.625,4160,0.0,1.0
2002-09-13,2.6,2.6,2.6,2.6,1600,0.0,1.0
2002-09-16,2.975,2.975,2.45,2.515,10480,0.0,1.0
2002-09-17,3.015,3.015,2.44,2.44,14568,0.0,1.0
2002-09-18,2.69,2.69,2.4,2.415,11280,0.0,1.0
2002-09-20,2.89,2.89,2.6,2.6,80,0.0,1.0
2002-09-23,2.95,2.95,2.375,2.5,880,0.0,1.0
2002-09-24,2.99,2.99,2.25,2.375,6080,0.0,1.0
2002-09-25,2.2,2.375,2.2,2.25,6800,0.0,1.0
2002-09-26,2.69,2.69,2.25,2.25,4008,0.0,1.0
2002-09-27,2.675,2.675,2.375,2.375,16,0.0,1.0
2002-09-30,2.375,2.375,2.25,2.25,6568,0.0,1.0
2002-10-04,2.14,2.14,2.125,2.125,3200,0.0,1.0
2002-10-09,2.365,2.365,2.365,2.365,4000,0.0,1.0
2002-10-14,2.825,2.825,2.365,2.365,24,0.0,1.0
2002-10-18,2.365,2.365,2.365,2.365,1600,0.0,1.0
2002-10-22,2.35,2.35,2.35,2.35,800,0.0,1.0
2002-10-24,2.125,2.125,2,2.125,16800,0.0,1.0
2002-10-31,2.25,2.365,2.25,2.365,2408,0.0,1.0
2002-11-08,2.725,2.725,2.215,2.215,9200,0.0,1.0
2002-11-11,2.45,2.45,2.275,2.3,7200,0.0,1.0
2002-11-18,2.25,2.25,2.125,2.125,7800,0.0,1.0
2002-11-20,2.225,2.365,2.225,2.365,4200,0.0,1.0
2002-11-22,2.49,2.5,2.49,2.5,6000,0.0,1.0
2002-11-25,2.99,2.99,2.6,2.675,8800,0.0,1.0
2002-11-26,2.475,2.475,2.475,2.475,4000,0.0,1.0
