date,open,high,low,close,volume,dividend,split
2002-07-01,2.15,2.15,2.15,2.15,1700,0.0,1.0
2002-07-02,2.45,2.45,2.45,2.45,500,0.0,1.0
2002-07-03,2.85,2.85,2.85,2.85,500,0.0,1.0
2002-07-08,2.75,2.8,2.75,2.8,2000,0.0,1.0
2002-07-09,2.85,2.85,2.7,2.7,568,0.0,1.0
2002-07-10,2.2,2.5,2.2,2.5,525,0.0,1.0
2002-07-11,2.5,2.55,2.05,2.05,3510,0.0,1.0
2002-07-12,2.25,2.25,1.8,1.8,3890,0.0,1.0
2002-07-16,1.6,1.6,1.5,1.5,1000,0.0,1.0
2002-07-17,1.8,1.8,1.8,1.8,500,0.0,1.0
2002-07-18,2.15,2.15,2.15,2.15,500,0.0,1.0
2002-07-19,2.15,2.2,1.75,1.75,1760,0.0,1.0
2002-07-26,2.1,2.1,2.1,2.1,125,0.0,1.0
2002-07-30,2,2,2,2,300,0.0,1.0
2002-08-08,2,2,2,2,900,0.0,1.0
2002-08-14,1.65,1.65,1.65,1.65,50,0.0,1.0
2002-08-16,1.35,1.35,1.35,1.35,100,0.0,1.0
2002-08-26,1.6,1.6,1.6,1.6,310,0.0,1.0
2002-08-27,1.35,1.35,1.35,1.35,100,0.0,1.0
2002-08-28,1.4,1.4,1.2,1.2,110,0.0,1.0
2002-08-29,1,1,1,1,90,0.0,1.0
2002-09-17,0.85,0.85,0.85,0.85,200,0.0,1.0
2002-09-25,1,1,1,1,600,0.0,1.0
2002-10-01,1,1,1,1,1000,0.0,1.0
2002-10-07,1.2,1.2,1.2,1.2,100,0.0,1.0
2002-11-12,1,1,1,1,2000,0.0,1.0
2002-11-21,1.2,1.2,1.2,1.2,400,0.0,1.0
2002-11-22,1,1,1,1,100,0.0,1.0
2002-11-25,1.05,1.05,1.05,1.05,500,0.0,1.0
2002-11-26,1,1.2,0.85,1.1,901,0.0,1.0
2002-11-27,1.3,1.3,1,1,2100,0.0,1.0
2002-11-29,1.2,1.2,0.85,0.95,171,0.0,1.0
2002-12-03,1.1,1.1,0.8,0.8,2002,0.0,1.0
2002-12-04,0.95,0.95,0.95,0.95,1,0.0,1.0
2002-12-06,1.1,1.1,1.1,1.1,51,0.0,1.0
2002-12-10,1.3,1.3,1.2,1.2,100,0.0,1.0
2002-12-11,1.3,1.3,1.3,1.3,250,0.0,1.0
2002-12-12,1.3,1.3,1.3,1.3,100,0.0,1.0
2002-12-16,1.25,1.25,1.05,1.05,1325,0.0,1.0
2002-12-19,1.2,1.2,1.2,1.2,50,0.0,1.0
2002-12-24,1.1,1.1,1.1,1.1,100,0.0,1.0
2002-12-26,1.2,1.2,1.2,1.2,100,0.0,1.0
2002-12-27,1.1,1.1,1.05,1.05,2700,0.0,1.0
2003-01-02,1.25,1.25,1.25,1.25,50,0.0,1.0
2003-01-10,1.5,1.5,1.5,1.5,100,0.0,1.0
2003-01-21,1.8,1.8,1.8,1.8,100,0.0,1.0
2003-02-19,2,2,2,2,1,0.0,1.0
2003-03-03,2.25,2.25,1.95,2.05,150,0.0,1.0
2003-03-04,2.45,2.45,1.65,1.65,100,0.0,1.0
2003-03-12,1.35,1.35,1.35,1.35,500,0.0,1.0
2003-04-03,1.6,1.6,1.1,1.1,225,0.0,1.0
2003-04-09,1.3,1.3,1.15,1.2,415,0.0,1.0
2003-04-10,1.25,1.25,1.25,1.25,2700,0.0,1.0
2003-04-15,1.05,1.05,1.05,1.05,250,0.0,1.0
