date,open,high,low,close,volume,dividend,split
2007-08-06,60,65,54.200001,55.599998,714981,0.0,1.0
2007-08-07,55.599998,57.299999,54.450001,54.799999,467629,0.0,1.0
2007-08-08,55.25,55.5,51.75,52.349998,119357,0.0,1.0
2007-08-09,52.900002,56.549999,52.400002,53.849998,172143,0.0,1.0
2007-08-10,50.049999,52.400002,50,51.5,128532,0.0,1.0
2007-08-13,52.349998,53.450001,51.200001,51.5,163063,0.0,1.0
2007-08-14,51.5,55.5,51.200001,51.849998,357938,0.0,1.0
2007-08-16,49,50.799999,49,49.049999,125169,0.0,1.0
2007-08-17,49,49.599998,41.5,43.549999,121871,0.0,1.0
2007-08-20,44.950001,52.25,44.950001,49.599998,200289,0.0,1.0
2007-08-21,40,50.200001,40,45.599998,94155,0.0,1.0
2007-08-22,45.599998,51,45.599998,48.150002,106499,0.0,1.0
2007-08-23,49.900002,49.900002,45,45.599998,96700,0.0,1.0
2007-08-24,46.450001,46.950001,45.200001,46.099998,103878,0.0,1.0
2007-08-27,47.450001,47.450001,45.599998,45.849998,83771,0.0,1.0
2007-08-28,45.849998,47.599998,45.299999,46.099998,222049,0.0,1.0
2007-08-29,46.099998,46.099998,43.5,45.400002,85783,0.0,1.0
2007-08-30,46,46.5,44.75,45.200001,66696,0.0,1.0
2007-08-31,45.25,46,44.900002,45.099998,155075,0.0,1.0
2007-09-03,45.099998,45.950001,44.349998,44.700001,67700,0.0,1.0
2007-09-04,44.700001,45.650002,44.099998,44.549999,59407,0.0,1.0
2007-09-05,45,46,44.5,44.849998,128900,0.0,1.0
2007-09-06,44.5,45.099998,43.5,44.599998,42500,0.0,1.0
2007-09-07,45.599998,51,44.849998,47.049999,413600,0.0,1.0
2007-09-10,45.099998,49.75,45.099998,47.099998,1843400,0.0,1.0
2007-09-11,48.099998,48.099998,47,47.599998,156900,0.0,1.0
2007-09-12,50,51,47.700001,48.849998,525900,0.0,1.0
2007-09-13,49.5,50.799999,48.25,48.799999,137300,0.0,1.0
2007-09-14,49.700001,49.700001,47.049999,47.400002,64800,0.0,1.0
2007-09-17,49,49.450001,48,48.400002,109700,0.0,1.0
2007-09-18,48.200001,49.099998,47.299999,48.099998,130500,0.0,1.0
2007-09-19,49.799999,49.799999,47.5,47.75,51900,0.0,1.0
2007-09-20,49,49,45.799999,46.049999,52900,0.0,1.0
2007-09-21,47,47.099998,45.25,45.650002,51100,0.0,1.0
2007-09-24,47.099998,47.200001,45.049999,45.400002,44600,0.0,1.0
