date,open,high,low,close,volume,dividend,split
2000-04-18,5.59,5.9,5.59,5.9,4500,0.0,1.0
2000-04-19,5.9,5.9,5.9,5.9,0,0.0,1.0
2000-04-20,5.6,5.6,5.43,5.43,4500,0.0,1.0
2000-04-21,5.43,5.43,5.43,5.43,0,0.0,1.0
2000-04-24,5.43,5.43,5.43,5.43,0,0.0,1.0
2000-04-25,5.43,5.43,5.43,5.43,0,0.0,1.0
2000-04-26,5.43,5.43,5.43,5.43,0,0.0,1.0
2000-04-27,5.22,5.22,5.22,5.22,1000,0.0,1.0
2000-04-28,5.11,5.14,5.1,5.1,4000,0.0,1.0
2000-05-01,5.1,5.1,5.1,5.1,0,0.0,1.0
2000-05-02,5.3,5.3,5.3,5.3,500,0.0,1.0
2000-05-03,5.3,5.3,5.3,5.3,0,0.0,1.0
2000-05-04,4.56,4.99,4.56,4.96,4500,0.0,1.0
2000-05-05,4.96,4.96,4.96,4.96,0,0.0,1.0
2000-05-08,4.94,4.95,4.92,4.95,5000,0.0,1.0
2000-05-09,4.95,4.95,4.95,4.95,0,0.0,1.0
2000-05-10,4.96,4.99,4.7,4.99,5000,0.0,1.0
2000-05-11,4.95,4.95,4.95,4.95,1500,0.0,1.0
2000-05-12,5.34,5.34,4.6,4.98,1000,0.0,1.0
2000-05-15,4.65,4.65,4.65,4.65,500,0.0,1.0
2000-05-16,4.7,5.02,4.7,5.02,4000,0.0,1.0
2000-05-17,5,5,5,5,500,0.0,1.0
2000-05-18,4.61,5,4.61,5,2000,0.0,1.0
2000-05-19,5,5,4.62,5,17000,0.0,1.0
2000-05-22,4.88,4.9,4.88,4.9,1000,0.0,1.0
2000-05-23,4.51,4.72,4.51,4.71,7500,0.0,1.0
2000-05-24,4.6,4.75,4.6,4.75,1500,0.0,1.0
2000-05-25,4.71,5.1,4.71,5.1,2500,0.0,1.0
2000-05-26,5.49,5.49,4.74,4.98,4500,0.0,1.0
2000-05-29,5,5.18,5,5.18,3000,0.0,1.0
2000-05-30,4.8,5.12,4.8,5.12,1000,0.0,1.0
2000-05-31,5.12,5.12,5.12,5.12,0,0.0,1.0
2000-06-01,5.2,5.2,5.2,5.2,1000,0.0,1.0
2000-06-02,5,5.05,5,5,2000,0.0,1.0
2000-06-05,5.24,5.39,5.1,5.1,8000,0.0,1.0
2000-06-06,5.01,5.03,5.01,5.03,2500,0.0,1.0
2000-06-07,5.21,5.43,5.21,5.22,3500,0.0,1.0
2000-06-08,5.2,5.5,5.2,5.5,3000,0.0,1.0
2000-06-09,5.2,5.5,5.2,5.5,5500,0.0,1.0
2000-06-12,5.22,5.75,5.22,5.75,33000,0.0,1.0
2000-06-13,5.74,5.74,5.3,5.6,34500,0.0,1.0
2000-06-14,5.8,5.9,5.2,5.64,44000,0.0,1.0
2000-06-15,5.6,5.73,5.6,5.63,6500,0.0,1.0
2000-06-16,5.6,5.6,5.18,5.18,85000,0.0,1.0
2000-06-19,5.18,5.18,5.18,5.18,0,0.0,1.0
2000-06-20,5.4,5.4,5,5.2,31000,0.0,1.0
2000-06-21,5.1,5.2,5.1,5.11,17000,0.0,1.0
2000-06-22,5.08,5.4,5.06,5.32,21000,0.0,1.0
2000-06-23,5.06,5.74,5.06,5.21,24000,0.0,1.0
2000-06-26,5.21,5.21,5.21,5.21,0,0.0,1.0
2000-06-27,5.4,5.59,5.4,5.59,2000,0.0,1.0
2000-06-28,5.5,5.66,5.49,5.66,7000,0.0,1.0
2000-06-29,5.47,6.11,5.47,5.99,65500,0.0,1.0
2000-06-30,6,6.46,5.8,6.35,80500,0.0,1.0
2000-07-03,6.4,6.8,6.24,6.26,22500,0.0,1.0
2000-07-04,6.35,6.35,5.76,5.76,19500,0.0,1.0
2000-07-05,5.65,5.79,5.6,5.6,11000,0.0,1.0
2000-07-06,5.8,5.8,5.36,5.5,6500,0.0,1.0
2000-07-07,5.5,5.5,5.5,5.5,0,0.0,1.0
2000-07-10,5.5,5.5,5.5,5.5,0,0.0,1.0
2000-07-11,5.2,5.3,4.79,4.8,51000,0.0,1.0
2000-07-12,4.97,5.15,4.97,5.15,7500,0.0,1.0
2000-07-13,5.18,5.22,5,5.01,6000,0.0,1.0
2000-07-14,5.01,5.28,5.01,5.28,11000,0.0,1.0
2000-07-17,5.3,5.3,5.3,5.3,1000,0.0,1.0
2000-07-18,5.36,5.36,5.35,5.35,3500,0.0,1.0
2000-07-19,5.4,5.4,5.2,5.2,9000,0.0,1.0
2000-07-20,5.18,5.2,5.18,5.2,3000,0.0,1.0
2000-07-21,5.2,5.2,5.2,5.2,1000,0.0,1.0
2000-07-24,5.2,5.2,5.2,5.2,0,0.0,1.0
2000-07-25,5.5,5.73,5.38,5.38,5500,0.0,1.0
2000-07-26,5.42,5.43,5.41,5.41,4000,0.0,1.0
2000-07-27,5.41,5.41,5.41,5.41,0,0.0,1.0
2000-07-28,5.04,5.04,5.04,5.04,2500,0.0,1.0
