date,open,high,low,close,volume,dividend,split
2002-01-29,0.116,0.116,0.116,0.116,2500,0.0,1.0
2002-03-19,0.11,0.11,0.11,0.11,10000,0.0,1.0
2002-07-02,0.45,0.66,0.45,0.66,1000,0.0,1.0
2002-07-03,0.79,0.79,0.79,0.79,2525,0.0,1.0
2002-07-04,0.94,0.94,0.8,0.8,6000,0.0,1.0
2002-07-05,0.96,0.96,0.82,0.94,22950,0.0,1.0
2002-07-08,1.12,1.12,1.03,1.04,27500,0.0,1.0
2002-07-09,1.06,1.06,1,1,8000,0.0,1.0
2002-07-10,0.9,0.9,0.88,0.9,16000,0.0,1.0
2002-08-13,0.8,0.8,0.8,0.8,500,0.0,1.0
2002-08-14,0.65,0.65,0.65,0.65,500,0.0,1.0
2002-08-19,0.6,0.6,0.6,0.6,500,0.0,1.0
2002-08-20,0.49,0.49,0.49,0.49,1000,0.0,1.0
2002-08-30,0.43,0.43,0.43,0.43,500,0.0,1.0
2002-10-03,0.36,0.36,0.36,0.36,500,0.0,1.0
2002-10-21,0.43,0.43,0.43,0.43,65,0.0,1.0
2002-11-12,0.5,0.5,0.5,0.5,500,0.0,1.0
2002-11-21,0.6,0.6,0.6,0.6,1500,0.0,1.0
2002-12-12,0.61,0.61,0.61,0.61,2500,0.0,1.0
2002-12-16,0.55,0.55,0.55,0.55,1250,0.0,1.0
2002-12-19,0.45,0.45,0.45,0.45,1000,0.0,1.0
2002-12-20,0.37,0.37,0.37,0.37,1500,0.0,1.0
2002-12-23,0.35,0.35,0.35,0.35,3500,0.0,1.0
2002-12-27,0.4,0.4,0.4,0.4,1000,0.0,1.0
2002-12-31,0.41,0.41,0.41,0.41,500,0.0,1.0
2003-01-03,0.44,0.44,0.44,0.44,500,0.0,1.0
2003-01-07,0.47,0.47,0.47,0.47,565,0.0,1.0
2003-01-13,0.46,0.56,0.46,0.56,5500,0.0,1.0
2003-01-14,0.62,0.62,0.62,0.62,250,0.0,1.0
