date,open,high,low,close,volume,dividend,split
2006-05-10,853.700012,853.700012,853.700012,853.700012,509,0.0,1.0
2006-05-11,896.349976,896.349976,896.349976,896.349976,373,0.0,1.0
2006-05-12,941.150024,941.150024,941.150024,941.150024,5855,0.0,1.0
2006-05-15,988.200012,988.200012,901.599976,988.200012,187567,0.0,1.0
2006-05-16,1034.699951,1037.599976,938.799988,940.900024,132108,0.0,1.0
2006-05-17,940,987.900024,893.900024,986.349976,328791,0.0,1.0
2006-05-18,979.400024,979.400024,937.049988,937.049988,21290,0.0,1.0
2006-05-19,890.200012,929.900024,890.200012,890.200012,15214,0.0,1.0
2006-05-22,845.700012,845.700012,845.700012,845.700012,534,0.0,1.0
2006-05-23,803.450012,803.450012,803.450012,803.450012,3328,0.0,1.0
2006-05-24,763.299988,763.299988,763.299988,763.299988,3963,0.0,1.0
2006-05-25,725.150024,725.150024,725.150024,725.150024,455,0.0,1.0
2006-05-26,688.900024,699,688.900024,688.900024,103708,0.0,1.0
2006-05-29,654.5,654.5,654.5,654.5,30054,0.0,1.0
2006-05-30,621.799988,687.200012,621.799988,674.900024,512874,0.0,1.0
2006-05-31,654.700012,697,641.200012,668.700012,280523,0.0,1.0
2006-06-01,669.5,699,635.299988,635.299988,109832,0.0,1.0
2006-06-02,606,620,603.549988,604.400024,104359,0.0,1.0
2006-06-05,593,599.700012,574.200012,574.200012,39196,0.0,1.0
2006-06-06,545.5,545.5,545.5,545.5,144,0.0,1.0
2006-06-07,518.25,518.25,518.25,518.25,99,0.0,1.0
2006-06-08,492.350006,492.350006,492.350006,492.350006,398,0.0,1.0
2006-06-09,467.75,467.75,467.75,467.75,2333,0.0,1.0
2006-06-12,444.399994,444.399994,444.399994,444.399994,171,0.0,1.0
2006-06-13,422.200012,422.200012,422.200012,422.200012,126,0.0,1.0
2006-06-14,401.100006,401.100006,401.100006,401.100006,399,0.0,1.0
2006-06-19,343.950012,380.100006,343.950012,380.100006,338780,0.0,1.0
2006-06-20,388.399994,399.100006,382.5,399.100006,147847,0.0,1.0
2006-06-21,409,419.049988,405,419.049988,22814,0.0,1.0
2006-06-22,440,440,440,440,4376,0.0,1.0
2006-06-23,462,462,430,462,230760,0.0,1.0
2006-06-26,485,486.450012,458.450012,458.450012,40465,0.0,1.0
2006-06-27,435.549988,435.549988,435.549988,435.549988,2715,0.0,1.0
2006-06-28,413.799988,413.799988,413.799988,413.799988,1644,0.0,1.0
2006-06-29,393.149994,432,393.149994,393.149994,398270,0.0,1.0
2006-06-30,412.799988,412.799988,391.850006,412.799988,148247,0.0,1.0
2006-07-03,425.100006,433.399994,425.100006,433.399994,127303,0.0,1.0
2006-07-04,455.049988,455.049988,434.5,455.049988,167805,0.0,1.0
2006-07-05,465.5,477.799988,432.299988,432.549988,432578,0.0,1.0
2006-07-06,410.950012,449,410.950012,411,172337,0.0,1.0
2006-07-07,410,426.600006,396.100006,400.100006,187823,0.0,1.0
2006-07-10,400.100006,409.5,385.299988,391.649994,173140,0.0,1.0
2006-07-11,392.700012,411.200012,384,411.200012,141428,0.0,1.0
2006-07-12,403,431.75,402.350006,431.75,178592,0.0,1.0
2006-07-13,444.399994,445.399994,417,426.450012,168960,0.0,1.0
2006-07-14,424.799988,424.799988,408,415.049988,136166,0.0,1.0
2006-07-17,413,418,394.299988,394.549988,104559,0.0,1.0
2006-07-18,400,408,374.850006,374.850006,50884,0.0,1.0
2006-07-19,358.149994,378.5,356.149994,356.149994,37944,0.0,1.0
2006-07-20,357,372.649994,338.350006,348.450012,188003,0.0,1.0
2006-07-21,344.399994,344.399994,331.049988,331.049988,53141,0.0,1.0
2006-07-24,316,325,314.5,314.5,48262,0.0,1.0
2006-07-25,312,330.200012,307,330.200012,39522,0.0,1.0
2006-07-26,346.700012,346.700012,335.049988,346.700012,203628,0.0,1.0
2006-07-27,364,364,360,364,10258,0.0,1.0
2006-07-28,382.200012,382.200012,370,381.649994,193509,0.0,1.0
2006-07-31,400.700012,400.700012,383,386.549988,147583,0.0,1.0
2006-08-01,388.700012,405.850006,367.5,405.049988,175212,0.0,1.0
2006-08-02,409.700012,413.799988,390.5,396.899994,102004,0.0,1.0
2006-08-03,402,413,380,381,95680,0.0,1.0
2006-08-04,386.799988,394.950012,375.049988,378.25,51146,0.0,1.0
2006-08-07,384.899994,396,374,388.850006,70371,0.0,1.0
2006-08-08,392,404.25,391,399.75,37955,0.0,1.0
2006-08-09,395.549988,419.700012,395.549988,419.700012,63762,0.0,1.0
2006-08-10,429.399994,435.799988,412,426.25,150207,0.0,1.0
2006-08-11,429.799988,435.100006,415,423.649994,85257,0.0,1.0
2006-08-14,421.700012,444.799988,421.700012,444.799988,201867,0.0,1.0
2006-08-16,467,467,452,467,91031,0.0,1.0
2006-08-17,484.799988,490.350006,461,475.299988,392448,0.0,1.0
2006-08-18,478,489.850006,466,479.450012,120476,0.0,1.0
2006-08-21,484.399994,503.399994,476,503.399994,178078,0.0,1.0
2006-08-22,509.950012,524.900024,502.299988,511.399994,110629,0.0,1.0
2006-08-23,509.299988,509.950012,485.850006,485.850006,64629,0.0,1.0
2006-08-24,465.25,478,461.600006,464,110806,0.0,1.0
2006-08-25,469.700012,487,469.700012,477.549988,59153,0.0,1.0
2006-08-28,479.600006,483,468,471.950012,28734,0.0,1.0
2006-08-29,479.700012,481.899994,458.350006,463.649994,52169,0.0,1.0
2006-08-30,467.700012,471,453.5,455.850006,51065,0.0,1.0
2006-08-31,456,465,437.100006,440.700012,34690,0.0,1.0
2006-09-01,439.950012,441.899994,425,438.399994,95166,0.0,1.0
2006-09-04,448,460.299988,447,460.200012,162455,0.0,1.0
2006-09-05,445,461.799988,437.200012,438.649994,171869,0.0,1.0
2006-09-06,421.149994,460.399994,421.149994,450,150963,0.0,1.0
2006-09-07,440,448.399994,432,437.5,48923,0.0,1.0
2006-09-08,447.899994,453.5,436,440.5,68481,0.0,1.0
2006-09-11,444,446.950012,418.5,418.5,70228,0.0,1.0
2006-09-12,425,425,400,417.350006,62212,0.0,1.0
2006-09-13,421.100006,436.5,421.100006,431.950012,54300,0.0,1.0
2006-09-14,434.950012,446,432,436.799988,99128,0.0,1.0
2006-09-15,439,439.350006,423,426.5,48639,0.0,1.0
2006-09-18,428.549988,447.799988,428.549988,447.399994,93928,0.98432,1.0
2006-09-19,453.700012,469.75,441,452.5,264339,0.0,1.0
2006-09-20,444,469,439,457.100006,123460,0.0,1.0
2006-09-21,469,478.799988,460.049988,463.649994,114900,0.0,1.0
2006-09-22,465,472.350006,451.649994,459.149994,61297,0.0,1.0
2006-09-25,461,482.100006,454.049988,482.100006,180247,0.0,1.0
2006-09-26,492,506.200012,488,506.200012,239706,0.0,1.0
