date,open,high,low,close,volume,dividend,split
2017-09-05,220.300003,220.300003,220.300003,220.300003,14659,0.0,1.0
2017-09-06,231.300003,231.300003,231.300003,231.300003,10048,0.0,1.0
2017-09-07,242.850006,242.850006,242.850006,242.850006,6546,0.0,1.0
2017-09-08,254.949997,254.949997,231,254.949997,196623,0.0,1.0
2017-09-11,267.649994,267.649994,259,267.649994,51894,0.0,1.0
2017-09-12,281,281,281,281,6399,0.0,1.0
2017-09-13,295.049988,295.049988,295.049988,295.049988,2719,0.0,1.0
2017-09-14,309.799988,309.799988,309.799988,309.799988,6839,0.0,1.0
2017-09-15,325.25,325.25,297.100006,325.200012,138002,0.0,1.0
2017-09-18,355,355,302,323.649994,190284,0.0,1.0
2017-09-19,344.5,344.5,329.5,334.5,100805,0.0,1.0
2017-09-20,331.100006,335.350006,311.450012,314.100006,82503,0.0,1.0
2017-09-21,310.100006,315,291.600006,296.299988,79442,0.0,1.0
2017-09-22,290,293.350006,277.5,279.5,127421,0.0,1.0
2017-09-25,278,278,251.550003,265.200012,67359,0.0,1.0
2017-09-26,270,291.700012,263,291.700012,166193,0.0,1.0
2017-09-27,303.899994,320.850006,302.799988,320.25,252687,0.0,1.0
2017-09-28,329.299988,332,310.450012,313.200012,64065,0.0,1.0
2017-09-29,316,319.5,306,310.25,40743,0.0,1.0
2017-10-03,315,320,305.5,307.25,23236,0.0,1.0
2017-10-04,305.5,337.950012,305.5,337.950012,90000,0.0,1.0
2017-10-05,344.700012,371.700012,344,371.700012,268627,0.0,1.0
2017-10-06,382.700012,408.850006,378.049988,408.850006,112186,0.0,1.0
2017-10-09,429.25,429.25,425,429.25,34040,0.0,1.0
2017-10-10,450.700012,450.700012,407.799988,413.5,182388,0.0,1.0
2017-10-11,415,419,392.850006,396.700012,88015,0.0,1.0
2017-10-12,395,416.5,390,416.5,114046,0.0,1.0
2017-10-13,424.899994,437.299988,421.100006,437.299988,143595,0.0,1.0
2017-10-16,447.799988,459.149994,443.600006,459.149994,173734,0.0,1.0
2017-10-17,473,482.100006,451,461.399994,227090,0.0,1.0
2017-10-18,461,484.450012,442,455,151295,0.0,1.0
2017-10-19,463,468.899994,455.600006,460.299988,25469,0.0,1.0
2017-10-23,460,469,441,444.200012,61043,0.0,1.0
2017-10-24,453,453,423.5,427.200012,56985,0.0,1.0
2017-10-25,431.5,434.700012,406,408.5,49210,0.0,1.0
2017-10-26,406,428.899994,388.100006,428.100006,175941,0.0,1.0
2017-10-27,433,438.799988,416,421.399994,66702,0.0,1.0
2017-10-30,424.049988,430,415.5,419.700012,23564,0.0,1.0
