date,open,high,low,close,volume,dividend,split
2008-07-04,74.550003,74.550003,48.799999,50.450001,11319800,0.0,1.0
2008-07-07,50.450001,52,46.049999,47.700001,2365300,0.0,1.0
2008-07-08,46,46,43.650002,44.5,566400,0.0,1.0
2008-07-09,45.099998,47,42.5,43,531500,0.0,1.0
2008-07-10,42,44,40.200001,41.200001,422600,0.0,1.0
2008-07-11,41.599998,44,40.549999,41.049999,444300,0.0,1.0
2008-07-14,40.700001,41.900002,39.299999,39.599998,276100,0.0,1.0
2008-07-15,39,39.299999,37.5,37.799999,170900,0.0,1.0
2008-07-16,38.099998,39.799999,37.099998,37.349998,119400,0.0,1.0
2008-07-17,38.900002,38.900002,35.75,37.5,146500,0.0,1.0
2008-07-18,38,38.049999,36.599998,37.150002,80100,0.0,1.0
2008-07-21,37.700001,38.25,35,36.799999,50000,0.0,1.0
2008-07-22,37.150002,39.849998,37.150002,38.599998,125000,0.0,1.0
2008-07-23,39,41,38.299999,39.25,137200,0.0,1.0
2008-07-24,39.599998,40.5,37.700001,38.349998,56100,0.0,1.0
2008-07-25,38,38,36.849998,37,55300,0.0,1.0
2008-07-28,37.049999,37.950001,36.849998,37.549999,44000,0.0,1.0
2008-07-29,37.5,37.5,36.299999,36.700001,28100,0.0,1.0
2008-07-30,36.900002,37.5,36.049999,36.450001,35600,0.0,1.0
2008-07-31,36.049999,36.650002,35.900002,36.099998,24300,0.0,1.0
2008-08-01,36.25,40.650002,35.950001,38.799999,262800,0.0,1.0
2008-08-04,37.75,39.75,37.049999,39.099998,43200,0.0,1.0
2008-08-05,39.549999,39.799999,38.200001,38.349998,30100,0.0,1.0
2008-08-06,39.099998,39.700001,37.5,38.5,118900,0.0,1.0
2008-08-07,38.049999,39,37.950001,38.450001,17700,0.0,1.0
2008-08-08,38.5,40.849998,38.5,39,73000,0.0,1.0
2008-08-11,39.299999,40.400002,38.5,38.900002,34900,0.0,1.0
2008-08-12,38.400002,39.400002,38.099998,38.099998,21900,0.0,1.0
2008-08-13,37.450001,38.5,37.400002,37.799999,12000,0.0,1.0
2008-08-14,37.549999,39,37.5,37.950001,15400,0.0,1.0
2008-08-18,37.150002,38,36.799999,37.150002,10100,0.0,1.0
2008-08-19,36.700001,37.5,36.650002,37.5,17500,0.0,1.0
2008-08-20,37.049999,37.700001,36.049999,37.400002,11100,0.0,1.0
2008-08-21,36.75,37.849998,36.5,36.5,14500,0.0,1.0
2008-08-22,36,37.75,35.200001,37,19600,0.0,1.0
2008-08-25,37.75,37.75,36.75,36.849998,5800,0.0,1.0
2008-08-26,37,43.900002,36.900002,42.349998,633700,0.0,1.0
2008-08-27,42.849998,44,40,40.349998,376400,0.0,1.0
2008-08-28,40.75,40.849998,38.099998,38.400002,75600,0.0,1.0
