date,open,high,low,close,volume,dividend,split
2001-07-18,14,14,14,14,1,0.0,1.0
2001-12-31,16.799999,16.799999,16.799999,16.799999,3,0.0,1.0
2002-01-01,20.1,20.1,20.049999,20.049999,2,0.0,1.0
2002-01-02,23,23,23,23,5,0.0,1.0
2002-01-03,24,24.700001,24,24.700001,35,0.0,1.0
2002-01-04,26.65,26.65,26.65,26.65,5,0.0,1.0
2002-01-09,28.75,28.75,28.5,28.5,10,0.0,1.0
2002-01-11,30.5,30.5,30,30,15,0.0,1.0
2002-01-14,27.65,27.65,27.65,27.65,200,0.0,1.0
2002-01-15,27.65,27.65,27.65,27.65,10,0.0,1.0
2002-01-17,25.450001,25.450001,25.450001,25.450001,5,0.0,1.0
2002-01-23,23.450001,23.450001,23.450001,23.450001,5,0.0,1.0
2002-01-25,21.6,21.6,21.6,21.6,10,0.0,1.0
2002-01-28,19.9,19.9,19.9,19.9,5,0.0,1.0
2002-01-29,18.35,18.35,18.35,18.35,500,0.0,1.0
2002-01-30,16.9,16.9,16.9,16.9,10,0.0,1.0
2002-01-31,15.55,15.55,15.55,15.55,10,0.0,1.0
2002-02-01,14.35,14.35,14.35,14.35,25,0.0,1.0
2002-02-04,13.25,13.25,13.25,13.25,1,0.0,1.0
2002-02-05,12.2,14.3,12.2,14,97,0.0,1.0
2002-02-06,15.05,15.05,12.9,13.15,10,0.0,1.0
2002-02-08,12.1,13.1,12.1,12.15,298,0.0,1.0
2002-02-11,11.25,11.25,11.25,11.25,1,0.0,1.0
2002-02-12,12.15,12.15,10.4,10.65,2010,0.0,1.0
2002-02-13,11,11,11,11,10,0.0,1.0
2002-02-14,11.85,11.85,11.85,11.85,400,0.0,1.0
2002-02-18,12.7,12.7,12.7,12.7,10,0.0,1.0
2002-02-19,11.05,11.35,11,11.35,1600,0.0,1.0
2002-02-20,11.35,11.35,11.35,11.35,50,0.0,1.0
2002-02-21,11.9,11.9,11.1,11.15,136,0.0,1.0
2002-02-25,9.05,9.05,9.05,9.05,1,0.0,1.0
2002-02-26,7.3,10.05,7.3,9.55,3,0.0,1.0
2002-02-27,10,10,10,10,100,0.0,1.0
2002-03-04,10.5,10.5,10.5,10.5,1000,1.28001,1.0
2002-03-05,11.5,11.95,11.5,11.95,1010,0.0,1.0
2002-03-12,10.75,10.75,10.75,10.75,30,0.0,1.0
2002-03-15,11,11,11,11,100,0.0,1.0
2002-03-21,11,11,11,11,2,0.0,1.0
2002-03-26,9,9,9,9,300,0.0,1.0
2002-04-05,10.8,10.8,10.8,10.8,100,0.0,1.0
2002-04-11,10,10,9.3,9.3,200,0.0,1.0
2002-04-15,11.15,11.15,11.15,11.15,5,0.0,1.0
2002-04-16,12.75,12.75,12.75,12.75,1,0.0,1.0
2002-04-17,12.75,12.75,12.75,12.75,4,0.0,1.0
2002-04-24,11.5,12.75,11.5,12.75,51,0.0,1.0
2002-05-07,12.75,12.75,12.75,12.75,25,0.0,1.0
2002-05-24,10.5,10.5,10.5,10.5,200,0.0,1.0
2002-05-30,12.5,12.5,12.5,12.5,5,0.0,1.0
2002-05-31,13.5,13.7,13.5,13.6,10,0.0,1.0
2002-06-03,11,14.5,11,14.5,100,0.0,1.0
2002-06-04,11.75,11.75,11.75,11.75,100,0.0,1.0
2002-06-06,14,14,14,14,10,0.0,1.0
2002-06-10,16.5,16.5,16.5,16.5,10,0.0,1.0
2002-06-11,19.75,19.75,19.75,19.75,10,0.0,1.0
2002-06-17,18.799999,18.799999,18.799999,18.799999,5,0.0,1.0
2002-06-18,20.65,20.65,20.65,20.65,10,0.0,1.0
2002-07-02,18.6,18.6,18.6,18.6,1000,0.0,1.0
2002-07-03,18,18,18,18,1000,0.0,1.0
2002-07-04,17,17,16.25,16.25,1022,0.0,1.0
2002-07-05,14.65,14.65,14.65,14.65,25,0.0,1.0
2002-07-09,13.3,13.3,13.3,13.3,8,0.0,1.0
2002-07-11,12.25,12.25,12.25,12.25,36,0.0,1.0
2002-07-12,11.05,11.05,11.05,11.05,50,0.0,1.0
2002-07-16,10.05,10.05,10.05,10.05,50,0.0,1.0
2002-07-17,9.4,9.4,9.4,9.4,200,0.0,1.0
2002-07-18,8.8,8.8,8.8,8.8,50,0.0,1.0
2002-07-22,9,9.15,9,9.15,1100,0.0,1.0
2002-07-23,8.85,8.85,8.85,8.85,200,0.0,1.0
2002-07-25,9.25,9.25,9.25,9.25,100,0.0,1.0
2002-07-26,9.7,9.7,9.7,9.7,100,0.0,1.0
2002-08-01,9.25,9.5,9.25,9.5,200,0.0,1.0
2002-08-02,9.15,9.15,9.15,9.15,50,0.0,1.0
2002-08-06,8.75,8.75,8.75,8.75,50,0.0,1.0
2002-08-08,8.55,8.55,8.55,8.55,50,0.0,1.0
2002-08-14,8.4,8.4,8.4,8.4,50,0.0,1.0
2002-08-28,7.6,9.2,7.6,9.2,650,0.0,1.0
2002-08-29,10.1,10.1,10.1,10.1,50,0.0,1.0
2002-08-30,9.1,9.1,9.1,9.1,50,0.0,1.0
2002-09-02,10,10,8.3,8.3,250,0.0,1.0
2002-09-12,7.5,7.5,7.5,7.5,50,0.0,1.0
2002-09-17,7.1,7.1,7.1,7.1,50,0.0,1.0
2002-09-30,6.5,6.5,6.4,6.4,200,0.0,1.0
2002-10-01,7,7,6.1,6.1,1850,0.0,1.0
2002-10-03,5.5,5.5,5.5,5.5,50,0.0,1.0
2002-10-04,5,5,5,5,50,0.0,1.0
2002-11-26,5.5,5.5,5.5,5.5,1,0.0,1.0
2002-12-03,6.05,6.05,6.05,6.05,1,0.0,1.0
2002-12-04,6.65,6.65,6.65,6.65,9,0.0,1.0
2002-12-05,7.95,7.95,7.95,7.95,90,0.0,1.0
2002-12-06,9.5,9.5,9.5,9.5,50,0.0,1.0
2002-12-11,7.85,7.85,7.85,7.85,50,0.0,1.0
2002-12-12,9.25,9.4,9.25,9.4,2,0.0,1.0
2003-01-02,8.05,8.05,8.05,8.05,4,0.0,1.0
2003-01-03,9.6,9.6,9.6,9.6,50,0.0,1.0
2003-01-23,11.5,11.5,11.5,11.5,10,0.0,1.0
2003-02-04,11.5,13.4,11.5,13.4,1010,0.0,1.0
2003-02-05,11,12.8,11,12.8,105,0.0,1.0
2003-02-10,14.7,14.7,14.7,14.7,5,0.0,1.0
2003-02-14,17.549999,17.549999,17.4,17.4,10,0.0,1.0
2003-02-21,19.1,19.1,19.1,19.1,2,0.0,1.0
2003-03-24,17.200001,17.200001,17.200001,17.200001,20,0.0,1.0
2003-03-26,15.5,15.5,15.5,15.5,10,0.0,1.0
2003-03-27,14,14,14,14,10,0.0,1.0
2003-03-28,12.65,12.65,12.65,12.65,10,0.0,1.0
2003-03-31,11.4,11.4,11.4,11.4,10,0.0,1.0
2003-04-02,10.3,10.3,10.3,10.3,10,0.0,1.0
2003-04-03,9.3,9.3,9.3,9.3,5,0.0,1.0
2003-04-04,8.4,8.4,8.4,8.4,5,0.0,1.0
2003-04-07,7.6,7.6,7.6,7.6,5,0.0,1.0
2003-04-08,6.85,6.85,6.85,6.85,150,0.0,1.0
2003-04-10,6.2,6.2,6.2,6.2,150,0.0,1.0
2003-04-17,5.6,5.6,5.6,5.6,50,0.0,1.0
2003-04-22,5.05,6.15,5.05,6.15,150,0.0,1.0
2003-04-23,5.55,6.7,5.55,6.7,250,0.0,1.0
2003-04-24,6.05,6.05,6.05,6.05,50,0.0,1.0
2003-04-28,5.5,5.5,5.5,5.5,50,0.0,1.0
2003-04-29,5,5,5,5,100,0.0,1.0
2003-05-05,4.55,4.55,4.55,4.55,50,0.0,1.0
2003-05-06,4.1,4.1,4.1,4.1,100,0.0,1.0
2003-05-22,4.1,4.1,4.1,4.1,10,0.0,1.0
2003-06-11,4.51,4.51,3.77,3.77,2050,0.0,1.0
2003-06-13,4.14,4.14,4.14,4.14,20,0.0,1.0
