date,open,high,low,close,volume,dividend,split
2002-08-01,1.25,1.25,1.25,1.25,100,0.0,1.0
2002-08-02,1.05,1.05,1.05,1.05,100,0.0,1.0
2002-08-05,0.85,0.9,0.85,0.9,1100,0.0,1.0
2002-08-06,0.75,1,0.75,1,510,0.0,1.0
2002-08-07,1.15,1.15,0.85,1,7505,0.0,1.0
2002-08-08,1.2,1.2,1.2,1.2,5,0.0,1.0
2002-08-09,1.4,1.4,1.15,1.15,505,0.0,1.0
2002-08-12,1.35,1.35,1.35,1.35,5,0.0,1.0
2002-08-13,1.6,1.6,1.6,1.6,8,0.0,1.0
2002-08-14,1.9,1.9,1.9,1.9,1,0.0,1.0
2002-08-16,2.25,2.25,1.55,1.55,2000,0.0,1.0
2002-08-20,1.25,1.25,1.25,1.25,5,0.0,1.0
2002-08-21,1.05,1.05,1.05,1.05,200,0.0,1.0
2002-08-22,1.25,1.25,1,1,1000,0.0,1.0
2002-08-23,0.85,1.2,0.85,1,700,0.0,1.0
2002-08-26,0.85,1.2,0.85,1.2,2500,0.0,1.0
2002-08-27,1.4,1.4,1.4,1.4,5,0.0,1.0
2002-08-28,1.65,1.65,1.65,1.65,100,0.0,1.0
2002-08-29,1.95,1.95,1.95,1.95,100,0.0,1.0
2002-08-30,2.3,2.3,2.3,2.3,100,0.0,1.0
2002-09-02,2.75,2.75,2.75,2.75,200,0.0,1.0
2002-09-03,3.3,3.3,3.3,3.3,100,0.0,1.0
2002-09-04,3.95,3.95,2.65,3.45,1500,0.0,1.0
2002-09-05,4.1,4.1,4.1,4.1,100,0.0,1.0
2002-09-06,3.3,3.3,3.3,3.3,600,0.0,1.0
2002-09-18,2.65,2.65,2.65,2.65,2,0.0,1.0
2002-09-19,2.15,2.15,2.15,2.15,2,0.0,1.0
2002-09-23,2.55,2.55,1.75,2,15,0.0,1.0
2002-09-25,1.65,1.65,1.65,1.65,1,0.0,1.0
2002-09-26,1.35,1.35,1.35,1.35,1,0.0,1.0
2002-09-27,1.1,1.1,1.1,1.1,21,0.0,1.0
2002-09-30,0.9,0.9,0.9,0.9,5,0.0,1.0
2002-10-01,1.05,1.05,0.8,0.8,500,0.0,1.0
2002-10-03,0.8,0.8,0.8,0.8,500,0.0,1.0
2002-10-08,0.65,0.65,0.65,0.65,1000,0.0,1.0
2002-10-31,0.55,0.55,0.55,0.55,10000,0.0,1.0
2002-11-01,0.65,0.65,0.65,0.65,800,0.0,1.0
2002-11-07,0.6,0.7,0.6,0.7,2200,0.0,1.0
2002-11-08,0.7,0.7,0.7,0.7,3000,0.0,1.0
