date,open,high,low,close,volume,dividend,split
2015-08-26,56.200001,56.200001,53.400002,53.400002,23018,0.0,1.0
2015-08-27,50.75,50.75,50.75,50.75,6093,0.0,1.0
2015-08-28,48.25,48.25,48.25,48.25,6634,0.0,1.0
2015-08-31,45.849998,45.849998,45.849998,45.849998,5143,0.0,1.0
2015-09-01,43.599998,43.599998,43.599998,43.599998,5143,0.0,1.0
2015-09-02,44,44,41.450001,41.450001,295,0.0,1.0
2015-09-03,39.400002,39.400002,39.400002,39.400002,614,0.0,1.0
2015-09-04,37.450001,37.450001,37.450001,37.450001,334,0.0,1.0
2015-09-07,35.599998,35.599998,35.599998,35.599998,15126,0.0,1.0
2015-09-08,33.849998,33.849998,33.849998,33.849998,10169,0.0,1.0
2015-09-09,30.5,30.5,30.5,30.5,26665,0.0,1.0
2015-09-10,27.450001,33.549999,27.450001,33.549999,1992889,0.0,1.0
2015-09-11,36.450001,36.900002,32.150002,35.900002,1297441,0.0,1.0
2015-09-14,39.450001,39.450001,38.5,39.450001,782896,0.0,1.0
2015-09-15,42.75,43.349998,41.799999,43.349998,231696,0.0,1.0
2015-09-16,45.5,45.5,45.5,45.5,7412,0.0,1.0
2015-09-18,47.75,47.75,47.75,47.75,23240,0.0,1.0
2015-09-21,50.099998,50.099998,45.400002,50.099998,933583,0.0,1.0
2015-09-22,52.599998,52.599998,48.700001,52.599998,529984,0.0,1.0
2015-09-23,52.900002,55.200001,50.700001,55.200001,375766,0.0,1.0
2015-09-24,56.700001,57.950001,56,57.950001,52819,0.0,1.0
2015-09-28,60.799999,60.799999,60.799999,60.799999,18497,0.0,1.0
2015-09-29,61,63.799999,58.099998,63.799999,618831,0.0,1.0
2015-09-30,65.400002,66.949997,65.400002,66.949997,47188,0.0,1.0
2015-10-01,70.25,70.25,64.150002,70.25,360209,0.0,1.0
2015-10-05,73.75,73.75,73.699997,73.75,33192,0.0,1.0
2015-10-06,77.400002,77.400002,74.300003,77.400002,269164,0.0,1.0
2015-10-07,80,80.5,73.550003,73.550003,281012,0.0,1.0
2015-10-08,71.75,71.75,69.900002,69.900002,20498,0.0,1.0
2015-10-09,68,73.349998,66.449997,73.349998,295359,0.0,1.0
2015-10-12,77,77,74,75.449997,385145,0.0,1.0
2015-10-13,76.099998,76.400002,71.699997,71.699997,64621,0.0,1.0
2015-10-14,68.150002,71.550003,68.150002,68.550003,71290,0.0,1.0
2015-10-15,68.5,71.949997,66.900002,70.150002,157383,0.0,1.0
2015-10-16,71.050003,73.650002,66.650002,71.800003,189475,0.0,1.0
2015-10-19,71.099998,72.5,69,69.599998,70809,0.0,1.0
2015-10-20,70.5,71.699997,69.199997,71.099998,23090,0.0,1.0
2015-10-21,71.5,71.5,68,68.550003,42312,0.0,1.0
2015-10-23,69,69.900002,67.150002,67.349998,17553,0.0,1.0
2015-10-26,68,69.5,67,68.900002,23104,0.0,1.0
2015-10-27,68.25,68.900002,65.5,65.849998,39726,0.0,1.0
2015-10-28,65.800003,67,62.599998,62.849998,44152,0.0,1.0
2015-10-29,65,65.949997,60.75,62.400002,112013,0.0,1.0
2015-10-30,62.099998,64.300003,60.700001,61.099998,39456,0.0,1.0
2015-11-02,61.799999,61.950001,59,60.200001,18332,0.0,1.0
2015-11-03,60.950001,63.200001,60,63.200001,71206,0.0,1.0
2015-11-04,64.400002,64.800003,61.150002,61.5,41055,0.0,1.0
2015-11-05,61.349998,64.550003,59.299999,64.150002,58836,0.0,1.0
2015-11-06,67.349998,67.349998,65.150002,67.349998,250890,0.0,1.0
2015-11-09,64,70.699997,64,70.699997,330718,0.0,1.0
2015-11-10,72,74.199997,67.349998,69.5,348903,0.0,1.0
2015-11-13,73.349998,75,70.550003,72.050003,77808,0.0,1.0
2015-11-16,72,73.400002,70.349998,71.900002,48634,0.0,1.0
2015-11-17,72.199997,72.699997,70,70.650002,33367,0.0,1.0
2015-11-18,70.800003,72.199997,70,70.900002,25718,0.0,1.0
2015-11-19,71.900002,74.400002,71.900002,74.400002,74931,0.0,1.0
2015-11-20,77.400002,78.099998,75.75,78.099998,220108,0.0,1.0
2015-11-23,80.900002,82,77.099998,82,73042,0.0,1.0
