date,open,high,low,close,volume,dividend,split
2010-10-14,74.1222,80.511101,69.477798,74.077797,38907000,0.0,1.0
2010-10-15,72.222198,73.477798,69.133301,69.988899,4770369,0.0,1.0
2010-10-18,69.922203,71.577797,67.344398,67.966698,1038105,0.0,1.0
2010-10-19,68.155602,78.088898,68.155602,71.022202,7304364,0.0,1.0
2010-10-20,70.533302,74.422203,69.800003,70.777802,2337858,0.0,1.0
2010-10-21,71.488899,73.311096,70.222198,70.788902,802935,0.0,1.0
2010-10-22,71.777802,72.222198,69.322197,69.911102,477693,0.0,1.0
2010-10-25,70.655602,71.555603,68.5,69.1222,316184,0.0,1.0
2010-10-26,69.777802,70.222198,67.599998,67.833298,214268,0.0,1.0
2010-10-27,68,70.311096,67.2556,68.966698,265320,0.0,1.0
2010-10-28,69.333298,69.333298,66.666702,67.911102,93542,0.0,1.0
2010-10-29,67.777802,70.433296,67.555603,69.566704,317457,0.0,1.0
2010-11-01,69.555603,70.444397,68.5,68.844398,35654,0.0,1.0
2010-11-02,69.544403,69.544403,67.555603,68.211098,55008,0.0,1.0
2010-11-03,69.055603,69.311096,67.777802,67.866699,63706,0.0,1.0
2010-11-04,68.2444,69.777802,68.155602,69.055603,64822,0.0,1.0
2010-11-08,68.222198,69.666702,67.788902,68.822197,36572,0.0,1.0
2010-11-09,68.277802,69.133301,67.777802,68.722198,72162,0.0,1.0
2010-11-10,68.355598,70.222198,67.777802,69.400002,48164,0.0,1.0
2010-11-11,69.444397,69.7556,68.5,69.311096,28426,0.0,1.0
2010-11-12,68.666702,73.111099,68.522202,70.933296,118269,0.0,1.0
2010-11-15,71.222198,71.222198,68.455597,68.699997,31000,0.0,1.0
2010-11-16,68.2444,68.888901,68.111099,68.2444,588123,0.0,1.0
2010-11-18,68.222198,68.666702,67.777802,68.544403,23180,0.0,1.0
2010-11-19,68.155602,68.444397,65.344398,67.522202,30010,0.0,1.0
2010-11-22,66.944397,69.333298,66.944397,68.2444,27850,0.0,1.0
2010-11-23,67.777802,68.555603,66.666702,67.211098,42044,0.0,1.0
2010-11-24,67.111099,68,66.233299,67.599998,47970,0.0,1.0
2010-11-25,66.288902,67.211098,66.222198,67.111099,25047,0.0,1.0
2010-11-26,66.666702,66.666702,65.333298,65.555603,80086,0.0,1.0
2010-11-29,65.599998,66.666702,65.577797,65.822197,10071,0.0,1.0
2010-11-30,65.555603,65.555603,64.5,65.111099,530932,0.0,1.0
2010-12-01,66,66.8778,64.888901,65.166702,23260,0.0,1.0
2010-12-02,65.800003,67.555603,65.555603,67.044403,6273,0.0,1.0
2010-12-03,64.888901,67.311096,64.488899,64.822197,37602,0.0,1.0
2010-12-06,63.655602,66.666702,63.655602,65.555603,283770,0.0,1.0
2010-12-07,65.388901,66.444397,64.222198,64.955597,72702,0.0,1.0
2010-12-08,65.800003,66.222198,64.444397,64.455597,81580,0.0,1.0
2010-12-09,65.555603,66.444397,64.566704,65.055603,11588,0.0,1.0
2010-12-10,64.777802,64.888901,64.022202,64.688904,19264,0.0,1.0
2010-12-13,65.111099,66.222198,64,64.333298,31662,0.0,1.0
2010-12-14,65.555603,65.555603,64.333298,64.466698,5080,0.0,1.0
2010-12-15,64.444397,65.311096,63.777802,64,5846,0.0,1.0
2010-12-16,64.666702,64.777802,63.777802,64,10584,0.0,1.0
2010-12-20,64.888901,65.111099,64,64.088898,18724,0.0,1.0
2010-12-21,64.777802,64.777802,63.777802,64.188904,15124,0.0,1.0
2010-12-22,64.333298,64.666702,63.866699,64.011101,10395,0.0,1.0
2010-12-23,64.333298,64.366699,63.777802,63.788898,14337,0.0,1.0
2010-12-24,64.222198,64.222198,63.777802,64.144402,1080,0.0,1.0
2010-12-27,64.666702,64.777802,64.444397,64.444397,6030,0.0,1.0
2010-12-28,64.222198,66.222198,63.777802,64.444397,10562,0.0,1.0
2010-12-29,66.444397,69.333298,66.444397,67.133301,26964,0.0,1.0
2010-12-30,67.111099,67.111099,66.444397,66.7444,1854,0.0,1.0
2010-12-31,67.111099,67.777802,66.2444,66.977798,4792,0.0,1.0
2011-01-03,66.888901,67.777802,66,67.711098,3042,0.0,1.0
2011-01-04,67.555603,67.555603,64.944397,66.3778,3114,0.0,1.0
2011-01-05,66.666702,67.288902,66.233299,66.433296,2822,0.0,1.0
2011-01-06,66.777802,67.111099,66.555603,66.722198,3722,0.0,1.0
2011-01-07,67.533302,67.800003,66.044403,66.2444,36531,0.0,1.0
2011-01-10,66.222198,66.222198,62.9333,63.788898,2871,0.0,1.0
2011-01-11,66.666702,67.111099,63.5667,63.633301,14850,0.0,1.0
2011-01-12,64,65.555603,63.555599,64.677803,6826,0.0,1.0
2011-01-13,64.444397,65.333298,63.444401,63.777802,1611,0.0,1.0
2011-01-14,64.666702,64.666702,62.922199,63.355598,4509,0.0,1.0
2011-01-17,63.111099,64.199997,63.111099,63.333302,8852,0.0,1.0
2011-01-18,62.911098,62.911098,61.355598,62.5,4010,0.0,1.0
2011-01-19,61.111099,63.422199,61.111099,62.822201,2110,0.0,1.0
2011-01-20,62.2444,62.2444,60.400002,61.011101,1863,0.0,1.0
2011-01-21,61.333302,62,59.722198,60.299999,1904,0.0,1.0
2011-01-24,60.888901,61.777802,60.666698,61.766701,279,0.0,1.0
