date,open,high,low,close,volume,dividend,split
2000-01-25,4.575,4.995,4.5,4.995,21500,0.0,1.0
2000-01-26,4.995,4.995,4.995,4.995,0,0.0,1.0
2000-01-27,4.825,4.825,4.8,4.8,6500,0.0,1.0
2000-01-28,4.61,4.75,4.61,4.705,15500,0.0,1.0
2000-01-31,4.8,4.8,4.8,4.8,24000,0.0,1.0
2000-02-01,4.5,4.7,4.5,4.7,10000,0.0,1.0
2000-02-02,4.5,4.5,4.425,4.425,3500,0.0,1.0
2000-02-03,4.425,4.425,4.425,4.425,0,0.0,1.0
2000-02-04,4.1,4.225,4.1,4.225,5000,0.0,1.0
2000-02-07,4.2,4.29,3.935,3.935,19500,0.0,1.0
2000-02-08,3.96,3.96,3.9,3.9,7000,0.0,1.0
2000-02-09,3.75,4.21,3.75,4.21,4500,0.0,1.0
2000-02-10,4.545,4.545,4.3,4.525,5000,0.0,1.0
2000-02-11,4.36,4.6,4.3,4.3,3000,0.0,1.0
2000-02-14,4.3,4.3,4.3,4.3,1500,0.0,1.0
2000-02-15,4.45,4.5,4.015,4.47,8500,0.0,1.0
2000-02-16,4.25,4.425,4.25,4.325,8500,0.0,1.0
2000-02-17,4.2,4.2,4,4,31000,0.0,1.0
2000-02-18,4.1,4.245,4.005,4.025,7000,0.0,1.0
2000-02-21,3.72,4.03,3.72,4.025,4500,0.0,1.0
2000-02-22,4.32,4.33,4.15,4.185,7000,0.0,1.0
2000-02-23,4.2,4.2,4.2,4.2,550,0.0,1.0
2000-02-24,4.3,4.535,4.3,4.535,7000,0.0,1.0
2000-02-25,4.3,4.3,4.2,4.2,10000,0.0,1.0
2000-02-28,4.2,4.2,4.2,4.2,0,0.0,1.0
2000-02-29,4.2,4.2,4.2,4.2,3000,0.0,1.0
2000-03-01,4.42,4.465,4.42,4.465,8000,0.0,1.0
2000-03-02,4.2,4.46,4.19,4.46,21000,0.0,1.0
2000-03-03,4.7,4.7,4.265,4.4,9000,0.0,1.0
2000-03-06,4.74,4.74,4.35,4.395,7000,0.0,1.0
2000-03-07,4.045,4.045,4.045,4.045,2000,0.0,1.0
2000-03-08,3.8,3.8,3.8,3.8,3000,0.0,1.0
2000-03-09,3.525,3.75,3.5,3.75,3000,0.0,1.0
2000-03-10,3.5,3.5,3.46,3.46,5000,0.0,1.0
2000-03-13,3.46,3.46,3.46,3.46,0,0.0,1.0
2000-03-14,3.46,3.46,3.46,3.46,0,0.0,1.0
2000-03-15,3.055,3.055,3.055,3.055,1000,0.0,1.0
2000-03-16,2.825,2.825,2.815,2.815,5500,0.0,1.0
2000-03-17,2.815,2.815,2.815,2.815,0,0.0,1.0
2000-03-20,2.815,2.815,2.815,2.815,0,0.0,1.0
2000-03-21,2.83,3.03,2.8,3.03,4500,0.0,1.0
2000-03-22,3.01,3.01,2.905,2.905,5000,0.0,1.0
2000-03-23,3.015,3.015,3.005,3.005,5000,0.0,1.0
2000-03-24,3.005,3.005,3.005,3.005,0,0.0,1.0
2000-03-27,3.2,3.24,3.2,3.24,7000,0.0,1.0
2000-03-28,3.49,3.495,3.4,3.475,6000,0.0,1.0
2000-03-29,3.35,3.5,3.3,3.33,12000,0.0,1.0
2000-03-30,3.11,3.11,3.1,3.1,2500,0.0,1.0
2000-03-31,2.93,3,2.9,3,12500,0.0,1.0
2000-04-03,3,3,3,3,0,0.0,1.0
2000-04-04,2.825,2.825,2.825,2.825,1000,0.0,1.0
2000-04-05,2.825,2.825,2.825,2.825,0,0.0,1.0
2000-04-06,2.8,3,2.8,3,5000,0.0,1.0
2000-04-07,3.195,3.2,3.195,3.2,3000,0.0,1.0
2000-04-10,3.2,3.225,3.01,3.01,7500,0.0,1.0
2000-04-11,3.01,3.01,3.01,3.01,0,0.0,1.0
2000-04-12,2.9,2.9,2.825,2.85,11000,0.0,1.0
2000-04-13,2.85,2.85,2.85,2.85,0,0.0,1.0
2000-04-14,2.85,2.85,2.85,2.85,0,0.0,1.0
2000-04-17,2.85,2.85,2.85,2.85,0,0.0,1.0
2000-04-18,3,3,3,3,1000,0.0,1.0
2000-04-19,3,3,3,3,1000,0.0,1.0
2000-04-20,3,3,3,3,0,0.0,1.0
2000-04-21,3,3,3,3,0,0.0,1.0
2000-04-24,3,3,3,3,0,0.0,1.0
2000-04-25,3.1,3.1,3.1,3.1,1000,0.0,1.0
2000-04-26,3.1,3.1,3.1,3.1,0,0.0,1.0
2000-04-27,3.345,3.345,3.2,3.2,4500,0.0,1.0
2000-04-28,3.35,3.45,3.25,3.26,21000,0.0,1.0
2000-05-01,3.26,3.26,3.26,3.26,0,0.0,1.0
2000-05-02,3.26,3.26,3.26,3.26,0,0.0,1.0
2000-05-03,3.26,3.26,3.26,3.26,0,0.0,1.0
2000-05-04,3.26,3.26,3.26,3.26,0,0.0,1.0
2000-05-05,3.26,3.26,3.26,3.26,0,0.0,1.0
2000-05-08,3.23,3.23,3.23,3.23,1000,0.0,1.0
2000-05-09,3.23,3.23,3.23,3.23,0,0.0,1.0
2000-05-10,3.255,3.255,3.25,3.25,2000,0.0,1.0
2000-05-11,3.2,3.2,3.2,3.2,5000,0.0,1.0
2000-05-12,3.2,3.455,3.175,3.22,10500,0.0,1.0
2000-05-15,3.35,3.35,3.35,3.35,2000,0.0,1.0
2000-05-16,3.35,3.35,3.35,3.35,0,0.0,1.0
2000-05-17,3.205,3.205,3.205,3.205,500,0.0,1.0
2000-05-18,3.25,3.25,3.25,3.25,2000,0.0,1.0
2000-05-19,3.2,3.2,3.2,3.2,5000,0.0,1.0
2000-05-22,3.2,3.2,3.2,3.2,0,0.0,1.0
2000-05-23,2.96,3.2,2.955,3.2,2500,0.0,1.0
2000-05-24,3.2,3.2,3.2,3.2,2000,0.0,1.0
2000-05-25,3.15,3.15,3.15,3.15,1000,0.0,1.0
2000-05-26,3.15,3.15,3.15,3.15,0,0.0,1.0
2000-05-29,3.15,3.15,3.15,3.15,0,0.0,1.0
2000-05-30,3.25,3.27,3.25,3.26,1000,0.0,1.0
2000-05-31,3.26,3.26,3.26,3.26,0,0.0,1.0
2000-06-01,3.26,3.26,3.26,3.26,0,0.0,1.0
2000-06-02,3.26,3.26,3.26,3.26,0,0.0,1.0
2000-06-05,3.26,3.26,3.26,3.26,0,0.0,1.0
2000-06-06,3.26,3.26,3.26,3.26,0,0.0,1.0
2000-06-07,3.26,3.26,3.26,3.26,0,0.0,1.0
2000-06-08,3.26,3.26,3.26,3.26,0,0.0,1.0
2000-06-09,3.26,3.26,3.26,3.26,0,0.0,1.0
2000-06-12,3.26,3.26,3.26,3.26,0,0.0,1.0
2000-06-13,3.26,3.26,3.26,3.26,0,0.0,1.0
2000-06-14,3.26,3.26,3.26,3.26,0,0.0,1.0
2000-06-15,3.26,3.26,3.26,3.26,0,0.0,1.0
2000-06-16,3.085,3.085,3.085,3.085,500,0.0,1.0
2000-06-19,3.085,3.085,3.085,3.085,0,0.0,1.0
2000-06-20,3.08,3.08,3.08,3.08,2000,0.0,1.0
2000-06-21,3.2,3.325,3.2,3.325,5500,0.0,1.0
2000-06-22,3.3,3.5,3.3,3.5,1500,0.0,1.0
2000-06-23,3.58,3.59,3.58,3.59,3500,0.0,1.0
2000-06-26,3.355,3.55,3.355,3.55,2500,0.0,1.0
2000-06-27,3.5,3.5,3.5,3.5,5500,0.0,1.0
2000-06-28,3.5,3.5,3.5,3.5,0,0.0,1.0
2000-06-29,3.405,3.5,3.4,3.5,5000,0.0,1.0
2000-06-30,3.5,3.5,3.5,3.5,0,0.0,1.0
2000-07-03,3.5,3.5,3.5,3.5,0,0.0,1.0
2000-07-04,3.61,3.61,3.3,3.3,2000,0.0,1.0
2000-07-05,3.3,3.3,3.3,3.3,0,0.0,1.0
2000-07-06,3.245,3.295,3.245,3.295,2000,0.0,1.0
2000-07-07,3.295,3.295,3.295,3.295,0,0.0,1.0
2000-07-10,3.295,3.295,3.295,3.295,0,0.0,1.0
2000-07-11,3.45,3.45,3.425,3.425,1000,0.0,1.0
2000-07-12,3.375,3.375,3.365,3.365,2000,0.0,1.0
2000-07-13,3.365,3.365,3.365,3.365,0,0.0,1.0
2000-07-14,3.3,3.35,3.2,3.35,5500,0.0,1.0
2000-07-17,3.35,3.35,3.35,3.35,0,0.0,1.0
2000-07-18,3.35,3.35,3.35,3.35,0,0.0,1.0
2000-07-19,3.35,3.35,3.35,3.35,0,0.0,1.0
2000-07-20,3.35,3.35,3.35,3.35,0,0.0,1.0
2000-07-21,3.35,3.35,3.35,3.35,600,0.0,1.0
2000-07-24,3.35,3.35,3.35,3.35,0,0.0,1.0
2000-07-25,3.21,3.21,3.21,3.21,600,0.0,1.0
2000-07-26,3.21,3.21,3.21,3.21,0,0.0,1.0
2000-07-27,3.21,3.21,3.21,3.21,0,0.0,1.0
2000-07-28,3.405,3.405,3.4,3.4,800,0.0,1.0
2000-07-31,3.15,3.5,3.13,3.13,3500,0.0,1.0
2000-08-01,3.275,3.275,3.275,3.275,200,0.0,1.0
2000-08-02,3.275,3.275,3.275,3.275,0,0.0,1.0
2000-08-03,3.275,3.275,3.275,3.275,0,0.0,1.0
2000-08-04,3.275,3.275,3.275,3.275,0,0.0,1.0
2000-08-07,3.275,3.275,3.275,3.275,0,0.0,1.0
