date,open,high,low,close,volume,dividend,split
2018-02-26,182.100006,187.800003,176.449997,179.850006,1826090,0.0,1.0
2018-02-27,180.949997,182,173.100006,175.149994,278090,0.0,1.0
2018-02-28,173.899994,177.399994,169.949997,172.649994,178109,0.0,1.0
2018-03-01,172.649994,176.399994,171,172.399994,77204,0.0,1.0
2018-03-05,171,172.399994,168,169.550003,79571,0.0,1.0
2018-03-06,170,173,169.149994,170.25,80252,0.0,1.0
2018-03-07,170,170.100006,162.600006,164.949997,53631,0.0,1.0
2018-03-08,163,167.75,163,164.399994,47723,0.0,1.0
2018-03-09,164,164.5,153.649994,155.449997,83571,0.0,1.0
2018-03-12,155,156.649994,145,145.850006,115924,0.0,1.0
2018-03-13,143.100006,147.5,140.100006,144.649994,124145,0.0,1.0
2018-03-14,142.800003,151.5,142.149994,150.050003,81983,0.0,1.0
2018-03-15,154.600006,156.699997,151,152.600006,82052,0.0,1.0
2018-03-16,152.100006,154.800003,149.699997,151.75,41209,0.0,1.0
2018-03-19,152.350006,166,152.350006,160.149994,176601,0.0,1.0
2018-03-20,160.050003,169,159.350006,168.149994,105588,0.0,1.0
2018-03-21,169.149994,176,169.149994,173.25,102083,0.0,1.0
2018-03-22,172,174.149994,168.050003,169.649994,63322,0.0,1.0
2018-03-23,165,172.550003,161.600006,169.25,79436,0.0,1.0
2018-03-26,171,174,166.300003,167.899994,38492,0.0,1.0
2018-03-27,170,170.25,162.800003,164.350006,41420,0.0,1.0
2018-03-28,165,170.300003,164.550003,167.199997,66760,0.0,1.0
2018-04-02,170,171.449997,166,167.199997,15566,0.0,1.0
2018-04-03,167,170,166.699997,168.5,14147,0.0,1.0
2018-04-04,169,172.050003,168.199997,169.699997,45790,0.0,1.0
2018-04-05,170.050003,175,170,174,758285,0.0,1.0
2018-04-06,174,175.149994,171.050003,174.300003,24326,0.0,1.0
2018-04-09,176,178,172,172.5,20745,0.0,1.0
2018-04-10,173,173.600006,171,171.300003,13053,0.0,1.0
2018-04-11,174.850006,174.850006,170,171.300003,13823,0.0,1.0
2018-04-12,172,173.600006,167.600006,168.5,19648,0.0,1.0
2018-04-13,169.5,171,166.649994,167.5,17627,0.0,1.0
2018-04-16,167,168.850006,161,168,23441,0.0,1.0
2018-04-17,169,169.75,164.649994,166.649994,20880,0.0,1.0
2018-04-18,167.600006,167.899994,163.350006,164.199997,14439,0.0,1.0
2018-04-19,165.100006,170.850006,164.5,169.449997,19233,0.0,1.0
2018-04-20,167,170,165,165.699997,8881,0.0,1.0
2018-04-23,166.050003,167.75,165,166.100006,12473,0.0,1.0
2018-04-24,165.850006,171.699997,165.75,170.100006,19975,0.0,1.0
2018-04-25,166,171,166,168.100006,14880,0.0,1.0
2018-04-26,168.350006,168.350006,165.25,166.199997,8866,0.0,1.0
2018-04-27,169.899994,171.25,165,170.800003,30270,0.0,1.0
2018-04-30,170.800003,171.100006,168.5,169.649994,12571,0.0,1.0
2018-05-02,170,170.800003,166.100006,166.850006,9947,0.0,1.0
2018-05-03,167,168.300003,165,166.050003,11588,0.0,1.0
2018-05-04,166,175.899994,166,172.25,75557,0.0,1.0
2018-05-07,172.550003,179.300003,172.550003,177.899994,53637,0.0,1.0
2018-05-08,178,190.699997,176,187.449997,172054,0.0,1.0
2018-05-09,185.100006,193.300003,185.100006,191.75,266950,0.0,1.0
2018-05-10,192,194,184.5,186.800003,56475,0.0,1.0
2018-05-11,188.75,188.75,179.149994,182.5,34268,0.0,1.0
2018-05-14,183.050003,184.800003,180,181.050003,16345,0.0,1.0
2018-05-15,180,183.800003,180,180.600006,14654,0.0,1.0
2018-05-16,180,186,180,184.899994,20501,0.0,1.0
2018-05-17,180.899994,188.5,180.899994,187.649994,34511,0.0,1.0
2018-05-18,188.899994,190.300003,185.850006,187.75,38465,0.0,1.0
2018-05-21,187.5,190.75,186.050003,188.25,74823,0.0,1.0
2018-05-22,188,188,177,180.199997,30571,0.0,1.0
2018-05-23,181.300003,183,176.25,177.75,21816,0.0,1.0
2018-05-24,177.949997,181.350006,177.949997,179.800003,13825,0.0,1.0
2018-05-25,176.600006,182.899994,176.550003,180.550003,13579,0.0,1.0
2018-05-28,183.300003,183.300003,178,179.800003,12678,0.0,1.0
2018-05-29,179.850006,181,178.100006,179.350006,12116,0.0,1.0
2018-05-30,177.199997,180.5,177.100006,179.5,6250,0.0,1.0
2018-05-31,178,179.25,173.600006,175.5,17542,0.0,1.0
2018-06-01,177.899994,179.899994,174.800003,176.649994,11014,0.0,1.0
2018-06-04,178.399994,179.850006,176.449997,177.399994,15180,0.0,1.0
2018-06-05,178.5,178.5,172.300003,173.949997,13652,0.0,1.0
2018-06-06,172.100006,181.899994,172.100006,179.100006,15736,0.0,1.0
2018-06-07,177.149994,182,177.100006,180.949997,11938,0.0,1.0
2018-06-08,178.100006,180,177,179.100006,10267,0.0,1.0
2018-06-11,180,184.949997,178.949997,184.300003,18660,0.0,1.0
2018-06-12,184,188.800003,184,186.75,44665,0.0,1.0
2018-06-13,185.399994,187.600006,183.050003,185.550003,30020,0.0,1.0
2018-06-14,185,188.399994,182.100006,186.100006,16902,0.0,1.0
2018-06-15,185.350006,188,184.100006,186.5,26390,0.0,1.0
2018-06-18,182.199997,185,175.100006,178.800003,10374,0.0,1.0
2018-06-19,180,180.899994,174,176.449997,10062,0.0,1.0
2018-06-20,178.050003,178.899994,173,174.399994,6837,0.0,1.0
2018-06-21,176.399994,176.850006,172.100006,173.399994,5951,0.0,1.0
2018-06-22,173.399994,174.5,171,172.449997,3225,0.0,1.0
2018-06-25,173,173.899994,170,170.149994,3112,0.0,1.0
2018-06-26,170.100006,171.449997,160.600006,164.25,4264,0.0,1.0
2018-06-27,165,165,152.149994,161.5,10981,0.0,1.0
2018-06-28,158.050003,162.949997,156.149994,158.100006,5415,0.0,1.0
2018-06-29,158,165.699997,158,163.300003,6657,0.0,1.0
2018-07-02,161,169.050003,161,167.600006,6593,0.0,1.0
2018-07-03,166.949997,167.899994,163.649994,166.199997,3896,0.0,1.0
2018-07-04,166.850006,170.899994,166.550003,168.050003,5638,0.0,1.0
2018-07-05,173.050003,173.050003,168.699997,169.050003,2800,0.0,1.0
2018-07-06,170,171,164,165.350006,5681,0.0,1.0
2018-07-09,165.550003,171,165.550003,167.699997,3969,0.0,1.0
2018-07-10,169.5,172.050003,168,169.600006,7303,0.0,1.0
2018-07-11,167.850006,171,166.949997,167,2375,0.0,1.0
2018-07-12,167,168.199997,160.050003,163.649994,6926,0.0,1.0
2018-07-13,163.199997,166.850006,163.199997,164.899994,3534,0.0,1.0
2018-07-16,167.5,167.5,161.600006,162.600006,3225,0.0,1.0
2018-07-17,160.449997,171.800003,152.149994,167.25,11014,0.0,1.0
2018-07-18,165.899994,166.75,161.5,162.199997,2984,0.0,1.0
2018-07-19,163,164.25,160,161.75,7376,0.0,1.0
2018-07-20,162.199997,163.800003,160,161.600006,4551,0.0,1.0
2018-07-23,161.600006,165,158.199997,163.899994,6975,0.0,1.0
2018-07-24,163.199997,167.149994,163.199997,166.149994,5141,0.0,1.0
2018-07-25,167.25,167.25,164.5,165.649994,2925,0.0,1.0
2018-07-26,164.699997,167,162.199997,163.800003,3509,0.0,1.0
2018-07-27,166.800003,170.899994,166.800003,168.5,9845,0.0,1.0
2018-07-30,168,174,168,170.300003,8114,0.0,1.0
2018-07-31,170,170.649994,167.100006,168.449997,2748,0.0,1.0
2018-08-01,168.699997,169,166,167.75,4260,0.0,1.0
2018-08-02,168.300003,169.399994,165.5,166.550003,8087,0.0,1.0
2018-08-03,168.75,169.149994,165.100006,166.25,7552,0.0,1.0
2018-08-06,166.649994,171.899994,163.649994,169.199997,8157,0.0,1.0
2018-08-07,171,171,165,165.699997,7708,0.0,1.0
2018-08-08,167,168.949997,165.199997,166.350006,9803,0.0,1.0
2018-08-09,167.050003,167.699997,165,165.850006,3861,0.0,1.0
2018-08-10,166.600006,168.5,161.149994,165.399994,5419,0.0,1.0
2018-08-13,165.25,167.949997,162.100006,164,2447,0.0,1.0
2018-08-14,165.399994,174,161.149994,168.949997,8414,0.0,1.0
2018-08-16,175,186,170.800003,184.550003,107918,0.0,1.0
2018-08-17,185,188,179.550003,187.25,85887,0.0,1.0
2018-08-20,188,188,182.149994,184.75,22352,0.0,1.0
2018-08-21,180.199997,184.600006,180.199997,183.949997,14486,0.0,1.0
2018-08-23,183.949997,183.949997,175.600006,176.800003,40483,0.0,1.0
2018-08-24,177.100006,177.100006,172.699997,173.449997,7887,0.0,1.0
2018-08-27,176,176.600006,172.550003,172.949997,11919,0.0,1.0
2018-08-28,174.899994,176.800003,174.25,175.100006,18925,0.0,1.0
2018-08-29,172.300003,179,172.300003,174.300003,7255,0.0,1.0
2018-08-30,172,179.5,170.300003,178.100006,8645,0.0,1.0
2018-08-31,175,179.899994,175,176.25,3775,0.0,1.0
2018-09-03,175.5,181.75,171,179.399994,10489,0.0,1.0
2018-09-04,181.75,181.75,177,177.300003,6754,0.0,1.0
2018-09-05,179.199997,180,170.100006,175.449997,17676,0.0,1.0
