date,open,high,low,close,volume,dividend,split
2000-03-28,6.51667,6.51667,6.23334,6.23334,1059,0.0,1.0
2000-03-29,6.23334,6.23334,6.23334,6.23334,0,0.0,1.0
2000-03-30,6.23334,6.23334,6.23334,6.23334,0,0.0,1.0
2000-03-31,6.23334,6.23334,6.23334,6.23334,353,0.0,1.0
2000-04-03,6.23334,6.23334,6.23334,6.23334,0,0.0,1.0
2000-04-04,6.23334,6.23334,6.23334,6.23334,0,0.0,1.0
2000-04-05,6.23334,6.23334,6.23334,6.23334,0,0.0,1.0
2000-04-06,6.23334,6.23334,6.23334,6.23334,0,0.0,1.0
2000-04-07,6.23334,6.23334,6.23334,6.23334,0,0.0,1.0
2000-04-10,6.23334,6.23334,6.23334,6.23334,0,0.0,1.0
2000-04-11,6.23334,6.23334,6.23334,6.23334,0,0.0,1.0
2000-04-12,6.23334,6.23334,6.23334,6.23334,0,0.0,1.0
2000-04-13,6.23334,6.23334,6.23334,6.23334,0,0.0,1.0
2000-04-14,6.23334,6.23334,6.23334,6.23334,0,0.0,1.0
2000-04-17,6.23334,6.23334,6.23334,6.23334,0,0.0,1.0
2000-04-18,6.23334,6.23334,6.23334,6.23334,0,0.0,1.0
2000-04-19,6.23334,6.23334,6.23334,6.23334,0,0.0,1.0
2000-04-20,5.7375,5.7375,5.7375,5.7375,1412,0.0,1.0
2000-04-21,5.7375,5.7375,5.7375,5.7375,0,0.0,1.0
2000-04-24,5.7375,5.7375,5.7375,5.7375,0,0.0,1.0
2000-04-25,5.28417,5.28417,5.28417,5.28417,3529,0.0,1.0
2000-04-26,4.87334,4.87334,4.87334,4.87334,3529,0.0,1.0
2000-04-27,4.87334,4.87334,4.87334,4.87334,0,0.0,1.0
2000-04-28,4.49084,4.49084,4.49084,4.49084,706,0.0,1.0
2000-05-01,4.49084,4.49084,4.49084,4.49084,0,0.0,1.0
2000-05-02,4.49084,4.49084,4.49084,4.49084,0,0.0,1.0
2000-05-03,4.49084,4.49084,4.49084,4.49084,0,0.0,1.0
