date,open,high,low,close,volume,dividend,split
1998-11-27,3.55,3.55,2.71,3.4,21000,0.0,1.0
1998-11-30,3.25,3.3,3.1,3.21,132000,0.0,1.0
1998-12-01,3.29,3.46,3.22,3.39,123500,0.0,1.0
1998-12-02,3.36,3.44,3.32,3.39,75500,0.0,1.0
1998-12-03,3.44,3.49,3.37,3.39,102000,0.0,1.0
1998-12-04,3.34,3.41,3.3,3.39,71000,0.0,1.0
1998-12-07,3.38,3.44,3.35,3.38,26000,0.0,1.0
1998-12-08,3.38,3.4,3.23,3.24,32500,0.0,1.0
1998-12-09,3.29,3.34,3.23,3.24,15000,0.0,1.0
1998-12-10,3.24,3.27,3.19,3.2,36000,0.0,1.0
1998-12-11,3.22,3.24,3.12,3.16,37500,0.0,1.0
1998-12-14,3.26,3.26,3.16,3.18,18500,0.0,1.0
1998-12-15,3.2,3.2,3.15,3.15,8500,0.0,1.0
1998-12-16,3.14,3.16,3.1,3.13,43000,0.0,1.0
1998-12-17,3.03,3.12,3.03,3.08,14000,0.0,1.0
1998-12-18,3.06,3.12,2.99,3,72500,0.0,1.0
1998-12-21,3.15,3.16,3.05,3.05,35500,0.0,1.0
1998-12-22,3.07,3.07,3,3.06,22000,0.0,1.0
1998-12-23,3.04,3.07,3,3.04,20000,0.0,1.0
1998-12-24,2.92,3.06,2.92,3,29000,0.0,1.0
1998-12-28,3,3.07,3,3,11000,0.0,1.0
1998-12-29,3.01,3.1,3,3.05,24000,0.0,1.0
1998-12-30,3.13,3.54,3.13,3.41,47000,0.0,1.0
1998-12-31,3.4,3.4,3.21,3.24,48500,0.0,1.0
1999-01-01,3.32,3.34,3.23,3.27,337500,0.0,1.0
1999-01-04,3.4,3.54,3.4,3.41,50000,0.0,1.0
1999-01-05,3.36,3.36,3.17,3.2,44000,0.0,1.0
1999-01-06,3.27,3.27,3.15,3.2,47000,0.0,1.0
1999-01-07,3.2,3.56,3.2,3.35,104000,0.0,1.0
1999-01-08,3.44,3.55,3.4,3.41,220000,0.0,1.0
1999-01-11,3.6,3.65,3.41,3.51,172500,0.0,1.0
1999-01-12,3.45,3.6,3.37,3.43,47500,0.0,1.0
1999-01-13,3.41,3.47,3.4,3.42,25500,0.0,1.0
1999-01-14,3.36,3.4,3.3,3.36,9000,0.0,1.0
1999-01-15,3.4,3.4,3.13,3.19,31000,0.0,1.0
1999-01-18,3.19,3.26,3.15,3.26,9000,0.0,1.0
1999-01-19,3.35,3.35,3.25,3.3,7500,0.0,1.0
1999-01-21,3.1,3.26,2.94,3.25,10500,0.0,1.0
1999-01-22,3.3,3.38,3.22,3.26,4500,0.0,1.0
1999-01-25,3.25,3.26,3.07,3.26,15500,0.0,1.0
1999-01-27,3.2,3.2,3.12,3.2,5000,0.0,1.0
1999-01-28,3.2,3.28,3.16,3.16,8500,0.0,1.0
1999-01-29,3.2,3.24,3.02,3.03,37000,0.0,1.0
1999-02-01,3.1,3.12,3.1,3.1,7500,0.0,1.0
1999-02-02,3.2,3.2,3.02,3.19,34500,0.0,1.0
1999-02-03,3.24,3.25,3.15,3.17,60500,0.0,1.0
1999-02-04,3.2,3.2,3.1,3.1,30000,0.0,1.0
1999-02-05,3.18,3.2,3.02,3.1,27500,0.0,1.0
1999-02-08,3.1,3.14,3.1,3.13,9500,0.0,1.0
1999-02-09,3,3.1,3,3.06,9000,0.0,1.0
1999-02-10,3.19,3.2,3,3.02,13000,0.0,1.0
1999-02-11,3.1,3.1,3,3.06,23000,0.0,1.0
1999-02-12,3,3.1,3,3,86500,0.0,1.0
1999-02-15,3,3,3,3,3500,0.0,1.0
1999-02-16,3.11,3.11,3.01,3.01,4000,0.0,1.0
1999-02-17,3.02,3.08,3,3.02,3000,0.0,1.0
1999-02-18,2.95,3.1,2.95,3,55000,0.0,1.0
1999-02-19,3.05,3.05,2.9,3,47500,0.0,1.0
1999-02-22,3.1,3.1,2.8,2.99,3500,0.0,1.0
1999-02-23,2.91,2.91,2.84,2.88,12500,0.0,1.0
1999-02-24,2.82,2.9,2.8,2.9,21000,0.0,1.0
1999-02-25,2.94,2.96,2.85,2.85,12500,0.0,1.0
1999-02-26,2.9,2.9,2.84,2.88,13500,0.0,1.0
1999-03-01,2.85,2.87,2.8,2.84,50000,0.0,1.0
1999-03-03,3.04,3.54,3.04,3.51,102500,0.0,1.0
