date,open,high,low,close,volume,dividend,split
2002-12-09,12.4,12.4,12.4,12.4,25,0.0,1.0
2002-12-10,14.8,14.8,14.8,14.8,25,0.0,1.0
2002-12-11,12,13.2,12,13.2,150,0.0,1.0
2002-12-13,11.2,11.2,11.2,11.2,4800,0.0,1.0
2002-12-16,11.4,13.4,11.4,13.4,24747,0.0,1.0
2002-12-17,14.6,15.4,14.4,14.8,956,0.0,1.0
2002-12-18,16,16,15,15.6,8338,0.0,1.0
2002-12-19,15.2,15.2,15.2,15.2,1275,0.0,1.0
2002-12-20,14.2,14.6,14,14.4,2250,0.0,1.0
2002-12-23,15.2,15.2,15.2,15.2,50,0.0,1.0
2002-12-24,14,15.2,14,15.2,31,0.0,1.0
2002-12-27,14.4,17.799999,14.4,17.6,59,0.0,1.0
2002-12-30,17.4,17.4,14.2,14.8,6572,0.0,1.0
2002-12-31,14.2,14.4,14.2,14.4,1075,0.0,1.0
2003-01-01,14.6,16.799999,14.6,16.799999,254,0.0,1.0
2003-01-03,14.6,14.6,14.6,14.6,600,0.0,1.0
2003-01-08,13.2,13.2,13.2,13.2,75,0.0,1.0
2003-01-10,13.4,15.8,13.4,15.8,500,0.0,1.0
2003-01-13,13.6,13.6,13.6,13.6,5,0.0,1.0
2003-01-16,12.4,15.6,12.4,15.6,30,0.0,1.0
2003-01-17,14.8,14.8,14.8,14.8,560,0.0,1.0
2003-01-20,16.4,17.6,16,16,1100,0.0,1.0
2003-01-22,15,19,15,19,94,0.0,1.0
2003-01-23,17.4,17.6,15.4,16.799999,811,0.0,1.0
2003-01-27,16,16.6,16,16.6,375,0.0,1.0
2003-01-28,16,16.799999,16,16.799999,1128,0.0,1.0
2003-01-31,14.4,15.6,13.6,13.6,1302,0.0,1.0
2003-02-03,13,16,13,16,86,0.0,1.0
2003-02-04,13.4,15.6,13,13,1283,0.0,1.0
2003-02-05,12.6,12.6,12.4,12.4,550,0.0,1.0
2003-02-06,14.4,14.4,14.4,14.4,60,0.0,1.0
2003-02-07,14,14,12,12.2,92,0.0,1.0
2003-02-12,14.6,14.6,14,14,0,0.0,1.0
2003-02-17,16.6,16.6,11.4,12.4,2532,0.0,1.0
2003-02-18,12.6,14.6,11.8,12.2,2324,0.0,1.0
2003-02-19,14.2,14.2,14.2,14.2,12,0.0,1.0
2003-02-20,12.4,15.2,12.4,15.2,201,0.0,1.0
2003-02-21,13,13,12.2,12.2,200,0.0,1.0
2003-02-25,14,14,12.4,12.4,128,0.0,1.0
2003-02-27,13.8,13.8,13.8,13.8,30,0.0,1.0
2003-03-04,14.4,14.4,14.4,14.4,75,0.0,1.0
2003-03-05,11.8,13.6,11.6,11.8,142,0.0,1.0
2003-03-11,12.6,13.4,10.6,12.2,448,0.0,1.0
2003-03-13,13,13,11.2,11.2,75,0.0,1.0
2003-03-17,13.4,13.4,9,10.8,20,0.0,1.0
2003-03-19,12.6,12.6,12.6,12.6,50,0.0,1.0
2003-03-24,10.6,10.6,10.6,10.6,5,0.0,1.0
2003-03-26,10.4,10.4,10.4,10.4,374427,0.0,1.0
2003-03-27,11.8,12.4,10.8,12.4,658,0.0,1.0
2003-04-01,14.2,14.2,14,14,0,0.0,1.0
2003-04-02,16,16.799999,12,16.4,16,0.0,1.0
2003-04-04,15.6,15.6,15.6,15.6,25,0.0,1.0
2003-04-07,16,16,16,16,25,0.0,1.0
2003-04-16,19,19,15.6,15.8,1,0.0,1.0
2003-04-21,17,17,17,17,38,0.0,1.0
2003-04-22,13.8,13.8,13.8,13.8,38,0.0,1.0
2003-04-24,15.6,15.6,15.6,15.6,0,0.0,1.0
2003-04-28,14,14,14,14,125,0.0,1.0
2003-05-16,12.2,12.2,12.2,12.2,125,0.0,1.0
2003-05-21,12,12,12,12,125,0.0,1.0
2003-05-22,12,12,12,12,30,0.0,1.0
2003-05-26,13.6,14.4,13.6,14.4,1700,0.0,1.0
2003-05-27,13.8,16,13.8,15,5811,0.0,1.0
2003-05-28,14.6,14.6,14.4,14.4,272,0.0,1.0
2003-05-29,14.2,14.4,14.2,14.2,225,0.0,1.0
2003-05-30,12.6,14,12.6,14,1264,0.0,1.0
2003-06-02,14,14,14,14,3050,0.0,1.0
2003-06-03,14,14,14,14,2075,0.0,1.0
2003-06-04,16,16,14,14,2530,0.0,1.0
2003-06-05,14.2,16,14.2,15.76,6825,0.0,1.0
2003-06-06,15.6,16.76,15.6,16,7146,0.0,1.0
2003-06-09,18.76,19.120001,17.4,19.08,13344,0.0,1.0
2003-06-10,22,22,17,18.879999,12250,0.0,1.0
2003-06-11,18.799999,19.799999,18.799999,19,1062,0.0,1.0
2003-06-12,17.6,20.040001,17.6,20.040001,5012,0.0,1.0
2003-06-13,19.4,19.4,18.799999,18.799999,769,0.0,1.0
2003-06-16,18.08,19.719999,18,19.719999,520,0.0,1.0
2003-06-17,19.200001,19.4,18.440001,19.360001,1010,0.0,1.0
2003-06-18,18.6,19.16,18.6,19.16,472,0.0,1.0
2003-06-19,18.6,18.6,18,18,2550,0.0,1.0
2003-06-20,18,18,17.040001,17.040001,1225,0.0,1.0
2003-06-23,15.04,15.6,15,15.6,312,0.0,1.0
2003-06-24,14.6,16.4,14.6,16.360001,2954,0.0,1.0
2003-06-25,17,18.200001,16.719999,17.6,3878,0.0,1.0
2003-06-26,18.6,19.4,18.6,19.360001,2381,0.0,1.0
2003-06-27,21.959999,23.200001,20.6,23.200001,19897,0.0,1.0
2003-06-30,25.040001,27.799999,24,24,6449,0.0,1.0
2003-07-01,26,26.879999,24.6,25.360001,12038,0.0,1.0
2003-07-02,26,26.959999,25.360001,25.959999,3902,0.0,1.0
2003-07-03,26.639999,26.639999,24,24.6,17528,0.0,1.0
2003-07-04,25,28,24.6,26.4,3384,0.0,1.0
2003-07-07,30,31.68,29.200001,31.68,11151,0.0,1.0
2003-07-08,35.16,37.400002,33.919998,35.040001,19222,0.0,1.0
2003-07-09,37.16,37.16,29.08,29.08,3050,0.0,1.0
2003-07-10,33.959999,33.959999,30.799999,31.6,3580,0.0,1.0
2003-07-11,28,30.200001,28,30,1175,0.0,1.0
2003-07-14,28.440001,28.6,28.4,28.4,450,0.0,1.0
2003-07-15,27.040001,27.4,24.639999,24.639999,2025,0.0,1.0
2003-07-16,26,28,26,26.200001,3550,0.0,1.0
2003-07-17,24.52,24.52,22.040001,22.959999,5088,0.0,1.0
2003-07-18,20.08,22,19.6,20,3905,0.0,1.0
2003-07-21,20.200001,20.200001,16.120001,18.360001,9718,0.0,1.0
2003-07-22,19.200001,19.200001,17.92,18,12552,0.0,1.0
2003-07-23,19.92,19.92,16,17.24,13675,0.0,1.0
2003-07-24,17.360001,17.4,16,16.68,26650,0.0,1.0
2003-07-25,16.040001,18,16,17.959999,69470,0.0,1.0
2003-07-28,19.92,21.52,19.92,21.52,18561,0.0,1.0
2003-07-29,25.799999,25.799999,25.799999,25.799999,6425,0.0,1.0
2003-07-30,30.959999,30.959999,24.4,28.08,25786,0.0,1.0
2003-07-31,28,28,24.4,24.4,8519,0.0,1.0
2003-08-01,24.08,27.200001,24,27.200001,11725,0.0,1.0
2003-08-04,26.08,27.76,25,25.639999,2292,0.0,1.0
2003-08-05,27.959999,27.959999,25.200001,26,4394,0.0,1.0
2003-08-06,25.040001,25.24,22.84,23.4,5338,0.0,1.0
2003-08-07,23.200001,25,23.200001,23.68,2839,0.0,1.0
2003-08-08,24.799999,24.799999,24.32,24.4,1100,0.0,1.0
2003-08-11,24.76,24.76,23.639999,23.639999,455,0.0,1.0
2003-08-12,22.799999,24.4,22.799999,23.440001,912,0.0,1.0
2003-08-13,27.16,27.16,24.4,24.959999,3568,0.0,1.0
2003-08-14,25.4,25.4,24.4,24.6,3425,0.0,1.0
2003-08-18,29,29,26,27.799999,13385,0.0,1.0
2003-08-19,28.08,29.799999,27,28.440001,4031,0.0,1.0
2003-08-20,29.6,32,28,28.32,7590,0.0,1.0
2003-08-21,31.76,31.76,27.4,28.4,2870,0.0,1.0
2003-08-22,28.76,30,27.4,28.32,2900,0.0,1.0
2003-08-25,27,27.799999,26.200001,26.200001,1735,0.0,1.0
2003-08-26,25.959999,28.4,25.959999,26.4,1866,0.0,1.0
2003-08-27,27,27.200001,26.48,26.799999,2303,0.0,1.0
2003-08-28,26,26,23.799999,23.799999,5926,0.0,1.0
2003-08-29,27.48,27.52,24.440001,26,4375,0.0,1.0
2003-09-01,26,26,26,26,2100,0.0,1.0
2003-09-02,29.52,29.52,24.4,24.92,3965,0.0,1.0
2003-09-03,24.08,25,23.799999,23.799999,675,0.0,1.0
2003-09-04,23.799999,24.040001,23.6,24.040001,406,0.0,1.0
2003-09-05,22,24,22,23.4,550,0.0,1.0
2003-09-08,24,24,22.440001,23.719999,905,0.0,1.0
2003-09-09,22,22,19,20.16,4237,0.0,1.0
2003-09-10,20,21,20,21,821,0.0,1.0
2003-09-11,20.200001,20.200001,20.200001,20.200001,250,0.0,1.0
2003-09-15,20,23.200001,20,23.200001,350,0.0,1.0
2003-09-17,20.4,20.4,20.4,20.4,250,0.0,1.0
2003-09-18,23.360001,23.4,23.360001,23.4,500,0.0,1.0
2003-09-19,20,21.959999,18.879999,20.639999,192,0.0,1.0
2003-09-22,18,18,18,18,131,0.0,1.0
2003-09-25,19.959999,19.959999,17.6,17.6,1500,0.0,1.0
2003-09-26,17.4,17.6,17.4,17.6,1253,0.0,1.0
2003-09-29,20.360001,20.360001,20.360001,20.360001,1000,0.0,1.0
2003-09-30,20.200001,20.200001,20,20,1025,0.0,1.0
2003-10-01,19.6,21.799999,19.200001,21.799999,3205,0.0,1.0
2003-10-03,23.68,23.68,23.68,23.68,250,0.0,1.0
2003-10-06,22,23.120001,22,23.120001,1000,0.0,1.0
2003-10-07,22.200001,22.200001,20,20,750,0.0,1.0
2003-10-09,20.799999,20.799999,20.6,20.799999,2445,0.0,1.0
2003-10-10,20.040001,20.040001,20.040001,20.040001,75,0.0,1.0
2003-10-13,20.08,20.08,20.08,20.08,25,0.0,1.0
2003-10-14,17.200001,17.200001,17.16,17.16,250,0.0,1.0
2003-10-15,17.200001,18,17.200001,18,4075,0.0,1.0
2003-10-16,18.200001,19,18.200001,19,2000,0.0,1.0
2003-10-17,19,19,19,19,250,0.0,1.0
2003-10-20,18.6,18.6,18.280001,18.280001,1750,0.0,1.0
2003-10-21,19.200001,19.200001,19.200001,19.200001,125,0.0,1.0
2003-10-22,18,18,18,18,500,0.0,1.0
2003-10-23,19,19,19,19,15,0.0,1.0
2003-10-27,16.4,16.4,16.4,16.4,125,0.0,1.0
2003-10-28,16.6,16.6,16.6,16.6,75,0.0,1.0
2003-10-30,16.4,16.4,16,16,574,0.0,1.0
2003-11-03,16,16,16,16,125,0.0,1.0
2003-11-04,17,17,15.28,15.28,3000,0.0,1.0
2003-11-05,16,16,16,16,125,0.0,1.0
2003-11-07,15.6,15.6,15.6,15.6,190,0.0,1.0
2003-11-10,17,17,15.44,16.959999,388,0.0,1.0
2003-11-11,16.639999,16.639999,16.4,16.4,875,0.0,1.0
2003-11-12,17.6,18,17.6,18,1750,0.0,1.0
2003-11-17,19.76,19.799999,19.76,19.799999,438,0.0,1.0
2003-11-18,22,23.76,22,23.6,2178,0.0,1.0
2003-11-19,26.4,26.4,22,23.280001,7888,0.0,1.0
2003-11-20,26.76,26.76,23.24,23.4,4772,0.0,1.0
2003-11-21,22.4,23,20.6,20.6,1760,0.0,1.0
2003-11-24,23.6,23.84,23,23.559999,1328,0.0,1.0
2003-11-25,26,26.200001,25.08,25.440001,4026,0.0,1.0
2003-11-27,28.200001,29.799999,24.92,29.040001,6165,0.0,1.0
2003-11-28,32,33,30.4,32.959999,12254,0.0,1.0
