date,open,high,low,close,volume,dividend,split
2008-06-27,43.799999,47.200001,37.299999,38.5,22891028,0.0,1.0
2008-06-30,39.200001,41.5,32.25,33.25,4495607,0.0,1.0
2008-07-01,34,34.849998,26.65,26.65,2132838,0.0,1.0
2008-07-02,26,30.5,21.700001,27.950001,3956670,0.0,1.0
2008-07-03,26.25,29.25,24,27.5,1860659,0.0,1.0
2008-07-04,27.450001,30.200001,26.1,28.4,1269129,0.0,1.0
2008-07-07,29.4,30.85,28.5,28.75,1010811,0.0,1.0
2008-07-08,28.5,28.6,26.5,27.1,343915,0.0,1.0
2008-07-09,29.5,29.85,27.25,27.6,381089,0.0,1.0
2008-07-10,27.6,28.700001,27,28.25,319143,0.0,1.0
2008-07-11,28.35,28.799999,26.700001,27.15,214975,0.0,1.0
2008-07-14,26.85,28.299999,26.85,27.35,218106,0.0,1.0
2008-07-15,26.1,27.25,25.5,25.65,180889,0.0,1.0
2008-07-16,25.35,26.200001,23.6,23.85,141983,0.0,1.0
2008-07-17,24.5,26.5,23.65,25.950001,317659,0.0,1.0
2008-07-18,26.950001,27.049999,25.200001,25.9,204838,0.0,1.0
2008-07-21,26.5,27,25.299999,25.85,193919,0.0,1.0
2008-07-22,25.299999,26.5,25.200001,25.9,225422,0.0,1.0
2008-07-23,27.299999,27.75,26.549999,26.950001,188304,0.0,1.0
2008-07-24,26.049999,27.35,24.9,26.200001,109755,0.0,1.0
2008-07-25,25.1,26,24.5,24.5,68325,0.0,1.0
2008-07-28,25.450001,25.450001,24.200001,24.200001,125566,0.0,1.0
2008-07-29,24.65,24.65,23.25,23.35,98179,0.0,1.0
2008-07-30,23.549999,24,23.049999,23.049999,119153,0.0,1.0
2008-07-31,23.200001,23.950001,23.1,23.35,134476,0.0,1.0
2008-08-01,22.65,23.4,21.6,22.450001,186216,0.0,1.0
2008-08-04,22.700001,26.9,22.700001,26.9,325941,0.0,1.0
2008-08-05,28.4,32.25,27.5,32.099998,1080721,0.0,1.0
2008-08-06,33.400002,34.5,31,31.5,521350,0.0,1.0
2008-08-07,31,33.700001,30.049999,31.450001,227660,0.0,1.0
2008-08-08,32.099998,32.75,30.25,31.4,94711,0.0,1.0
2008-08-11,31.4,34.25,31.4,33.150002,148736,0.0,1.0
2008-08-12,33.299999,33.299999,31.5,31.9,58751,0.0,1.0
2008-08-13,30.700001,32,30.5,31.049999,38210,0.0,1.0
2008-08-14,30.700001,31.1,30.049999,30.15,54514,0.0,1.0
2008-08-18,30.5,31.4,30.1,30.35,42732,0.0,1.0
2008-08-19,31,32,28.5,29.450001,55612,0.0,1.0
2008-08-20,30,31,30,30.4,78348,0.0,1.0
2008-08-21,29.75,30.700001,29.5,29.6,146854,0.0,1.0
2008-08-22,28.299999,32.049999,27.85,31.35,166607,0.0,1.0
2008-08-25,31.4,32.400002,31.200001,31.4,65341,0.0,1.0
2008-08-26,30.25,31,30,30.15,129796,0.0,1.0
2008-08-27,31,31.5,30.049999,30.299999,58176,0.0,1.0
2008-08-28,30.25,30.9,29.6,30.299999,40040,0.0,1.0
2008-08-29,30.15,32.299999,30.15,31.85,80598,0.0,1.0
2008-09-02,32.25,35,30.549999,32.400002,151766,0.0,1.0
2008-09-04,33,36.200001,33,34.75,138366,0.0,1.0
2008-09-05,35,35.950001,33.150002,34.599998,89962,0.0,1.0
2008-09-08,36.400002,36.400002,33.650002,34.700001,48410,0.0,1.0
2008-09-09,34.150002,35.099998,33.299999,33.299999,31130,0.0,1.0
2008-09-10,33,34,32.849998,33,20789,0.0,1.0
2008-09-11,33,33,32,32.099998,12437,0.0,1.0
2008-09-12,36.799999,36.799999,30.1,30.75,15750,0.0,1.0
2008-09-15,29.200001,30.75,24.65,29.5,109958,0.0,1.0
2008-09-16,27.75,33,27.5,32.5,106971,0.0,1.0
2008-09-17,31.5,32.75,30.1,30.5,25356,0.0,1.0
2008-09-18,27,35.900002,27,29.5,42820,0.0,1.0
2008-09-19,29.549999,30.950001,29.299999,29.700001,97493,0.0,1.0
2008-09-22,30.9,31.950001,29,30.15,65271,0.0,1.0
2008-09-23,30.299999,30.4,28.549999,29.200001,44505,0.0,1.0
2008-09-24,29.5,29.65,27,28,28828,0.0,1.0
2008-09-25,26.700001,28.9,26.700001,28,42646,0.0,1.0
2008-09-26,27.450001,29,27,29,75712,0.0,1.0
2008-09-29,27.5,28.200001,26.200001,27.700001,120251,0.0,1.0
2008-09-30,25.799999,28.200001,25.4,26.950001,67695,0.0,1.0
2008-10-01,26.6,27.85,26.049999,27.700001,25785,0.0,1.0
2008-10-03,26,27.450001,26,26.5,46594,0.0,1.0
2008-10-06,26.799999,26.799999,22,22.9,111636,0.0,1.0
2008-10-07,23.5,25,23,24.4,138663,0.0,1.0
2008-10-08,22.549999,23.4,22.049999,22.049999,92681,0.0,1.0
2008-10-10,19.1,22.9,19.1,20.5,110582,0.0,1.0
2008-10-13,21.9,22.950001,20.9,22.5,67680,0.0,1.0
2008-10-14,22.9,23,19.049999,19.799999,145515,0.0,1.0
2008-10-15,19.15,20.25,16.049999,16.15,131068,0.0,1.0
2008-10-16,15.1,17.450001,13.75,15,239247,0.0,1.0
2008-10-17,15.5,16.450001,14,15.2,77622,0.0,1.0
2008-10-20,15.1,15.2,13.95,14.5,196364,0.0,1.0
2008-10-21,13.8,14.35,13.3,14.1,37982,0.0,1.0
2008-10-22,13.25,13.95,11.5,12.6,136278,0.0,1.0
2008-10-23,12.95,12.95,11.1,11.1,358381,0.0,1.0
2008-10-24,11,11.2,9.25,9.8,82086,0.0,1.0
2008-10-27,10.5,10.5,8.85,9.2,23448,0.0,1.0
2008-10-29,11.1,11.2,10.3,11.2,173592,0.0,1.0
2008-10-31,12.25,12.3,11.65,12.2,76838,0.0,1.0
2008-11-03,12.7,13.42,12.7,13.42,97307,0.0,1.0
2008-11-04,13.55,14.55,12.98,13.52,501896,0.0,1.0
2008-11-05,13.35,14.19,13.35,13.75,72535,0.0,1.0
2008-11-06,13.31,13.7,13.24,13.24,299592,0.0,1.0
2008-11-07,13.25,13.69,12.58,12.58,10653,0.0,1.0
2008-11-10,13.15,13.19,12.25,12.96,68514,0.0,1.0
2008-11-11,12.5,13,12.32,12.36,60782,0.0,1.0
2008-11-12,12.65,12.97,11.81,12.97,21465,0.0,1.0
2008-11-14,13.02,13.61,13.01,13.61,26634,0.0,1.0
2008-11-17,14.29,14.29,14.29,14.29,15703,0.0,1.0
2008-11-18,15,15,14.9,15,28874,0.0,1.0
2008-11-19,15.75,15.75,14.71,15.75,132812,0.0,1.0
2008-11-20,15.5,16.299999,14.88,15.17,38959,0.0,1.0
2008-11-21,14.52,15.92,14.52,15.92,40719,0.0,1.0
2008-11-24,16.690001,16.709999,15.67,16.65,21261,0.0,1.0
2008-11-25,16.75,17.389999,16.049999,17.370001,32231,0.0,1.0
2008-11-26,18.200001,18.23,18,18.23,19037,0.0,1.0
2008-11-28,17.35,19.1,17.35,18,60673,0.0,1.0
2008-12-01,17.15,18.85,17.1,18,67770,0.0,1.0
2008-12-02,17.700001,18.5,17.25,18.5,32969,0.0,1.0
2008-12-04,18.5,19,18,19,37248,0.0,1.0
2008-12-05,19,19.700001,18.1,18.299999,66178,0.0,1.0
2008-12-08,19,19.200001,18.200001,18.25,16837,0.0,1.0
2008-12-10,19.1,19.15,18.35,19,4529,0.0,1.0
2008-12-11,19.299999,19.299999,18.549999,18.549999,3952,0.0,1.0
2008-12-12,18.950001,18.950001,17.65,18.450001,6447,0.0,1.0
2008-12-15,18.950001,18.950001,17.549999,18,15258,0.0,1.0
2008-12-16,18.4,18.6,17.15,17.85,7089,0.0,1.0
2008-12-17,17.950001,18.1,17.15,18.1,9132,0.0,1.0
