date,open,high,low,close,volume,dividend,split
2002-07-01,102.75,102.800003,101.599998,102.199997,4221,0.0,1.0
2002-07-02,102.849998,103.169998,100.800003,101.129997,24770,0.0,1.0
2002-07-03,101,105,101,104.599998,9552,0.0,1.0
2002-07-04,105,109,105,108.110001,8509,0.0,1.0
2002-07-05,105.199997,109.599998,102.419998,103.980003,18387,0.0,1.0
2002-07-08,102.199997,106.339996,102.199997,104.050003,2735,0.0,1.0
2002-07-09,103.800003,104.400002,101.199997,102.059998,2575,0.0,1.0
2002-07-10,103.800003,103.980003,102,102,2218,0.0,1.0
2002-07-11,102,105,102,102.959999,5461,0.0,1.0
2002-07-12,104.059998,106.400002,102.720001,105.230003,12365,0.0,1.0
2002-07-15,104,108.800003,101,106.690002,14324,0.0,1.0
2002-07-16,105.800003,106,102.400002,103.68,4318,0.0,1.0
2002-07-17,103,104,101.82,102.440002,6962,0.0,1.0
2002-07-18,104.400002,104.599998,102.459999,103.57,3137,0.0,1.0
2002-07-19,103.599998,103.599998,101.400002,102,2028,0.0,1.0
2002-07-22,99.419998,102.18,99.419998,101.709999,4785,0.0,1.0
2002-07-23,101,106,101,104.480003,4998,0.0,1.0
2002-07-24,102.599998,103.400002,101.699997,102.269997,1865,0.0,1.0
2002-07-25,104,104,102,102.010002,5845,0.0,1.0
2002-07-26,102.400002,106,102,103.120003,25615,0.0,1.0
2002-07-29,105.190002,106.800003,95.599998,101.260002,20385,0.0,1.0
2002-07-30,101.599998,103.300003,99,99.830002,6110,0.0,1.0
2002-07-31,99,101,96.199997,98.139999,12294,0.0,1.0
2002-08-01,98.900002,101.400002,98.010002,99.93,4490,0.0,1.0
2002-08-02,99.800003,99.800003,95.25,96.230003,8678,0.0,1.0
2002-08-05,96.800003,97,92,93.830002,6625,0.0,1.0
2002-08-06,93.800003,96.199997,92.599998,93.529999,8412,0.0,1.0
2002-08-07,95.980003,96,93.050003,93.25,3365,0.0,1.0
2002-08-08,93.800003,94.779999,91.400002,91.849998,3724,0.0,1.0
2002-08-09,92.599998,93,90.599998,91.330002,1431,1.74441,1.0
2002-08-12,91.400002,94.800003,91.400002,94.209999,7166,0.0,1.0
2002-08-13,94.400002,96.419998,94.239998,94.93,4055,0.0,1.0
2002-08-14,95,96,94.410004,94.860001,4592,0.0,1.0
2002-08-16,92,102.300003,92,100.900002,16417,0.0,1.0
2002-08-19,100.199997,104.779999,100,104.099998,19245,0.0,1.0
2002-08-20,104.800003,109.800003,104.800003,105.849998,31502,0.0,1.0
2002-08-21,105.5,105.5,103.599998,104.309998,9602,0.0,1.0
2002-08-22,105.269997,105.5,102.599998,103.43,4947,0.0,1.0
2002-08-23,104.559998,115.980003,103.779999,111.690002,38700,0.0,1.0
2002-08-26,113,114.199997,105.099998,106.120003,34946,0.0,1.0
2002-08-27,107.599998,109.199997,105.400002,105.82,15266,0.0,1.0
2002-08-28,105.419998,107.559998,103.07,103.959999,8733,0.0,1.0
2002-08-29,103.959999,106,103.419998,104.279999,9856,0.0,1.0
2002-08-30,105.760002,108,105,106.970001,12533,0.0,1.0
2002-09-02,108.400002,108.599998,104.800003,105.339996,6456,0.0,1.0
2002-09-03,106,106.800003,104.019997,105.260002,3300,0.0,1.0
2002-09-04,105,105,103.199997,103.669998,3708,0.0,1.0
2002-09-05,106,106,100.599998,101.400002,13170,0.0,1.0
2002-09-06,100.400002,104.599998,99.400002,100.099998,9952,0.0,1.0
2002-09-09,101.699997,103.599998,100.199997,101.809998,5088,0.0,1.0
2002-09-11,102.959999,106,102.599998,105.639999,6487,0.0,1.0
2002-09-12,103.800003,106,101.019997,102.720001,10253,0.0,1.0
2002-09-13,103.400002,105.800003,102.400002,104.910004,7076,0.0,1.0
2002-09-16,105.160004,105.760002,103.199997,104.800003,1934,0.0,1.0
2002-09-17,105.150002,106.400002,104,105.809998,3190,0.0,1.0
2002-09-18,103.199997,105.989998,101.400002,102.790001,4863,0.0,1.0
2002-09-19,103.599998,104.199997,99.68,102.220001,4850,0.0,1.0
2002-09-20,100.199997,104.989998,100.199997,104.019997,3445,0.0,1.0
2002-09-23,114,114,105.25,106.300003,15580,0.0,1.0
2002-09-24,109.949997,109.949997,103.5,104.050003,23446,0.0,1.0
2002-09-25,101,104,99,100.75,35521,0.0,1.0
2002-09-26,102.949997,110.5,100.349998,108.650002,140710,0.0,1.0
2002-09-27,110,114.599998,110,112.349998,348750,0.0,1.0
2002-09-30,111.5,112.900002,105.75,106.550003,168409,0.0,1.0
2002-10-01,106,108.800003,100.599998,102.400002,143741,0.0,1.0
2002-10-03,104.900002,104.900002,96.599998,99.599998,154930,0.0,1.0
2002-10-04,100,102.050003,98.550003,99.5,106355,0.0,1.0
2002-10-07,99.650002,100.5,97.400002,98,45120,0.0,1.0
2002-10-08,99.199997,101.900002,98,100.099998,155805,0.0,1.0
2002-10-09,101,104.199997,100.25,100.949997,94369,0.0,1.0
2002-10-10,101.099998,102,98.25,99.150002,36118,0.0,1.0
2002-10-11,101,103,100.099998,100.599998,35657,0.0,1.0
