date,open,high,low,close,volume,dividend,split
2002-04-11,9,9,9,9,400,0.0,1.0
2002-04-16,9,9,9,9,200,0.0,1.0
2002-06-05,9,10.8,9,10.8,600,0.0,1.0
2002-06-06,12.95,12.95,12.95,12.95,6,0.0,1.0
2002-06-07,15.5,15.525,15.5,15.525,122,0.0,1.0
2002-06-10,16,18.625,16,18.625,200,0.0,1.0
2002-06-11,19,19,19,19,400,0.0,1.0
2002-06-12,19.950001,19.950001,19.950001,19.950001,600,0.0,1.0
2002-06-13,20.924999,20.924999,20.5,20.5,800,0.0,1.0
2002-06-14,19.5,19.5,19.5,19.5,200,0.0,1.0
2002-06-17,20.475,20.475,20.475,20.475,1000,0.0,1.0
2002-06-18,20.5,20.5,19.549999,19.549999,800,0.0,1.0
2002-06-19,19.575001,20.525,19.575001,20.525,800,0.0,1.0
2002-06-24,21.450001,21.5,21.450001,21.5,600,0.0,1.0
2002-06-25,22.5,22.575001,22.5,22.575001,200,0.0,1.0
2002-06-26,23.700001,23.700001,23.674999,23.700001,600,0.0,1.0
2002-07-01,12.1,12.1,12,12,20,0.0,1.0
2002-07-03,11.415,11.49,11.415,11.49,2400,0.0,1.0
2002-07-04,10.925,10.925,10.925,10.925,110,0.0,1.0
2002-07-05,10.4,10.4,10.4,10.4,480,0.0,1.0
2002-07-09,10.5,10.5,9.9,9.9,800,0.0,1.0
2002-07-10,9.425,9.425,9.425,9.425,200,0.0,1.0
2002-07-12,9.25,9.25,9,9.025,300,0.93147,1.0
2002-07-17,8.575,9.015,8.575,9.015,202,0.0,1.0
2002-07-18,8.75,8.75,8.575,8.575,2900,0.0,1.0
2002-07-19,8.625,8.99,8.15,8.99,2282,0.0,1.0
2002-07-23,8.55,8.55,8.55,8.55,100,0.0,1.0
2002-07-25,8.975,8.975,8.975,8.975,280,0.0,1.0
2002-07-26,9.225,9.25,8.54,9.25,1900,0.0,1.0
2002-07-30,8.8,8.8,8.8,8.8,100,0.0,1.0
2002-08-01,8.365,8.7,8.365,8.7,216,0.0,1.0
2002-08-06,8.475,8.5,8.275,8.275,950,0.0,1.0
2002-08-07,8,8,7.865,7.865,1470,0.0,1.0
2002-08-08,7.815,7.815,7.475,7.475,1000,0.0,1.0
2002-08-12,7.25,7.25,7.25,7.25,80,0.0,1.0
2002-08-14,7.615,7.615,7.615,7.615,200,0.0,1.0
2002-08-16,7.99,7.99,7.99,7.99,400,0.0,1.0
2002-08-19,8.375,8.375,7.6,7.75,1400,0.0,1.0
2002-08-20,8,8.125,8,8.125,800,0.0,1.0
2002-08-21,7.725,8.475,7.725,8.165,702,0.0,1.0
2002-08-22,8.265,8.265,8.25,8.25,320,0.0,1.0
2002-08-26,8.25,8.25,8.25,8.25,400,0.0,1.0
2002-08-27,8,8,7.85,8,2600,0.0,1.0
2002-09-02,7.75,7.75,7.75,7.75,1000,0.0,1.0
2002-09-03,7.5,7.5,7.39,7.39,400,0.0,1.0
2002-09-06,7.49,7.49,7.315,7.315,700,0.0,1.0
2002-09-09,7.275,7.275,7.275,7.275,200,0.0,1.0
2002-09-17,7.475,7.475,7.05,7.325,4000,0.0,1.0
2002-09-23,6.875,6.875,6.775,6.775,900,0.0,1.0
2002-09-25,7.375,7.375,7.375,7.375,1000,0.0,1.0
2002-09-26,7.475,7.475,7,7.475,4900,0.0,1.0
2002-09-27,7.5,7.5,7.375,7.375,3000,0.0,1.0
2002-10-07,7.5,7.5,7.475,7.475,1000,0.0,1.0
2002-10-23,7.475,7.475,7.25,7.25,2000,0.0,1.0
2002-10-25,6.575,6.575,6.575,6.575,20,0.0,1.0
2002-10-28,7,7.225,7,7.225,440,0.0,1.0
2002-10-30,7.475,7.475,7.315,7.315,2000,0.0,1.0
2002-11-01,7.225,7.225,7.225,7.225,400,0.0,1.0
2002-11-05,7.325,7.94,7.325,7.94,420,0.0,1.0
2002-11-07,8.7,8.725,8.7,8.725,1200,0.0,1.0
2002-11-08,9.24,9.25,8.765,8.975,210,0.0,1.0
2002-11-11,8.09,8.09,8.09,8.09,500,0.0,1.0
2002-11-12,8.75,8.75,8.35,8.35,20,0.0,1.0
