date,open,high,low,close,volume,dividend,split
2002-07-01,11,11.35,10.77,10.94,7109675,0.0,1.0
2002-07-02,11.16,11.16,10.66,10.78,2573410,0.0,1.0
2002-07-03,10.88,11.24,10.75,10.86,2411565,0.0,1.0
2002-07-04,11.08,11.49,10.77,11.32,3174540,0.0,1.0
2002-07-05,11.43,11.7,11.2,11.54,3958230,0.0,1.0
2002-07-08,11.78,11.78,11.25,11.3,1866975,0.0,1.0
2002-07-09,11.38,11.39,10.86,10.93,972700,0.0,1.0
2002-07-10,11,11.17,10.66,10.98,1394200,0.0,1.0
2002-07-11,10.94,11.33,10.64,10.92,1553580,0.0,1.0
2002-07-12,10.98,11.16,10.65,10.75,1146650,0.0,1.0
2002-07-15,10.88,10.88,10.13,10.26,903560,0.0,1.0
2002-07-16,10.32,10.52,10.01,10.31,759345,0.0,1.0
2002-07-17,10.39,10.39,9.9,10.03,713175,0.0,1.0
2002-07-18,10.29,10.39,10.12,10.36,432985,0.0,1.0
2002-07-19,10.39,10.48,10.05,10.12,452270,0.0,1.0
2002-07-22,9.9,9.9,9.6,9.74,732950,0.0,1.0
2002-07-23,9.62,10.76,9.45,10.73,2350165,0.0,1.0
2002-07-24,10.42,10.58,10.2,10.41,1167170,0.0,1.0
2002-07-25,10.78,10.84,10.22,10.3,1089615,0.0,1.0
2002-07-26,10.32,10.32,9.3,9.37,1527350,0.0,1.0
2002-07-29,9.42,9.47,8.51,8.77,3427865,0.0,1.0
2002-07-30,9.15,9.18,8.16,8.22,1733030,0.0,1.0
2002-07-31,8.16,8.98,7.92,8.84,2710680,0.0,1.0
2002-08-01,8.9,8.9,8.42,8.49,1132645,0.0,1.0
2002-08-02,8.34,8.55,8.2,8.5,581790,0.0,1.0
2002-08-05,8.57,8.74,8.51,8.59,649275,0.0,1.0
2002-08-06,8.55,8.68,8.5,8.66,551495,0.0,1.0
2002-08-07,8.78,9.12,8.72,8.91,2517385,0.0,1.0
2002-08-08,9.02,9.07,8.71,8.77,1440260,0.0,1.0
2002-08-09,8.82,8.9,8.65,8.82,599615,0.0,1.0
2002-08-12,8.89,9.02,8.86,8.93,411515,0.0,1.0
2002-08-13,8.87,9,8.59,8.64,739645,0.0,1.0
2002-08-14,8.78,8.78,8.6,8.66,174185,0.0,1.0
2002-08-16,8.9,8.9,8.7,8.79,284445,0.0,1.0
2002-08-19,8.82,9.24,8.8,9.11,1055190,0.0,1.0
2002-08-20,9.28,9.32,9.11,9.14,1064445,0.0,1.0
2002-08-21,9.2,9.21,9.01,9.08,422880,0.0,1.0
2002-08-22,9.08,9.14,8.91,8.93,219910,0.0,1.0
2002-08-23,9,9.06,8.88,9.01,228735,0.0,1.0
2002-08-26,8.98,9.25,8.98,9.03,375735,0.0,1.0
2002-08-27,9.16,9.16,8.66,8.7,886090,0.0,1.0
2002-08-28,8.88,8.89,8.6,8.62,2045810,0.0,1.0
2002-08-29,8.6,8.6,8.4,8.43,356410,0.0,1.0
2002-08-30,8.37,8.7,8.37,8.62,559095,0.0,1.0
2002-09-02,8.72,8.88,8.69,8.79,352265,0.0,1.0
2002-09-03,8.63,8.8,8.6,8.61,222680,0.0,1.0
2002-09-04,8.57,8.9,8.53,8.85,479885,0.0,1.0
2002-09-05,8.9,8.93,8.72,8.86,369855,0.0,1.0
2002-09-06,8.8,8.82,8.61,8.76,474725,0.0,1.0
2002-09-09,8.7,8.74,8.54,8.59,149030,0.0,1.0
2002-09-11,8.57,8.71,8.55,8.58,129675,0.0,1.0
2002-09-12,8.5,8.83,8.5,8.61,528385,0.0,1.0
2002-09-13,8.66,10.33,8.57,8.88,1907525,0.0,1.0
2002-09-16,10.55,10.55,8.67,8.74,408755,0.0,1.0
2002-09-17,8.8,8.87,8.73,8.76,130355,0.0,1.0
2002-09-18,8.76,8.8,8.61,8.66,152645,0.0,1.0
2002-09-19,8.7,8.71,8.56,8.62,161970,0.0,1.0
2002-09-20,8.55,8.62,8.48,8.51,105280,0.0,1.0
2002-09-23,8.52,8.6,8.5,8.53,71200,0.0,1.0
2002-09-24,8.41,8.45,8.28,8.36,141680,0.0,1.0
2002-09-25,8.3,8.32,8.16,8.25,203865,0.0,1.0
2002-09-26,8.3,8.37,8.25,8.27,55610,0.0,1.0
2002-09-27,8.35,8.52,8.3,8.39,162280,0.0,1.0
2002-09-30,8.36,8.38,8.28,8.34,93840,0.0,1.0
2002-10-01,8.35,8.38,8.1,8.14,211700,0.0,1.0
2002-10-03,8.2,8.29,7.96,8.07,280865,0.0,1.0
2002-10-04,8.07,8.17,7.95,7.99,186265,0.0,1.0
2002-10-07,8.01,8.2,8,8.18,192475,0.0,1.0
2002-10-08,8.2,8.44,8.08,8.1,319110,0.0,1.0
2002-10-09,8.16,8.28,8.13,8.16,135050,0.0,1.0
2002-10-10,8.22,8.34,8.02,8.13,79295,0.0,1.0
2002-10-11,8.4,8.48,8.24,8.26,592155,0.0,1.0
2002-10-14,8.31,8.39,8,8.02,315740,0.0,1.0
2002-10-16,8.2,8.29,8.1,8.16,170350,0.0,1.0
2002-10-17,8.2,8.25,7.98,8.05,239375,0.0,1.0
2002-10-18,8.1,8.1,7.94,7.99,216440,0.0,1.0
2002-10-21,8.16,8.24,7.94,7.95,1205385,0.0,1.0
2002-10-22,8.06,8.06,7.87,7.9,158075,0.0,1.0
2002-10-23,8.07,8.08,7.87,7.88,75450,0.0,1.0
2002-10-24,7.86,7.87,7.7,7.71,187275,0.0,1.0
2002-10-25,7.79,7.83,7.66,7.79,209945,0.0,1.0
2002-10-28,7.96,7.96,7.66,7.67,150040,0.0,1.0
2002-10-29,7.74,7.76,7.49,7.53,288650,0.0,1.0
2002-10-30,7.58,7.7,7.54,7.55,165520,0.0,1.0
2002-10-31,7.59,7.67,7.51,7.53,186740,0.0,1.0
2002-11-01,7.6,7.6,7.53,7.56,126750,0.0,1.0
2002-11-04,7.72,7.79,7.65,7.76,135275,0.0,1.0
2002-11-05,7.7,7.74,7.61,7.64,95565,0.0,1.0
2002-11-07,7.71,7.84,7.7,7.72,151660,0.0,1.0
2002-11-08,7.65,7.71,7.64,7.67,196485,0.0,1.0
2002-11-11,7.7,8.1,7.68,7.81,648475,0.0,1.0
2002-11-12,7.85,7.92,7.78,7.81,232445,0.0,1.0
2002-11-13,7.89,7.89,7.52,7.55,778080,0.0,1.0
2002-11-14,7.61,7.7,7.6,7.67,200800,0.0,1.0
2002-11-15,7.61,7.79,7.61,7.76,199945,0.0,1.0
2002-11-18,7.78,7.96,7.71,7.73,508485,0.0,1.0
2002-11-20,7.8,8.16,7.79,8.11,882560,0.0,1.0
2002-11-21,8.24,8.4,8.1,8.2,855910,0.0,1.0
2002-11-22,8.24,8.25,8.06,8.09,310815,0.0,1.0
2002-11-25,8.19,8.3,8.14,8.16,241475,0.0,1.0
2002-11-26,8.2,8.3,7.91,7.96,503095,0.0,1.0
2002-11-27,8,8.09,7.9,7.97,369780,0.0,1.0
2002-11-28,8.1,8.22,8.09,8.17,240385,0.0,1.0
