date,open,high,low,close,volume,dividend,split
2008-02-20,207,260,168,168.600006,15995402,0.0,1.0
2008-02-21,175,178,162.199997,165.449997,5185794,0.0,1.0
2008-02-22,160,164.699997,152.600006,156.5,2008160,0.0,1.0
2008-02-25,157.199997,161.800003,153.399994,157,976270,0.0,1.0
2008-02-26,157,158,148.25,149.899994,817494,0.0,1.0
2008-02-27,151.899994,161.699997,150.649994,152.199997,1524175,0.0,1.0
2008-02-28,152.199997,156.949997,148.5,151.350006,486217,0.0,1.0
2008-02-29,151,154.550003,148.149994,153.600006,457089,0.0,1.0
2008-03-03,148,150,135.199997,137.449997,173501,0.0,1.0
2008-03-04,138,138.5,122,122.949997,287942,0.0,1.0
2008-03-05,123.5,124.699997,111.300003,113.949997,546431,0.0,1.0
2008-03-07,113.949997,115.900002,94,110.400002,423280,0.0,1.0
2008-03-10,106,107.25,101.150002,103.150002,295582,0.0,1.0
2008-03-11,107,109.5,100.050003,102.900002,729870,0.0,1.0
2008-03-12,108.400002,108.400002,104.199997,106.699997,314018,0.0,1.0
2008-03-13,103,104,94.349998,97.550003,408499,0.0,1.0
2008-03-14,97.25,106.599998,92.5,104.800003,393987,0.0,1.0
2008-03-17,99.75,101.5,95.550003,98.699997,150765,0.0,1.0
2008-03-18,99.449997,106,99.050003,101,142121,0.0,1.0
2008-03-19,104.900002,110,103,108.050003,211177,0.0,1.0
2008-03-24,105,110,100.099998,108.900002,122310,0.0,1.0
2008-03-25,109.849998,123,106.150002,122,438546,0.0,1.0
2008-03-26,120.849998,122.949997,115,121.349998,271667,0.0,1.0
2008-03-27,119,122.849998,118.050003,120.5,154365,0.0,1.0
2008-03-28,121.900002,132.300003,120.75,125.400002,152870,0.0,1.0
2008-03-31,123,126,120,121.150002,97504,0.0,1.0
2008-04-01,122,127,118,125.199997,30716,0.0,1.0
2008-04-02,129.899994,150.199997,123.5,137.75,596412,0.0,1.0
2008-04-03,138.699997,142.600006,131.949997,132.800003,232230,0.0,1.0
2008-04-04,133.100006,140.399994,128.050003,130.5,133163,0.0,1.0
2008-04-07,132,156.600006,130.050003,151.199997,1041009,0.0,1.0
2008-04-08,152.5,154.949997,144.25,153.199997,673373,0.0,1.0
2008-04-09,152.899994,172,150,161.600006,958293,0.0,1.0
2008-04-10,159.899994,162.800003,150.100006,151.25,285241,0.0,1.0
2008-04-11,153.100006,166.350006,152.600006,165.100006,450870,0.0,1.0
2008-04-15,165,172.899994,163,165.199997,183141,0.0,1.0
2008-04-16,167.600006,181,163,175.5,427093,0.0,1.0
2008-04-17,177.300003,184.800003,174.199997,176.25,192535,0.0,1.0
2008-04-21,179,193.850006,177,192.800003,563565,0.0,1.0
2008-04-22,192.800003,197,185,194.350006,240421,0.0,1.0
2008-04-23,194,202.199997,187.5,199.850006,212554,0.0,1.0
2008-04-24,200.100006,204,195,199.350006,275399,0.0,1.0
2008-04-25,200,200.5,190.100006,196.100006,54468,0.0,1.0
2008-04-28,195,205.899994,191.399994,204.800003,200240,0.0,1.0
2008-04-29,200,215,200,213.949997,574146,0.0,1.0
2008-04-30,213.949997,222.25,208,213.100006,125206,0.0,1.0
2008-05-02,214.800003,223.399994,211.100006,220.449997,143601,0.0,1.0
2008-05-05,220,231.399994,220,230.199997,318903,0.0,1.0
2008-05-06,228,236.800003,221.550003,226.949997,239491,0.0,1.0
2008-05-07,226.5,233.399994,225,229.75,234990,0.0,1.0
2008-05-08,229.75,229.75,220.5,221,139521,0.0,1.0
2008-05-09,223.899994,227.5,217.100006,222.5,173614,0.0,1.0
2008-05-12,220,224.699997,212.100006,220.050003,193738,0.0,1.0
2008-05-13,224,226,219,223.800003,128384,0.0,1.0
2008-05-14,225,227,218,220.050003,126995,0.0,1.0
2008-05-15,222,231.050003,219.5,231,344416,0.0,1.0
2008-05-16,235,242.550003,229,242,195295,0.0,1.0
2008-05-20,242.5,247.5,238,240.149994,212322,0.0,1.0
2008-05-21,242,252.149994,237.149994,249.699997,223386,0.0,1.0
2008-05-22,249.949997,256.450012,247,250.5,170411,0.0,1.0
2008-05-23,255,259.899994,250,254.300003,115214,0.0,1.0
2008-05-26,250.050003,255,241.600006,242,52821,0.0,1.0
2008-05-27,240,257.049988,240,257,276626,0.0,1.0
2008-05-28,260,269.850006,260,267.299988,252957,0.0,1.0
2008-05-29,272.700012,273.5,258.549988,262.450012,153392,0.0,1.0
2008-05-30,265.399994,268,253.100006,255.550003,93010,0.0,1.0
2008-06-02,258.899994,259.950012,242.800003,244.800003,75187,0.0,1.0
2008-06-03,235.149994,248.899994,235.149994,243,122048,0.0,1.0
2008-06-04,246.5,254,238,247.300003,136047,0.0,1.0
2008-06-05,246,248,241,244.899994,88580,0.0,1.0
2008-06-06,245,250.600006,239,244.449997,145393,0.0,1.0
2008-06-09,240.100006,246,236,244,145857,0.0,1.0
2008-06-10,240,255.899994,240,252.199997,153657,0.0,1.0
2008-06-11,253.5,264.799988,253.5,264.799988,264433,0.0,1.0
2008-06-12,260,276,260,270.549988,259282,0.0,1.0
2008-06-13,275,284.049988,268,283.850006,267045,0.0,1.0
2008-06-16,281.399994,295,281.399994,293.149994,178186,0.0,1.0
2008-06-17,299,307.799988,290.100006,301.600006,110128,0.0,1.0
2008-06-18,303.899994,305.549988,286.549988,297,363019,0.0,1.0
2008-06-19,295.700012,295.700012,282.200012,283.25,60672,0.0,1.0
2008-06-20,284,296.899994,269.100006,295.75,215977,0.0,1.0
2008-06-23,291,301,285.149994,295.200012,210594,0.0,1.0
2008-06-24,298,299.5,280.450012,287.299988,148896,0.0,1.0
2008-06-25,277,281.899994,274.049988,277,156411,0.0,1.0
2008-06-26,280,282,263.549988,264.350006,122025,0.0,1.0
2008-06-27,259.399994,265.25,252,252,65717,0.0,1.0
2008-06-30,247.199997,254.5,245.149994,245.149994,1728,0.0,1.0
2008-07-01,232.899994,244.800003,232.899994,232.899994,63594,0.0,1.0
2008-07-02,221.300003,242,221.300003,229.449997,114302,0.0,1.0
2008-07-03,225,239,218,225,38998,0.0,1.0
2008-07-04,226.800003,231.850006,220,231.850006,46012,0.0,1.0
2008-07-07,235.5,240,226.050003,240,29680,0.0,1.0
2008-07-08,236.899994,241.75,227.25,241.75,40148,0.0,1.0
2008-07-09,249,252,228.899994,243.5,98223,0.0,1.0
2008-07-10,240,252.350006,234,252,78918,0.0,1.0
2008-07-11,248,255,247.25,254.25,52366,0.0,1.0
2008-07-14,251.699997,260,242,255,12786,0.0,1.0
2008-07-15,243,260,242.300003,258.399994,60754,0.0,1.0
2008-07-16,260,265.700012,255,264.5,31045,0.0,1.0
2008-07-17,261,265,260,264,1450,0.0,1.0
2008-07-18,264,265,260,260,23416,0.0,1.0
2008-07-21,265,265,260,265,232,0.0,1.0
2008-07-22,257.100006,265,251,265,21728,0.0,1.0
2008-07-23,265,273.799988,250,263.5,4783,0.0,1.0
2008-07-24,275,275,255,259.799988,235,0.0,1.0
2008-07-25,260,265,260,264.899994,7142,0.0,1.0
2008-07-28,254,265,254,265,288,0.0,1.0
2008-07-29,254,266,251.800003,266,1800,0.0,1.0
2008-07-30,264,276.5,260,265,3300,0.0,1.0
2008-07-31,260,264.899994,259.049988,263,700,0.0,1.0
2008-08-01,254,263,254,260.149994,700,0.0,1.0
2008-08-04,266,266,256.100006,260,87,0.0,1.0
2008-08-05,256,270.899994,256,265,5200,0.0,1.0
2008-08-06,258,264.5,256.100006,256.149994,5200,0.0,1.0
2008-08-07,255,263,252,263,5300,0.0,1.0
2008-08-08,255,263.950012,251,260,25400,0.0,1.0
2008-08-11,264,264,246,260,6000,0.0,1.0
2008-08-12,265,265,248.300003,250,22000,0.0,1.0
2008-08-13,255.5,255.5,243,254.800003,255,0.0,1.0
2008-08-14,250.149994,250.149994,242.25,245,175,0.0,1.0
2008-08-18,255,255,233.5,241.5,2077,0.0,1.0
2008-08-19,245,251,232,240,998,0.0,1.0
2008-08-20,241,241,236.5,236.5,34,0.0,1.0
2008-08-21,248,248,236.5,244,128,0.0,1.0
2008-08-22,231.399994,250,231.399994,248.399994,3086,0.0,1.0
2008-08-25,249,256.799988,234.050003,234.050003,2487,0.0,1.0
2008-08-26,233.199997,238,230,237.5,5437,0.0,1.0
2008-08-27,244,244,231,236.899994,378,0.0,1.0
2008-08-28,243,243,230,234.850006,1232,0.0,1.0
2008-08-29,245.850006,245.850006,224,225,10453,0.0,1.0
2008-09-01,237,237,218.449997,229,834,0.0,1.0
2008-09-02,239,239,226.300003,228,6251,0.0,1.0
2008-09-04,223,233.5,223,229,7107,0.0,1.0
2008-09-05,234.899994,236,221.100006,236,668,0.0,1.0
2008-09-08,243,243,230.300003,237,1268,0.0,1.0
2008-09-09,239,248,234.800003,242,31548,0.0,1.0
2008-09-10,247.899994,247.899994,235.25,235.25,128,0.0,1.0
2008-09-11,239.949997,243.800003,225.5,240,10016,0.0,1.0
2008-09-12,243.899994,244,235,244,910,0.0,1.0
2008-09-15,230,264,230,257.5,2340,0.0,1.0
2008-09-16,240.100006,248.399994,240,245,1249,0.0,1.0
2008-09-17,260,260,245,250.699997,66,0.0,1.0
2008-09-18,250,250,237,249.5,28372,0.0,1.0
2008-09-19,251.100006,274.799988,242,274.799988,25373,0.0,1.0
2008-09-22,275,301,275,299.600006,89669,0.0,1.0
2008-09-23,295,304.899994,283.049988,299.149994,31421,0.0,1.0
2008-09-24,287.25,299.5,287,290,54312,0.0,1.0
2008-09-25,293,296,280,280,1679,0.0,1.0
2008-09-26,287,290,262.399994,284.899994,11660,0.0,1.0
2008-09-29,306,306,273.200012,294.799988,18856,0.0,1.0
2008-09-30,282,289.5,262,270.75,6190,0.0,1.0
2008-10-01,267,280,246,279,35649,0.0,1.0
2008-10-03,270,280,261,274,52970,0.0,1.0
2008-10-06,260,276.950012,258.100006,269,5480,0.0,1.0
2008-10-07,269.850006,270,255,269,65911,0.0,1.0
2008-10-08,265,265.950012,260,265.950012,114,0.0,1.0
2008-10-10,260,275,252.350006,273,71128,0.0,1.0
2008-10-13,282.200012,282.200012,268,268,4,0.0,1.0
2008-10-14,280,280,255,274.299988,342,0.0,1.0
2008-10-15,260.049988,260.049988,256.649994,256.649994,256,0.0,1.0
2008-10-16,252.25,264.950012,252.25,264.950012,73326,0.0,1.0
2008-10-17,251.399994,251.399994,251.399994,251.399994,1,0.0,1.0
