date,open,high,low,close,volume,dividend,split
2002-03-11,3.03,3.03,3.03,3.03,4950,0.0,1.0
2002-03-26,3.63,3.63,3.6,3.6,400,0.0,1.0
2002-04-02,4,4,4,4,1,0.0,1.0
2002-04-12,3.33,3.33,3.33,3.33,500,0.0,1.0
2002-04-16,3,4,3,4,20,0.0,1.0
2002-04-26,4,4,4,4,400,0.0,1.0
2002-04-29,3.97,4,3.97,4,1000,0.0,1.0
2002-05-03,4,4,4,4,170,0.0,1.0
2002-05-08,4.77,4.8,4.6,4.8,1520,0.0,1.0
2002-05-09,5,5,5,5,200,0.0,1.0
2002-05-13,5,5,5,5,1000,0.0,1.0
2002-05-16,5,5,5,5,370,0.0,1.0
2002-05-24,5,5,5,5,5,0.0,1.0
2002-06-03,4.67,4.67,4.67,4.67,100,0.0,1.0
2002-06-07,3.77,3.77,3.77,3.77,1,0.0,1.0
2002-06-11,3.37,4.5,3.37,4.5,602,0.0,1.0
2002-06-12,5.27,5.4,4.8,5.4,2109,0.0,1.0
2002-06-13,5.4,5.43,5.4,5.43,400,0.0,1.0
2002-06-14,5.67,5.67,5.33,5.33,200,0.0,1.0
2002-06-17,5.5,6.4,5.5,6.4,5500,0.0,1.0
2002-06-18,5.67,5.67,5.67,5.67,400,0.0,1.0
2002-06-21,5.4,5.4,5.4,5.4,400,0.0,1.0
2002-06-24,5.37,5.37,5.33,5.33,600,0.0,1.0
2002-06-26,5.67,5.67,5.67,5.67,84,0.0,1.0
2002-07-03,6.6,6.6,6.33,6.33,2,0.0,1.0
2002-07-04,6.33,6.33,6.33,6.33,2599,0.0,1.0
2002-07-05,6,6,5.33,5.33,500,0.0,1.0
2002-07-08,6.33,6.4,6.33,6.4,2300,0.0,1.0
2002-07-09,5.33,5.73,5.33,5.73,600,0.0,1.0
2002-07-10,5.73,6.33,5.73,6.33,400,0.0,1.0
2002-07-11,6.33,6.33,5.5,5.5,325,0.0,1.0
2002-07-12,6,6,6,6,1000,0.0,1.0
2002-07-17,5.5,5.5,5.27,5.37,600,0.0,1.0
2002-07-18,5,5,5,5,200,0.0,1.0
2002-07-19,5,5,4.87,4.87,500,0.0,1.0
2002-07-22,4.87,4.87,4.37,4.37,450,0.0,1.0
2002-07-23,4.37,5.23,4.37,5.2,420,0.0,1.0
2002-07-24,4.67,6.2,4.67,6.2,210,0.0,1.0
2002-07-25,5,5.13,4.97,5.1,3000,0.0,1.0
