date,open,high,low,close,volume,dividend,split
2006-01-12,130,135,109.25,110.599998,5698565,0.0,1.0
2006-01-13,112.699997,118.949997,111.099998,112.400002,2117712,0.0,1.0
2006-01-16,113.900002,134.75,113.199997,132.600006,8154035,0.0,1.0
2006-01-17,134.199997,138.850006,123.150002,125.400002,3781812,0.0,1.0
2006-01-18,125,132.25,123,126.349998,3470844,0.0,1.0
2006-01-19,127.949997,132.850006,127.5,131.199997,2293981,0.0,1.0
2006-01-20,132.850006,151.899994,131.25,142.149994,7847723,0.0,1.0
2006-01-23,139.899994,148.5,139.050003,143.5,2895417,0.0,1.0
2006-01-24,144.850006,154.899994,144.75,147.5,3615906,0.0,1.0
2006-01-25,148.5,152,140,141.100006,1732276,0.0,1.0
2006-01-27,142.699997,144.449997,137.25,138.600006,1069114,0.0,1.0
2006-01-30,139.899994,140,130.600006,134.5,1191922,0.0,1.0
2006-01-31,135,146.300003,134.5,140.300003,2296383,0.0,1.0
2006-02-01,141.5,142.949997,129.149994,130.5,1672633,0.0,1.0
2006-02-02,131.600006,133.850006,125.349998,127.099998,701570,0.0,1.0
2006-02-03,127.900002,127.900002,120.099998,121.349998,580520,0.0,1.0
2006-02-06,122,127.650002,121.5,124.099998,488750,0.0,1.0
2006-02-07,125,127.099998,121.5,122.650002,334344,0.0,1.0
2006-02-08,123,123.5,119.099998,120.400002,371102,0.0,1.0
2006-02-10,120.5,128.25,120.5,125.5,967760,0.0,1.0
2006-02-13,127,127.349998,122.199997,122.550003,299379,0.0,1.0
2006-02-14,123.5,129.399994,122,123.849998,755747,0.0,1.0
2006-02-15,124.849998,126.5,121,122.449997,233227,0.0,1.0
2006-02-16,123.400002,124.400002,120.5,120.849998,176552,0.0,1.0
2006-02-17,121.800003,122.400002,115.150002,115.75,204647,0.0,1.0
2006-02-20,116.5,116.900002,110.5,112.050003,276138,0.0,1.0
2006-02-21,112.199997,120.5,112.099998,115.599998,505278,0.0,1.0
2006-02-22,116.5,116.75,111.199997,112.349998,170464,0.0,1.0
2006-02-23,113.5,113.5,108,108.800003,146032,0.0,1.0
2006-02-24,109.800003,109.900002,106,106.400002,161147,0.0,1.0
2006-02-27,107.5,109.800003,105.099998,105.5,159869,0.0,1.0
2006-02-28,106.650002,109.25,104,106.449997,203154,0.0,1.0
2006-03-01,107.699997,112.199997,105.349998,108.75,211775,0.0,1.0
2006-03-02,109.900002,115.900002,107.099998,111,495711,0.0,1.0
2006-03-03,112.199997,112.650002,108,109.199997,160507,0.0,1.0
2006-03-06,109.800003,111.449997,107.050003,108.150002,138441,0.0,1.0
2006-03-07,108.800003,109,106.599998,107.349998,83453,0.0,1.0
2006-03-08,107.900002,112.900002,104.699997,105.449997,209598,0.0,1.0
2006-03-09,106.400002,107.300003,104.099998,104.75,88401,0.0,1.0
2006-03-10,105.599998,106.5,102.5,102.849998,65476,0.0,1.0
2006-03-13,104,105.349998,101.300003,101.5,77912,0.0,1.0
2006-03-14,103,103,97.949997,98.199997,118333,0.0,1.0
2006-03-16,99.900002,104.900002,98.099998,102.300003,279373,0.0,1.0
2006-03-17,102.949997,102.949997,98,98.349998,88378,0.0,1.0
2006-03-20,99.949997,101.099998,95.25,96.550003,117489,0.0,1.0
2006-03-21,97.900002,98.099998,94.199997,94.599998,125355,0.0,1.0
2006-03-22,95.5,95.650002,90.300003,90.800003,126018,0.0,1.0
2006-03-23,91.699997,91.699997,88.199997,89.199997,85091,0.0,1.0
2006-03-24,89,90.25,84,84.949997,132768,0.0,1.0
2006-03-27,85.5,93.800003,85.099998,91.25,304910,0.0,1.0
2006-03-28,91.900002,97.199997,88.949997,92.400002,394601,0.0,1.0
2006-03-29,93,96,92.050003,92.699997,90268,0.0,1.0
2006-03-30,93.25,94.800003,92,92.800003,77406,0.0,1.0
2006-03-31,92,93,91,91.449997,43221,0.0,1.0
2006-04-03,93.5,95.699997,93.5,94.199997,62834,0.0,1.0
2006-04-04,94,104.949997,94,103.650002,417081,0.0,1.0
2006-04-05,104.699997,108.699997,102,104.949997,273216,0.0,1.0
2006-04-07,106.5,106.599998,99.050003,100.150002,118148,0.0,1.0
2006-04-10,100.25,106.900002,97.400002,103.5,145498,0.0,1.0
2006-04-12,103.900002,103.900002,95,95.650002,117836,0.0,1.0
2006-04-13,95.900002,96.699997,88,90.949997,90485,0.0,1.0
2006-04-17,91.800003,94.400002,91,92.150002,38774,0.0,1.0
2006-04-18,92,92,87.900002,88.949997,30577,0.0,1.0
2006-04-19,87.849998,90,86,87.349998,28222,0.0,1.0
2006-04-20,86.349998,91.650002,86.349998,88.849998,25462,0.0,1.0
2006-04-21,88.849998,90.650002,86,86.599998,30341,0.0,1.0
2006-04-24,90,90.900002,86.5,87.25,23123,0.0,1.0
2006-04-25,89.5,90,86.5,87.099998,25619,0.0,1.0
2006-04-26,88.849998,89,86.5,87,27033,0.0,1.0
2006-04-27,89.599998,91,87,87.75,25386,0.0,1.0
2006-04-28,83.5,88,83.400002,85.550003,25422,0.0,1.0
2006-05-02,89.900002,91.5,86,86.599998,31679,0.0,1.0
2006-05-03,88,88,86.5,87,17125,0.0,1.0
2006-05-04,89.900002,90,86.5,86.900002,27159,0.0,1.0
2006-05-05,87.25,89,86,86.25,29194,0.0,1.0
2006-05-08,86.099998,87.5,85.75,86.800003,25834,0.0,1.0
2006-05-09,86.150002,87.5,84.550003,85,20397,0.0,1.0
2006-05-10,86,87,84.099998,85.449997,17004,0.0,1.0
2006-05-11,88,88,84.550003,84.699997,15758,0.0,1.0
2006-05-12,83,85.900002,81,82.949997,21532,0.0,1.0
2006-05-15,82.099998,85,80.199997,81.599998,24674,0.0,1.0
2006-05-16,81,82,77.550003,78.650002,34246,0.0,1.0
2006-05-17,80.400002,81.900002,75.099998,80.25,13823,0.0,1.0
2006-05-18,78.099998,79,76.25,76.25,19830,0.0,1.0
2006-05-19,78,78,72.449997,72.449997,13497,0.0,1.0
2006-05-22,69.900002,71.900002,68.849998,68.849998,6465,0.0,1.0
2006-05-23,67,68.75,65.449997,66.550003,27315,0.0,1.0
2006-05-24,67.900002,69.849998,64,67.849998,20301,0.0,1.0
2006-05-25,69,69.099998,64.5,68.050003,6084,0.0,1.0
2006-05-26,68.099998,70.5,68.099998,68.900002,7517,0.0,1.0
2006-05-29,70.5,72.300003,69.5,72.300003,6234,0.0,1.0
2006-05-30,74.800003,75.800003,70.050003,72.550003,20020,0.0,1.0
2006-05-31,70.5,71.5,68.949997,69.5,10747,0.0,1.0
2006-06-01,67.5,71.699997,66.050003,66.349998,8897,0.0,1.0
2006-06-02,63.25,67.5,63.049999,63.400002,11935,0.0,1.0
2006-06-05,63,64.75,60.25,60.549999,14620,0.0,1.0
2006-06-06,59.900002,59.900002,57.549999,58,15916,0.0,1.0
2006-06-07,58.099998,58.099998,55.150002,55.150002,16034,0.0,1.0
2006-06-08,53.75,53.75,52.400002,52.400002,5562,0.0,1.0
2006-06-09,49.799999,54,49.799999,51.5,25756,0.0,1.0
