date,open,high,low,close,volume,dividend,split
2005-11-14,175,175,128.699997,132.300003,4222402,0.0,1.0
2005-11-16,131.800003,131.800003,124.050003,124.900002,798000,0.0,1.0
2005-11-17,126,131.699997,123.050003,126.550003,598700,0.0,1.0
2005-11-18,128,130.399994,124.550003,125.25,282800,0.0,1.0
2005-11-21,126.25,126.800003,123,123.650002,128700,0.0,1.0
2005-11-22,123,124.449997,120.099998,120.949997,99400,0.0,1.0
2005-11-23,120,125.400002,120,121.699997,179800,0.0,1.0
2005-11-24,122.5,123,118.150002,118.900002,88400,0.0,1.0
2005-11-25,120.900002,120.900002,116.050003,116.5,73200,0.0,1.0
2005-11-28,122.699997,125,120.550003,121.25,162800,0.0,1.0
2005-11-29,122,122.300003,118.050003,118.75,71300,0.0,1.0
2005-11-30,119.5,123,118.050003,118.900002,129900,0.0,1.0
2005-12-01,119,120.449997,117.5,118.150002,56700,0.0,1.0
2005-12-02,119,120,116.099998,117.050003,54800,0.0,1.0
2005-12-05,118.800003,118.900002,116.099998,116.550003,31700,0.0,1.0
2005-12-06,116.099998,117.5,115.25,115.800003,32500,0.0,1.0
2005-12-07,116.099998,119,115.099998,116.050003,77300,0.0,1.0
2005-12-08,116.400002,121.650002,116.050003,118.400002,196900,0.0,1.0
2005-12-09,118.25,120.400002,116.099998,116.800003,63000,0.0,1.0
2005-12-12,118.449997,118.449997,115.599998,116.150002,37600,0.0,1.0
2005-12-13,117.5,117.699997,116.099998,116.699997,61000,0.0,1.0
2005-12-14,117.25,117.449997,115.349998,115.849998,27400,0.0,1.0
2005-12-15,116.900002,117.5,112.050003,112.699997,55900,0.0,1.0
2005-12-16,114.300003,114.449997,112.199997,112.800003,37300,0.0,1.0
2005-12-19,114.699997,116.400002,113.050003,113.900002,60200,0.0,1.0
2005-12-20,114.449997,114.449997,111.599998,112,40800,0.0,1.0
2005-12-21,112,113.300003,108.400002,109.75,48700,0.0,1.0
2005-12-22,101,110.900002,101,106.949997,70800,0.0,1.0
2005-12-23,107.5,112.75,106.5,108.75,143400,0.0,1.0
2005-12-26,110.400002,111.75,105.150002,105.849998,57400,0.0,1.0
2005-12-27,105.099998,107.5,105.099998,105.550003,31700,0.0,1.0
2005-12-28,99.949997,110.75,99.949997,107.900002,78000,0.0,1.0
