date,open,high,low,close,volume,dividend,split
2010-10-14,114.400002,205,98,180.800003,69800632,0.0,1.0
2010-10-15,180,216.949997,176.550003,216.050003,14878285,0.0,1.0
2010-10-18,218.699997,231,189.350006,213.649994,18342463,0.0,1.0
2010-10-19,218.399994,256.350006,210.850006,256.350006,8259433,0.0,1.0
2010-10-20,260.149994,281.950012,260.149994,280,4514046,0.0,1.0
2010-10-21,277.950012,286.899994,252.050003,252.050003,3148250,0.0,1.0
2010-10-22,226.850006,226.850006,226.850006,226.850006,20955,0.0,1.0
2010-10-25,204.199997,204.199997,204.199997,204.199997,7902,0.0,1.0
2010-10-26,194,194,194,194,38687,0.0,1.0
2010-10-27,184.350006,184.350006,184.350006,184.350006,14851,0.0,1.0
2010-10-28,175.149994,175.149994,175.149994,175.149994,1224,0.0,1.0
2010-10-29,166.399994,183.899994,166.399994,181.75,2494983,0.0,1.0
2010-11-01,185,188.399994,175,177.350006,189969,0.0,1.0
2010-11-02,176.699997,184,168.550003,176.050003,322334,0.0,1.0
2010-11-03,172.899994,184.850006,167.25,167.25,1887104,0.0,1.0
2010-11-04,158.899994,158.899994,158.899994,158.899994,1483,0.0,1.0
2010-11-08,143.5,143.5,143.5,143.5,1341,0.0,1.0
2010-11-09,136.350006,136.350006,136.350006,136.350006,3162,0.0,1.0
2010-11-10,129.550003,129.550003,129.550003,129.550003,1797,0.0,1.0
2010-11-11,123.099998,123.099998,123.099998,123.099998,3910,0.0,1.0
2010-11-12,116.949997,116.949997,116.949997,116.949997,2807,0.0,1.0
2010-11-15,111.150002,111.150002,111.150002,111.150002,4431,0.0,1.0
2010-11-16,105.599998,105.599998,105.599998,105.599998,2904,0.0,1.0
2010-11-18,100.349998,100.349998,100.349998,100.349998,6202,0.0,1.0
2010-11-19,95.349998,95.349998,95.349998,95.349998,5100,0.0,1.0
2010-11-22,90.599998,90.599998,90.599998,90.599998,3226,0.0,1.0
2010-11-23,86.099998,95.099998,86.099998,86.099998,2065980,0.0,1.0
2010-11-24,81.800003,81.800003,81.800003,81.800003,13646,0.0,1.0
2010-11-25,77.75,77.75,77.75,77.75,2865,0.0,1.0
2010-11-26,73.900002,73.900002,73.900002,73.900002,1386,0.0,1.0
2010-11-29,70.25,70.25,70.25,70.25,1693,0.0,1.0
2010-11-30,66.75,72.650002,66.75,71.400002,518149,0.0,1.0
2010-12-01,70.050003,74.949997,70,74.349998,704373,0.0,1.0
2010-12-02,75.400002,77.949997,71.5,77.699997,473732,0.0,1.0
2010-12-03,78,80.75,73.849998,75,380146,0.0,1.0
2010-12-06,71.349998,77.5,71.349998,74.900002,87814,0.0,1.0
2010-12-07,74.5,75.800003,72.5,74.099998,71405,0.0,1.0
2010-12-08,72.900002,75.5,71.099998,72.75,52654,0.0,1.0
2010-12-09,73.949997,75,71,72.900002,226756,0.0,1.0
2010-12-10,70.550003,76.449997,70.550003,75,592675,0.0,1.0
2010-12-13,76,76.25,74.25,75.099998,27870,0.0,1.0
2010-12-14,75,78.849998,74,78,271725,0.0,1.0
2010-12-15,77.900002,78.5,76,77,212122,0.0,1.0
2010-12-16,77,79.5,75.400002,76.900002,56430,0.0,1.0
2010-12-20,77.800003,80.699997,74.550003,80.25,444781,0.0,1.0
2010-12-21,80.199997,82.900002,78,80,119253,0.0,1.0
2010-12-22,79.800003,81.300003,77.900002,78.25,31226,0.0,1.0
2010-12-23,78.900002,79.5,76.599998,77.349998,24416,0.0,1.0
2010-12-24,77,79.050003,74.949997,78.75,210199,0.0,1.0
2010-12-27,79.5,81.849998,77,78.099998,70635,0.0,1.0
2010-12-28,77.150002,80.699997,76.550003,78.25,105575,0.0,1.0
2010-12-29,79.449997,82.150002,78.5,82.150002,517982,0.0,1.0
2010-12-30,83.099998,83.699997,79.25,79.650002,82378,0.0,1.0
2010-12-31,76.099998,81.900002,76.099998,77.699997,68885,0.0,1.0
2011-01-03,78,79.800003,77.25,77.849998,49888,0.0,1.0
2011-01-04,78.099998,79.150002,77.199997,77.75,66273,0.0,1.0
2011-01-05,78,78.900002,76.599998,77,61610,0.0,1.0
2011-01-06,77.5,78.699997,77.199997,77.800003,58175,0.0,1.0
2011-01-07,78.650002,78.650002,76.5,77.5,87276,0.0,1.0
2011-01-10,77,78.400002,76.050003,76.75,26143,0.0,1.0
2011-01-11,76,83,73.150002,77.949997,108826,0.0,1.0
2011-01-12,78,85.699997,77.550003,85.699997,487358,0.0,1.0
2011-01-13,88.300003,93,80.699997,83.050003,501453,0.0,1.0
2011-01-14,82,85.5,81.550003,82.25,86867,0.0,1.0
2011-01-17,82.449997,86.900002,81.050003,85.449997,233909,0.0,1.0
2011-01-18,85.5,92.400002,83,84.849998,292139,0.0,1.0
2011-01-19,85.099998,86.900002,83.099998,83.349998,71583,0.0,1.0
2011-01-20,83,86,82.650002,83,29886,0.0,1.0
2011-01-21,83.849998,87.900002,83.699997,87,238965,0.0,1.0
2011-01-24,87.5,90,85.650002,85.900002,43404,0.0,1.0
2011-01-25,86.900002,87.5,83.550003,84.150002,24868,0.0,1.0
2011-01-27,84.050003,86,81.099998,82.300003,233572,0.0,1.0
2011-01-28,82.5,84.199997,78.400002,80.150002,44120,0.0,1.0
2011-01-31,79,84.900002,72.550003,81.900002,89228,0.0,1.0
2011-02-01,82.199997,84.25,80.5,81.699997,61149,0.0,1.0
2011-02-02,80.300003,89.849998,80.300003,89.550003,486660,0.0,1.0
2011-02-03,91,92.699997,87.25,88.400002,132566,0.0,1.0
2011-02-04,89.349998,89.349998,86,86.25,53772,0.0,1.0
2011-02-07,87,91.300003,87,89.650002,92397,0.0,1.0
2011-02-08,88,91.800003,86.599998,87,67287,0.0,1.0
2011-02-09,88.300003,88.300003,86,86.099998,47247,0.0,1.0
2011-02-10,88.800003,88.900002,85,85.800003,26110,0.0,1.0
2011-02-11,87.5,92.75,83.25,90.050003,215697,0.0,1.0
2011-02-14,90,96.900002,88.5,92.449997,221954,0.0,1.0
2011-02-15,92,101.650002,90.099998,101.650002,357843,0.0,1.0
2011-02-16,101.650002,106.75,96,100.550003,154857,0.0,1.0
2011-02-17,101,105,100,100.650002,124032,0.0,1.0
2011-02-18,101.699997,103.900002,100,100.099998,48233,0.0,1.0
2011-02-21,100.900002,107.099998,100.199997,102.099998,88637,0.0,1.0
2011-02-22,103,106.900002,97,104.849998,275098,0.0,1.0
2011-02-23,105,110.800003,103.150002,103.900002,289483,0.0,1.0
2011-02-24,108,108,100,100.449997,45439,0.0,1.0
2011-02-25,101,104.900002,99,100.300003,198602,0.0,1.0
2011-02-28,101.900002,104.75,97,100.949997,93885,0.0,1.0
2011-03-01,101.900002,105.800003,100.650002,101.800003,260787,0.0,1.0
2011-03-03,101.800003,104.699997,100.699997,101.949997,127216,0.0,1.0
2011-03-04,102.800003,103.449997,100.650002,101.300003,43463,0.0,1.0
2011-03-07,100,101.300003,97.099998,99.050003,25914,0.0,1.0
2011-03-08,102,105.550003,100.5,101.25,141225,0.0,1.0
2011-03-09,102.25,103.099998,100,100.599998,147070,0.0,1.0
2011-03-10,99,103.800003,99,100.699997,50567,0.0,1.0
2011-03-11,101.050003,120.800003,101.050003,120.800003,903483,0.0,1.0
2011-03-14,122.800003,129.300003,119.900002,121.300003,547199,0.0,1.0
2011-03-15,115,124.800003,115,118.900002,247909,0.0,1.0
2011-03-16,120,128.5,120,122.349998,303156,0.0,1.0
2011-03-17,121,124.5,119.800003,120.849998,158141,0.0,1.0
2011-03-18,122,123.900002,116.25,117.25,98501,0.0,1.0
2011-03-21,118.550003,123.5,115,116.949997,179134,0.0,1.0
2011-03-22,118.25,121.650002,110.400002,111.949997,286770,0.0,1.0
2011-03-23,113.199997,116.449997,110.25,110.550003,208875,0.0,1.0
2011-03-24,112.900002,114.599998,110,110.75,56496,0.0,1.0
2011-03-25,112.900002,113.5,109.800003,110.199997,207815,0.0,1.0
2011-03-28,110.300003,115.050003,108.5,109.949997,183643,0.0,1.0
2011-03-29,109.300003,113.900002,109.300003,110.300003,109873,0.0,1.0
2011-03-30,112,132.350006,112,132.350006,1791452,0.0,1.0
2011-03-31,138,138.649994,126.800003,130.199997,435063,0.0,1.0
2011-04-01,131,146,129.5,130.550003,1094809,0.0,1.0
2011-04-04,131.850006,138,128.5,133.600006,711139,0.0,1.0
2011-04-05,134,135.800003,128.649994,130.100006,220006,0.0,1.0
2011-04-06,130.25,134.899994,126.199997,128,351472,0.0,1.0
2011-04-07,131,132.100006,126.599998,127.550003,335952,0.0,1.0
2011-04-08,127.699997,128.649994,124.900002,125.199997,129731,0.0,1.0
2011-04-11,125.5,129.850006,124.800003,126.099998,126558,0.0,1.0
2011-04-13,127,131.600006,111,126.550003,490783,0.0,1.0
2011-04-15,127.5,130.5,123.099998,125.5,273391,0.0,1.0
2011-04-18,126.550003,131.699997,119.949997,120.900002,291272,0.0,1.0
2011-04-19,121,124.349998,115,116.25,348807,0.0,1.0
2011-04-20,116.949997,120.099998,109.400002,110.650002,291696,0.0,1.0
2011-04-21,111.449997,116.5,111.449997,114.900002,619332,0.0,1.0
2011-04-25,115.650002,124.400002,114,118.650002,653283,0.0,1.0
2011-04-26,119.25,123.5,113.449997,114.800003,555653,0.0,1.0
2011-04-27,119.900002,119.900002,110,110.449997,286693,0.0,1.0
2011-04-28,111.099998,115.25,109,111.050003,384830,0.0,1.0
2011-04-29,111.900002,112.599998,110,110.050003,85618,0.0,1.0
2011-05-02,111.599998,113.699997,110,112.449997,143863,0.0,1.0
2011-05-03,113.25,113.25,110,110.099998,59272,0.0,1.0
2011-05-04,110.949997,112.550003,110,110.099998,124686,0.0,1.0
2011-05-05,111,111,102.550003,110.099998,145428,0.0,1.0
2011-05-06,108.099998,112,108.099998,110.050003,86121,0.0,1.0
2011-05-09,111,114.199997,110,110.849998,97848,0.0,1.0
2011-05-10,111,113.25,110,110.800003,186871,0.0,1.0
2011-05-11,110.300003,111.349998,110,110.050003,39544,0.0,1.0
2011-05-12,111.300003,114.5,109.699997,112.650002,170899,0.0,1.0
2011-05-13,114.050003,114.050003,110.650002,111.050003,52473,0.0,1.0
2011-05-16,110.849998,111.5,110,110.150002,20655,0.0,1.0
2011-05-17,110.349998,114.5,110.150002,110.800003,134915,0.0,1.0
2011-05-18,111.300003,112.150002,110,110.099998,50575,0.0,1.0
2011-05-19,110.199997,112.5,110,110.349998,109635,0.0,1.0
2011-05-20,109,111.300003,109,110.949997,137696,0.0,1.0
2011-05-23,111,113.400002,110.949997,111.199997,196680,0.0,1.0
2011-05-24,112.150002,112.150002,110.199997,110.400002,40684,0.0,1.0
2011-05-25,111.300003,111.300003,110,110.150002,13475,0.0,1.0
2011-05-26,110.099998,115.849998,110.099998,112,499696,0.0,1.0
2011-05-27,112,116,111.849998,113.900002,411776,0.0,1.0
2011-05-30,115.800003,118.25,113.449997,116.400002,264299,0.0,1.0
2011-05-31,115.300003,123.449997,115.300003,120.900002,313909,0.0,1.0
2011-06-01,121.800003,123.800003,117.75,118.699997,111119,0.0,1.0
2011-06-02,117.699997,118.400002,115.699997,116.199997,52909,0.0,1.0
2011-06-03,115,120.699997,114.5,119.050003,64033,0.0,1.0
2011-06-06,117,132,116.099998,124.949997,647524,0.0,1.0
2011-06-07,123,127.599998,122.449997,122.949997,113821,0.0,1.0
2011-06-08,123.849998,125.5,122.050003,122.199997,140244,0.0,1.0
2011-06-09,122.25,124.800003,121.25,122.199997,21168,0.0,1.0
2011-06-10,123.550003,123.650002,120,120.25,73321,0.0,1.0
2011-06-13,118.5,120.699997,117.099998,119,31238,0.0,1.0
2011-06-14,119.849998,120,118,118.300003,22355,0.0,1.0
2011-06-15,117.199997,118.699997,117,117,9976,0.0,1.0
2011-06-16,116.599998,117.5,116,116.150002,7037,0.0,1.0
2011-06-17,117.650002,119.449997,116.199997,117,61169,0.0,1.0
2011-06-20,117,118.900002,110,113.699997,110076,0.0,1.0
2011-06-21,113.5,116.5,111.099998,111.5,81717,0.0,1.0
2011-06-22,113.949997,113.949997,110.599998,111.150002,22583,0.0,1.0
2011-06-23,111.699997,113.650002,110.099998,112,62774,0.0,1.0
2011-06-24,112,120.449997,112,116.25,146629,0.0,1.0
2011-06-27,115,124.5,113.900002,117.949997,113541,0.0,1.0
2011-06-28,121,121,115.400002,116.449997,143341,0.0,1.0
2011-06-29,117,119.199997,116,116.25,97146,0.0,1.0
2011-06-30,117.150002,117.949997,115.150002,115.949997,48603,0.0,1.0
2011-07-01,116,130.699997,116,126.800003,418757,0.0,1.0
2011-07-04,127,136.899994,125.5,133.850006,449905,0.0,1.0
2011-07-05,128,136.699997,128,130.149994,144328,0.0,1.0
2011-07-06,131.25,138.199997,130.649994,135.649994,233029,0.0,1.0
2011-07-07,135.050003,142.25,133.5,135.25,298836,0.0,1.0
2011-07-08,136.600006,139,133.149994,133.899994,41246,0.0,1.0
2011-07-11,134.850006,137.800003,131.050003,132.449997,103977,0.0,1.0
2011-07-12,132,133.899994,128.300003,130.449997,153411,0.0,1.0
2011-07-13,132.449997,139.699997,131.949997,132.600006,239606,0.0,1.0
2011-07-14,130,134.649994,130,132.199997,47346,0.0,1.0
2011-07-15,132.199997,135,130,130.25,49489,0.0,1.0
2011-07-18,131.649994,134.850006,130.449997,132.350006,62731,0.0,1.0
2011-07-19,133,135.5,131.699997,132.050003,159000,0.0,1.0
2011-07-20,133,135.899994,130.050003,130.5,128666,0.0,1.0
2011-07-21,131.649994,133.899994,127.099998,129.75,224705,0.0,1.0
2011-07-22,131.449997,133.75,130,130.649994,99750,0.0,1.0
2011-07-25,130.100006,146.699997,130,142.850006,556063,0.0,1.0
2011-07-26,142.850006,144,133.649994,134.899994,164808,0.0,1.0
2011-07-27,132.75,137.449997,132.75,136.199997,58405,0.0,1.0
2011-07-28,135.600006,145,135.600006,137.5,279432,0.0,1.0
2011-07-29,138.899994,144,136.050003,140.600006,168629,0.0,1.0
2011-08-01,138,141.449997,138,138.350006,43343,0.0,1.0
2011-08-02,139.25,139.850006,136.25,136.5,116081,0.0,1.0
2011-08-03,135.550003,135.899994,132,132.649994,59441,0.0,1.0
2011-08-04,134,134,128,128.75,30199,0.0,1.0
2011-08-05,122.5,128.5,122.099998,126.050003,21153,0.0,1.0
2011-08-08,121.5,133.899994,120.150002,127.650002,96494,0.0,1.0
2011-08-09,123,127.5,122.599998,124.900002,29876,0.0,1.0
2011-08-10,127.5,139.800003,126.150002,126.650002,31228,0.0,1.0
2011-08-11,129.949997,131.399994,124,125.099998,27923,0.0,1.0
2011-08-12,127,128,123.550003,124.050003,110167,0.0,1.0
2011-08-16,125,126.699997,121,123.349998,23844,0.0,1.0
2011-08-17,123,132.899994,122.050003,127.75,115050,0.0,1.0
2011-08-18,127,130.550003,122.650002,125.400002,33116,0.0,1.0
2011-08-19,122.650002,124,116.050003,119.599998,234801,0.0,1.0
2011-08-22,121.5,124.050003,120.699997,122.800003,10314,0.0,1.0
2011-08-23,122.949997,123.449997,118.349998,119.75,69420,0.0,1.0
2011-08-24,120.099998,123.099998,118.550003,120.599998,71892,0.0,1.0
2011-08-25,120.199997,124.5,116.550003,122.400002,52680,0.0,1.0
2011-08-26,121.5,123.25,118.150002,118.300003,3841,0.0,1.0
2011-08-29,120.550003,128.75,119.599998,122.599998,79300,0.0,1.0
2011-08-30,124.25,126.699997,122.75,123.150002,11007,0.0,1.0
2011-09-02,125.349998,125.400002,120.599998,121.199997,3981,0.0,1.0
2011-09-05,119.800003,124.349998,119.699997,122.099998,7666,0.0,1.0
2011-09-06,122.300003,126.599998,121.25,123.800003,24129,0.0,1.0
2011-09-07,121.800003,124.949997,121.800003,122.949997,18978,0.0,1.0
2011-09-08,121,131,120,126.5,99665,0.0,1.0
2011-09-09,125,137,125,125.599998,365982,0.0,1.0
2011-09-12,123.5,124,121.050003,121.5,12881,0.0,1.0
2011-09-13,122.300003,123.849998,120.75,121.349998,6199,0.0,1.0
2011-09-14,122.75,123.900002,121,121.300003,46481,0.0,1.0
2011-09-15,122,122.900002,120.150002,121.150002,142875,0.0,1.0
2011-09-16,121,122,120.5,120.75,6209,0.0,1.0
2011-09-19,120.550003,121.699997,119.699997,120.050003,4219,0.0,1.0
2011-09-20,120.5,122.400002,118,120.949997,4307,0.0,1.0
2011-09-21,122.25,124,120.449997,121.199997,21183,0.0,1.0
2011-09-22,120,121.800003,115.199997,116.349998,10525,0.0,1.0
2011-09-23,116.699997,117.599998,110.75,113.25,18537,0.0,1.0
2011-09-26,112.099998,114,108,109.050003,5545,0.0,1.0
2011-09-27,111,112.849998,110,111.050003,2723,0.0,1.0
2011-09-28,111.849998,112.5,107,110.25,57236,0.0,1.0
2011-09-29,108.599998,110.150002,107,108.150002,2169,0.0,1.0
2011-09-30,108,110,96.5,100.699997,326137,0.0,1.0
2011-10-03,97.800003,106.5,97.800003,103.800003,29611,0.0,1.0
2011-10-04,101.050003,104.099998,97.199997,98.099998,201726,0.0,1.0
2011-10-05,91.199997,101.400002,91.199997,97.300003,8635,0.0,1.0
2011-10-07,102.199997,116.75,99.550003,116.75,292790,0.0,1.0
2011-10-10,120.550003,134.800003,112.199997,115.349998,450784,0.0,1.0
2011-10-11,116,118,109.099998,110.400002,64170,0.0,1.0
2011-10-12,111.599998,113.349998,109.25,109.650002,29544,0.0,1.0
2011-10-13,110,111.800003,108.099998,109.699997,23411,0.0,1.0
2011-10-14,109.800003,110,107.050003,108.150002,5463,0.0,1.0
2011-10-17,108.050003,109.75,105,105.800003,40451,0.0,1.0
