date,open,high,low,close,volume,dividend,split
2017-07-20,29.799999,29.799999,28.35,28.35,122,0.0,1.0
2017-07-21,26.950001,26.950001,26.950001,26.950001,203,0.0,1.0
2017-07-24,26.950001,26.950001,26.950001,26.950001,0,0.0,1.0
2017-07-25,25.65,25.65,25.65,25.65,1,0.0,1.0
2017-07-26,24.4,25,24.4,24.4,21385,0.0,1.0
2017-07-27,23.200001,23.25,23.200001,23.200001,2987,0.0,1.0
2017-07-28,23.200001,23.200001,22.5,22.6,6826,0.0,1.0
2017-07-31,22,22.85,21.6,22.85,16225,0.0,1.0
2017-08-01,21.75,22.700001,21.75,22.700001,1100,0.0,1.0
2017-08-02,22.700001,22.700001,22.700001,22.700001,0,0.0,1.0
2017-08-03,22.700001,22.700001,22.700001,22.700001,0,0.0,1.0
2017-08-04,21.6,21.6,21.6,21.6,5,0.0,1.0
2017-08-07,20.549999,20.549999,20.549999,20.549999,1260,0.0,1.0
2017-08-08,20,20.6,19.549999,20.6,3230,0.0,1.0
2017-08-09,19.6,19.6,19.6,19.6,917,0.0,1.0
2017-08-10,18.65,18.65,18.65,18.65,1350,0.0,1.0
2017-08-11,19.549999,19.549999,17.75,19,820,0.0,1.0
2017-08-14,18.049999,18.9,18.049999,18.299999,781,0.0,1.0
2017-08-16,18.1,19.200001,17.6,19.200001,2733,0.0,1.0
2017-08-17,18.25,18.5,18.25,18.299999,1045,0.0,1.0
2017-08-18,18,19.200001,18,19.200001,153,0.0,1.0
2017-08-21,18.299999,18.299999,18.25,18.25,350,0.0,1.0
2017-08-22,18,18.1,18,18,7750,0.0,1.0
2017-08-23,18.9,18.9,18.9,18.9,50,0.0,1.0
2017-08-24,18.299999,19.5,18.299999,19.15,20675,0.0,1.0
2017-08-28,18.35,18.35,18.35,18.35,4250,0.0,1.0
2017-08-29,18.5,18.5,18.5,18.5,50,0.0,1.0
2017-08-30,18,18,17.6,17.6,7125,0.0,1.0
2017-08-31,18,18.049999,18,18.049999,200,0.0,1.0
2017-09-01,18.1,18.6,18.1,18.6,815,0.0,1.0
2017-09-04,17.9,18.5,17.9,18.5,300,0.0,1.0
2017-09-05,19.4,19.4,17.700001,17.700001,150,0.0,1.0
2017-09-06,17.15,18.5,17.15,18.5,1467,0.0,1.0
2017-09-07,19.25,19.25,19.1,19.1,2600,0.0,1.0
2017-09-08,19.25,19.25,19,19.049999,935,0.0,1.0
2017-09-11,18.25,18.6,18.25,18.5,11276,0.0,1.0
2017-09-12,18.049999,18.1,18.049999,18.049999,1020,0.0,1.0
2017-09-13,18.1,18.1,17.299999,17.6,500,0.0,1.0
2017-09-14,18.1,18.15,17.549999,18.15,2300,0.0,1.0
2017-09-15,18.15,18.15,18.15,18.15,0,0.0,1.0
2017-09-18,18.15,18.15,18.15,18.15,0,0.0,1.0
2017-09-19,18.15,19.049999,18.15,19,2306,0.0,1.0
2017-09-20,19,19.950001,19,19.049999,1519,0.0,1.0
2017-09-21,18.15,20,18.15,20,4274,0.0,1.0
2017-09-22,19,20.950001,19,19.549999,1671,0.0,1.0
2017-09-25,19.25,20.4,18.6,18.6,3700,0.0,1.0
2017-09-26,19.5,19.5,19.200001,19.5,2319,0.0,1.0
