date,open,high,low,close,volume,dividend,split
2016-04-01,47.349998,47.5,45,45.400002,1696605,0.0,1.0
2016-04-04,43.200001,45.5,43.200001,44.200001,346131,0.0,1.0
2016-04-05,45,45,42,42,38118,0.0,1.0
2016-04-06,40.150002,41.900002,39.900002,40.200001,76290,0.0,1.0
2016-04-07,40,42.200001,40,42.099998,133566,0.0,1.0
2016-04-08,42.5,44.200001,41.650002,44.200001,87581,0.0,1.0
2016-04-11,46,46,42.5,44.25,24740,0.0,1.0
2016-04-12,43,45,43,44.25,24607,0.0,1.0
2016-04-13,45.5,45.900002,44.099998,44.799999,58446,0.0,1.0
2016-04-18,45.5,45.5,42.799999,45,27491,0.0,1.0
2016-04-20,45.5,45.5,44.5,44.950001,112834,0.0,1.0
2016-04-21,45.700001,45.700001,43.900002,44.099998,29325,0.0,1.0
2016-04-22,44,44.299999,43.200001,43.599998,12200,0.0,1.0
2016-04-25,43.200001,43.5,42,42.349998,15199,0.0,1.0
2016-04-26,43,43,40.700001,41.700001,10569,0.0,1.0
2016-04-27,42.700001,42.700001,41,41.200001,9242,0.0,1.0
2016-04-28,41.400002,41.650002,39.5,40.099998,32473,0.0,1.0
2016-04-29,41.5,41.5,39.900002,40.599998,13407,0.0,1.0
2016-05-02,40.099998,42.25,40.099998,41.549999,14705,0.0,1.0
2016-05-03,42.400002,42.400002,40.150002,40.799999,6249,0.0,1.0
2016-05-04,41,41,40.299999,40.75,8900,0.0,1.0
2016-05-05,40.150002,41.25,40.099998,40.900002,3345,0.0,1.0
2016-05-06,40.200001,41,40.099998,40.75,6914,0.0,1.0
2016-05-09,41.599998,42,40.25,40.299999,1624,0.0,1.0
2016-05-10,40.950001,46.5,40.349998,45.099998,85164,0.0,1.0
2016-05-11,44.5,47,43.799999,45.599998,365611,0.0,1.0
2016-05-12,45.900002,45.900002,44,44.400002,27594,0.0,1.0
2016-05-13,44.150002,45,43.549999,44.25,124580,0.0,1.0
2016-05-16,44.25,44.5,43.099998,43.650002,15802,0.0,1.0
2016-05-17,43.849998,44,43,43.200001,5201,0.0,1.0
2016-05-18,42.650002,43,42.400002,42.549999,4880,0.0,1.0
2016-05-19,43.200001,43.5,41.549999,41.900002,7637,0.0,1.0
2016-05-20,42.25,42.25,39.349998,40.799999,23533,0.0,1.0
2016-05-23,42.099998,42.099998,40.099998,40.599998,7279,0.0,1.0
2016-05-24,41.75,41.75,40.049999,40.099998,700,0.0,1.0
2016-05-25,41.400002,42,40.099998,40.599998,4795,0.0,1.0
2016-05-26,40.650002,42.150002,40.599998,40.799999,15250,0.0,1.0
2016-05-27,42,42.900002,41.5,42.599998,6605,0.0,1.0
2016-05-30,43,43.5,40.049999,41.25,10816,0.0,1.0
2016-05-31,40.599998,41,38,40.400002,12719,0.0,1.0
2016-06-01,40.700001,41,40.349998,40.349998,1850,0.0,1.0
2016-06-02,41,43,40.099998,41.799999,40619,0.0,1.0
2016-06-03,41.5,42.299999,40.549999,41.200001,36654,0.0,1.0
2016-06-06,41.049999,44,40.200001,41.799999,48967,0.0,1.0
2016-06-07,42,43.299999,41.5,42.349998,26166,0.0,1.0
2016-06-08,43,45.900002,43,43.950001,84226,0.0,1.0
2016-06-09,46.450001,46.450001,44.150002,44.549999,314837,0.0,1.0
2016-06-10,45.599998,45.650002,44.150002,44.450001,15167,0.0,1.0
2016-06-13,44,44,43.099998,43.349998,11424,0.0,1.0
2016-06-14,44,44.200001,43.25,43.5,15851,0.0,1.0
2016-06-15,43.950001,45.5,43.5,43.599998,127518,0.0,1.0
2016-06-16,44.049999,45.5,43.450001,43.650002,126360,0.0,1.0
2016-06-17,44.5,44.799999,43.200001,43.25,6437,0.0,1.0
2016-06-20,43.25,44,42.549999,43.450001,10293,0.0,1.0
2016-06-21,43.099998,43.200001,42,42.25,5690,0.0,1.0
2016-06-22,42,43.299999,41.25,41.5,10601,0.0,1.0
2016-06-23,41.650002,43.049999,41.5,41.599998,46760,0.0,1.0
2016-06-24,41.099998,42.349998,40,41.700001,8140,0.0,1.0
2016-06-27,41.950001,43,41.400002,42.200001,44619,0.0,1.0
2016-06-28,42.5,43.75,42.5,42.799999,38026,0.0,1.0
2016-06-29,43.349998,43.700001,42.849998,43,11376,0.0,1.0
2016-06-30,43.849998,44.849998,43.700001,44.450001,22148,0.0,1.0
2016-07-01,45.049999,45.900002,44.450001,44.599998,24207,0.0,1.0
2016-07-04,44.75,45.099998,44.200001,44.799999,13206,0.0,1.0
2016-07-05,44.400002,44.5,43.799999,43.799999,4111,0.0,1.0
2016-07-07,43.700001,44.900002,43.599998,43.75,5860,0.0,1.0
2016-07-08,44.5,44.5,43.5,43.599998,2790,0.0,1.0
2016-07-11,44.950001,44.950001,43.450001,43.450001,2422,0.0,1.0
2016-07-12,44.099998,44.200001,43.599998,43.650002,1853,0.0,1.0
2016-07-13,44,46,43.099998,45.650002,57397,0.0,1.0
2016-07-14,44.799999,44.799999,43.200001,43.650002,3251,0.0,1.0
2016-07-15,44.450001,44.549999,43.75,43.799999,2376,0.0,1.0
2016-07-18,43.25,44.75,43,43.150002,2415,0.0,1.0
2016-07-19,43.049999,43.25,42.5,42.799999,1520,0.0,1.0
2016-07-20,42.599998,43.5,42.599998,43,288,0.0,1.0
2016-07-21,43.099998,43.5,42.5,43,3730,0.0,1.0
2016-07-22,43.400002,43.400002,42.5,42.700001,1642,0.0,1.0
2016-07-25,43.900002,44.150002,42.5,43.549999,7441,0.0,1.0
2016-07-26,43.5,44.450001,43.5,44,3373,0.0,1.0
2016-07-27,43.599998,43.599998,42.549999,42.75,4452,0.0,1.0
2016-07-28,44,45.400002,43.950001,44.299999,10502,0.0,1.0
2016-07-29,44.5,44.799999,43.099998,43.25,1613,0.0,1.0
2016-08-01,44.200001,44.75,43.5,43.799999,6071,0.0,1.0
2016-08-02,43.700001,44,43.049999,43.099998,8468,0.0,1.0
2016-08-03,43,45.5,42.099998,44.650002,11496,0.0,1.0
2016-08-04,43.799999,43.799999,42.549999,42.799999,7095,0.0,1.0
2016-08-05,43.25,44,43.049999,43.299999,3058,0.0,1.0
2016-08-08,43.099998,43.900002,43.099998,43.150002,1100,0.0,1.0
2016-08-09,43.25,43.900002,43.25,43.849998,920,0.0,1.0
2016-08-10,43.099998,44,42.150002,43.150002,3473,0.0,1.0
2016-08-11,43.099998,43.099998,41.799999,42.349998,3475,0.0,1.0
2016-08-12,43.200001,43.849998,42.799999,42.900002,1027,0.0,1.0
2016-08-16,42.5,42.900002,41.900002,42,2625,0.0,1.0
2016-08-17,42,42,41.599998,41.599998,200,0.0,1.0
2016-08-18,43.200001,44.900002,42.450001,43.400002,2104,0.0,1.0
2016-08-19,42.599998,43.5,41.549999,41.900002,10402,0.0,1.0
2016-08-22,41.549999,42.549999,41.5,41.900002,3250,0.0,1.0
2016-08-23,42.549999,42.599998,42.299999,42.599998,750,0.0,1.0
2016-08-24,42.700001,42.799999,42.450001,42.75,1390,0.0,1.0
2016-08-25,41.799999,42.700001,41.349998,41.799999,10218,0.0,1.0
2016-08-26,41.549999,42.400002,41.150002,41.799999,5162,0.0,1.0
2016-08-29,41.549999,41.549999,41.549999,41.549999,165,0.0,1.0
2016-08-30,42,42.349998,42,42,1000,0.0,1.0
2016-08-31,41.400002,42,41.400002,41.400002,1250,0.0,1.0
2016-09-01,41.299999,43.450001,40.900002,41.200001,10351,0.0,1.0
2016-09-02,40.950001,41.650002,40.849998,41.650002,500,0.0,1.0
2016-09-06,41.900002,41.900002,40.75,41.900002,2505,0.0,1.0
2016-09-07,41.900002,41.900002,41.900002,41.900002,0,0.0,1.0
2016-09-08,42,42,41.599998,41.599998,1875,0.0,1.0
2016-09-09,42,42,42,42,250,0.0,1.0
2016-09-12,41.5,41.5,40.5,41.25,1709,0.0,1.0
2016-09-14,41,41.099998,40.599998,41.099998,1507,0.0,1.0
2016-09-15,42,42,40.150002,41.5,950,0.0,1.0
2016-09-16,41.900002,41.950001,40.700001,40.950001,2211,0.0,1.0
2016-09-19,40.200001,41.849998,40.200001,40.400002,4944,0.0,1.0
2016-09-20,40,41.450001,40,40.900002,2798,0.0,1.0
2016-09-21,41.200001,43,41.200001,41.599998,125695,0.0,1.0
2016-09-22,42,42,41,41.150002,901,0.0,1.0
2016-09-23,41,41.299999,40.5,40.849998,1338,0.0,1.0
2016-09-26,41.900002,41.900002,40.200001,40.5,5370,0.0,1.0
2016-09-27,40.099998,41.200001,40.099998,40.799999,2085,0.0,1.0
2016-09-28,41.950001,41.950001,40.349998,40.950001,4626,0.0,1.0
2016-09-29,40.700001,40.799999,38.200001,39.849998,21405,0.0,1.0
2016-09-30,39,41,39,40,2322,0.0,1.0
2016-10-03,41,41,40,40,376,0.0,1.0
2016-10-04,40.049999,41,39.900002,40,7411,0.0,1.0
2016-10-05,40.049999,40.5,40,40.5,5601,0.0,1.0
2016-10-06,40.25,40.950001,39.5,40.200001,9316,0.0,1.0
2016-10-07,39.599998,39.950001,39,39.950001,2689,0.0,1.0
2016-10-10,40,40,39.5,39.900002,1906,0.0,1.0
2016-10-13,39.700001,40.5,39,40.049999,54693,0.0,1.0
2016-10-14,39.5,40.75,39.5,40.299999,17455,0.0,1.0
2016-10-17,40,45,40,43.150002,42318,0.0,1.0
2016-10-18,43.900002,49.349998,43.900002,47.349998,322148,0.0,1.0
2016-10-19,48.400002,48.400002,46.299999,46.75,33010,0.0,1.0
2016-10-20,46.25,47.5,45.950001,46.700001,37347,0.0,1.0
2016-10-21,46.25,48,46,47,9596,0.0,1.0
2016-10-24,47,47.950001,46.700001,47.349998,17827,0.0,1.0
2016-10-25,48,50.5,47,48.950001,92140,0.0,1.0
2016-10-26,49.5,53.799999,49,51.700001,107158,0.0,1.0
2016-10-27,52,52.950001,50,51.049999,92118,0.0,1.0
2016-10-28,51.5,52,49.75,51.650002,34771,0.0,1.0
2016-11-01,55,56.5,53.799999,54.799999,42072,0.0,1.0
2016-11-02,54,54.950001,52.099998,52.799999,48130,0.0,1.0
2016-11-03,53,54.849998,52.299999,52.950001,37595,0.0,1.0
2016-11-04,53,53,50,51.549999,40341,0.0,1.0
2016-11-07,52,53.849998,51,52.049999,92187,0.0,1.0
2016-11-08,52.049999,52.049999,51,51.25,8038,0.0,1.0
2016-11-09,45.150002,51,44.900002,49.700001,25499,0.0,1.0
2016-11-10,51,52.700001,50,51.299999,37788,0.0,1.0
2016-11-11,51,53.400002,49.299999,51,68733,0.0,1.0
2016-11-15,49.450001,49.900002,45.599998,46.75,38502,0.0,1.0
2016-11-16,47,47.75,46.5,47.049999,40438,0.0,1.0
2016-11-17,47,48,46.099998,46.799999,26837,0.0,1.0
2016-11-18,45.700001,46.950001,45.700001,46.599998,10960,0.0,1.0
2016-11-21,47,47,44.599998,45.200001,38717,0.0,1.0
