date,open,high,low,close,volume,dividend,split
2002-01-17,1.51731,1.51731,1.51731,1.51731,227,0.0,1.0
2002-01-22,1.23144,1.23144,1.23144,1.23144,455,0.0,1.0
2002-01-23,0.98955,0.98955,0.98955,0.98955,227,0.0,1.0
2002-01-24,0.81363,0.81363,0.81363,0.81363,227,0.0,1.0
2002-01-29,0.96756,0.96756,0.96756,0.96756,227,0.0,1.0
2002-01-30,1.14348,1.14348,1.14348,1.14348,227,0.0,1.0
2002-02-18,1.36338,1.36338,1.36338,1.36338,227,0.0,1.0
2002-02-19,1.62726,1.62726,1.58328,1.58328,455,0.0,1.0
2002-02-20,1.89114,1.89114,1.89114,1.89114,114,0.0,1.0
2002-02-25,2.26497,2.26497,2.26497,2.26497,114,0.0,1.0
2002-05-07,1.82517,1.82517,1.82517,1.82517,2274,0.0,1.0
2002-05-10,2.11104,2.11104,2.11104,2.11104,2,0.0,1.0
2002-05-13,2.50686,2.50686,2.50686,2.50686,114,0.0,1.0
2002-05-14,2.99064,2.99064,2.99064,2.99064,227,0.0,1.0
2002-05-15,2.39691,2.99064,2.39691,2.99064,227,0.0,1.0
2002-05-17,2.39691,2.39691,2.39691,2.39691,227,0.0,1.0
2002-05-20,1.9791,1.9791,1.9791,1.9791,227,0.0,1.0
2002-05-24,1.60527,1.60527,1.60527,1.60527,227,0.0,1.0
2002-05-27,1.29741,1.29741,1.29741,1.29741,227,0.0,1.0
2002-06-10,1.5393,1.5393,1.5393,1.5393,20,0.0,1.0
2002-06-17,1.84716,1.84716,1.84716,1.84716,23,0.0,1.0
2002-06-19,1.86915,1.86915,1.86915,1.86915,455,0.0,1.0
2002-06-20,1.86915,1.86915,1.86915,1.86915,2274,0.0,1.0
2002-07-01,2.6388,2.6388,2.02308,2.199,5093,0.0,1.0
2002-07-02,2.61681,2.6388,2.26497,2.26497,5912,0.0,1.0
2002-07-03,2.4189,2.4189,2.30895,2.30895,796,0.0,1.0
2002-07-04,2.39691,2.61681,2.30895,2.48487,11141,0.0,1.0
2002-07-05,2.6388,2.6388,2.6388,2.6388,11369,0.0,1.0
2002-07-09,2.8587,2.8587,2.8587,2.8587,2274,0.0,1.0
2002-07-11,2.8587,3.36447,2.8587,3.36447,739,0.0,1.0
2002-07-12,3.98019,3.98019,2.72676,2.72676,910,0.0,1.0
2002-07-15,2.99064,2.99064,2.99064,2.99064,227,0.0,1.0
2002-07-16,2.4189,2.4189,2.4189,2.4189,227,0.0,1.0
2002-07-31,2.57283,2.57283,2.57283,2.57283,227,0.0,1.0
2002-08-13,2.06706,2.06706,2.06706,2.06706,1137,0.0,1.0
2002-09-05,2.199,2.199,2.199,2.199,1137,0.0,1.0
2002-11-08,2.55084,2.59482,2.55084,2.59482,14,0.0,1.0
2003-01-03,2.08905,2.08905,2.08905,2.08905,227,0.0,1.0
2003-01-08,1.7592,1.7592,1.7592,1.7592,2274,0.0,1.0
2003-01-09,1.5393,1.5393,1.5393,1.5393,455,0.0,1.0
2003-01-29,1.27542,1.29741,1.27542,1.29741,9,0.0,1.0
2003-03-05,1.3194,1.3194,1.3194,1.3194,500,0.0,1.0
2003-03-17,1.12149,1.12149,1.12149,1.12149,12506,0.0,1.0
2003-03-19,0.96756,1.34139,0.92358,1.34139,13188,0.0,1.0
2003-03-20,1.07751,1.0995,1.07751,1.0995,56617,0.0,1.0
2003-03-21,0.94557,0.98955,0.94557,0.98955,57071,0.0,1.0
2003-03-24,0.72567,0.72567,0.68169,0.68169,102319,0.0,1.0
2003-03-27,0.79164,0.79164,0.79164,0.79164,115962,0.0,1.0
2003-03-28,0.70368,0.76965,0.70368,0.76965,136653,0.0,1.0
2003-03-31,0.85761,0.90159,0.85761,0.8796,120737,0.0,1.0
2003-04-01,0.85761,0.85761,0.85761,0.85761,56844,0.0,1.0
2003-04-02,0.8796,0.8796,0.8796,0.8796,68213,0.0,1.0
2003-04-04,0.90159,1.05552,0.90159,1.05552,103456,0.0,1.0
2003-04-11,0.8796,0.8796,0.8796,0.8796,48886,0.0,1.0
2003-04-30,1.05552,1.05552,0.92358,0.92358,12051,0.0,1.0
2003-05-08,0.83562,0.83562,0.79164,0.79164,48886,0.0,1.0
2003-05-27,0.79164,0.79164,0.79164,0.79164,22738,0.0,1.0
2003-06-05,0.94997,0.94997,0.94997,0.94997,4548,0.0,1.0
2003-06-10,1.13908,1.13908,1.13908,1.13908,1364,0.0,1.0
2003-07-04,1.36338,1.36338,1.36338,1.36338,114,0.0,1.0
2003-07-08,1.63606,1.63606,1.63606,1.63606,84584,0.0,1.0
2003-07-09,1.96151,1.96151,1.96151,1.96151,341,0.0,1.0
2003-07-10,2.35293,2.35293,1.60087,1.60087,25011,0.0,1.0
2003-07-11,1.3282,1.91753,1.3238,1.91753,114143,0.0,1.0
2003-07-14,1.768,2.28256,1.768,2.27816,2501,0.0,1.0
2003-07-15,2.33094,2.35293,2.33094,2.35293,9550,0.0,1.0
2003-07-16,2.33094,2.35293,2.33094,2.35293,1364,0.0,1.0
2003-07-17,2.72676,2.72676,2.72676,2.72676,1137,0.0,1.0
2003-07-21,2.199,2.199,2.1902,2.1902,58208,0.0,1.0
2003-07-22,1.84716,1.84716,1.84716,1.84716,22738,0.0,1.0
2003-07-25,1.84716,1.84716,1.84716,1.84716,32970,0.0,1.0
2003-07-28,2.21659,2.21659,2.21659,2.21659,1137,0.0,1.0
2003-07-29,2.65639,2.65639,2.48487,2.55084,12960,0.0,1.0
2003-07-30,2.46728,2.83671,2.46728,2.48047,60255,0.0,1.0
2003-07-31,2.68718,2.94666,2.68278,2.8587,60937,0.0,1.0
2003-08-01,2.8543,2.96865,2.46288,2.62121,18190,0.0,1.0
2003-08-04,2.96425,2.96425,2.96425,2.96425,682,0.0,1.0
2003-08-05,2.96865,2.96865,2.96865,2.96865,3411,0.0,1.0
2003-08-06,3.0786,3.0786,3.0786,3.0786,4548,0.0,1.0
2003-08-07,2.77074,3.03462,2.77074,3.03462,1364,0.0,1.0
2003-08-08,2.99064,2.99064,2.99064,2.99064,227,0.0,1.0
2003-08-11,2.96865,2.96865,2.77074,2.77074,3638,0.0,1.0
2003-08-12,2.6388,3.32489,2.6388,3.3073,65484,0.0,1.0
2003-08-13,3.47442,3.7339,3.47442,3.7339,25239,0.0,1.0
2003-08-14,3.7383,3.9582,3.32489,3.68553,17508,0.0,1.0
2003-08-18,3.7383,4.41999,3.7383,4.41999,34789,0.0,1.0
2003-08-19,4.4024,4.72785,3.9582,3.9582,30923,0.0,1.0
2003-08-20,3.62835,3.62835,3.56678,3.56678,7958,0.0,1.0
2003-08-21,3.7383,3.7383,3.27651,3.28091,7049,0.0,1.0
2003-08-22,3.01263,3.01263,3.01263,3.01263,2274,0.0,1.0
2003-08-25,3.3117,3.3117,3.03462,3.03462,12733,0.0,1.0
2003-08-26,2.8631,3.33808,2.73556,3.33808,7049,0.0,1.0
2003-08-27,3.5184,3.5184,3.34248,3.34248,11596,0.0,1.0
2003-08-28,3.34248,3.66793,3.34248,3.36887,2729,0.0,1.0
2003-08-29,3.65034,3.70312,3.65034,3.70312,2956,0.0,1.0
2003-09-01,3.7383,4.07255,3.7383,4.06815,15689,0.0,1.0
2003-09-02,4.37601,4.37601,3.67233,3.67233,1592,0.0,1.0
