date,open,high,low,close,volume,dividend,split
2005-08-23,8.9975,8.9975,8.9975,8.9975,68000,0.0,1.0
2005-08-24,10.795,10.795,10.795,10.795,46000,0.0,1.0
2005-08-25,12.9525,12.9525,12.9525,12.9525,14000,0.0,1.0
2005-08-26,15.5425,15.5425,15.5425,15.5425,224000,0.0,1.0
2005-08-29,18.5,18.5,14.5,17.700001,1418000,0.0,1.0
2005-08-30,18,18,17.055,17.27,450000,0.0,1.0
2005-08-31,17.004999,17.297501,15.55,15.6,362000,0.0,1.0
2005-09-01,15.1,15.7475,14.6025,15.095,340000,0.0,1.0
2005-09-02,15.295,15.95,15.05,15.5525,104000,0.0,1.0
2005-09-05,16,16.200001,15.55,15.55,90000,0.0,1.0
2005-09-06,16.4,16.4,15.1,15.3775,42000,0.0,1.0
2005-09-08,15.9,15.9,15,15.445,86000,0.0,1.0
2005-09-09,15.95,15.95,15.1,15.345,30000,0.0,1.0
2005-09-12,15.5,15.5,15,15.13,78000,0.0,1.0
2005-09-13,15,15.3875,15,15.15,42000,0.0,1.0
2005-09-14,15.245,15.25,14.875,15,50000,0.0,1.0
2005-09-15,15.4,16.25,15.4,15.8225,170000,0.0,1.0
2005-09-16,15.755,16.0875,15.6275,15.75,140000,0.0,1.0
2005-09-19,16.25,16.4,15.8,16.0075,182000,0.0,1.0
2005-09-20,15.85,17.672501,15.7525,17.672501,164000,0.0,1.0
2005-09-21,18,19.200001,15.95,16.620001,408000,0.0,1.0
2005-09-22,16.997499,16.997499,14.96,15.0075,192000,0.0,1.0
2005-09-23,15,16.1,14.3,15.095,188000,0.0,1.0
2005-09-26,15.4,15.97,15.4,15.6775,50000,0.0,1.0
2005-09-27,15.55,15.85,14.95,14.9525,76000,0.0,1.0
2005-09-28,15.5,15.5,15.0125,15.36,28000,0.0,1.0
2005-09-29,15.5,15.5,14.5,14.9,86000,0.0,1.0
2005-09-30,15,15,14.05,14.375,26000,0.0,1.0
2005-10-03,14.27,14.575,14.205,14.3975,52000,0.0,1.0
2005-10-04,14.325,14.6975,14.25,14.395,68000,0.0,1.0
2005-10-05,14.1625,14.55,14.135,14.2,20000,0.0,1.0
2005-10-06,14.75,14.75,13.75,13.95,54000,0.0,1.0
2005-10-07,13.5,14.245,13.5,14.2,78000,0.0,1.0
2005-10-10,13.675,13.9975,12.5125,12.7175,94000,0.0,1.0
2005-10-11,12.65,13.35,12.65,13.18,68000,0.0,1.0
2005-10-13,13.1,13.5,12.7,13.5,64000,0.0,1.0
2005-10-14,13.2475,13.6,12.775,12.95,12000,0.0,1.0
2005-10-17,13.45,13.45,12.6,13.1,80000,0.0,1.0
2005-10-18,13.25,13.95,13.105,13.25,112000,0.0,1.0
2005-10-19,13,13.15,12.6,12.825,84000,0.0,1.0
2005-10-20,12.5,13.135,12.5,12.65,104000,0.0,1.0
2005-10-21,12.5275,12.695,12.25,12.3775,96000,0.0,1.0
2005-10-24,12.605,12.845,12.3925,12.4975,14000,0.0,1.0
2005-10-25,12.55,12.75,12.35,12.4475,60000,0.0,1.0
2005-10-26,12.45,12.745,11.9275,12.3975,10000,0.0,1.0
2005-10-27,12.495,12.495,11.75,12,8000,0.0,1.0
2005-10-28,11.6575,11.97,11,11.49,24000,0.0,1.0
2005-10-31,11.9,12.2,11.5,11.625,32000,0.0,1.0
2005-11-02,11.535,11.745,11.295,11.295,20000,0.0,1.0
2005-11-07,11.4,11.5,11,11.25,48000,0.0,1.0
2005-11-08,11.4,11.4,11,11.3425,28000,0.0,1.0
2005-11-09,11.1,11.445,11.1,11.445,32000,0.0,1.0
2005-11-10,11.2525,11.2525,10.7,10.755,40000,0.0,1.0
2005-11-11,10.7525,11.15,10.75,10.9525,98000,0.0,1.0
2005-11-14,10.675,12.0575,10.675,12.0575,168000,0.0,1.0
2005-11-16,11.75,12.92,11.75,12.5575,126000,0.0,1.0
2005-11-17,12.65,12.9,12.25,12.3025,70000,0.0,1.0
2005-11-18,12.5,12.7,12.05,12.2775,62000,0.0,1.0
2005-11-21,12.35,12.3975,12.1,12.225,48000,0.0,1.0
2005-11-22,12,12,11.5625,11.725,46000,0.0,1.0
2005-11-23,11.9,12.55,11.4,11.85,104000,0.0,1.0
2005-11-24,12.4,12.4,11.25,11.4375,106000,0.0,1.0
2005-11-25,11.45,11.65,11.4,11.4,6000,0.0,1.0
2005-11-28,11.45,11.7325,11.45,11.6225,22000,0.0,1.0
2005-11-29,11.5,11.75,11.5,11.7475,12000,0.0,1.0
2005-11-30,11.9975,12,11.45,11.745,50000,0.0,1.0
2005-12-01,11.52,11.795,11.15,11.575,16000,0.0,1.0
2005-12-02,11.3125,11.5,11.255,11.45,34000,0.0,1.0
2005-12-05,11.9,11.9,11.25,11.425,20000,0.0,1.0
2005-12-06,11.7475,11.8975,11.6,11.795,12000,0.0,1.0
2005-12-07,11.65,11.8975,11.4625,11.65,36000,0.0,1.0
2005-12-08,11.65,11.75,11.56,11.7,20000,0.0,1.0
2005-12-09,11.75,11.89,11.5,11.5625,20000,0.0,1.0
2005-12-12,11.55,12,11.4,11.405,26000,0.0,1.0
2005-12-13,11.6,11.8625,11.5,11.5,10000,0.0,1.0
2005-12-14,11.495,12.495,11.3,11.8825,114000,0.0,1.0
2005-12-15,12.225,12.4175,11.9925,12.095,74000,0.0,1.0
2005-12-16,11.875,12.245,11.8375,11.9,42000,0.0,1.0
2005-12-19,11.7,11.9625,11.7,11.7575,24000,0.0,1.0
2005-12-20,11.705,11.875,11.505,11.675,20000,0.0,1.0
2005-12-21,11.85,11.85,11.6025,11.6025,20000,0.0,1.0
2005-12-22,11.5525,11.75,11.5525,11.75,26000,0.0,1.0
2005-12-23,11.75,11.75,11.4575,11.4575,48000,0.0,1.0
2005-12-26,11.45,11.525,11.25,11.35,34000,0.0,1.0
2005-12-27,11.695,11.695,11.205,11.455,6000,0.0,1.0
2005-12-28,11.6925,11.6925,11.3575,11.415,8000,0.0,1.0
2005-12-29,11.4,11.65,11.3775,11.4525,18000,0.0,1.0
2005-12-30,11.65,11.9275,11.4,11.6,36000,0.0,1.0
2006-01-02,11.675,11.9,11.5,11.6,30000,0.0,1.0
2006-01-03,11.795,11.8,11.55,11.75,30000,0.0,1.0
2006-01-04,11.9,11.9,11.575,11.7,18000,0.0,1.0
2006-01-05,11.7425,11.7425,11.5775,11.585,10000,0.0,1.0
2006-01-06,11.645,11.775,11.425,11.6,40000,0.0,1.0
2006-01-09,11.35,11.7,11.35,11.5875,52000,0.0,1.0
2006-01-10,11.5,11.7175,11.5,11.55,10000,0.0,1.0
2006-01-12,10.95,11.7,10.9,11.3525,20000,0.0,1.0
2006-01-13,11.6,11.6,11.35,11.45,20000,0.0,1.0
