date,open,high,low,close,volume,dividend,split
2000-06-01,37.299999,37.299999,36,36.599998,12900,0.0,1.0
2000-06-02,36.5,38,36.5,37.950001,22600,0.0,1.0
2000-06-05,39.5,40,37.650002,37.849998,24100,0.0,1.0
2000-06-06,39,40.799999,37.200001,40.349998,20000,0.0,1.0
2000-06-07,39.349998,42,39.099998,42,35200,0.0,1.0
2000-06-08,42.599998,44.200001,42.400002,43,27000,0.0,1.0
2000-06-09,41,43.349998,40.099998,42.349998,47000,0.0,1.0
2000-06-12,42.900002,42.900002,40.5,40.599998,18000,0.0,1.0
2000-06-13,40,40.900002,38.400002,40,19100,0.0,1.0
2000-06-14,40,41.349998,40,40,13800,0.0,1.0
2000-06-15,39.5,40,38.5,39.849998,11200,0.0,1.0
2000-06-16,39.599998,40.299999,39,39.400002,15400,0.0,1.0
2000-06-19,39.400002,39.400002,39.400002,39.400002,0,0.0,1.0
2000-06-20,42.150002,42.799999,41.5,41.650002,28602,0.0,1.0
2000-06-21,40.900002,42.099998,39.599998,39.650002,17350,0.0,1.0
2000-06-22,39.349998,40.349998,38.599998,40,10975,0.0,1.0
2000-06-23,40.099998,40.799999,38,38.200001,24040,0.0,1.0
2000-06-26,38.150002,39.299999,38.150002,39.200001,14900,0.0,1.0
2000-06-27,40.099998,40.5,39.099998,39.200001,7000,0.0,1.0
2000-06-28,38.849998,40.5,38.849998,39.900002,4585,0.0,1.0
2000-06-29,40.299999,40.900002,39.599998,39.799999,11765,0.0,1.0
2000-06-30,39.200001,39.599998,38.549999,39.049999,21874,0.0,1.0
2000-07-03,40.200001,40.5,38.5,39,13526,0.0,1.0
2000-07-04,38.5,38.799999,37.599998,38.049999,11977,0.0,1.0
2000-07-05,38.5,39,37.599998,38.75,19864,0.0,1.0
2000-07-06,38.599998,39,37.849998,39,10592,0.0,1.0
2000-07-07,39,39,39,39,0,0.0,1.0
2000-07-10,39,39,39,39,0,0.0,1.0
2000-07-11,38.700001,39.200001,38.450001,38.450001,6538,0.0,1.0
2000-07-12,38.650002,39.849998,38.650002,39.849998,9702,0.0,1.0
2000-07-13,40,40.75,39.5,39.799999,9700,0.0,1.0
2000-07-14,39.799999,39.900002,38.650002,38.650002,1800,0.0,1.0
2000-07-17,38.700001,38.900002,38.400002,38.599998,6161,0.0,1.0
2000-07-18,38,38.349998,36.5,37.5,14321,0.0,1.0
2000-07-19,36.75,36.75,36,36.099998,4819,0.0,1.0
2000-07-20,35.5,36.25,35.349998,35.900002,7500,0.0,1.0
2000-07-21,35.799999,35.799999,35.150002,35.200001,27428,0.0,1.0
2000-07-24,35.200001,35.200001,35.200001,35.200001,0,0.0,1.0
2000-07-25,32.5,32.5,31.700001,31.75,10746,0.0,1.0
2000-07-26,32.400002,32.450001,31.5,32.349998,5920,0.0,1.0
2000-07-27,32.349998,32.349998,32.349998,32.349998,0,0.0,1.0
2000-07-28,33.849998,33.849998,32.5,32.599998,7086,0.0,1.0
2000-07-31,32.450001,32.700001,32.450001,32.5,2200,0.0,1.0
2000-08-01,32.599998,32.599998,32,32.150002,2100,0.0,1.0
2000-08-02,32,32.599998,32,32.599998,4000,0.0,1.0
2000-08-03,32.5,32.75,31.950001,32.200001,6050,0.0,1.0
2000-08-04,32.400002,32.400002,31.450001,32,5606,0.0,1.0
2000-08-07,31.25,31.25,31.25,31.25,1600,0.0,1.0
2000-08-08,31.549999,31.75,31.200001,31.75,1334,0.0,1.0
2000-08-09,31.65,31.75,31.5,31.5,3650,0.0,1.0
2000-08-10,31.35,32.099998,31.25,31.25,4284,0.0,1.0
2000-08-11,31.200001,31.35,31,31,14783,0.0,1.0
2000-08-14,31.049999,31.049999,31.049999,31.049999,1500,0.0,1.0
2000-08-15,31.049999,31.049999,31.049999,31.049999,0,0.0,1.0
2000-08-16,31.799999,32,31.700001,32,4857,0.0,1.0
2000-08-17,31.85,31.85,31.85,31.85,500,0.0,1.0
2000-08-18,31.549999,32.099998,31.549999,32,12700,0.0,1.0
2000-08-21,32.400002,32.900002,32.400002,32.549999,9200,0.0,1.0
2000-08-22,32.400002,32.599998,32.25,32.599998,5900,0.0,1.0
2000-08-23,32.599998,32.700001,32.400002,32.400002,3417,0.0,1.0
2000-08-24,32.400002,32.5,32.299999,32.450001,3510,0.0,1.0
2000-08-25,32.599998,32.75,32.599998,32.650002,3630,0.0,1.0
2000-08-28,32.75,32.75,32.299999,32.299999,5167,0.0,1.0
2000-08-29,32.299999,32.5,32.150002,32.349998,6627,0.0,1.0
2000-08-30,32.599998,32.700001,32.150002,32.150002,3800,0.0,1.0
2000-08-31,32.200001,32.5,32.099998,32.200001,3700,0.0,1.0
2000-09-01,32.200001,32.200001,32.200001,32.200001,0,0.0,1.0
2000-09-04,32.799999,33.25,32.700001,32.900002,3900,0.0,1.0
2000-09-05,33,33.150002,32.799999,33.049999,2300,0.0,1.0
2000-09-06,33.099998,33.299999,32.900002,33.200001,1750,0.0,1.0
2000-09-07,33.099998,33.299999,33.099998,33.25,2250,0.0,1.0
2000-09-08,33,33,32.299999,32.299999,1900,0.0,1.0
2000-09-11,32.400002,32.700001,32.299999,32.450001,9434,0.0,1.0
2000-09-12,32.400002,32.400002,32.150002,32.25,2700,0.0,1.0
2000-09-13,32.299999,32.349998,32.150002,32.349998,1305,0.0,1.0
2000-09-14,32,32,31.799999,31.799999,3535,0.0,1.0
2000-09-15,31.85,31.85,31.4,31.4,5878,0.0,1.0
2000-09-18,31.4,31.4,31.4,31.4,0,0.0,1.0
2000-09-19,31.4,31.4,31.4,31.4,0,0.0,1.0
2000-09-20,30.450001,30.6,29.4,30.4,6596,0.0,1.0
2000-09-21,30.15,30.25,29.5,30,102740,0.0,1.0
2000-09-22,29.25,29.25,28.75,28.799999,13220,0.0,1.0
2000-09-25,29.5,29.549999,29.25,29.5,500,0.0,1.0
2000-09-26,29.5,29.5,29.5,29.5,0,0.0,1.0
2000-09-27,29.5,29.5,29.5,29.5,0,0.0,1.0
2000-09-28,29.6,29.6,29.200001,29.4,2128,0.0,1.0
2000-09-29,29.4,29.4,29.4,29.4,0,0.0,1.0
2000-10-02,29.4,29.4,29.4,29.4,0,0.0,1.0
2000-10-03,29.200001,29.549999,29.200001,29.299999,2495,0.0,1.0
2000-10-04,29.5,29.5,29.5,29.5,750,0.0,1.0
2000-10-05,29.6,29.6,29.4,29.4,2243,0.0,1.0
2000-10-06,29.200001,29.35,29.200001,29.299999,3176,0.0,1.0
2000-10-09,29.450001,29.450001,29.25,29.25,2347,0.0,1.0
2000-10-10,29.299999,29.299999,29.25,29.25,450,0.0,1.0
2000-10-11,27.799999,28.75,27.65,28.75,3987,0.0,1.0
2000-10-12,27.9,27.9,27.9,27.9,50,0.0,1.0
2000-10-13,27.5,27.700001,27.5,27.6,4276,0.0,1.0
2000-10-16,28.25,28.25,28.1,28.1,1600,0.0,1.0
2000-10-17,27,27,26.35,26.85,4167,0.0,1.0
2000-10-18,26,26,25.700001,25.75,1420,0.0,1.0
2000-10-19,24.799999,25.25,24.799999,25.25,200,0.0,1.0
2000-10-20,25.25,25.25,25.25,25.25,0,0.0,1.0
2000-10-23,23.5,23.5,23,23.1,3000,0.0,1.0
2000-10-24,23.200001,23.200001,22.75,23,5945,0.0,1.0
2000-10-25,23,23,23,23,0,0.0,1.0
2000-10-26,23,23,23,23,0,0.0,1.0
2000-10-27,21.5,21.5,21.25,21.25,1000,0.0,1.0
2000-10-30,21.15,21.15,21.15,21.15,3200,0.0,1.0
2000-10-31,21.15,21.15,21.15,21.15,0,0.0,1.0
2000-11-01,20.25,20.299999,20.25,20.299999,2050,0.0,1.0
2000-11-02,20.299999,21.1,20.15,21.049999,2556,0.0,1.0
2000-11-03,21.25,21.9,21.25,21.9,3242,0.0,1.0
2000-11-06,22.700001,23.299999,22.4,23.299999,5578,0.0,1.0
2000-11-07,22.65,24.4,22.65,24,4977,0.0,1.0
2000-11-08,24.5,25,24.5,24.75,5887,0.0,1.0
2000-11-09,24.75,24.75,24.6,24.6,3165,0.0,1.0
2000-11-10,25.200001,25.200001,24.1,24.1,1700,0.0,1.0
2000-11-13,23.4,23.4,23.35,23.35,150,0.0,1.0
2000-11-14,23.200001,24,23.200001,24,31180,0.0,1.0
2000-11-15,24.5,24.5,24.450001,24.450001,5134,0.0,1.0
2000-11-16,24.700001,25.35,24.700001,25.35,2515,0.0,1.0
2000-11-17,25.200001,25.75,24.75,25.5,7337,0.0,1.0
2000-11-20,26.5,27,26.25,26.5,8740,0.0,1.0
2000-11-21,26,26,25.6,25.6,303,0.0,1.0
2000-11-22,25.299999,25.299999,25.299999,25.299999,300,0.0,1.0
2000-11-23,25.299999,25.65,25.299999,25.65,451,0.0,1.0
2000-11-24,25.6,25.6,25.549999,25.549999,2600,0.0,1.0
2000-11-27,25.85,26.5,25.85,26.5,4600,0.0,1.0
2000-11-28,27,27,26.75,27,5267,0.0,1.0
2000-11-29,27,27.450001,26.5,26.799999,3479,0.0,1.0
2000-11-30,27,27,26.299999,26.299999,1499,0.0,1.0
2000-12-01,26.15,28.35,26.15,27.950001,3370,0.0,1.0
2000-12-04,28.5,28.700001,28.5,28.5,4528,0.0,1.0
2000-12-05,30,30,29.700001,29.700001,500,0.0,1.0
2000-12-06,29.950001,29.950001,29.049999,29.049999,1240,0.0,1.0
