date,open,high,low,close,volume,dividend,split
1995-05-02,31,31,29,29.5,0,0.0,1.0
1995-05-03,29,30,29,29.5,0,0.0,1.0
1995-05-04,29.5,31,29.5,30,0,0.0,1.0
1995-05-05,30,32,30,31,0,0.0,1.0
1995-05-08,31.5,33.5,31.5,32.5,0,0.0,1.0
1995-05-09,32,34,32,34,0,0.0,1.0
1995-05-10,33.5,35,33,33,0,0.0,1.0
1995-05-12,33.5,33.5,32.5,33,0,0.0,1.0
1995-05-15,32.5,33,31,32,0,0.0,1.0
1995-05-16,32,32.5,31.5,31.5,0,0.0,1.0
1995-05-17,32.5,32.5,31.5,31.5,0,0.0,1.0
1995-05-18,32,33,31.5,32.5,0,0.0,1.0
1995-05-19,33,35,33,34,0,0.0,1.0
1995-05-22,38,38,35,36,0,0.0,1.0
1995-05-23,39,39,36.5,37,0,0.0,1.0
1995-05-24,37,38.5,37,38,0,0.0,1.0
1995-05-25,38,39,37.5,38,0,0.0,1.0
1995-05-26,37.400002,39,37.400002,38,0,0.0,1.0
1995-05-29,37.5,38.5,37.5,38.5,0,0.0,1.0
1995-05-30,38,38.5,37.5,38.5,0,0.0,1.0
1995-05-31,38,38,37,38,0,0.0,1.0
1996-03-18,13,13,12.8,12.8,0,0.0,1.0
1996-03-19,13.2,13.2,13.2,13.2,0,0.0,1.0
1996-03-21,13.1,13.2,12.8,12.9,0,0.0,1.0
1996-03-22,12.8,12.9,12.8,12.9,0,0.0,1.0
1996-03-25,12.9,12.9,12.8,12.8,0,0.0,1.0
1996-03-26,12.8,13.2,12.8,13.2,0,0.0,1.0
1996-03-27,13.2,13.2,12.8,13,0,0.0,1.0
1996-03-29,13,13,12.8,12.8,0,0.0,1.0
1996-04-02,13.2,13.2,13,13,0,0.0,1.0
1996-04-03,13.2,13.4,13,13.3,0,0.0,1.0
1996-04-04,13.4,13.4,13.4,13.4,0,0.0,1.0
1996-04-05,13.6,13.6,13.2,13.2,0,0.0,1.0
1996-04-08,13.2,13.5,13.2,13.5,0,0.0,1.0
1996-04-09,13.4,13.6,13.2,13.6,0,0.0,1.0
1996-04-10,13.2,13.7,13.2,13.7,0,0.0,1.0
1996-04-11,13.2,13.4,13.2,13.2,0,0.0,1.0
1996-04-12,13.2,13.7,13.2,13.7,0,0.0,1.0
1996-04-15,13.2,13.7,13.2,13.7,0,0.0,1.0
1996-04-16,13.6,13.6,13.5,13.6,0,0.0,1.0
1996-04-17,13.7,13.7,13.4,13.6,0,0.0,1.0
1996-04-18,13.8,14.2,13.8,14.2,0,0.0,1.0
1996-04-22,14.2,15.2,14.2,14.8,0,0.0,1.0
1996-04-23,14.6,14.6,14.4,14.5,0,0.0,1.0
1996-04-24,15,15,14.6,14.8,0,0.0,1.0
1996-04-25,15,15,13.4,14.6,0,0.0,1.0
1996-04-26,14.4,14.8,14.3,14.6,0,0.0,1.0
1996-04-30,14.4,14.4,14.2,14.3,0,0.0,1.0
1996-05-02,14.4,14.7,14.4,14.6,0,0.0,1.0
1996-05-03,14.4,14.6,14,14.2,0,0.0,1.0
1996-05-06,14.2,14.4,14,14.3,0,0.0,1.0
1996-05-08,14.5,15,14.1,14.1,0,0.0,1.0
1996-05-09,14.4,14.4,14.2,14.3,0,0.0,1.0
1996-05-10,13.6,14.1,13.6,14.1,0,0.0,1.0
1996-05-13,13.6,14,13.6,14,0,0.0,1.0
1996-05-14,13.8,14.2,13.8,14.2,0,0.0,1.0
1996-05-15,14.1,14.1,14,14.1,0,0.0,1.0
1996-05-16,14.2,14.5,14.2,14.3,0,0.0,1.0
1996-05-17,14.2,14.5,14.1,14.2,0,0.0,1.0
1996-05-20,14.3,14.3,13.6,13.9,0,0.0,1.0
1996-05-21,13.8,13.8,13.6,13.6,0,0.0,1.0
1996-05-22,13.8,13.8,13.6,13.7,0,0.0,1.0
