date,open,high,low,close,volume,dividend,split
2002-07-01,312.5,320.799988,310.51001,315,567,0.0,1.0
2002-07-02,321,325,319,320.420013,249,0.0,1.0
2002-07-03,317.5,317.5,310,311.5,86,0.0,1.0
2002-07-04,317.5,317.5,310,310,54,0.0,1.0
2002-07-05,310.5,314,310,314,11,0.0,1.0
2002-07-08,324,325,320,323.600006,1283,0.0,1.0
2002-07-09,329,330.600006,312.519989,312.519989,801,0.0,1.0
2002-07-10,315,315,310,310,11,0.0,1.0
2002-07-11,313.279999,313.279999,312.100006,313.279999,379,0.0,1.0
2002-07-12,313.200012,317,313.200012,315,135,0.0,1.0
2002-07-15,310,316.5,310,316.5,983,0.0,1.0
2002-07-16,311,327.5,311,314.290009,297,0.0,1.0
2002-07-17,315,315,312,312,556,0.0,1.0
2002-07-19,310,310,301.01001,305.019989,23,0.0,1.0
2002-07-22,305.5,309.899994,302,302,521,0.0,1.0
2002-07-23,309.899994,310.799988,309.799988,310.600006,29,0.0,1.0
2002-07-24,306.029999,306.029999,305,305,41,0.0,1.0
2002-07-25,291.100006,305,291.100006,305,6,0.0,1.0
2002-07-26,300.910004,305,300.5,300.799988,35,0.0,1.0
2002-07-29,305,305,300.100006,300.600006,531,0.0,1.0
2002-07-30,307,313,303,303.769989,247,0.0,1.0
2002-07-31,305,305,296,304.5,1216,0.0,1.0
2002-08-01,304.5,304.5,298,302.100006,82,0.0,1.0
2002-08-02,302,302.5,300,300,10,0.0,1.0
2002-08-05,306,306,295.5,300,174,0.0,1.0
2002-08-07,299.5,302.5,299,299.200012,61,0.0,1.0
2002-08-08,298.5,302.100006,298.5,302.100006,60,0.0,1.0
2002-08-09,299.5,299.5,299.5,299.5,17,0.0,1.0
2002-08-12,290.51001,302.5,290.51001,300,34,0.0,1.0
2002-08-13,301,301,298,298.5,14,0.0,1.0
2002-08-14,296.600006,302.399994,296.600006,302.399994,209,0.0,1.0
2002-08-19,304,304,304,304,5,0.0,1.0
2002-08-20,304,306.5,303,303.670013,49,0.0,1.0
2002-08-21,309,309.5,300,301.690002,120,0.0,1.0
2002-08-22,301,303.5,300.200012,300.200012,15,0.0,1.0
2002-08-23,301.100006,301.100006,301,301,10,0.0,1.0
2002-08-26,300.5,304.799988,299.799988,300,96,0.0,1.0
2002-08-27,297,297,296.100006,296.100006,5,0.0,1.0
2002-08-28,298,301,297.5,301,9,0.0,1.0
2002-08-29,297.5,297.5,297.5,297.5,10,0.0,1.0
2002-08-30,296.5,296.5,296.5,296.5,5,0.0,1.0
2002-09-02,300,301,300,301,19,0.0,1.0
2002-09-03,300,300,300,300,125,0.0,1.0
2002-09-04,301.100006,301.100006,301,301,32,0.0,1.0
2002-09-05,302,303.799988,301,303.799988,11,0.0,1.0
2002-09-09,304.399994,304.399994,303,303,40,0.0,1.0
2002-09-11,302.5,305,302.5,305,25,0.0,1.0
2002-09-12,301,303,301,302.970001,25,0.0,1.0
2002-09-13,300.600006,300.600006,300.5,300.5,25,0.0,1.0
2002-09-16,301.100006,301.5,301.100006,301.5,16,0.0,1.0
2002-09-17,300.100006,300.100006,300.100006,300.100006,2,0.0,1.0
2002-09-18,298.5,298.5,298.5,298.5,36,0.0,1.0
2002-09-19,297.5,299.899994,295,296.940002,335,0.0,1.0
2002-09-23,291.100006,291.100006,291.100006,291.100006,15,0.0,1.0
2002-09-24,290.700012,290.700012,290,290,35,0.0,1.0
2002-09-25,295,297.899994,295,297.890015,7,0.0,1.0
2002-09-27,290,290,290,290,3,0.0,1.0
2002-09-30,287.5,287.5,287.5,287.5,100,0.0,1.0
2002-10-01,287.5,287.5,287.5,287.5,3,0.0,1.0
2002-10-03,290,290,290,290,5,0.0,1.0
2002-10-04,285,285,285,285,1,0.0,1.0
2002-10-07,280.109985,284.5,275,284.5,64,0.0,1.0
2002-10-08,289.5,289.5,281.5,282,300,0.0,1.0
2002-10-09,291,291,282,286.5,100,0.0,1.0
2002-10-10,282,296,282,282,233,0.0,1.0
2002-10-11,285,285,283,283,2,0.0,1.0
2002-10-14,290,290,284.600006,284.600006,2,0.0,1.0
2002-10-16,296,296,296,296,16,0.0,1.0
2002-10-17,300,300,300,300,6,0.0,1.0
2002-10-18,300,305.100006,300,300.190002,58,0.0,1.0
2002-10-21,292.51001,301.700012,292.51001,300.290009,32,0.0,1.0
2002-10-22,302,307.799988,302,306.450012,409,0.0,1.0
2002-10-23,303,310,303,307.230011,649,0.0,1.0
2002-10-24,306,306,305,305.470001,37,0.0,1.0
2002-10-25,305.100006,309,305.01001,305.570007,49,0.0,1.0
2002-10-28,305.5,305.5,305.5,305.5,7,0.0,1.0
2002-10-29,314.980011,314.98999,307.01001,307.589996,35,0.0,1.0
2002-10-30,306.100006,306.100006,306.100006,306.100006,4,0.0,1.0
2002-10-31,306.100006,306.600006,306.100006,306.200012,17,0.0,1.0
2002-11-01,305.100006,305.100006,305,305,19,0.0,1.0
