date,open,high,low,close,volume,dividend,split
2011-09-05,110,131.100006,57.75,59.549999,30216312,0.0,1.0
2011-09-06,58,61.700001,51.099998,53.25,5777380,0.0,1.0
2011-09-07,53,53,42.799999,42.799999,4612372,0.0,1.0
2011-09-08,38.549999,43.450001,38.549999,41.299999,2196566,0.0,1.0
2011-09-09,41,43.900002,40.25,42.099998,1275518,0.0,1.0
2011-09-12,40.900002,41.5,38.150002,38.950001,440357,0.0,1.0
2011-09-13,39.900002,39.900002,36.450001,36.799999,440720,0.0,1.0
2011-09-14,36.349998,37,33.599998,33.900002,442451,0.0,1.0
2011-09-15,33.099998,33.950001,32.25,32.400002,313031,0.0,1.0
2011-09-16,32,33.799999,32,32.549999,273178,0.0,1.0
2011-09-19,32.200001,32.5,31,31.15,154436,0.0,1.0
2011-09-20,31.15,31.950001,31,31.35,160280,0.0,1.0
2011-09-21,31.450001,31.9,30.450001,30.549999,130961,0.0,1.0
2011-09-22,30.1,30.35,29.049999,29.049999,132336,0.0,1.0
2011-09-23,28.6,28.6,27.6,27.6,87872,0.0,1.0
2011-09-26,27.6,27.6,26.25,26.25,76857,0.0,1.0
2011-09-27,26.200001,26.25,25,25.25,134393,0.0,1.0
2011-09-28,25.450001,26.35,25,25.700001,131600,0.0,1.0
2011-09-29,25.049999,26.200001,24.450001,24.450001,74887,0.0,1.0
2011-09-30,24.4,24.450001,23.25,23.25,96675,0.0,1.0
2011-10-03,23.200001,23.200001,22.1,22.1,61156,0.0,1.0
2011-10-04,21.299999,22.25,21,21,98256,0.0,1.0
2011-10-05,20.950001,21,20,20,83442,0.0,1.0
2011-10-07,19.950001,21,19.950001,21,104307,0.0,1.0
2011-10-10,22.049999,22.049999,21.799999,22.049999,22738,0.0,1.0
2011-10-11,23.15,23.15,23.15,23.15,13725,0.0,1.0
2011-10-12,24.299999,24.299999,23.6,24.299999,143050,0.0,1.0
2011-10-13,25.4,25.5,25,25.5,64672,0.0,1.0
2011-10-14,26.5,26.6,24.25,24.85,204054,0.0,1.0
2011-10-17,25.200001,25.200001,23.65,23.65,38316,0.0,1.0
2011-10-18,23,23,22.5,22.549999,36008,0.0,1.0
2011-10-19,22.049999,23.200001,22.049999,22.799999,41303,0.0,1.0
2011-10-20,22.799999,22.85,21.799999,22.049999,22743,0.0,1.0
2011-10-21,22.1,22.75,21.1,21.450001,43183,0.0,1.0
2011-10-24,21.4,21.799999,20.75,20.9,25691,0.0,1.0
2011-10-25,20.950001,20.950001,20,20.15,30522,0.0,1.0
2011-10-28,22.1,22.1,21.4,22.1,43041,0.0,1.0
2011-10-31,22.200001,23.200001,22,23,54967,0.0,1.0
2011-11-01,22.35,23.450001,22.1,22.549999,52327,0.0,1.0
2011-11-02,22.549999,22.799999,21.549999,21.85,33738,0.0,1.0
2011-11-03,22.799999,22.799999,21.15,21.65,9341,0.0,1.0
