date,open,high,low,close,volume,dividend,split
2017-09-25,399,399,335.649994,342.399994,3442447,0.0,1.0
2017-09-26,345,352.5,328.700012,338.549988,629721,0.0,1.0
2017-09-27,341,370.899994,338,346.25,1346624,0.0,1.0
2017-09-28,351.700012,360.899994,348,351,323840,0.0,1.0
2017-09-29,353.899994,356.75,334.049988,338.100006,336381,0.0,1.0
2017-10-03,343,344.799988,329.75,332.700012,201002,0.0,1.0
2017-10-04,334.899994,343.799988,327.299988,334.149994,194628,0.0,1.0
2017-10-05,336.950012,341.950012,329,333.799988,197670,0.0,1.0
2017-10-06,334.200012,341.5,334.049988,335.450012,115872,0.0,1.0
2017-10-09,336.700012,344.450012,334,335.799988,136594,0.0,1.0
2017-10-10,338,340.600006,335.100006,336.25,113172,0.0,1.0
2017-10-11,338.100006,358.350006,337.049988,341.399994,424524,0.0,1.0
2017-10-12,342.25,352.399994,340.25,350.850006,327001,0.0,1.0
2017-10-13,352,354.700012,342.049988,343.450012,125199,0.0,1.0
2017-10-16,347,347,339,341.5,63671,0.0,1.0
2017-10-17,341,348,339.5,342.850006,65772,0.0,1.0
2017-10-18,340.200012,349.899994,340.149994,341.450012,81771,0.0,1.0
2017-10-19,343.5,344.549988,340.100006,341.100006,27396,0.0,1.0
2017-10-23,343,348.450012,342,342.950012,71105,0.0,1.0
2017-10-24,342.049988,348,338.5,339.899994,53978,0.0,1.0
2017-10-25,339.899994,345,335.25,336.399994,50999,0.0,1.0
2017-10-26,337,340.299988,333.600006,334.600006,46312,0.0,1.0
2017-10-27,337,338.649994,333.399994,334.200012,42498,0.0,1.0
2017-10-30,332.700012,342,331,336.049988,57780,0.0,1.0
2017-10-31,334,341.450012,334,335.700012,35050,0.0,1.0
2017-11-01,335.700012,346.350006,335.700012,339.649994,156554,0.0,1.0
2017-11-02,338.149994,354.399994,338.149994,348.700012,190373,0.0,1.0
2017-11-03,349.100006,370.950012,349.100006,367.049988,340276,0.0,1.0
2017-11-06,371,388.799988,371,381.950012,292357,0.0,1.0
2017-11-07,384.049988,387.899994,361.25,365.049988,126353,0.0,1.0
2017-11-08,362,377.700012,362,370.049988,97113,0.0,1.0
2017-11-09,373,379.850006,356.850006,360.200012,184345,0.0,1.0
2017-11-10,361,362,347.25,350.299988,85197,0.0,1.0
2017-11-13,354.600006,357,346,347.5,211011,0.0,1.0
2017-11-14,350,350.799988,340.700012,341.549988,36748,0.0,1.0
2017-11-15,341.700012,347.299988,326.100006,333.75,79535,0.0,1.0
2017-11-16,337,337,330,331.299988,70358,0.0,1.0
2017-11-17,334,344.899994,334,342.450012,96160,0.0,1.0
