date,open,high,low,close,volume,dividend,split
2002-07-01,5.074,5.208,5.074,5.162,15960,0.0,1.0
2002-07-02,5.171,5.269,5.139,5.231,8860,0.0,1.0
2002-07-03,5.19,5.431,5.185,5.398,10910,0.0,1.0
2002-07-04,5.556,5.556,5.454,5.463,6390,0.0,1.0
2002-07-05,5.532,5.602,5.431,5.551,18360,0.0,1.0
2002-07-08,5.782,5.977,5.662,5.884,23280,0.0,1.0
2002-07-09,5.898,5.898,5.792,5.792,17540,0.0,1.0
2002-07-10,5.653,5.833,5.653,5.694,10560,0.0,1.0
2002-07-11,5.648,5.787,5.648,5.718,13700,0.0,1.0
2002-07-12,5.606,5.671,5.606,5.625,5740,0.0,1.0
2002-07-15,5.56,5.56,5.343,5.468,7450,0.0,1.0
2002-07-16,5.324,5.324,5.185,5.185,15000,0.02126,1.0
2002-07-17,5.185,5.19,5,5.144,8300,0.0,1.0
2002-07-18,5.37,5.37,5.37,5.37,1910,0.0,1.0
2002-07-19,5.394,5.509,5.31,5.435,5560,0.0,1.0
2002-07-22,5.648,5.694,5.231,5.264,33290,0.0,1.0
2002-07-23,5.208,5.37,5.208,5.287,4000,0.0,1.0
2002-07-24,5.431,5.431,5.292,5.324,4700,0.0,1.0
2002-07-25,5.44,5.463,5.139,5.185,9580,0.0,1.0
2002-07-26,5.093,5.093,4.958,5.014,7880,0.0,1.0
2002-07-29,4.722,4.773,4.63,4.694,17270,0.0,1.0
2002-07-30,4.861,4.861,4.537,4.588,7340,0.0,1.0
2002-07-31,4.63,4.745,4.63,4.745,5400,0.0,1.0
2002-08-01,4.782,4.954,4.722,4.801,7270,0.0,1.0
2002-08-02,4.63,4.769,4.63,4.722,2810,0.0,1.0
2002-08-05,4.63,4.861,4.63,4.838,3630,0.0,1.0
2002-08-06,4.856,4.894,4.722,4.722,13030,0.0,1.0
2002-08-07,5.042,5.042,4.815,4.819,6030,0.0,1.0
2002-08-08,4.815,4.815,4.773,4.773,1410,0.0,1.0
2002-08-09,5,5,5,5,1000,0.0,1.0
2002-08-12,4.935,4.935,4.815,4.931,2300,0.0,1.0
2002-08-13,4.815,4.926,4.815,4.921,21900,0.0,1.0
2002-08-14,4.773,4.87,4.773,4.87,15460,0.0,1.0
2002-08-15,4.87,4.87,4.87,4.87,0,0.0,1.0
2002-08-16,4.931,4.931,4.889,4.889,1240,0.0,1.0
2002-08-19,4.921,4.921,4.815,4.838,1640,0.0,1.0
