date,open,high,low,close,volume,dividend,split
2012-12-26,949,986.200012,896.200012,923.950012,4824676,0.0,1.0
2012-12-27,933.599976,948.700012,915.049988,934.599976,732091,0.0,1.0
2012-12-28,931.900024,944.25,921,926.900024,183397,0.0,1.0
2012-12-31,926.099976,929.25,911.25,914.549988,77593,0.0,1.0
2013-01-01,919.400024,930.5,910.549988,919.549988,137567,0.0,1.0
2013-01-02,919,935.400024,915.549988,922.900024,160236,0.0,1.0
2013-01-03,925,957.200012,924,934,344365,0.0,1.0
2013-01-04,935,940,927,934.450012,73470,0.0,1.0
2013-01-07,938,947.799988,926.450012,929.349976,120161,0.0,1.0
2013-01-08,932.25,934.099976,917,921.049988,28956,0.0,1.0
2013-01-09,924.099976,931.200012,916.349976,921.599976,43233,0.0,1.0
2013-01-10,927.049988,947.5,927,935.75,324222,0.0,1.0
2013-01-11,942,955,935,937.75,104377,0.0,1.0
2013-01-14,938.049988,943.5,922,924.150024,48405,0.0,1.0
2013-01-15,925.099976,936.900024,920.599976,931.200012,36250,0.0,1.0
2013-01-16,936,936,915.75,918.099976,16607,0.0,1.0
2013-01-17,922,930,920.150024,923.25,15636,0.0,1.0
2013-01-18,927,929.400024,920.099976,921.599976,8052,0.0,1.0
2013-01-21,925.950012,931.450012,924.049988,926.349976,11739,0.0,1.0
2013-01-22,926.450012,931.25,923.700012,926.5,12266,0.0,1.0
2013-01-23,925.5,940.700012,921.349976,927.299988,30410,0.0,1.0
2013-01-24,930,933,910.099976,916.599976,11744,0.0,1.0
2013-01-25,918.599976,927.950012,918.5,923.049988,9553,0.0,1.0
2013-01-28,927.150024,930,914,916.650024,7947,0.0,1.0
2013-01-29,920.099976,920.099976,867.349976,876.700012,50456,0.0,1.0
2013-01-30,881.049988,890.5,861.349976,865.299988,13516,0.0,1.0
2013-01-31,867.75,867.799988,836,843.75,20104,0.0,1.0
2013-02-01,845.299988,871.799988,845.200012,853.5,16990,0.0,1.0
2013-02-04,856,859.75,828.099976,832.049988,9944,0.0,1.0
2013-02-05,830,834.799988,820,825.549988,12640,0.0,1.0
2013-02-06,829.75,829.75,819,820.349976,8973,0.0,1.0
2013-02-07,820.400024,846.900024,820.349976,828.950012,18400,0.0,1.0
2013-02-08,830.900024,831.799988,822.5,824.150024,6649,0.0,1.0
2013-02-11,830,830,821.950012,823.549988,3933,0.0,1.0
2013-02-12,825.650024,830,822,823.150024,2585,0.0,1.0
2013-02-13,824.900024,837.5,822,824.25,4825,0.0,1.0
2013-02-14,829.799988,836.900024,820,826.25,5471,0.0,1.0
2013-02-15,830,833,824.799988,828.950012,4172,0.0,1.0
2013-02-18,838,838,830.049988,834.849976,2466,0.0,1.0
2013-02-19,835.099976,835.099976,825,825.599976,2011,0.0,1.0
2013-02-20,827,829.900024,820.049988,822,52794,0.0,1.0
2013-02-21,821.549988,822,812,813.25,8455,0.0,1.0
2013-02-22,813.5,821.5,806.799988,810.650024,4296,0.0,1.0
2013-02-25,829.900024,829.950012,795.099976,798.150024,4178,0.0,1.0
2013-02-26,796,797.049988,763,767.25,11658,0.0,1.0
2013-02-27,769.700012,814.349976,766,806.299988,18836,0.0,1.0
2013-02-28,820,820,806.150024,812.099976,10300,0.0,1.0
2013-03-01,813.200012,813.200012,780.25,788.5,7032,0.0,1.0
2013-03-04,789.200012,796.5,780.049988,782.700012,4879,0.0,1.0
2013-03-05,783.099976,802.950012,780.900024,799.150024,11239,0.0,1.0
2013-03-06,798.25,800.299988,792,794.599976,2410,0.0,1.0
2013-03-07,787,788.700012,766.450012,772.099976,5477,10.11418,1.0
2013-03-08,773.650024,805,773.650024,795,20926,0.0,1.0
2013-03-11,799.900024,800,787.849976,797.599976,4812,0.0,1.0
2013-03-12,798,800,791.75,795.75,35621,0.0,1.0
2013-03-13,800,804.049988,795,797,2576,0.0,1.0
2013-03-14,799.5,807.700012,790,796.799988,3071,0.0,1.0
2013-03-15,794.299988,831,785,819.349976,14405,0.0,1.0
2013-03-18,815,817.900024,803.150024,813.049988,3517,0.0,1.0
2013-03-19,815,816.599976,785,793.049988,1819,0.0,1.0
2013-03-20,794,796.049988,775,787.599976,4567,0.0,1.0
2013-03-21,792.349976,795.450012,771.5,774.549988,1910,0.0,1.0
2013-03-22,770.150024,799.400024,758,782.799988,7499,0.0,1.0
2013-03-25,799.950012,814.450012,782.5,783.349976,3478,0.0,1.0
2013-03-26,789.950012,799,782.299988,795.200012,11307,0.0,1.0
2013-03-28,785.25,812,774,800.900024,3832,0.0,1.0
2013-04-01,812.950012,813,801,810.549988,1619,0.0,1.0
2013-04-02,811,819,805,809.950012,2790,0.0,1.0
2013-04-03,809,813,781,788.950012,4890,0.0,1.0
2013-04-04,787.950012,790,778,780.799988,1569,0.0,1.0
2013-04-05,781,792,769.599976,771.25,1660,0.0,1.0
2013-04-08,775.5,777.799988,764.200012,767,1457,0.0,1.0
2013-04-09,775,785,760,764.099976,1407,0.0,1.0
2013-04-10,765.650024,770,752,753.900024,3655,0.0,1.0
2013-04-11,758.5,772.549988,757.549988,762.150024,2855,0.0,1.0
2013-04-12,752.650024,762.349976,750,755,3170,0.0,1.0
2013-04-15,750,753,745,751.450012,3778,0.0,1.0
2013-04-16,746.049988,761.799988,746,756.700012,2284,0.0,1.0
2013-04-17,757.200012,760.650024,750,751.200012,2410,0.0,1.0
2013-04-18,752,752.900024,742.599976,746.349976,1632,0.0,1.0
2013-04-22,747,753.900024,744.700012,748.25,1252,0.0,1.0
2013-04-23,750.450012,765,743,752.400024,5729,0.0,1.0
2013-04-25,759,759,721,725.299988,5431,0.0,1.0
2013-04-26,725.200012,736.849976,721,731.650024,3439,0.0,1.0
2013-04-29,735.5,737.700012,724,725.950012,1767,0.0,1.0
2013-04-30,732.200012,732.200012,720,722.099976,2688,0.0,1.0
2013-05-02,725.450012,732.900024,710.5,712.900024,2489,0.0,1.0
2013-05-03,714.75,720,694,696.450012,5512,0.0,1.0
2013-05-06,695.549988,729.25,695.099976,700.299988,7241,0.0,1.0
2013-05-07,699.650024,709.549988,685.799988,689.150024,5228,0.0,1.0
2013-05-08,694.450012,726.900024,693,707.900024,17145,0.0,1.0
2013-05-09,712.900024,721,710,712.549988,4182,0.0,1.0
2013-05-10,715,739,712,735.349976,13606,0.0,1.0
2013-05-13,733,746.950012,732,737.150024,5591,0.0,1.0
2013-05-14,744,744,708,715.849976,3294,0.0,1.0
2013-05-15,714.900024,728.099976,705.049988,709.200012,6984,0.0,1.0
2013-05-16,722.049988,767.650024,722.049988,729.900024,34137,0.0,1.0
2013-05-17,737,745.099976,720,722.200012,7359,0.0,1.0
2013-05-20,722,733.200012,718,718.349976,4618,0.0,1.0
2013-05-21,720.200012,737,720,728.650024,7702,0.0,1.0
2013-05-22,733.049988,733.049988,721.599976,723.5,3436,0.0,1.0
2013-05-23,717.549988,717.549988,701.549988,703.799988,3159,0.0,1.0
2013-05-24,708.599976,714.25,697,699.150024,3225,0.0,1.0
2013-05-27,701.049988,711,700,700.799988,2116,0.0,1.0
2013-05-28,704.400024,704.400024,696,697.25,2098,0.0,1.0
2013-05-29,695.75,703.950012,695.049988,697,3335,0.0,1.0
2013-05-30,702,704.349976,693.150024,698.049988,827,0.0,1.0
2013-05-31,698,711,690.200012,706.75,3299,0.0,1.0
2013-06-03,731,765,717.299988,728.299988,35099,0.0,1.0
2013-06-04,728,728,710,712.75,4821,0.0,1.0
2013-06-05,708,710,701.099976,703.799988,1554,0.0,1.0
