date,open,high,low,close,volume,dividend,split
2007-10-15,160.199997,165.050003,147.240005,158.289993,29144720,0.0,1.0
2007-10-16,160,168,153.800003,157.460007,6934550,0.0,1.0
2007-10-17,146,164.729996,131.009995,161.440002,1920225,0.0,1.0
2007-10-18,162,165.979996,145,147.570007,921595,0.0,1.0
2007-10-19,148.020004,149.800003,136.399994,142.949997,481835,0.0,1.0
2007-10-22,140,151.699997,139,150.339996,423715,0.0,1.0
2007-10-23,151.550003,158.770004,150.020004,154.229996,391225,0.0,1.0
2007-10-24,155.789993,158.759995,151,154.850006,287310,0.0,1.0
2007-10-25,156.889999,156.889999,151,154.259995,220135,0.0,1.0
2007-10-26,150.199997,163,150.199997,161.449997,410130,0.0,1.0
2007-10-29,163,163.740005,157.009995,161.199997,347140,0.0,1.0
2007-10-30,161.399994,168,158.639999,161.600006,404970,0.0,1.0
2007-10-31,161,170,160.600006,167.369995,411215,0.0,1.0
2007-11-01,170,186,164,170.800003,572345,0.0,1.0
2007-11-02,162.419998,170.399994,162.419998,167.470001,144170,0.0,1.0
2007-11-05,162.199997,176,162,169.940002,167530,0.0,1.0
2007-11-06,173.600006,173.800003,165.199997,167.089996,86590,0.0,1.0
2007-11-07,169,171,161.399994,170.009995,66560,0.0,1.0
2007-11-08,163.800003,171,163.800003,165.949997,32260,0.0,1.0
2007-11-12,161.199997,161.529999,158.199997,158.199997,15805,0.0,1.0
2007-11-13,156.199997,164.960007,151,155.199997,88865,0.0,1.0
2007-11-14,156.800003,170,156.800003,169.259995,88755,0.0,1.0
2007-11-15,168,183.110001,167,180.320007,161600,0.0,1.0
2007-11-16,174.410004,199.800003,174.410004,196.550003,190055,0.0,1.0
2007-11-19,190.199997,204,190,194.179993,56835,0.0,1.0
2007-11-20,191.990005,192,189,191.020004,20090,0.0,1.0
2007-11-21,189.979996,191.800003,176.009995,188.589996,52480,0.0,1.0
2007-11-22,182.419998,194.949997,182.419998,191.289993,854060,0.0,1.0
2007-11-23,193.199997,197.600006,191,194,416230,0.0,1.0
2007-11-26,195,198,189,194.889999,124485,0.0,1.0
2007-11-27,192,196,190.220001,194.679993,158765,0.0,1.0
2007-11-28,196.800003,198.949997,190.020004,191.770004,416880,0.0,1.0
2007-11-29,194.940002,194.949997,182,186.789993,8715,0.0,1.0
2007-11-30,171.009995,195.600006,171.009995,192.75,32075,0.0,1.0
2007-12-03,194,194,185.800003,188.399994,6555,0.0,1.0
