date,open,high,low,close,volume,dividend,split
2005-01-18,0.42,0.42,0.42,0.42,500,0.0,1.0
2005-02-03,0.504,0.504,0.504,0.504,500,0.0,1.0
2005-02-11,0.604,0.604,0.604,0.604,2500,0.0,1.0
2005-02-22,0.724,0.724,0.724,0.724,500,0.0,1.0
2005-02-28,0.868,0.868,0.868,0.868,500,0.0,1.0
2005-03-02,1.04,1.04,1.04,1.04,500,0.0,1.0
2005-03-03,1.248,1.248,1.248,1.248,500,0.0,1.0
2005-03-04,1.496,1.496,1.496,1.496,500,0.0,1.0
2005-03-07,1.794,1.794,1.794,1.794,500,0.0,1.0
2005-03-08,2.152,2.152,2.148,2.152,13000,0.0,1.0
2005-03-09,2.35,2.364,2.35,2.35,11000,0.0,1.0
2005-03-10,2.584,2.584,2.58,2.584,26500,0.0,1.0
2005-03-11,2.842,2.842,2.842,2.842,29000,0.0,1.0
2005-03-14,3.126,3.126,2.8,2.944,39500,0.0,1.0
2005-03-15,3.22,3.22,2.81,2.85,14000,0.0,1.0
2005-03-16,2.6,2.95,2.6,2.7,11000,0.0,1.0
2005-03-17,2.7,2.7,2.432,2.432,8500,0.0,1.0
2005-03-18,2.4,2.4,2.4,2.4,1000,0.0,1.0
2005-03-21,2.59,2.59,2.48,2.48,5500,0.0,1.0
2005-03-30,2.5,2.5,2.234,2.234,1000,0.0,1.0
2005-03-31,2.02,2.3,2.02,2.3,2000,0.0,1.0
2005-04-01,2.08,2.08,2.08,2.08,500,0.0,1.0
2005-04-05,1.9,1.9,1.9,1.9,500,0.0,1.0
2005-04-06,1.9,1.9,1.9,1.9,2500,0.0,1.0
2005-04-07,2,2,2,2,5000,0.0,1.0
2005-04-13,2.2,2.2,2,2,3000,0.0,1.0
2005-04-15,1.802,1.802,1.802,1.802,1000,0.0,1.0
2005-05-06,1.622,1.622,1.622,1.622,500,0.0,1.0
2005-05-20,1.47,1.47,1.47,1.47,500,0.0,1.0
2005-05-23,1.324,1.324,1.324,1.324,1500,0.0,1.0
2005-05-27,1.456,1.456,1.456,1.456,2500,0.0,1.0
2005-05-30,1.6,1.6,1.6,1.6,12500,0.0,1.0
2005-06-01,1.758,1.758,1.74,1.74,5500,0.0,1.0
2005-06-02,1.74,1.9,1.58,1.9,14000,0.0,1.0
2005-06-03,2.08,2.09,2.08,2.08,10000,0.0,1.0
2005-06-06,2.402,2.402,2.402,2.402,500,0.0,1.0
2005-06-07,2.522,2.522,2.522,2.522,1500,0.0,1.0
2005-06-09,2.648,2.648,2.648,2.648,10500,0.0,1.0
2005-06-10,2.78,2.78,2.78,2.78,3000,0.0,1.0
2005-06-13,2.918,2.918,2.918,2.918,10500,0.0,1.0
2005-06-14,3.062,3.062,3.062,3.062,7500,0.0,1.0
2005-06-15,3.214,3.214,3.214,3.214,5500,0.0,1.0
2005-06-16,3.374,3.374,3.374,3.374,19000,0.0,1.0
2005-06-17,3.542,3.542,3.542,3.542,2500,0.0,1.0
2005-06-20,3.718,3.718,3.718,3.718,10500,0.0,1.0
2005-06-21,3.902,3.902,3.534,3.66,26500,0.0,1.0
2005-06-22,3.66,3.66,3.478,3.478,8000,0.0,1.0
2005-06-23,3.31,3.31,3.31,3.31,7500,0.0,1.0
2005-06-24,3.33,3.33,3.146,3.28,17000,0.0,1.0
2005-06-27,3.13,3.13,3.118,3.118,3500,0.0,1.0
2005-06-28,2.964,2.97,2.964,2.964,10000,0.0,1.0
2005-06-29,3,3,2.83,2.9,13500,0.0,1.0
2005-06-30,2.82,2.82,2.8,2.8,1500,0.0,1.0
2005-07-01,2.94,2.94,2.92,2.94,3500,0.0,1.0
2005-07-05,3.086,3.086,3.086,3.086,9000,0.0,1.0
2005-07-06,3.24,3.24,3.24,3.24,3500,0.0,1.0
2005-07-07,3.402,3.402,3.402,3.402,4500,0.0,1.0
2005-07-08,3.572,3.572,3.572,3.572,4000,0.0,1.0
2005-07-11,3.75,3.75,3.75,3.75,21500,0.0,1.0
2005-07-12,3.936,3.936,3.936,3.936,4500,0.0,1.0
2005-07-13,4.132,4.132,4.132,4.132,14000,0.0,1.0
2005-07-14,4.338,4.338,4.338,4.338,2500,0.0,1.0
2005-07-15,4.554,4.554,4.54,4.55,26500,0.0,1.0
2005-07-18,4.776,4.776,4.776,4.776,5500,0.0,1.0
2005-07-19,5.014,5.014,5.014,5.014,8500,0.0,1.0
2005-07-20,5.264,5.264,5.264,5.264,9000,0.0,1.0
2005-07-21,5.526,5.526,5.526,5.526,5000,0.0,1.0
2005-07-22,5.802,5.802,5.802,5.802,8000,0.0,1.0
2005-07-25,6.092,6.092,6.092,6.092,13000,0.0,1.0
2005-07-26,6.396,6.396,6.38,6.396,20500,0.0,1.0
2005-07-27,6.714,6.714,6.714,6.714,25500,0.0,1.0
2005-07-29,7.048,7.048,6.38,7.048,85000,0.0,1.0
2005-08-01,7.4,7.4,6.7,7.4,62000,0.0,1.0
2005-08-02,7.77,7.77,7.3,7.77,18500,0.0,1.0
2005-08-03,8.15,8.15,7.8,8.15,17500,0.0,1.0
2005-08-04,8.54,8.55,8,8.55,13500,0.0,1.0
2005-08-05,8.2,8.97,8.2,8.82,34500,0.0,1.0
2005-08-08,9.26,9.26,9.26,9.26,4500,0.0,1.0
2005-08-09,9.72,9.72,9.6,9.72,56000,0.0,1.0
2005-08-10,10.2,10.2,9.6,10.2,61000,0.0,1.0
2005-08-11,10.71,10.71,10.68,10.71,54000,0.0,1.0
2005-08-12,10.98,11.24,10.18,10.8,12500,0.0,1.0
2005-08-16,11.3,11.34,10.27,10.27,10000,0.0,1.0
2005-08-17,10.45,10.45,9.76,9.76,12000,0.0,1.0
2005-08-18,9.28,9.28,9.28,9.28,500,0.0,1.0
2005-08-19,8.82,8.82,8.82,8.82,500,0.0,1.0
2005-08-22,8.38,8.6,8.38,8.38,55000,0.0,1.0
2005-08-23,7.97,7.97,7.97,7.97,1000,0.0,1.0
2005-08-24,7.58,7.58,7.58,7.58,1500,0.0,1.0
2005-08-25,7.21,7.21,7.21,7.21,3500,0.0,1.0
2005-08-26,6.85,6.85,6.85,6.85,2000,0.0,1.0
2005-08-29,6.52,6.6,6.51,6.55,35000,0.0,1.0
2005-08-30,6.23,6.23,6.23,6.23,28500,0.0,1.0
2005-08-31,5.92,6.54,5.92,6.48,90500,0.0,1.0
2005-09-01,6.8,6.8,6.16,6.61,24500,0.0,1.0
2005-09-02,6.8,6.94,6.31,6.34,13500,0.0,1.0
2005-09-05,6.04,6.4,6.03,6.4,37500,0.0,1.0
2005-09-06,6.09,6.4,6.09,6.39,37500,0.0,1.0
2005-09-08,6.5,6.68,6.11,6.68,23500,0.0,1.0
2005-09-09,6.35,7.01,6.35,7.01,48000,0.0,1.0
2005-09-12,7.36,7.36,7.36,7.36,120000,0.0,1.0
2005-09-13,7.72,7.72,7.72,7.72,85500,0.0,1.0
2005-09-14,8.1,8.1,7.34,8.09,241500,0.0,1.0
2005-09-15,7.8,8.49,7.8,8.49,61500,0.0,1.0
2005-09-16,8.44,8.67,8.1,8.2,22500,0.0,1.0
2005-09-19,7.8,8.3,7.8,7.83,12500,0.0,1.0
2005-09-20,7.44,7.82,7.44,7.8,8000,0.0,1.0
2005-09-21,7.42,7.42,7.42,7.42,3000,0.0,1.0
2005-09-22,7.05,7.05,7.05,7.05,500,0.0,1.0
2005-09-23,6.7,6.7,6.7,6.7,500,0.0,1.0
2005-09-26,6.37,6.37,6.37,6.37,21000,0.0,1.0
2005-09-27,6.06,6.06,6.06,6.06,10500,0.0,1.0
2005-09-28,6.1,6.1,5.76,5.76,7000,0.0,1.0
2005-09-29,5.48,5.48,5.48,5.48,1500,0.0,1.0
2005-09-30,5.21,5.21,5.21,5.21,5000,0.0,1.0
2005-10-03,4.95,4.95,4.95,4.95,3000,0.0,1.0
