date,open,high,low,close,volume,dividend,split
2002-01-03,0.78,0.78,0.78,0.78,7000,0.0,1.0
2002-01-04,0.795,0.8,0.795,0.8,2000,0.0,1.0
2002-01-10,0.805,0.805,0.805,0.805,1000,0.0,1.0
2002-01-15,0.805,0.805,0.805,0.805,2000,0.0,1.0
2002-01-18,0.75,0.75,0.735,0.735,2500,0.0,1.0
2002-01-22,0.88,0.88,0.88,0.88,2000,0.0,1.0
2002-01-23,0.9,0.9,0.9,0.9,1500,0.0,1.0
2002-01-24,0.9,0.9,0.9,0.9,2000,0.0,1.0
2002-02-01,0.895,0.895,0.74,0.74,1500,0.0,1.0
2002-02-04,0.805,0.805,0.805,0.805,2000,0.0,1.0
2002-02-07,0.95,0.95,0.95,0.95,10000,0.0,1.0
2002-02-08,0.9,0.9,0.9,0.9,1000,0.0,1.0
2002-02-12,0.9,0.91,0.9,0.91,1000,0.0,1.0
2002-02-14,1.04,1.04,1.04,1.04,1000,0.0,1.0
2002-02-15,1.05,1.05,1.05,1.05,1500,0.0,1.0
2002-02-19,0.98,1.175,0.98,1.175,20,0.0,1.0
2002-02-20,1.02,1.35,1.02,1.06,3510,0.0,1.0
2002-02-21,1.2,1.2,1.1,1.19,11450,0.0,1.0
2002-02-22,1.1,1.16,1.1,1.125,13000,0.0,1.0
2002-02-25,1.1,1.2,1.1,1.2,10000,0.0,1.0
2002-02-26,1.1,1.1,1.1,1.1,190,0.0,1.0
2002-02-27,1.1,1.1,1.1,1.1,710,0.0,1.0
2002-03-01,1.1,1.1,1.1,1.1,2000,0.0,1.0
2002-03-04,1.19,1.2,1.19,1.2,2000,0.0,1.0
2002-03-05,1.31,1.31,1.15,1.15,14000,0.0,1.0
2002-03-06,1.125,1.125,1.125,1.125,1000,0.0,1.0
2002-03-07,0.91,1.175,0.91,1.175,1000,0.0,1.0
2002-03-08,1.29,1.29,1.29,1.29,3000,0.0,1.0
2002-03-12,1.035,1.035,1.035,1.035,1000,0.0,1.0
2002-03-13,1.1,1.1,1,1,16020,0.0,1.0
2002-03-20,1.01,1.09,1,1.09,3010,0.0,1.0
2002-03-21,1.025,1.03,1.025,1.03,5990,0.0,1.0
2002-03-22,1.01,1.08,1.01,1.08,500,0.0,1.0
2002-03-26,1,1,1,1,10,0.0,1.0
2002-03-27,0.95,0.95,0.95,0.95,50,0.0,1.0
2002-04-02,0.765,0.8,0.765,0.78,16000,0.0,1.0
2002-04-04,0.935,0.935,0.935,0.935,9000,0.0,1.0
2002-04-05,1.07,1.1,1.07,1.08,10010,0.0,1.0
2002-04-08,1,1,0.98,0.98,7000,0.0,1.0
2002-04-09,1.05,1.05,1.015,1.015,13750,0.0,1.0
2002-04-10,0.815,1.045,0.815,1.045,8050,0.0,1.0
2002-04-11,0.885,1.025,0.885,1.025,2000,0.0,1.0
2002-04-12,1,1.06,1,1.06,9100,0.0,1.0
2002-04-15,0.98,1.07,0.98,1.005,8200,0.0,1.0
2002-04-16,1,1.09,1,1.085,60670,0.0,1.0
2002-04-17,1.05,1.13,1.05,1.09,7050,0.0,1.0
2002-04-18,1.15,1.3,1.15,1.3,18680,0.0,1.0
2002-04-19,1.42,1.495,1.4,1.41,95100,0.0,1.0
2002-04-22,1.4,1.43,1.4,1.42,5450,0.0,1.0
2002-04-23,1.5,1.5,1.395,1.4,20100,0.0,1.0
2002-04-24,1.45,1.45,1.4,1.4,30000,0.0,1.0
2002-04-25,1.45,1.635,1.355,1.355,32010,0.0,1.0
2002-04-26,1.45,1.45,1.375,1.375,44000,0.0,1.0
2002-04-29,1.4,1.455,1.4,1.41,46750,0.0,1.0
2002-04-30,1.6,1.6,1.4,1.43,26500,0.0,1.0
2002-05-02,1.49,1.55,1.445,1.55,47900,0.0,1.0
2002-05-03,1.475,1.575,1.475,1.56,26000,0.0,1.0
2002-05-06,1.59,1.73,1.56,1.625,43990,0.0,1.0
2002-05-07,1.7,1.7,1.6,1.69,69500,0.0,1.0
2002-05-08,1.64,1.65,1.57,1.57,7000,0.0,1.0
2002-05-09,1.565,1.625,1.565,1.605,17060,0.0,1.0
2002-05-10,1.6,1.69,1.52,1.565,53360,0.0,1.0
2002-05-13,1.63,1.695,1.6,1.63,12800,0.0,1.0
2002-05-14,1.7,1.71,1.61,1.635,27970,0.0,1.0
2002-05-15,1.55,1.6,1.5,1.59,14000,0.16336,1.0
2002-05-16,1.695,1.695,1.55,1.55,9000,0.0,1.0
2002-05-17,1.5,1.55,1.5,1.55,39450,0.0,1.0
2002-05-20,1.86,1.86,1.54,1.545,3120,0.0,1.0
2002-05-24,1.41,1.41,1.4,1.4,15450,0.0,1.0
2002-05-27,1.39,1.4,1.21,1.25,5000,0.0,1.0
2002-05-28,1.4,1.4,1.4,1.4,1700,0.0,1.0
2002-05-29,1.45,1.45,1.35,1.35,5260,0.0,1.0
2002-05-30,1.33,1.33,1.3,1.3,7450,0.0,1.0
2002-06-03,1.395,1.4,1.395,1.4,10000,0.0,1.0
2002-06-04,1.4,1.65,1.4,1.54,8500,0.0,1.0
2002-06-05,1.545,1.55,1.3,1.425,14340,0.0,1.0
2002-06-06,1.435,1.435,1.4,1.4,15000,0.0,1.0
2002-06-07,1.275,1.395,1.275,1.395,4000,0.0,1.0
2002-06-10,1.365,1.365,1.35,1.35,6000,0.0,1.0
2002-06-11,1.41,1.41,1.365,1.365,37500,0.0,1.0
2002-06-12,1.4,1.44,1.36,1.4,11920,0.0,1.0
2002-06-13,1.35,1.41,1.35,1.41,23000,0.0,1.0
2002-06-17,1.425,1.49,1.41,1.47,35350,0.0,1.0
2002-06-18,1.55,1.57,1.45,1.53,53000,0.0,1.0
2002-06-19,1.55,1.605,1.51,1.605,50640,0.0,1.0
2002-06-20,1.6,1.655,1.575,1.58,34500,0.0,1.0
2002-06-21,1.6,1.7,1.54,1.695,87680,0.0,1.0
2002-06-24,1.72,2.03,1.72,2.03,188140,0.0,1.0
2002-06-25,2.15,2.38,2.1,2.275,272170,0.0,1.0
2002-06-26,2.5,2.545,2.2,2.21,162570,0.0,1.0
2002-07-01,2.37,2.485,2.3,2.455,35960,0.0,1.0
2002-07-02,2.485,2.485,2.325,2.37,9000,0.0,1.0
2002-07-03,2.3,2.3,2.15,2.15,14000,0.0,1.0
2002-07-04,2,2.35,2,2.34,58320,0.0,1.0
2002-07-05,2.45,2.5,2.35,2.455,107240,0.0,1.0
