date,open,high,low,close,volume,dividend,split
2010-10-18,122.800003,144.800003,106.300003,112.25,11458900,0.0,1.0
2010-10-19,109,132.600006,104.5,127.300003,11699758,0.0,1.0
2010-10-20,126,137.800003,123.699997,127.349998,4767112,0.0,1.0
2010-10-21,120,130.300003,120,121.449997,1703851,0.0,1.0
2010-10-22,122.400002,123.550003,116.199997,117.75,730729,0.0,1.0
2010-10-25,117,118.5,109.599998,114,701485,0.0,1.0
2010-10-26,114,116.900002,111.199997,112.150002,324302,0.0,1.0
2010-10-27,112.300003,112.949997,107,109.099998,127831,0.0,1.0
2010-10-28,109,112.5,106.5,107.900002,242469,0.0,1.0
2010-10-29,107.099998,109.400002,106,106.699997,93251,0.0,1.0
2010-11-01,109,109,104.199997,106.550003,39844,0.0,1.0
2010-11-02,106.25,107,103,105.75,75345,0.0,1.0
2010-11-03,108.949997,109.5,103.25,104.349998,49531,0.0,1.0
2010-11-04,105,105,101,101.900002,35447,0.0,1.0
2010-11-08,113.400002,124.400002,110.099998,117.099998,427511,0.0,1.0
2010-11-09,118,119.800003,112.050003,113.150002,64616,0.0,1.0
2010-11-10,113.699997,120,112.25,115.849998,130005,0.0,1.0
2010-11-11,116.25,117.699997,112.199997,114.199997,57341,0.0,1.0
2010-11-12,112,115,104.150002,107.599998,58011,0.0,1.0
2010-11-15,105.599998,113.400002,104.400002,111.800003,49288,0.0,1.0
2010-11-16,113.099998,114.449997,99.550003,103.099998,159357,0.0,1.0
2010-11-18,104.849998,106,97.050003,102.949997,66329,0.0,1.0
2010-11-19,103,107,101.099998,102.400002,64172,0.0,1.0
2010-11-22,103.199997,105.449997,102,103.550003,45560,0.0,1.0
2010-11-23,102.949997,103.800003,96.150002,101.699997,39374,0.0,1.0
2010-11-24,101.699997,104.5,100,102.150002,23307,0.0,1.0
2010-11-25,101.25,106.25,99,100,55576,0.0,1.0
2010-11-26,101.75,101.900002,86.5,92.050003,88429,0.0,1.0
2010-11-29,91.150002,91.900002,88.099998,89.949997,96468,0.0,1.0
2010-11-30,87,97,87,92.650002,64819,0.0,1.0
2010-12-01,89,89,74.150002,74.150002,319679,0.0,1.0
2010-12-02,74,75,59.349998,59.349998,418145,0.0,1.0
2010-12-03,53.5,53.5,53.450001,53.450001,59413,0.0,1.0
2010-12-06,48.150002,48.150002,48.150002,48.150002,36647,0.0,1.0
2010-12-07,43.349998,51.200001,43.349998,44.5,704053,0.0,1.0
2010-12-08,42.5,46,42.299999,44.799999,217334,0.0,1.0
2010-12-09,44.099998,46.200001,42.599998,42.599998,138053,0.0,1.0
2010-12-10,40.5,44,40.5,43.5,286889,0.0,1.0
2010-12-13,44.5,44.849998,43.599998,43.75,43801,0.0,1.0
2010-12-14,44.700001,45.150002,43.700001,44.299999,38613,0.0,1.0
2010-12-15,45,46,44.549999,45.450001,41235,0.0,1.0
2010-12-16,45.700001,46.700001,45.200001,46,51212,0.0,1.0
2010-12-20,45.900002,46.549999,45.099998,45.950001,21154,0.0,1.0
2010-12-21,46.200001,46.200001,44.599998,44.650002,23987,0.0,1.0
2010-12-22,45.450001,46.700001,44.5,45.849998,19346,0.0,1.0
2010-12-23,45.099998,46.400002,45.049999,46.049999,15008,0.0,1.0
2010-12-24,45.450001,45.799999,44.799999,44.849998,11052,0.0,1.0
2010-12-27,45,45.200001,44.200001,44.450001,22963,0.0,1.0
2010-12-28,44.5,44.5,43.650002,44.450001,22589,0.0,1.0
2010-12-29,43.900002,45.049999,43.5,43.950001,34743,0.0,1.0
2010-12-30,44,46.25,43.400002,46.25,64613,0.0,1.0
2010-12-31,48.549999,48.549999,48.549999,48.549999,21417,0.0,1.0
2011-01-03,50.950001,50.950001,46.900002,47.700001,216490,0.0,1.0
2011-01-04,47.700001,50.049999,47.049999,47.700001,115187,0.0,1.0
2011-01-05,50.5,51.450001,49.25,49.650002,46885,0.0,1.0
2011-01-06,50.799999,50.799999,48,49.650002,28433,0.0,1.0
2011-01-07,48.5,49.650002,45.200001,45.700001,35187,0.0,1.0
2011-01-10,45.450001,45.450001,42.599998,43.700001,32398,0.0,1.0
2011-01-11,44.25,45,43,43.650002,12709,0.0,1.0
2011-01-12,45.5,45.5,43.099998,44.049999,22924,0.0,1.0
2011-01-13,44.900002,46,43.150002,43.799999,25149,0.0,1.0
2011-01-14,44.799999,48.150002,43.150002,45.400002,1225199,0.0,1.0
2011-01-17,45.799999,47.099998,45,45.400002,35072,0.0,1.0
2011-01-18,45.900002,46.75,43.599998,44.950001,34611,0.0,1.0
2011-01-19,44.5,45.200001,44.099998,44.450001,9294,0.0,1.0
2011-01-20,44,44.5,43.599998,43.700001,20702,0.0,1.0
2011-01-21,43.700001,44.450001,43.099998,43.400002,16149,0.0,1.0
2011-01-24,44.700001,44.75,42.75,43.099998,28600,0.0,1.0
2011-01-25,43.200001,43.400002,42.099998,42.25,32369,0.0,1.0
2011-01-27,42.700001,43.5,42.150002,43.049999,21284,0.0,1.0
2011-01-28,42.599998,43.700001,41,41.349998,31756,0.0,1.0
2011-01-31,40.099998,45,39.400002,40,182146,0.0,1.0
2011-02-01,40.25,41,39.5,39.900002,43055,0.0,1.0
2011-02-02,40.150002,40.5,38.150002,38.799999,39964,0.0,1.0
2011-02-03,39,39.549999,38.200001,38.75,17057,0.0,1.0
2011-02-04,38.900002,39.599998,37.5,37.900002,12936,0.0,1.0
2011-02-07,37,37,35.400002,36.25,27182,0.0,1.0
2011-02-08,35.700001,36.5,35.150002,35.25,34375,0.0,1.0
2011-02-09,34.349998,35.349998,31.75,31.9,31285,0.0,1.0
2011-02-10,32.400002,32.799999,28.75,28.799999,61039,0.0,1.0
2011-02-11,29.299999,30,27.5,28.950001,49478,0.0,1.0
2011-02-14,30,30.35,29.049999,30.35,68913,0.0,1.0
2011-02-15,31.4,31.85,31.25,31.75,99351,0.0,1.0
2011-02-16,32.099998,32.400002,31.4,31.6,53443,0.0,1.0
2011-02-17,31.85,32,30.25,31.700001,59109,0.0,1.0
2011-02-18,31.950001,32.5,31.049999,31.1,27680,0.0,1.0
2011-02-21,31.15,31.4,30.4,31.200001,10978,0.0,1.0
2011-02-22,31.1,32.299999,30.5,31.549999,14390,0.0,1.0
2011-02-23,31.299999,31.9,30.799999,30.9,42182,0.0,1.0
2011-02-24,30.25,31,29.75,30.1,39066,0.0,1.0
2011-02-25,30,30.950001,29.950001,30,27322,0.0,1.0
2011-02-28,29,30.799999,29,29.950001,13213,0.0,1.0
2011-03-01,30.5,31.4,29.799999,31.4,20554,0.0,1.0
2011-03-03,32.5,32.700001,31.35,31.85,19446,0.0,1.0
2011-03-04,31.6,31.75,30.700001,31.25,12989,0.0,1.0
2011-03-07,30.15,30.4,29.700001,29.799999,55250,0.0,1.0
2011-03-08,30,30.4,29.5,29.85,13340,0.0,1.0
2011-03-09,29.5,31,29.049999,30,23847,0.0,1.0
2011-03-10,29.25,30.4,29.25,29.65,17748,0.0,1.0
2011-03-11,29.299999,30.25,29.049999,29.35,22100,0.0,1.0
2011-03-14,29.799999,29.950001,28.700001,29.5,9580,0.0,1.0
2011-03-15,28.85,29.5,28.15,29,29355,0.0,1.0
2011-03-16,29.35,29.700001,29,29.25,24053,0.0,1.0
2011-03-17,29,29.799999,29,29.700001,7650,0.0,1.0
2011-03-18,29,30.049999,29,29.9,17780,0.0,1.0
2011-03-21,30.950001,30.950001,29.1,29.6,3760,0.0,1.0
2011-03-22,30.15,32.549999,29.549999,32.549999,20061,0.0,1.0
2011-03-23,33,35,31.1,33.799999,67236,0.0,1.0
2011-03-24,33.599998,37.150002,33.599998,37.150002,64063,0.0,1.0
2011-03-25,38,40.849998,38,40.849998,55211,0.0,1.0
2011-03-28,42.849998,42.849998,40.5,42.349998,165286,0.0,1.0
2011-03-29,42,44.450001,40.549999,44.450001,170089,0.0,1.0
2011-03-30,46,46.650002,44.5,46.150002,359500,0.0,1.0
2011-03-31,46.700001,47.5,43.849998,44,122274,0.0,1.0
2011-04-01,43,43.5,41.849998,42.200001,113030,0.0,1.0
2011-04-04,44.099998,44.099998,42,42.650002,60024,0.0,1.0
2011-04-05,42.799999,43.5,41.5,42.25,13110,0.0,1.0
2011-04-06,42.25,42.5,40.599998,41.5,20489,0.0,1.0
2011-04-07,42,42,40,40.75,24280,0.0,1.0
2011-04-08,40,41.5,40,40.849998,33775,0.0,1.0
2011-04-11,41.299999,42,40.5,41.349998,79121,0.0,1.0
2011-04-13,41.049999,43.400002,41,41.299999,62069,0.0,1.0
2011-04-15,41.299999,42.75,40.799999,41.099998,41476,0.0,1.0
2011-04-18,40.299999,41.25,40.299999,41,54101,0.0,1.0
2011-04-19,40.900002,42.75,40.299999,41.099998,48366,0.0,1.0
2011-04-20,41.25,43,41.25,42.450001,12101,0.0,1.0
2011-04-21,42,44.25,41.5,41.950001,21415,0.0,1.0
2011-04-25,42,42,39.900002,40,68275,0.0,1.0
2011-04-26,38.5,40,38.049999,38.5,63005,0.0,1.0
2011-04-27,38,40,38,39.150002,31784,0.0,1.0
2011-04-28,39,40.900002,38.650002,39.299999,18714,0.0,1.0
2011-04-29,37.75,39.5,37.75,38.049999,3326,0.0,1.0
2011-05-02,38,38.950001,37.75,38.049999,6575,0.0,1.0
2011-05-03,38.5,38.5,36.299999,36.549999,4661,0.0,1.0
2011-05-04,38,38,35.75,36.150002,7659,0.0,1.0
2011-05-05,35.5,36.5,35.150002,35.700001,15284,0.0,1.0
2011-05-06,34.200001,37,34.200001,35.849998,9666,0.0,1.0
2011-05-09,35.049999,36.349998,35.049999,35.849998,2503,0.0,1.0
2011-05-10,35.5,36.900002,35.099998,36.5,4297,0.0,1.0
