date,open,high,low,close,volume,dividend,split
2002-07-01,0.76,0.76,0.76,0.76,100,0.0,1.0
2002-07-04,0.9,0.9,0.9,0.9,50,0.0,1.0
2002-07-05,0.93,1.07,0.93,1.07,1450,0.0,1.0
2002-07-09,1.28,1.28,1.28,1.28,200,0.0,1.0
2002-07-10,1.4,1.48,1.29,1.29,1200,0.0,1.0
2002-07-11,1.28,1.28,1.24,1.24,1050,0.0,1.0
2002-07-12,1.21,1.21,1.21,1.21,500,0.0,1.0
2002-07-15,1.41,1.41,1.41,1.41,200,0.0,1.0
2002-07-18,1.14,1.14,1.14,1.14,200,0.0,1.0
2002-07-25,0.93,0.93,0.93,0.93,100,0.0,1.0
2002-08-12,0.76,0.76,0.76,0.76,200,0.0,1.0
2002-08-16,0.62,0.62,0.62,0.62,100,0.0,1.0
2002-08-23,0.56,0.56,0.56,0.56,200,0.0,1.0
2002-08-27,0.62,0.62,0.62,0.62,250,0.0,1.0
2002-08-30,0.62,0.62,0.62,0.62,100,0.0,1.0
2002-09-04,0.51,0.51,0.51,0.51,50,0.0,1.0
2002-09-13,0.45,0.45,0.45,0.45,300,0.0,1.0
2002-09-18,0.53,0.53,0.53,0.53,200,0.0,1.0
2002-09-19,0.62,0.62,0.62,0.62,200,0.0,1.0
2002-09-24,0.72,0.72,0.7,0.7,1200,0.0,1.0
2002-09-27,0.7,0.7,0.7,0.7,600,0.0,1.0
2002-10-21,0.58,0.58,0.58,0.58,200,0.0,1.0
2002-10-23,0.47,0.47,0.47,0.47,50,0.0,1.0
2002-11-08,0.42,0.42,0.42,0.42,200,0.0,1.0
2002-11-27,0.5,0.5,0.5,0.5,250,0.0,1.0
2002-11-29,0.48,0.48,0.48,0.48,150,0.0,1.0
2002-12-02,0.5,0.5,0.5,0.5,200,0.0,1.0
2002-12-04,0.5,0.5,0.5,0.5,2549,0.0,1.0
2002-12-09,0.5,0.5,0.5,0.5,600,0.0,1.0
2002-12-20,0.44,0.44,0.44,0.44,300,0.0,1.0
2002-12-26,0.44,0.44,0.44,0.44,25,0.0,1.0
2002-12-30,0.45,0.45,0.45,0.45,100,0.0,1.0
2003-01-02,0.48,0.48,0.48,0.48,100,0.0,1.0
2003-01-03,0.48,0.51,0.48,0.5,600,0.0,1.0
2003-01-14,0.44,0.44,0.44,0.44,300,0.0,1.0
2003-01-17,0.47,0.47,0.47,0.47,100,0.0,1.0
2003-01-20,0.47,0.47,0.47,0.47,100,0.0,1.0
2003-01-22,0.51,0.51,0.51,0.51,100,0.0,1.0
2003-01-24,0.61,0.61,0.61,0.61,50,0.0,1.0
2003-01-28,0.7,0.7,0.7,0.7,100,0.0,1.0
2003-01-30,0.78,0.78,0.76,0.76,10,0.0,1.0
2003-02-06,0.9,0.9,0.9,0.9,100,0.0,1.0
2003-02-10,0.98,0.98,0.98,0.98,2,0.0,1.0
2003-02-11,0.79,0.79,0.79,0.79,200,0.0,1.0
2003-02-14,0.64,0.64,0.64,0.64,100,0.0,1.0
2003-02-18,0.51,0.51,0.51,0.51,200,0.0,1.0
2003-02-20,0.45,0.45,0.45,0.45,100,0.0,1.0
2003-02-25,0.44,0.53,0.44,0.53,800,0.0,1.0
2003-02-28,0.62,0.62,0.62,0.62,100,0.0,1.0
2003-03-03,0.58,0.58,0.58,0.58,200,0.0,1.0
2003-03-04,0.56,0.56,0.56,0.56,200,0.0,1.0
2003-03-11,0.58,0.58,0.58,0.58,200,0.0,1.0
2003-03-12,0.47,0.62,0.47,0.62,200,0.0,1.0
2003-03-17,0.54,0.54,0.53,0.53,1200,0.0,1.0
2003-03-21,0.53,0.53,0.53,0.53,500,0.0,1.0
2003-04-22,0.53,0.56,0.44,0.56,605,0.0,1.0
2003-05-06,0.64,0.64,0.64,0.64,500,0.0,1.0
2003-05-16,0.76,0.76,0.76,0.76,100,0.0,1.0
2003-05-23,0.78,0.78,0.62,0.68,6523,0.0,1.0
2003-05-26,0.76,0.78,0.76,0.78,381,0.0,1.0
2003-05-28,0.75,0.76,0.75,0.76,200,0.0,1.0
2003-05-30,0.62,0.62,0.62,0.62,1100,0.0,1.0
2003-06-02,0.62,0.62,0.59,0.59,200,0.0,1.0
2003-06-03,0.48,0.48,0.48,0.48,2,0.0,1.0
2003-06-05,0.56,0.56,0.56,0.56,25,0.0,1.0
2003-06-06,0.47,0.62,0.47,0.47,1075,0.0,1.0
2003-06-09,0.57,0.57,0.57,0.57,568,0.0,1.0
2003-06-10,0.68,0.68,0.68,0.68,2000,0.0,1.0
2003-06-11,0.64,0.64,0.63,0.63,1120,0.0,1.0
2003-06-12,0.68,0.68,0.64,0.68,5600,0.0,1.0
2003-06-17,0.65,0.65,0.65,0.65,50,0.0,1.0
2003-06-18,0.68,0.68,0.68,0.68,200,0.0,1.0
2003-06-20,0.63,0.82,0.63,0.82,600,0.0,1.0
2003-06-23,0.66,0.75,0.66,0.75,900,0.0,1.0
2003-06-24,0.78,0.78,0.78,0.78,1280,0.0,1.0
2003-06-25,0.63,0.67,0.63,0.67,350,0.0,1.0
2003-06-26,0.72,0.81,0.72,0.81,5150,0.0,1.0
2003-06-27,0.87,0.94,0.87,0.91,6200,0.0,1.0
2003-06-30,0.93,0.96,0.93,0.96,600,0.0,1.0
2003-07-01,1.08,1.16,0.94,0.96,1475,0.0,1.0
2003-07-02,0.97,0.97,0.96,0.96,3000,0.0,1.0
2003-07-03,1.05,1.16,1,1.16,12830,0.0,1.0
2003-07-04,0.97,1.36,0.97,1.19,8360,0.0,1.0
2003-07-07,1.29,1.4,1.29,1.38,2800,0.0,1.0
2003-07-08,1.41,1.66,1.41,1.6,9571,0.0,1.0
2003-07-09,1.77,1.77,1.48,1.48,4147,0.0,1.0
2003-07-10,1.59,1.59,1.52,1.52,1250,0.0,1.0
2003-07-11,1.37,1.37,1.37,1.37,100,0.0,1.0
2003-07-15,1.6,1.6,1.12,1.32,3610,0.0,1.0
2003-07-16,1.15,1.15,1.15,1.15,1000,0.0,1.0
2003-07-17,1.37,1.37,1.01,1.01,1133,0.0,1.0
2003-07-18,1.02,1.09,1.02,1.09,500,0.0,1.0
2003-07-21,1.01,1.31,1.01,1.12,498,0.0,1.0
2003-07-22,1.24,1.24,0.9,0.98,502,0.0,1.0
2003-07-24,0.9,0.9,0.9,0.9,500,0.0,1.0
2003-07-25,0.94,0.94,0.94,0.94,260,0.0,1.0
2003-07-28,1,1.12,1,1.12,1650,0.0,1.0
2003-07-29,0.93,1.12,0.93,1.12,800,0.0,1.0
2003-07-31,1.14,1.14,1.04,1.12,2543,0.0,1.0
2003-08-01,1.28,1.28,1.09,1.09,2850,0.0,1.0
2003-08-04,1.18,1.24,1.12,1.22,3250,0.0,1.0
2003-08-05,1.18,1.18,1.01,1.18,4118,0.0,1.0
2003-08-06,1,1,1,1,300,0.0,1.0
2003-08-07,1.03,1.03,1.03,1.03,50,0.0,1.0
2003-08-08,1.01,1.18,1.01,1.04,3100,0.0,1.0
2003-08-11,1.22,1.22,1.17,1.17,1500,0.0,1.0
2003-08-12,1.02,1.3,1.02,1.18,2200,0.0,1.0
2003-08-13,1.29,1.3,1.15,1.3,1002,0.0,1.0
2003-08-14,1.39,1.56,1.08,1.55,7867,0.0,1.0
2003-08-18,1.55,1.87,1.55,1.62,24900,0.0,1.0
2003-08-19,1.57,1.69,1.33,1.37,7870,0.0,1.0
2003-08-20,1.28,1.4,1.28,1.34,1950,0.0,1.0
2003-08-21,1.31,1.52,1.16,1.4,1475,0.0,1.0
2003-08-22,1.17,1.17,1.17,1.17,100,0.0,1.0
2003-08-25,0.95,1.12,0.95,1.09,450,0.0,1.0
2003-08-26,1.09,1.1,1.09,1.09,2000,0.0,1.0
2003-08-27,1.12,1.24,1.12,1.24,2357,0.0,1.0
2003-08-28,1.35,1.48,1.21,1.32,8550,0.0,1.0
2003-08-29,1.37,1.4,1.18,1.18,900,0.0,1.0
2003-09-01,1.04,1.34,1.04,1.19,2050,0.0,1.0
2003-09-02,1.01,1.07,1.01,1.07,200,0.0,1.0
2003-09-03,1.09,1.12,1.09,1.12,1200,0.0,1.0
2003-09-08,0.95,0.95,0.94,0.94,1500,0.0,1.0
2003-09-09,0.93,1.01,0.89,0.89,3502,0.0,1.0
2003-09-10,0.72,0.72,0.72,0.72,2180,0.0,1.0
