date,open,high,low,close,volume,dividend,split
2007-08-21,110.672997,113.225998,97.062599,98.168503,386085,0.0,1.0
2007-08-22,98.168503,101.825996,97.190201,98.210999,438541,0.0,1.0
2007-08-23,98.210999,104.889,98.210999,99.019203,396451,0.0,1.0
2007-08-24,99.019203,101.231003,98.678902,100.167999,295767,0.0,1.0
2007-08-27,101.655998,106.207001,101.102997,105.781998,169139,0.0,1.0
2007-08-28,105.781998,106.25,103.273003,103.782997,286659,0.0,1.0
2007-08-29,101.231003,103.782997,100.593002,103.016998,195906,0.0,1.0
2007-08-30,103.996002,104.549004,102.805,103.144997,168058,0.0,1.0
2007-08-31,103.358002,107.356003,102.549004,106.080002,179104,0.0,1.0
2007-09-03,106.760002,115.266998,106.122002,114.374001,137067,0.0,1.0
2007-09-04,114.374001,116.288002,112.035004,112.714996,255572,0.0,1.0
2007-09-05,113.139999,114.374001,110.248001,110.716003,850668,0.0,1.0
2007-09-06,110.078003,113.905998,109.525002,112.970001,1143258,0.0,1.0
2007-09-07,113.651001,113.651001,111.268997,112.501999,931357,0.0,1.0
2007-09-10,111.014,114.757004,109.355003,114.033997,783350,0.0,1.0
2007-09-11,114.842003,117.350998,114.075996,115.947998,1260737,0.0,1.0
2007-09-12,116.841003,119.053001,116.331001,117.734001,1355341,0.0,1.0
2007-09-13,118.372002,121.009003,117.734001,118.330002,1126771,0.0,1.0
2007-09-14,119.521004,119.945999,114.884003,115.565002,479152,0.0,1.0
2007-09-17,115.692001,116.841003,114.075996,115.012001,288818,0.0,1.0
2007-09-18,114.842003,117.308998,114.204002,116.755997,439115,0.0,1.0
2007-09-19,118.925003,120.753998,118.031998,119.053001,874907,0.0,1.0
2007-09-20,119.223,121.222,117.478996,119.733002,748284,0.0,1.0
2007-09-21,119.18,123.774002,118.245003,122.667999,1017069,0.0,1.0
2007-09-24,123.774002,128.623001,120.371002,126.028,1207218,0.0,1.0
2007-09-25,127.177002,127.177002,120.967003,122.370003,579332,0.0,1.0
2007-09-26,122.498001,125.559998,120.796997,122.625999,473247,0.0,1.0
2007-09-27,122.922997,124.921997,120.796997,121.476997,612039,0.0,1.0
2007-09-28,122.498001,127.177002,121.605003,126.282997,948529,0.0,1.0
2007-10-01,126.750999,127.985001,123.433998,124.283997,533732,0.0,1.0
2007-10-03,125.559998,126.750999,119.138,120.711998,661159,0.0,1.0
2007-10-04,119.945999,121.817001,116.542999,118.245003,410523,0.0,1.0
2007-10-05,119.095001,120.796997,113.139999,114.757004,320046,0.0,1.0
2007-10-08,115.692001,115.692001,105.569,105.952003,565649,0.0,1.0
2007-10-09,106.334999,111.439003,102.336998,110.630997,1166510,0.0,1.0
2007-10-10,112.290001,114.416,109.737999,110.333,725672,0.0,1.0
2007-10-11,111.482002,113.481003,108.036003,109.822998,862744,0.0,1.0
2007-10-12,109.822998,112.290001,104.634003,106.25,881912,0.0,1.0
2007-10-15,106.760002,111.183998,106.334999,110.672997,508885,0.0,1.0
2007-10-16,111.439003,112.928001,109.737999,111.268997,582442,0.0,1.0
2007-10-17,106.419998,108.461998,96.382103,107.950996,624211,0.0,1.0
2007-10-18,109.568001,111.949997,104.377998,105.272003,469899,0.0,1.0
2007-10-19,107.185997,107.185997,101.401001,104.081001,434964,0.0,1.0
2007-10-22,102.082001,105.058998,100.379997,103.911003,325094,0.0,1.0
2007-10-23,105.143997,109.737999,105.143997,109.099998,327444,0.0,1.0
2007-10-24,111.439003,112.247002,106.803001,108.207001,311734,0.0,1.0
2007-10-25,109.737999,110.587997,105.910004,106.504997,363119,0.0,1.0
2007-10-26,107.271004,114.075996,106.419998,110.545998,2053229,0.0,1.0
2007-10-29,114.416,123.178001,109.737999,110.333,520318,0.0,1.0
2007-10-30,110.333,116.458,108.121002,112.332001,1442590,0.0,1.0
2007-10-31,112.332001,115.947998,108.972,109.568001,1667275,0.0,1.0
2007-11-01,112.290001,112.885002,104.505997,106.037003,885427,0.0,1.0
2007-11-02,104.634003,107.950996,102.931999,107.313004,611793,0.0,1.0
2007-11-05,108.887001,111.863998,107.185997,108.546997,529229,0.0,1.0
2007-11-06,109.056999,111.439003,108.93,109.695,715690,0.0,1.0
2007-11-07,110.587997,111.439003,106.334999,107.441002,235416,0.0,1.0
2007-11-08,106.207001,108.717003,105.527,107.313004,324282,0.0,1.0
2007-11-12,105.484001,106.334999,103.400002,105.653999,159531,0.0,1.0
2007-11-13,106.334999,111.778999,105.484001,108.845001,677772,0.0,1.0
2007-11-14,111.439003,113.736,109.907997,112.800003,1332932,0.0,1.0
2007-11-15,113.990997,119.861,111.863998,114.884003,1580970,0.0,1.0
2007-11-16,113.990997,119.010002,113.139999,115.650002,397658,0.0,1.0
2007-11-19,116.969002,121.860001,116.969002,119.903,1249117,0.0,1.0
2007-11-20,119.903,121.647003,114.033997,115.436996,683032,0.0,1.0
2007-11-21,118.245003,118.245003,106.377998,107.738998,488377,0.0,1.0
2007-11-22,108.461998,109.695,103.358002,107.441002,1327806,0.0,1.0
2007-11-23,108.887001,110.163002,103.867996,104.591003,941242,0.0,1.0
2007-11-26,107.142998,108.036003,105.058998,105.612,484689,0.0,1.0
2007-11-27,105.058998,106.633003,104.335999,104.931,1404975,0.0,1.0
2007-11-28,107.100998,111.353996,105.527,107.185997,2101571,0.0,1.0
2007-11-29,110.417999,117.819,110.333,112.544998,1863570,0.0,1.0
2007-11-30,113.990997,117.308998,113.736,115.181999,778724,0.0,1.0
2007-12-03,116.542999,118.245003,114.416,115.224998,545230,0.0,1.0
2007-12-04,115.904999,116.712997,113.990997,114.246002,429650,0.0,1.0
2007-12-05,115.522003,117.308998,114.416,116.245003,430572,0.0,1.0
2007-12-06,117.308998,120.796997,116.117996,117.181,1150693,0.0,1.0
2007-12-07,120.796997,122.072998,117.393997,119.987999,1521863,0.0,1.0
2007-12-10,121.647003,123.348999,119.861,120.625999,838158,0.0,1.0
2007-12-11,122.498001,123.560997,120.796997,122.540001,1095007,0.0,1.0
2007-12-12,121.647003,124.113998,119.095001,122.922997,640254,0.0,1.0
