date,open,high,low,close,volume,dividend,split
2004-10-27,5.935,5.935,5.935,5.935,2000,0.0,1.0
2004-10-28,7.12,7.12,6.6,6.6,11040,0.0,1.0
2004-10-29,6.22,7.18,6.22,6.88,15010,0.0,1.0
2004-11-01,6.5,6.59,6.32,6.325,16850,0.0,1.0
2004-11-02,6.55,6.98,6.5,6.665,17160,0.0,1.0
2004-11-03,6.8,6.9,6.5,6.5,26500,0.0,1.0
2004-11-04,6.89,6.89,6.25,6.29,700,0.0,1.0
2004-11-05,6.4,6.6,6.4,6.58,25000,0.0,1.0
2004-11-08,6.45,6.45,6.45,6.45,20000,0.0,1.0
2004-11-09,6,6.48,6,6.48,23000,0.0,1.0
2004-11-10,6.6,6.7,6.6,6.695,16000,0.0,1.0
2004-11-11,6.11,6.11,5.625,5.9,5250,0.0,1.0
2004-11-16,6.7,6.7,5.97,6.25,36290,0.0,1.0
2004-11-17,6.585,6.585,6.125,6.2,19510,0.0,1.0
2004-11-18,6.135,6.155,6.115,6.13,20490,0.0,1.0
2004-11-19,6.58,6.58,5.98,6.38,540,0.0,1.0
2004-11-22,6,6.275,5.6,6,80910,0.0,1.0
2004-11-23,6,6.22,6,6.105,17500,0.0,1.0
2004-11-24,6.15,6.665,6.15,6.315,43110,0.0,1.0
2004-11-25,7.565,7.565,6,6.3,20130,0.0,1.0
2004-11-29,6.31,6.5,6.3,6.5,14300,0.0,1.0
2004-11-30,7.5,7.5,6.33,6.33,8000,0.0,1.0
2004-12-01,6.4,6.5,6.305,6.45,26600,0.0,1.0
2004-12-02,6.31,6.59,6.3,6.395,9220,0.0,1.0
2004-12-03,6.4,6.45,6.135,6.365,18520,0.0,1.0
2004-12-06,6.235,6.5,6.235,6.25,16620,0.0,1.0
2004-12-07,6.48,6.48,6.25,6.26,14650,0.0,1.0
2004-12-08,6.31,6.5,6.31,6.5,15000,0.0,1.0
2004-12-09,6.4,6.5,6.225,6.4,22500,0.0,1.0
2004-12-10,6.35,6.35,6.32,6.32,1000,0.0,1.0
2004-12-13,6.46,6.46,6.21,6.26,35280,0.0,1.0
2004-12-14,6.2,6.4,6.2,6.325,15840,0.0,1.0
2004-12-15,6.9,6.9,6.325,6.35,82000,0.0,1.0
2004-12-16,6.6,6.6,6.2,6.325,40000,0.0,1.0
2004-12-17,6.595,6.6,6.2,6.22,73500,0.0,1.0
2004-12-20,6.5,6.5,6,6.07,72600,0.0,1.0
2004-12-21,6.25,6.3,6.1,6.13,61750,0.0,1.0
2004-12-22,6.19,6.195,5.9,5.95,28700,0.0,1.0
2004-12-23,5.3,6.05,5.3,5.805,32200,0.0,1.0
2004-12-24,6.095,6.095,5.755,5.895,21530,0.0,1.0
2004-12-27,6.245,6.245,5.765,5.765,27400,0.0,1.0
2004-12-28,5.95,5.975,5.65,5.91,80800,0.0,1.0
2004-12-29,5.91,6,5.8,5.945,89600,0.0,1.0
2004-12-30,5.505,5.935,5.505,5.92,57100,0.0,1.0
2004-12-31,5.8,5.88,5.665,5.805,38000,0.0,1.0
2005-01-03,6.09,6.09,5.85,5.85,26000,0.0,1.0
2005-01-04,5.88,6.295,5.88,6.19,43250,0.0,1.0
2005-01-05,6.3,6.3,5.8,6.07,152000,0.0,1.0
2005-01-06,5.8,6.1,5.8,6.05,75860,0.0,1.0
2005-01-07,5.905,6.2,5.905,6.15,166800,0.0,1.0
2005-01-10,6.2,7.38,6,7.38,9615250,0.0,1.0
2005-01-11,8.855,8.855,8.055,8.74,1130110,0.0,1.0
2005-01-12,8.74,9,7.65,7.975,367430,0.0,1.0
2005-01-13,8.3,8.39,8.1,8.29,263110,0.0,1.0
2005-01-14,8.3,8.39,7.835,8.03,185080,0.0,1.0
2005-01-17,7.8,8.175,7.8,7.94,575660,0.0,1.0
2005-01-18,8,8.59,7.95,8.415,425060,0.0,1.0
2005-01-19,8.025,8.5,8,8.165,272310,0.0,1.0
2005-01-20,8.15,8.15,7.9,8.15,7530,0.0,1.0
2005-01-24,8.295,8.295,7.8,7.89,10060,0.0,1.0
2005-01-25,7.755,7.9,7.41,7.855,45400,0.0,1.0
2005-01-27,7.8,7.8,7.6,7.645,19500,0.0,1.0
2005-01-28,7.4,7.9,7.39,7.75,62190,0.0,1.0
2005-01-31,7.6,8.35,7.6,8.045,179380,0.0,1.0
2005-02-01,7.75,8.845,7.75,8.84,1125410,0.0,1.0
2005-02-02,8.5,9.3,8.5,9.175,442940,0.0,1.0
2005-02-03,9.18,9.85,9.025,9.735,547970,0.0,1.0
2005-02-04,9.7,10.285,9.55,10,204200,0.0,1.0
2005-02-07,10.2,10.3,9.6,10.135,189500,0.0,1.0
2005-02-08,9.8,10.8,9.8,10.735,656100,0.0,1.0
2005-02-09,11,11.805,11,11.805,407790,0.0,1.0
2005-02-10,12.8,12.8,11,11.68,188650,0.0,1.0
2005-02-11,11.7,12.195,10.515,10.55,149750,0.0,1.0
2005-02-14,10.9,10.9,9.53,9.625,76000,0.0,1.0
2005-02-15,9.6,9.99,9.3,9.4,30500,0.0,1.0
2005-02-16,9.7,9.7,8.85,9.02,61820,0.0,1.0
2005-02-17,8.8,8.94,8.7,8.745,104110,0.0,1.0
2005-02-18,8.92,9.35,8.71,9.18,88610,0.0,1.0
2005-02-21,9.35,9.59,9.2,9.225,23300,0.0,1.0
2005-02-22,9.125,9.125,9,9.035,14000,0.0,1.0
2005-02-23,9.4,9.4,9,9,21000,0.0,1.0
2005-02-24,9.4,9.4,8.81,8.855,16260,0.0,1.0
2005-02-25,8.25,8.69,8.125,8.235,58550,0.0,1.0
2005-02-28,8.45,8.45,8.1,8.235,26500,0.0,1.0
2005-03-01,8.5,8.5,7.95,8.495,24600,0.0,1.0
2005-03-02,8.99,9,8.11,8.89,64830,0.0,1.0
2005-03-03,8.95,9.06,8.5,8.75,39300,0.0,1.0
2005-03-04,8.75,8.985,8.75,8.865,124980,0.0,1.0
2005-03-07,8.84,8.94,8.7,8.71,30890,0.0,1.0
2005-03-08,8.88,8.9,8.75,8.85,16400,0.0,1.0
2005-03-09,8.4,8.46,8.35,8.35,21700,0.0,1.0
2005-03-10,8.7,9.1,8.7,9.01,45800,0.0,1.0
2005-03-11,9.15,9.15,8.85,8.865,25200,0.0,1.0
2005-03-14,8.9,9,8.6,8.665,62000,0.0,1.0
2005-03-15,8.885,8.885,8.62,8.87,35150,0.0,1.0
2005-03-16,8.4,8.8,8.4,8.675,157300,0.0,1.0
2005-03-17,8.745,8.8,8.515,8.735,28500,0.0,1.0
2005-03-18,8.42,8.78,8.2,8.69,109750,0.0,1.0
2005-03-21,8.7,8.7,8.1,8.545,49100,0.0,1.0
2005-03-22,8.79,8.79,8.3,8.325,31980,0.0,1.0
2005-03-23,8.3,8.3,8,8,14000,0.0,1.0
2005-03-24,7.9,8.175,7.7,7.92,51800,0.0,1.0
2005-03-28,8.1,8.71,8.005,8.71,40500,0.0,1.0
2005-03-29,8.8,8.8,7.84,7.85,415850,0.0,1.0
2005-03-30,7.56,7.63,7.15,7.21,101350,0.0,1.0
2005-03-31,7.8,7.92,7.8,7.91,17300,0.0,1.0
2005-04-01,7.51,8.14,7.51,8.1,16500,0.0,1.0
2005-04-04,8.11,8.295,7.6,7.78,33100,0.0,1.0
2005-04-06,8.09,8.1,7.905,8,25000,0.0,1.0
2005-04-07,7.81,8.1,7.8,8.055,30510,0.0,1.0
2005-04-08,8.2,8.69,8,8.125,26500,0.0,1.0
2005-04-11,8.2,8.25,8.185,8.22,35230,0.0,1.0
2005-04-12,8.03,8.275,8.03,8.15,4000,0.0,1.0
2005-04-13,8.1,8.155,8.005,8.005,11000,0.0,1.0
2005-04-15,7.67,7.98,7.67,7.79,11000,0.0,1.0
2005-04-18,7.7,8.19,7.7,8.01,21990,0.0,1.0
2005-04-19,7.805,8.24,7.61,7.61,19710,0.0,1.0
2005-04-20,7.87,7.875,7.87,7.875,5000,0.0,1.0
2005-04-21,8.1,8.1,7.9,7.9,5520,0.0,1.0
2005-04-22,7.9,7.9,7.9,7.9,3500,0.0,1.0
2005-04-25,8.05,8.05,7.59,7.925,11020,0.0,1.0
2005-04-27,8.1,8.1,8.1,8.1,10000,0.0,1.0
2005-04-28,8.05,8.1,7.8,7.805,8170,0.0,1.0
2005-04-29,7.6,7.705,7.6,7.6,20000,0.0,1.0
2005-05-02,8.1,8.19,7.79,8.075,22010,0.0,1.0
2005-05-03,8.1,8.29,8.1,8.17,23800,0.0,1.0
2005-05-04,7.85,8.1,7.85,8.055,5560,0.0,1.0
2005-05-05,8,8,7.9,7.9,5500,0.0,1.0
2005-05-06,8.15,8.15,7.93,7.93,9010,0.0,1.0
2005-05-09,8,8,7.855,7.91,7500,0.0,1.0
2005-05-10,8,8,8,8,73510,0.0,1.0
2005-05-11,8.05,8.05,7.95,7.95,5510,0.0,1.0
2005-05-12,7.95,8.29,7.95,8.2,19770,0.0,1.0
2005-05-13,8.35,9.5,8.35,9.2,167630,0.0,1.0
2005-05-16,9.4,9.5,9,9.08,44860,0.0,1.0
2005-05-17,8.69,9.4,8.69,9.05,44360,0.0,1.0
2005-05-18,9.3,9.3,8.8,8.96,27520,0.0,1.0
2005-05-19,9,9.195,8.9,9.17,30940,0.0,1.0
2005-05-20,9.2,9.25,8.61,8.935,22300,0.0,1.0
2005-05-23,8.655,10.72,8.655,10.06,517110,0.0,1.0
2005-05-24,10.38,10.38,9.5,9.655,34300,0.0,1.0
2005-05-25,8.91,9.575,8.91,9.53,8600,0.0,1.0
2005-05-26,9.3,9.4,9,9.345,15500,0.0,1.0
2005-05-27,9.2,9.325,9.005,9.1,10850,0.0,1.0
2005-05-30,8.9,9.3,8.85,9.14,12050,0.0,1.0
2005-05-31,8.8,9.49,8.6,9.01,8600,0.0,1.0
2005-06-01,9.1,9.15,8.8,9,11500,0.0,1.0
2005-06-02,9.4,9.4,8.7,8.79,68600,0.0,1.0
2005-06-03,9.01,9.25,8.995,9.085,5750,0.0,1.0
2005-06-06,9.475,9.5,9.3,9.435,26100,0.0,1.0
2005-06-07,9.4,9.67,9.01,9.08,38100,0.0,1.0
2005-06-08,9.3,9.355,8.9,9,30350,0.0,1.0
2005-06-09,9.35,9.6,9.11,9.345,130250,0.0,1.0
2005-06-10,9.4,9.4,8.99,9.085,73920,0.0,1.0
