date,open,high,low,close,volume,dividend,split
2002-07-01,1.85444,1.94522,1.83718,1.9011,10759159,0.0,1.0
2002-07-02,1.90365,1.95738,1.85444,1.86151,9317276,0.0,1.0
2002-07-03,1.89346,1.89346,1.82955,1.83718,2848054,0.0,1.0
2002-07-04,1.89092,2.01875,1.87876,1.96502,24497093,0.0,1.0
2002-07-05,1.98679,2.07334,1.95031,2.04392,17586986,0.0,1.0
2002-07-08,2.06825,2.12255,1.95484,1.97209,10716199,0.0,1.0
2002-07-09,1.95738,1.95738,1.77327,1.78514,12324656,0.0,1.0
2002-07-10,1.81739,1.85444,1.78005,1.78514,6300031,0.0,1.0
2002-07-11,1.79306,1.79306,1.69945,1.70907,3692344,0.0,1.0
2002-07-12,1.7481,1.78797,1.72123,1.73848,2431355,0.0,1.0
2002-07-15,1.72377,1.72377,1.61574,1.65731,2796643,0.0,1.0
2002-07-16,1.68474,1.71161,1.63299,1.65731,1812086,0.0,1.0
2002-07-17,1.6426,1.68672,1.6081,1.61319,1944610,0.0,1.0
2002-07-18,1.6822,1.6822,1.61065,1.63553,1875272,0.0,1.0
2002-07-19,1.63299,1.63299,1.59849,1.60358,1019880,0.0,1.0
2002-07-22,1.54673,1.58123,1.48508,1.49724,2246112,0.0,1.0
2002-07-23,1.47546,1.61574,1.47546,1.58887,7245906,0.0,1.0
2002-07-24,1.57416,1.66749,1.55182,1.56144,7076362,0.0,1.0
2002-07-25,1.75319,1.83464,1.5077,1.51986,4294393,0.0,1.0
2002-07-26,1.5275,1.53457,1.45821,1.46584,1795326,0.0,1.0
2002-07-29,1.50233,1.50233,1.31312,1.36742,4010217,0.0,1.0
2002-07-30,1.4237,1.47291,1.30096,1.3233,3021523,0.0,1.0
2002-07-31,1.3086,1.3892,1.28116,1.35526,3544652,0.0,1.0
2002-08-01,1.38722,1.39429,1.28625,1.29587,3598184,0.0,1.0
2002-08-02,1.26391,1.41154,1.23422,1.39175,3003879,0.0,1.0
2002-08-05,1.40391,1.52241,1.36997,1.48508,4950398,0.0,1.0
2002-08-06,1.47546,1.51449,1.44605,1.46782,2354273,0.0,1.0
2002-08-07,1.478,1.5275,1.44096,1.44605,1911903,0.0,1.0
2002-08-08,1.44605,1.48508,1.39175,1.40645,1423638,0.0,1.0
2002-08-09,1.43841,1.45057,1.38722,1.43587,1897406,0.0,1.0
2002-08-12,1.46584,1.46584,1.41861,1.43841,482113,0.0,1.0
2002-08-13,1.45057,1.45821,1.42625,1.43134,490210,0.0,1.0
2002-08-14,1.41409,1.43587,1.39175,1.40645,393292,0.0,1.0
2002-08-15,1.40645,1.40645,1.40645,1.40645,0,0.0,1.0
2002-08-16,1.4237,1.44096,1.409,1.41663,410441,0.0,1.0
2002-08-19,1.4237,1.44096,1.4237,1.42625,438587,0.0,1.0
2002-08-20,1.43587,1.47546,1.41663,1.46075,1276087,0.0,1.0
2002-08-21,1.41663,1.47291,1.36233,1.4435,1346203,0.0,1.0
2002-08-22,1.45057,1.46075,1.40391,1.409,469949,0.0,1.0
2002-08-23,1.39938,1.41663,1.39175,1.40391,703209,0.0,1.0
2002-08-26,1.37958,1.41154,1.37958,1.3892,548304,0.0,1.0
2002-08-27,1.38722,1.40391,1.36233,1.37449,844184,0.0,1.0
2002-08-28,1.36233,1.36997,1.28625,1.35526,396934,0.0,1.0
2002-08-29,1.38722,1.38722,1.31821,1.32528,502020,0.0,1.0
2002-08-30,1.3086,1.36233,1.3086,1.35526,3287383,0.0,1.0
2002-09-02,1.39429,1.39429,1.35017,1.35526,890539,0.0,1.0
2002-09-03,1.34763,1.35017,1.30096,1.31058,2312762,0.0,1.0
2002-09-04,1.29333,1.35724,1.29333,1.35017,484765,0.0,1.0
2002-09-05,1.36997,1.48083,1.33801,1.45312,4883712,0.0,1.0
2002-09-06,1.45312,1.49724,1.39429,1.41663,6435773,0.0,1.0
2002-09-09,1.4237,1.44096,1.39175,1.39938,2377468,0.0,1.0
2002-09-10,1.39938,1.39938,1.39938,1.39938,0,0.0,1.0
2002-09-11,1.41663,1.41663,1.39175,1.39429,1639113,0.0,1.0
2002-09-12,1.38722,1.40391,1.38722,1.39684,333749,0.0,1.0
2002-09-13,1.35526,1.49017,1.35526,1.41154,5776302,0.0,1.0
