date,open,high,low,close,volume,dividend,split
2002-01-02,11,11,10.65,10.75,5050,0.0,1.0
2002-01-04,10.65,10.8,10.65,10.8,6800,0.0,1.0
2002-01-14,10.85,10.9,10.8,10.8,10600,0.0,1.0
2002-01-15,12.5,12.5,10.75,10.75,20500,0.0,1.0
2002-01-16,10.85,10.95,10.8,10.8,4900,0.0,1.0
2002-01-17,10.75,10.95,10.75,10.9,2031,0.0,1.0
2002-01-18,10.8,10.95,10.75,10.85,7364,0.0,1.0
2002-01-21,10.75,10.85,10.75,10.8,3900,0.0,1.0
2002-01-22,10.85,10.9,10.75,10.75,13691,0.0,1.0
2002-01-23,10.75,10.9,10.75,10.8,5900,0.0,1.0
2002-01-24,10.5,10.9,10.5,10.8,5529,0.0,1.0
2002-01-25,10.8,10.9,10.8,10.9,4650,0.0,1.0
2002-01-28,10.8,10.9,10.8,10.9,3700,0.0,1.0
2002-01-29,10.65,10.9,10.65,10.8,8200,0.0,1.0
2002-01-30,10.65,10.85,10.65,10.85,6500,0.0,1.0
2002-01-31,10.9,10.9,10.8,10.8,4200,0.0,1.0
2002-02-01,10.9,10.9,10.75,10.85,8990,0.0,1.0
2002-02-04,10.85,10.95,10.85,10.95,17900,0.0,1.0
2002-02-05,10.7,10.9,10.7,10.9,2902,0.0,1.0
2002-02-06,10.85,10.95,10.8,10.85,11900,0.0,1.0
2002-02-07,10.5,10.9,10.5,10.9,18440,0.0,1.0
2002-02-08,10.9,11,10.85,10.9,35560,0.0,1.0
2002-02-11,11,11.1,11,11,8250,0.0,1.0
2002-02-12,11.1,11.35,11.1,11.3,12599,0.0,1.0
2002-02-13,11.15,11.35,11.15,11.2,9675,0.0,1.0
2002-02-14,11.5,11.5,11.2,11.4,4075,0.0,1.0
2002-02-15,11.7,11.7,11.4,11.65,20815,0.0,1.0
2002-02-18,11.7,11.95,11.55,11.7,19360,0.0,1.0
2002-02-19,11.7,11.7,11.25,11.45,23890,0.0,1.0
2002-02-20,11,11.65,11,11.45,9604,0.0,1.0
2002-02-21,11.25,11.5,11.25,11.5,9800,0.0,1.0
2002-02-22,11.55,11.75,11.5,11.5,17380,0.0,1.0
2002-02-25,11.65,12.05,11.65,11.9,26450,0.0,1.0
2002-02-26,11.8,11.95,11.55,11.65,8230,0.0,1.0
2002-02-27,11.6,11.8,11.5,11.75,6750,0.0,1.0
2002-02-28,11.75,12.4,11.45,11.5,46620,0.0,1.0
2002-03-01,11.65,11.65,11.4,11.5,13746,0.0,1.0
2002-03-04,11.6,12.1,11.55,12,23750,0.0,1.0
2002-03-05,11.95,12.5,11.95,12.25,54130,0.0,1.0
2002-03-06,12.9,13,11.8,11.95,27780,0.0,1.0
2002-03-07,12,12.2,11.95,12.1,6750,0.0,1.0
