date,open,high,low,close,volume,dividend,split
2010-11-04,287.75,344.75,287.450012,342.350006,192871282,0.0,1.0
2010-11-08,351,355.700012,330,330.450012,16200361,0.0,1.0
2010-11-09,330.450012,333.299988,325.25,326.049988,6293784,0.0,1.0
2010-11-10,327,328.25,320.049988,322.549988,7170667,0.0,1.0
2010-11-11,323.450012,336.649994,322,328.450012,8852180,0.0,1.0
2010-11-12,326.899994,332.950012,317.899994,319.899994,5600171,0.0,1.0
2010-11-15,322,322.75,315.049988,317.200012,2599019,0.0,1.0
2010-11-16,318,323.399994,316,317.149994,2825269,0.0,1.0
2010-11-18,318,329.5,309.299988,327.350006,7893032,0.0,1.0
2010-11-19,330.25,339.299988,328.100006,331.950012,9860470,0.0,1.0
2010-11-22,334.649994,336.700012,329.450012,333.399994,3264491,0.0,1.0
2010-11-23,331.299988,332.25,317.549988,320,4051086,0.0,1.0
2010-11-24,321.100006,322,310,310.450012,3664242,0.0,1.0
2010-11-25,310,318.200012,310,312.399994,1768603,0.0,1.0
2010-11-26,314.100006,315.700012,301,312.549988,4019757,0.0,1.0
2010-11-29,314.149994,318.600006,308.200012,316.899994,1956710,0.0,1.0
2010-11-30,317.399994,317.850006,311.850006,316.5,1311164,0.0,1.0
2010-12-01,317.399994,322,314.899994,320.700012,1618762,0.0,1.0
2010-12-02,322.700012,326,321.25,325.299988,1218026,0.0,1.0
2010-12-03,325.700012,325.700012,318.850006,322.299988,759260,0.0,1.0
2010-12-06,320,324.899994,319.600006,321.049988,969834,0.0,1.0
2010-12-07,321.049988,322.799988,317.200012,319.950012,910957,0.0,1.0
2010-12-08,320,322.5,317.049988,318.200012,669678,0.0,1.0
2010-12-09,319,319.549988,307.5,313.100006,1318450,0.0,1.0
2010-12-10,315.399994,322,312.399994,316.700012,1248569,0.0,1.0
2010-12-13,316.700012,324.399994,316.700012,323.5,791239,0.0,1.0
2010-12-14,323.5,331.799988,322.850006,326.5,2163495,0.0,1.0
2010-12-15,328,330.299988,323.5,326.850006,1596221,0.0,1.0
2010-12-16,329.200012,329.200012,317.600006,320.899994,2014884,0.0,1.0
2010-12-20,321.100006,322.700012,315.100006,316.049988,1309687,0.0,1.0
2010-12-21,315,318.350006,311.25,312.850006,736273,0.0,1.0
2010-12-22,314.799988,319.799988,312.799988,314.600006,1060056,0.0,1.0
2010-12-23,315.25,315.899994,311.299988,312.5,688614,0.0,1.0
2010-12-24,312.600006,313.950012,310.100006,312.450012,362249,0.0,1.0
2010-12-27,312.450012,314.700012,306.149994,307,961587,0.0,1.0
2010-12-28,307,309.799988,300.700012,303.350006,1710117,0.0,1.0
2010-12-29,304.100006,311.299988,304.100006,310.350006,1373431,0.0,1.0
2010-12-30,310.350006,311.299988,307.049988,308.700012,474363,0.0,1.0
2010-12-31,310,316.350006,308.700012,314.5,1055835,0.0,1.0
2011-01-03,316.299988,318.399994,314.549988,317.399994,608518,0.0,1.0
2011-01-04,319,320,316.149994,319.549988,685873,0.0,1.0
2011-01-05,319,319,309,309.299988,2085019,0.0,1.0
2011-01-06,311.049988,312.899994,308.850006,309.299988,437549,0.0,1.0
2011-01-07,309,313.5,308.5,308.950012,438632,0.0,1.0
2011-01-10,309,310,302.100006,304.899994,847706,0.0,1.0
2011-01-11,307.899994,312.899994,306,309.100006,838283,0.0,1.0
2011-01-12,309.950012,311.950012,306.100006,308.700012,419187,0.0,1.0
2011-01-13,309.950012,313.700012,307.399994,308.700012,674150,0.0,1.0
2011-01-14,310,315.649994,308.200012,310.149994,698649,0.0,1.0
2011-01-17,310.149994,313.299988,307,312.149994,457132,0.0,1.0
2011-01-18,312,313.5,308.5,311.200012,243897,0.0,1.0
2011-01-19,306,312.649994,306,309.5,448495,0.0,1.0
2011-01-20,306,319.200012,306,315.700012,1701760,0.0,1.0
2011-01-21,314.399994,316,311.649994,313.950012,689654,0.0,1.0
2011-01-24,313.950012,314.75,310.25,313.950012,174247,0.0,1.0
2011-01-25,311.299988,315.450012,309.049988,310.149994,300105,0.0,1.0
2011-01-27,311.950012,312.200012,307.200012,308,1017781,0.0,1.0
2011-01-28,308.450012,309.649994,303.5,304.149994,770214,0.0,1.0
2011-01-31,303.049988,307.399994,301,304,518727,0.0,1.0
2011-02-01,305.899994,309,303.200012,307.950012,586365,0.0,1.0
2011-02-02,309.5,313.799988,308.299988,311.600006,366973,0.0,1.0
