date,open,high,low,close,volume,dividend,split
2017-08-11,435,522,435,522,3245290,0.0,1.0
2017-08-14,569,575,529.299988,541.549988,1674523,0.0,1.0
2017-08-16,542,547,528.599976,536.549988,550676,0.0,1.0
2017-08-17,533.299988,546.5,532.099976,536.5,362746,0.0,1.0
2017-08-18,535.099976,536.849976,517.650024,532.75,335328,0.0,1.0
2017-08-21,536.599976,539.700012,521.099976,523.650024,215606,0.0,1.0
2017-08-22,527,529.799988,500.100006,510.799988,282408,0.0,1.0
2017-08-23,513,517.900024,505.299988,508.700012,138293,0.0,1.0
2017-08-24,511.950012,527.400024,507.299988,513.950012,344543,0.0,1.0
2017-08-28,513.099976,521,508.600006,510.350006,120963,0.0,1.0
2017-08-29,509.399994,516.700012,501.399994,503.5,137322,0.0,1.0
2017-08-30,507.700012,517,507,514.900024,121929,0.0,1.0
2017-08-31,517.5,521,509.350006,514.799988,93743,0.0,1.0
2017-09-01,512.200012,538.849976,512.200012,530.5,339630,0.0,1.0
2017-09-04,528.299988,545.5,524.900024,536.25,267845,0.0,1.0
2017-09-05,537,544,534.099976,538.349976,131663,0.0,1.0
2017-09-06,537.900024,544.849976,531.549988,533.599976,164992,0.0,1.0
2017-09-07,535,537.549988,530.099976,531.799988,71028,0.0,1.0
2017-09-08,535,560.900024,531.200012,548.150024,461216,0.0,1.0
2017-09-11,552,572.75,544.450012,562.650024,458448,0.0,1.0
2017-09-12,579.25,580,556.049988,558.200012,308415,0.0,1.0
2017-09-13,558.5,559,542,544.599976,143966,0.0,1.0
2017-09-14,546.400024,550,540,541.900024,81883,0.0,1.0
2017-09-15,539.700012,559.150024,537.200012,546.900024,178262,0.0,1.0
2017-09-18,554,560,549.099976,553.849976,136832,0.0,1.0
2017-09-19,556.099976,556.099976,544.799988,545.599976,60248,0.0,1.0
2017-09-20,548,555,545,546,78436,0.0,1.0
2017-09-21,544.049988,549.599976,534.299988,540.650024,66036,0.0,1.0
2017-09-22,539.950012,539.950012,528.200012,531.200012,66896,0.0,1.0
2017-09-25,533,533.950012,511.100006,523.900024,70007,0.0,1.0
2017-09-26,525.400024,534,521.099976,526.650024,42709,0.0,1.0
2017-09-27,528.900024,530.549988,521.200012,525.400024,60081,0.0,1.0
2017-09-28,528,528,517.349976,519.099976,62970,0.0,1.0
2017-09-29,524.950012,531,518.299988,519.849976,34063,0.0,1.0
2017-10-03,525,527.849976,518.049988,519.349976,37642,0.0,1.0
2017-10-04,522,529,519,520.349976,78019,0.0,1.0
2017-10-05,521.5,525.5,518.150024,519.599976,34324,0.0,1.0
2017-10-06,520,525,518.099976,518.700012,42255,0.0,1.0
2017-10-09,520,525.150024,514,516,177581,0.0,1.0
2017-10-10,516,585.349976,516,572.400024,761623,0.0,1.0
2017-10-11,580.700012,592.200012,554.549988,562.75,975240,0.0,1.0
2017-10-12,568,574.5,563.799988,567.349976,149527,0.0,1.0
2017-10-13,570,582.900024,562,572.299988,200896,0.0,1.0
2017-10-16,575,577.700012,565.5,568.299988,75782,0.0,1.0
2017-10-17,569.900024,576.75,563.599976,567.799988,101771,0.0,1.0
2017-10-18,567,575.599976,560.200012,567.5,62632,0.0,1.0
2017-10-19,569.950012,572.549988,564.650024,568.349976,50711,0.0,1.0
2017-10-23,569,574.650024,565.450012,568.549988,52634,0.0,1.0
2017-10-24,571.900024,583,570.5,578,126817,0.0,1.0
2017-10-25,580.299988,585.5,569.049988,571.400024,65496,0.0,1.0
2017-10-26,571.049988,573.75,566.099976,567.099976,38578,0.0,1.0
2017-10-27,566.049988,582.849976,566.049988,570.200012,94346,0.0,1.0
2017-10-30,570.200012,580.200012,570.200012,574.200012,41818,0.0,1.0
2017-10-31,577.200012,597.400024,572.900024,580.25,195391,0.0,1.0
2017-11-01,577.099976,586.599976,575.799988,577.049988,49904,0.0,1.0
2017-11-02,571.099976,583.700012,571.099976,574.900024,38908,0.0,1.0
2017-11-03,575.200012,579.700012,571.700012,573.349976,38920,0.0,1.0
2017-11-06,571.099976,579.25,570.599976,572.150024,23616,0.0,1.0
2017-11-07,573.150024,576.799988,563.200012,566.049988,48212,0.0,1.0
2017-11-08,562.400024,571.950012,562.150024,563.799988,38167,0.0,1.0
2017-11-09,562,570.5,561.549988,563.099976,36978,0.0,1.0
2017-11-10,562.200012,568.900024,562,563.75,26608,0.0,1.0
2017-11-13,560,560,546,549.400024,43062,0.0,1.0
2017-11-14,546.700012,555.900024,546,552.349976,36254,0.0,1.0
2017-11-15,547.099976,553.200012,539.650024,540.650024,24183,0.0,1.0
2017-11-16,544.900024,548.5,542.150024,544,14307,0.0,1.0
2017-11-17,548.900024,562,548.599976,553.75,31514,0.0,1.0
2017-11-20,551,578.5,551,574.200012,102405,0.0,1.0
2017-11-21,577,584.75,568.599976,574.049988,54646,0.0,1.0
2017-11-22,575.5,578.200012,565,569.799988,23537,0.0,1.0
2017-11-23,572.099976,576.450012,568.400024,573.549988,30029,0.0,1.0
2017-11-24,574.900024,598.900024,572.549988,576.099976,152837,0.0,1.0
2017-11-27,576,584.950012,568.049988,569.400024,25352,0.0,1.0
2017-11-28,573.900024,576,569.549988,572.799988,42970,0.0,1.0
2017-11-29,574,574,566.549988,569.599976,24885,0.0,1.0
2017-11-30,570,578.700012,566.5,569.650024,61402,0.0,1.0
2017-12-01,569.099976,573,558,559.299988,70204,0.0,1.0
