date,open,high,low,close,volume,dividend,split
2015-11-02,313,318,266,270.149994,3799555,0.0,1.0
2015-11-03,273,284.5,272.25,275.700012,925232,0.0,1.0
2015-11-04,277.5,283,275,280.649994,376707,0.0,1.0
2015-11-05,282.399994,282.399994,274.649994,275.899994,115880,0.0,1.0
2015-11-06,278,279,269.049988,270.799988,135398,0.0,1.0
2015-11-09,267,276,255.600006,272.299988,135484,0.0,1.0
2015-11-10,273.899994,280.549988,267.200012,269.100006,103684,0.0,1.0
2015-11-13,273,273,263,265.100006,51742,0.0,1.0
2015-11-16,266,274.549988,260.5,268.200012,133631,0.0,1.0
2015-11-17,268,274.200012,265,266.299988,68834,0.0,1.0
2015-11-18,265,267.799988,260,260.75,50657,0.0,1.0
2015-11-19,263,264,259.450012,260.350006,56659,0.0,1.0
2015-11-20,261.850006,265.200012,258.75,259.350006,60535,0.0,1.0
2015-11-23,259.200012,267,257.600006,264.049988,78411,0.0,1.0
2015-11-24,265,269.399994,261,265.549988,67665,0.0,1.0
2015-11-26,268,269,264.100006,266.049988,35724,0.0,1.0
2015-11-27,267,267,257.100006,258.200012,103987,0.0,1.0
2015-11-30,261,261.799988,252.600006,255.199997,67787,0.0,1.0
2015-12-01,256.899994,264,256,257.799988,72718,0.0,1.0
2015-12-02,259,261.899994,256.299988,257,43944,0.0,1.0
2015-12-03,259,264.899994,257.399994,261.899994,103596,0.0,1.0
2015-12-04,261.899994,261.899994,253.699997,255,48667,0.0,1.0
2015-12-07,258,259.200012,252.300003,253.100006,30924,0.0,1.0
2015-12-08,257,267.299988,254.5,256.899994,239517,0.0,1.0
2015-12-09,259.899994,261.5,252.100006,253.399994,58673,0.0,1.0
2015-12-10,255,258,253.600006,255.100006,34120,0.0,1.0
2015-12-11,256.899994,260,254.899994,256.399994,43622,0.0,1.0
2015-12-14,255.5,256.5,252.399994,253.300003,27550,0.0,1.0
2015-12-15,255,274.600006,254,272.200012,299900,0.0,1.0
2015-12-16,275,278.399994,269,270.299988,95380,0.0,1.0
2015-12-17,271.100006,285,270.600006,283.600006,304433,0.0,1.0
