date,open,high,low,close,volume,dividend,split
2002-02-20,0.9,0.9,0.9,0.9,1000,0.0,1.0
2002-02-21,0.9,0.9,0.9,0.9,8500,0.0,1.0
2002-02-26,0.85,0.86,0.8,0.8,50000,0.0,1.0
2002-02-28,0.84,0.84,0.8,0.8,11000,0.0,1.0
2002-03-01,0.84,0.84,0.84,0.84,50000,0.0,1.0
2002-03-04,0.82,0.82,0.82,0.82,2500,0.0,1.0
2002-03-07,0.82,0.82,0.82,0.82,5000,0.0,1.0
2002-03-08,0.82,0.85,0.76,0.85,54000,0.0,1.0
2002-03-15,0.85,0.85,0.85,0.85,5000,0.0,1.0
2002-04-01,0.76,0.76,0.76,0.76,7000,0.0,1.0
2002-04-09,0.78,0.91,0.78,0.78,25000,0.0,1.0
2002-04-12,0.78,0.78,0.78,0.78,50000,0.0,1.0
2002-04-15,0.78,0.78,0.78,0.78,25000,0.0,1.0
2002-04-17,0.78,0.78,0.78,0.78,6000,0.0,1.0
2002-04-18,0.78,0.78,0.78,0.78,25000,0.0,1.0
2002-04-19,0.78,0.78,0.78,0.78,125000,0.0,1.0
2002-04-30,0.78,0.78,0.78,0.78,50000,0.0,1.0
2002-05-06,0.78,0.78,0.78,0.78,25000,0.0,1.0
2002-05-24,0.93,0.93,0.93,0.93,9500,0.0,1.0
2002-05-27,1.1,1.1,1.1,1.1,250,0.0,1.0
2002-12-19,0.9,0.9,0.9,0.9,2500,0.0,1.0
2002-12-20,0.8,0.8,0.8,0.8,2500,0.0,1.0
2002-12-30,0.8,0.8,0.8,0.8,2500,0.0,1.0
2002-12-31,0.8,0.8,0.8,0.8,5000,0.0,1.0
2003-01-02,0.8,0.8,0.8,0.8,2500,0.0,1.0
2003-01-03,0.8,0.8,0.8,0.8,20000,0.0,1.0
2003-01-15,0.8,0.8,0.8,0.8,6000,0.0,1.0
2003-01-17,0.8,0.8,0.8,0.8,2500,0.0,1.0
2003-01-20,0.8,0.8,0.8,0.8,2500,0.0,1.0
2003-01-21,0.8,0.8,0.8,0.8,2500,0.0,1.0
2003-01-22,0.8,0.8,0.8,0.8,2500,0.0,1.0
2003-01-28,0.8,0.8,0.8,0.8,7500,0.0,1.0
2003-01-31,0.8,0.8,0.8,0.8,2500,0.0,1.0
2003-02-04,0.8,0.8,0.8,0.8,2500,0.0,1.0
2003-02-05,0.8,0.8,0.8,0.8,1495,0.0,1.0
2003-02-06,0.8,0.8,0.8,0.8,5000,0.0,1.0
2003-02-14,0.8,0.8,0.8,0.8,2500,0.0,1.0
2003-02-19,0.8,0.8,0.8,0.8,8500,0.0,1.0
2003-02-21,0.8,0.8,0.8,0.8,5000,0.0,1.0
2003-02-26,0.8,0.8,0.8,0.8,15000,0.0,1.0
2003-03-03,0.8,0.8,0.8,0.8,1500,0.0,1.0
2003-03-19,0.8,0.8,0.8,0.8,4000,0.0,1.0
2003-05-15,0.9,0.9,0.9,0.9,2500,0.0,1.0
2003-05-19,0.9,0.9,0.9,0.9,2500,0.0,1.0
2003-05-21,0.9,0.9,0.9,0.9,4000,0.0,1.0
2003-06-03,0.9,0.9,0.9,0.9,5000,0.0,1.0
2003-06-04,0.91,0.91,0.91,0.91,5000,0.0,1.0
2003-06-12,0.91,0.91,0.91,0.91,15000,0.0,1.0
2003-06-16,0.91,0.91,0.9,0.9,20000,0.0,1.0
2003-06-18,0.91,0.91,0.91,0.91,10000,0.0,1.0
2003-06-20,1.092,1.092,1.092,1.092,4000,0.0,1.0
2003-07-04,0.91,0.91,0.91,0.91,2500,0.0,1.0
2003-07-08,0.91,0.91,0.91,0.91,2500,0.0,1.0
2003-07-09,0.91,0.91,0.91,0.91,21500,0.0,1.0
2003-07-11,1.06,1.06,1.06,1.06,2500,0.0,1.0
2003-07-15,0.95,0.95,0.95,0.95,2500,0.0,1.0
2003-07-16,0.9,0.9,0.9,0.9,25000,0.0,1.0
2003-07-17,0.92,1,0.9,0.99,42500,0.0,1.0
2003-07-28,0.9,0.9,0.9,0.9,12500,0.0,1.0
2003-07-29,0.902,0.96,0.9,0.96,7500,0.0,1.0
2003-08-04,0.9,0.9,0.9,0.9,5000,0.0,1.0
2003-08-05,0.9,0.9,0.9,0.9,5000,0.0,1.0
2003-08-07,0.9,0.9,0.9,0.9,5000,0.0,1.0
2003-08-08,0.9,0.9,0.9,0.9,5000,0.0,1.0
2003-08-13,1.05,1.05,1,1,35000,0.0,1.0
2003-08-20,0.95,0.95,0.94,0.94,2500,0.0,1.0
2003-08-22,0.94,0.94,0.9,0.9,6500,0.0,1.0
2003-08-29,0.96,0.96,0.96,0.96,2500,0.0,1.0
2003-09-03,1.07,1.07,1.07,1.07,2500,0.0,1.0
2003-09-08,0.9,0.9,0.9,0.9,10000,0.0,1.0
2003-09-11,0.9,0.9,0.9,0.9,250,0.0,1.0
2003-09-15,0.9,0.9,0.9,0.9,2500,0.0,1.0
2003-09-18,1,1,1,1,5000,0.0,1.0
2003-09-22,1,1,1,1,2500,0.0,1.0
2003-09-24,1,1,1,1,15000,0.0,1.0
2003-09-26,0.852,0.852,0.852,0.852,2000,0.0,1.0
2003-10-01,1,1,1,1,2500,0.0,1.0
2003-10-06,1,1,0.9,0.9,16000,0.0,1.0
2003-10-08,1.08,1.08,0.9,0.9,3250,0.0,1.0
2003-10-13,1,1,1,1,1000,0.0,1.0
2003-10-20,1,1,1,1,5000,0.0,1.0
2003-10-22,0.998,0.998,0.99,0.99,4000,0.0,1.0
2003-10-27,1,1,1,1,5000,0.0,1.0
2003-10-28,1,1,1,1,5000,0.0,1.0
2003-10-30,1,1,1,1,9000,0.0,1.0
2003-11-04,0.802,0.802,0.802,0.802,5000,0.0,1.0
2003-11-05,0.9,0.9,0.9,0.9,1665,0.0,1.0
2003-11-06,0.9,0.9,0.9,0.9,3335,0.0,1.0
2003-11-10,0.9,0.998,0.9,0.998,6500,0.0,1.0
2003-11-11,0.8,1,0.8,0.98,31000,0.0,1.0
2003-11-13,0.9,0.9,0.9,0.9,2500,0.0,1.0
2003-11-17,0.85,0.85,0.85,0.85,5000,0.0,1.0
2003-11-19,1.02,1.02,1.02,1.02,15000,0.0,1.0
2003-11-21,1.018,1.018,1.018,1.018,1500,0.0,1.0
2003-11-27,1.198,1.198,1.198,1.198,50,0.0,1.0
2003-11-28,0.96,0.96,0.96,0.96,5000,0.0,1.0
2003-12-01,0.9,0.9,0.9,0.9,12500,0.0,1.0
2003-12-15,0.9,0.9,0.9,0.9,2500,0.0,1.0
2003-12-22,0.9,0.9,0.9,0.9,12500,0.0,1.0
2003-12-29,0.9,1,0.9,1,10000,0.0,1.0
2003-12-31,1,1,1,1,5000,0.0,1.0
2004-01-01,0.9,1,0.9,1,21000,0.0,1.0
2004-01-05,1,1,1,1,2500,0.0,1.0
2004-01-14,1.07,1.08,1.07,1.08,25000,0.0,1.0
2004-01-20,1,1,1,1,2500,0.0,1.0
2004-01-21,0.9,0.9,0.9,0.9,5000,0.0,1.0
2004-01-22,0.9,0.9,0.9,0.9,5000,0.0,1.0
2004-01-27,1,1,1,1,5000,0.0,1.0
2004-01-28,0.9,1,0.9,1,17500,0.0,1.0
2004-01-29,1,1,1,1,7500,0.0,1.0
2004-01-30,1,1,1,1,5000,0.0,1.0
2004-02-03,0.9,0.9,0.9,0.9,2500,0.0,1.0
2004-02-06,1,1,1,1,5000,0.0,1.0
2004-02-11,1,1,1,1,5000,0.0,1.0
2004-02-12,1.05,1.05,1.05,1.05,3000,0.0,1.0
2004-02-13,1.08,1.08,1.05,1.05,10000,0.0,1.0
2004-02-17,1.08,1.16,1.08,1.16,23000,0.0,1.0
2004-02-18,1.022,1.022,1.022,1.022,2500,0.0,1.0
2004-02-23,0.98,0.98,0.98,0.98,56000,0.0,1.0
2004-02-24,1,1,1,1,12500,0.0,1.0
2004-03-01,0.91,0.91,0.91,0.91,3450,0.0,1.0
2004-03-03,1.09,1.09,0.9,1.08,8500,0.0,1.0
2004-03-04,1.29,1.29,1.29,1.29,50,0.0,1.0
2004-03-05,1.4,1.4,1.034,1.052,10000,0.0,1.0
2004-03-09,1,1,1,1,1000,0.0,1.0
2004-03-10,1,1,1,1,7000,0.0,1.0
2004-03-11,0.9,0.9,0.9,0.9,5000,0.0,1.0
2004-03-12,1,1.08,1,1.08,7950,0.0,1.0
2004-03-25,1.08,1.08,1.08,1.08,1000,0.0,1.0
2004-03-29,1,1,1,1,5000,0.0,1.0
2004-04-06,0.9,0.9,0.9,0.9,5000,0.0,1.0
2004-04-12,0.9,0.9,0.9,0.9,34000,0.0,1.0
2004-04-15,0.9,0.9,0.9,0.9,4500,0.0,1.0
2004-04-16,0.9,0.9,0.9,0.9,10000,0.0,1.0
