date,open,high,low,close,volume,dividend,split
2018-11-05,4.25,4.25,4.25,4.25,10,0.0,1.0
2018-11-06,4.25,4.25,4.25,4.25,0,0.0,1.0
2018-11-07,4.25,4.25,4.25,4.25,0,0.0,1.0
2018-11-09,4.25,4.25,4.25,4.25,0,0.0,1.0
2018-11-12,4.04,4.04,4.04,4.04,181,0.0,1.0
2018-11-13,4.04,4.04,4.04,4.04,0,0.0,1.0
2018-11-14,4.04,4.04,4.04,4.04,0,0.0,1.0
2018-11-15,4.04,4.04,4.04,4.04,0,0.0,1.0
2018-11-16,4.04,4.04,4.04,4.04,0,0.0,1.0
2018-11-19,4.04,4.04,4.04,4.04,0,0.0,1.0
2018-11-20,3.9,3.91,3.9,3.91,104001,0.0,1.0
2018-11-21,3.91,3.91,3.91,3.91,0,0.0,1.0
2018-11-22,3.91,3.91,3.91,3.91,0,0.0,1.0
2018-11-26,3.91,3.91,3.91,3.91,0,0.0,1.0
2018-11-27,3.91,3.91,3.91,3.91,0,0.0,1.0
2018-11-28,3.91,3.91,3.91,3.91,0,0.0,1.0
2018-11-29,3.91,3.91,3.91,3.91,0,0.0,1.0
2018-11-30,3.91,3.91,3.91,3.91,0,0.0,1.0
2018-12-03,3.91,3.91,3.91,3.91,0,0.0,1.0
2018-12-04,3.91,3.91,3.91,3.91,0,0.0,1.0
2018-12-05,3.91,3.91,3.91,3.91,0,0.0,1.0
2018-12-06,3.91,3.91,3.91,3.91,0,0.0,1.0
2018-12-07,3.91,3.91,3.91,3.91,0,0.0,1.0
2018-12-10,3.91,3.91,3.91,3.91,0,0.0,1.0
2018-12-11,3.91,3.91,3.91,3.91,0,0.0,1.0
2018-12-12,3.91,3.91,3.91,3.91,0,0.0,1.0
2018-12-13,3.91,3.91,3.91,3.91,0,0.0,1.0
2018-12-14,3.91,3.91,3.91,3.91,0,0.0,1.0
2018-12-17,3.91,3.91,3.91,3.91,0,0.0,1.0
2018-12-18,3.91,3.91,3.91,3.91,0,0.0,1.0
2018-12-19,4.1,4.1,4.1,4.1,100,0.0,1.0
2018-12-20,4.1,4.1,4.1,4.1,0,0.0,1.0
2018-12-21,4.1,4.1,4.1,4.1,0,0.0,1.0
2018-12-24,4.1,4.1,4.1,4.1,0,0.0,1.0
2018-12-26,4.1,4.1,4.1,4.1,0,0.0,1.0
2018-12-27,4.1,4.1,4.1,4.1,0,0.0,1.0
2018-12-28,4.1,4.1,4.1,4.1,0,0.0,1.0
2018-12-31,4.1,4.1,4.1,4.1,0,0.0,1.0
2019-01-01,4.1,4.1,4.1,4.1,0,0.0,1.0
2019-01-02,4.1,4.1,4.1,4.1,0,0.0,1.0
2019-01-03,4.1,4.1,4.1,4.1,0,0.0,1.0
2019-01-04,3.9,3.9,3.9,3.9,150,0.0,1.0
2019-01-07,3.9,3.9,3.9,3.9,0,0.0,1.0
2019-01-08,3.9,3.9,3.9,3.9,0,0.0,1.0
2019-01-09,3.9,3.9,3.9,3.9,0,0.0,1.0
2019-01-10,3.71,3.71,3.71,3.71,1,0.0,1.0
2019-01-11,3.71,3.71,3.71,3.71,0,0.0,1.0
2019-01-14,3.71,3.71,3.71,3.71,0,0.0,1.0
2019-01-15,3.53,3.53,3.53,3.53,1000,0.0,1.0
2019-01-16,3.53,3.53,3.53,3.53,0,0.0,1.0
2019-01-17,3.53,3.53,3.53,3.53,0,0.0,1.0
2019-01-18,3.53,3.53,3.53,3.53,0,0.0,1.0
2019-01-21,3.53,3.53,3.53,3.53,0,0.0,1.0
2019-01-22,3.53,3.53,3.53,3.53,0,0.0,1.0
2019-01-23,3.53,3.53,3.53,3.53,0,0.0,1.0
2019-01-24,3.53,3.53,3.53,3.53,0,0.0,1.0
2019-01-25,3.36,3.36,3.36,3.36,2000,0.0,1.0
2019-01-28,3.36,3.36,3.36,3.36,0,0.0,1.0
2019-01-29,3.36,3.36,3.36,3.36,0,0.0,1.0
2019-01-30,3.36,3.36,3.36,3.36,0,0.0,1.0
2019-01-31,3.2,3.2,3.2,3.2,150,0.0,1.0
2019-02-01,3.2,3.2,3.2,3.2,0,0.0,1.0
2019-02-04,3.2,3.2,3.2,3.2,0,0.0,1.0
2019-02-05,3.2,3.2,3.2,3.2,0,0.0,1.0
2019-02-06,3.2,3.2,3.2,3.2,0,0.0,1.0
2019-02-07,3.2,3.2,3.2,3.2,0,0.0,1.0
2019-02-08,3.04,3.04,3.04,3.04,10,0.0,1.0
2019-02-11,3.04,3.04,3.04,3.04,0,0.0,1.0
2019-02-12,3.04,3.04,3.04,3.04,0,0.0,1.0
2019-02-14,3.04,3.04,3.04,3.04,0,0.0,1.0
2019-02-15,3.04,3.04,3.04,3.04,0,0.0,1.0
2019-02-18,3.04,3.04,3.04,3.04,0,0.0,1.0
2019-02-19,3.04,3.04,3.04,3.04,0,0.0,1.0
2019-02-20,3.04,3.04,3.04,3.04,0,0.0,1.0
2019-02-21,3.04,3.04,3.04,3.04,0,0.0,1.0
2019-02-22,3.04,3.04,3.04,3.04,0,0.0,1.0
2019-02-25,2.89,2.89,2.89,2.89,100,0.0,1.0
2019-02-26,2.89,2.89,2.89,2.89,0,0.0,1.0
2019-02-27,2.89,2.89,2.89,2.89,0,0.0,1.0
2019-02-28,2.62,2.62,2.62,2.62,100,0.0,1.0
2019-03-01,2.49,2.49,2.49,2.49,50,0.0,1.0
2019-03-05,2.37,2.37,2.37,2.37,30,0.0,1.0
2019-03-06,2.26,2.26,2.26,2.26,30,0.0,1.0
2019-03-07,2.15,2.15,2.15,2.15,20,0.0,1.0
2019-03-08,2.05,2.25,2.05,2.25,10001,0.0,1.0
2019-03-11,2.36,2.36,2.14,2.14,170,0.0,1.0
2019-03-12,2.04,2.04,2.04,2.04,880,0.0,1.0
2019-03-13,1.94,1.94,1.94,1.94,1250,0.0,1.0
2019-03-14,1.85,1.85,1.85,1.85,40,0.0,1.0
2019-03-15,1.76,1.76,1.76,1.76,2100,0.0,1.0
2019-03-18,1.76,1.76,1.76,1.76,0,0.0,1.0
2019-03-19,1.68,1.68,1.68,1.68,4,0.0,1.0
2019-03-20,1.6,1.76,1.6,1.76,2000,0.0,1.0
2019-03-22,1.76,1.76,1.76,1.76,0,0.0,1.0
2019-03-25,1.76,1.76,1.76,1.76,100,0.0,1.0
2019-03-26,1.68,1.68,1.68,1.68,10000,0.0,1.0
2019-03-27,1.6,1.6,1.6,1.6,1,0.0,1.0
2019-03-28,1.6,1.6,1.6,1.6,0,0.0,1.0
2019-04-01,1.6,1.6,1.6,1.6,0,0.0,1.0
2019-04-02,1.6,1.6,1.6,1.6,0,0.0,1.0
2019-04-03,1.6,1.6,1.6,1.6,0,0.0,1.0
2019-04-04,1.52,1.52,1.52,1.52,8,0.0,1.0
2019-04-05,1.52,1.52,1.52,1.52,0,0.0,1.0
2019-04-08,1.52,1.52,1.52,1.52,0,0.0,1.0
2019-04-09,1.52,1.52,1.52,1.52,0,0.0,1.0
2019-04-10,1.52,1.52,1.52,1.52,0,0.0,1.0
2019-04-11,1.52,1.52,1.52,1.52,0,0.0,1.0
2019-04-12,1.59,1.59,1.59,1.59,2000,0.0,1.0
2019-04-15,1.66,1.66,1.52,1.52,2029,0.0,1.0
