date,open,high,low,close,volume,dividend,split
2009-11-24,195,197,149.5,163.100006,7730700,0.0,1.0
2009-11-25,160,176.5,156,167.100006,4340400,0.0,1.0
2009-11-26,169,172.800003,159,162,1134500,0.0,1.0
2009-11-27,160,160,151,156.449997,460400,0.0,1.0
2009-11-30,161.25,165,159,160.199997,211500,0.0,1.0
2009-12-01,162.649994,172.600006,157,168.350006,1120100,0.0,1.0
2009-12-02,170,178.949997,168.699997,176.100006,648100,0.0,1.0
2009-12-03,177,177.399994,166,168.149994,181600,0.0,1.0
2009-12-04,165,179.449997,163.5,173.449997,330300,0.0,1.0
2009-12-07,173,181.25,172,173.550003,192300,0.0,1.0
2009-12-08,174.100006,184.699997,172.600006,182.100006,315300,0.0,1.0
2009-12-09,182,189,179.300003,184.050003,211500,0.0,1.0
2009-12-10,181,190,180.100006,185.649994,132000,0.0,1.0
2009-12-11,186.949997,208,183.600006,190.949997,1087000,0.0,1.0
2009-12-14,193.800003,200.25,188,189.5,407400,0.0,1.0
2009-12-15,191.399994,196.600006,186.5,189.399994,235200,0.0,1.0
2009-12-16,189.149994,194.399994,185.699997,190.699997,227400,0.0,1.0
2009-12-17,189,193.699997,186.100006,187.800003,82600,0.0,1.0
2009-12-18,188,192.449997,184,185.949997,237600,0.0,1.0
2009-12-21,187.850006,191.199997,185.600006,188.949997,157100,0.0,1.0
2009-12-22,189.649994,195.5,188.25,190.350006,155200,0.0,1.0
2009-12-23,191.949997,195.5,191,194.399994,137200,0.0,1.0
2009-12-24,194.5,196,194.5,195,1301,0.0,1.0
2009-12-29,193.699997,193.699997,188.399994,190.300003,13294,0.0,1.0
2009-12-30,192,196,191,194.850006,36800,0.0,1.0
2009-12-31,195,196.600006,193.5,195.649994,33300,0.0,1.0
2010-01-04,196,197,192,193.300003,12000,0.0,1.0
2010-01-05,195.800003,198.050003,190.5,194.800003,40058,0.0,1.0
2010-01-06,194.75,195,190,191.649994,10700,0.0,1.0
2010-01-07,192.949997,193.949997,185.199997,186.850006,20098,0.0,1.0
2010-01-08,188.5,192.5,185,187.199997,13400,0.0,1.0
2010-01-11,189,190,184.100006,185.899994,12900,0.0,1.0
2010-01-12,187,187,181,183.949997,13723,0.0,1.0
2010-01-13,184.5,191.5,184.100006,185.75,23757,0.0,1.0
2010-01-14,187.899994,188.25,184,185,6064,0.0,1.0
2010-01-15,188,188,182.100006,182.899994,3625,0.0,1.0
2010-01-18,182.5,195,182.5,189.399994,87494,0.0,1.0
2010-01-19,191.25,195.800003,190.050003,192.350006,56375,0.0,1.0
2010-01-20,190.300003,193.399994,187.5,189.800003,19552,0.0,1.0
2010-01-21,189.699997,190,183.300003,184.25,5759,0.0,1.0
2010-01-22,181,190,178,184.449997,7531,0.0,1.0
2010-01-25,186,190,184.5,188.300003,5735,0.0,1.0
2010-01-27,186.75,196,182,184.600006,62168,0.0,1.0
2010-01-28,186,187.899994,182.149994,183.75,4742,0.0,1.0
2010-01-29,185.199997,192,180.550003,189.5,25156,0.0,1.0
2010-02-01,189,194.949997,189,190.949997,16430,0.0,1.0
2010-02-02,194.5,194.5,188.550003,189.5,3456,0.0,1.0
2010-02-03,192.850006,192.850006,187.100006,189,2982,0.0,1.0
2010-02-04,188,191.399994,186.5,189.449997,5276,0.0,1.0
2010-02-05,181.100006,189,181.100006,187.800003,4459,0.0,1.0
2010-02-08,186.5,189.949997,186.5,187.699997,3322,0.0,1.0
2010-02-09,190,195.600006,187.699997,188.75,7333,0.0,1.0
2010-02-10,190,190.899994,186.300003,188.300003,5079,0.0,1.0
2010-02-11,189,192.899994,189,191.5,4613,0.0,1.0
2010-02-15,191,191,187,187.300003,1195,0.0,1.0
2010-02-16,188,189,185.149994,188.149994,983,0.0,1.0
2010-02-17,190,190.600006,188,188.649994,788,0.0,1.0
2010-02-18,188.649994,189.449997,185.300003,187.050003,1797,0.0,1.0
2010-02-19,187,193.800003,186.199997,190.899994,3843,0.0,1.0
2010-02-22,189,201.899994,176.199997,179.699997,454654,0.0,1.0
2010-02-23,176,181.899994,171,172.25,35198,0.0,1.0
2010-02-24,171.100006,180.449997,170.300003,173.75,17542,0.0,1.0
2010-02-25,174.899994,179.800003,174.300003,178.949997,15293,0.0,1.0
2010-02-26,180,191,175.600006,188.600006,26312,0.0,1.0
2010-03-02,186.199997,190,186,187.899994,5123,0.0,1.0
2010-03-03,188.949997,196,187,190.399994,49111,0.0,1.0
2010-03-04,191.949997,194,189.100006,191.600006,6870,0.0,1.0
2010-03-05,192,193.399994,189.100006,190.300003,2099,0.0,1.0
2010-03-08,190.050003,191.899994,188.050003,189.199997,2033,0.0,1.0
2010-03-09,186.699997,190,186.649994,188.699997,3294,0.0,1.0
2010-03-10,192.300003,197,190.399994,193.600006,16910,0.0,1.0
2010-03-11,196,196,191.100006,193,2282,0.0,1.0
2010-03-12,193.899994,194.600006,189,192.050003,4446,0.0,1.0
2010-03-15,191.100006,199,191,192.75,50787,0.0,1.0
2010-03-16,195.949997,195.949997,192,193.399994,7840,0.0,1.0
2010-03-17,190.300003,195,190.300003,193.050003,3472,0.0,1.0
2010-03-18,190,194,190,192.550003,5699,0.0,1.0
2010-03-19,192.050003,196.350006,189.050003,191.75,9965,0.0,1.0
2010-03-22,192.149994,195.5,191,193.449997,1560,0.0,1.0
2010-03-23,191,199.699997,191,196.449997,95705,0.0,1.0
2010-03-25,192.100006,198.100006,192.100006,195.850006,316908,0.0,1.0
2010-03-26,193,197,188,194.649994,6278,0.0,1.0
2010-03-29,194.5,195.5,191.149994,194,220474,0.0,1.0
2010-03-30,192.5,197,192.5,196.399994,108292,0.0,1.0
2010-03-31,195,196.100006,194.699997,195.300003,1341,0.0,1.0
2010-04-01,195.5,197,194.649994,196.899994,7989,0.0,1.0
2010-04-05,197.399994,198,193.100006,195.050003,5874,0.0,1.0
2010-04-06,194.949997,198.399994,194.949997,196.699997,16171,0.0,1.0
2010-04-07,197.899994,214.899994,197,206.25,97625,0.0,1.0
2010-04-08,206.5,212.199997,202.600006,204.050003,48565,0.0,1.0
2010-04-09,199.899994,209.5,197.600006,200.149994,25289,0.0,1.0
2010-04-12,202.5,202.5,198,200.5,7591,0.0,1.0
2010-04-13,204,204,195.100006,195.149994,14194,0.0,1.0
2010-04-15,198.899994,200.5,195.199997,196.699997,4483,0.0,1.0
2010-04-16,198.899994,198.899994,195.050003,197.199997,3346,0.0,1.0
2010-04-19,199,199,194,196.300003,3755,0.0,1.0
2010-04-20,190.300003,200.550003,190.300003,198.5,3087,0.0,1.0
2010-04-21,201.899994,210.899994,197,201.100006,28423,0.0,1.0
2010-04-22,201,205.350006,193,196.300003,37885,0.0,1.0
2010-04-23,199.899994,202,198,199.5,7770,0.0,1.0
2010-04-26,202,204.75,196.649994,199.649994,6406,0.0,1.0
2010-04-27,199.199997,201,190.149994,198.300003,28683,0.0,1.0
2010-04-28,192,197.949997,190.100006,194.399994,16252,0.0,1.0
2010-04-29,196.899994,197,192.25,194.800003,2665,0.0,1.0
2010-04-30,196,201,196,198.449997,10930,0.0,1.0
2010-05-03,199.949997,200,199,199.350006,3188,0.0,1.0
2010-05-04,199,200,195,197.800003,1865,0.0,1.0
2010-05-05,198.899994,198.899994,192,194.800003,8874,0.0,1.0
2010-05-06,196.050003,202,195.5,197.800003,7750,0.0,1.0
2010-05-07,195,200.949997,194.699997,197.149994,5863,0.0,1.0
2010-05-10,199,201.949997,196,199.699997,8500,0.0,1.0
2010-05-11,199,200.5,195.100006,196.300003,12319,0.0,1.0
2010-05-12,200.949997,201,195.899994,196.600006,3240,0.0,1.0
2010-05-13,199.800003,214.850006,199.800003,203.5,52244,0.0,1.0
2010-05-14,205,206.25,197.199997,198.75,11104,0.0,1.0
2010-05-17,193,204.699997,190,202.5,7924,0.0,1.0
2010-05-18,219.899994,219.899994,204,208.600006,15471,0.0,1.0
2010-05-19,207.399994,210,198,199.850006,11932,0.0,1.0
2010-05-20,201,206,197,202.100006,4575,0.0,1.0
2010-05-21,202,202,193.5,199.5,6010,0.0,1.0
2010-05-24,212,212,199.600006,200.350006,1681,0.0,1.0
2010-05-25,203,204.899994,195.100006,196.649994,4806,0.0,1.0
2010-05-26,202,210,196.149994,206.949997,5425,0.0,1.0
2010-05-27,205.949997,208,203,206.699997,11100,0.0,1.0
2010-05-28,208.649994,208.699997,201.100006,203.199997,6133,0.0,1.0
2010-05-31,207.949997,212,205.050003,206.949997,14859,0.0,1.0
2010-06-01,204.800003,213.75,192.149994,197.850006,71684,0.0,1.0
2010-06-02,201,203.949997,199.100006,201.149994,14402,0.0,1.0
2010-06-03,201.25,206.949997,201.25,202.649994,15011,0.0,1.0
2010-06-04,204.699997,204.699997,200.75,201.449997,1830,0.0,1.0
2010-06-07,200,200,196.699997,198,5409,0.0,1.0
2010-06-08,199.899994,201.899994,196,196.300003,2680,0.0,1.0
2010-06-09,201,201,196.100006,197.699997,2283,0.0,1.0
2010-06-10,199.899994,199.899994,197.050003,197.800003,867,0.0,1.0
2010-06-11,200,200,197.100006,197.5,1011,0.0,1.0
2010-06-14,199.899994,205.949997,198.5,200.100006,6726,0.0,1.0
2010-06-15,197.199997,204.899994,197.199997,201.399994,629,0.0,1.0
2010-06-16,206,206,198.75,200.850006,1207,0.0,1.0
2010-06-17,200.25,203,197,197.050003,1482,0.0,1.0
2010-06-18,199,201.5,196,196.25,4348,0.0,1.0
2010-06-21,199.899994,199.899994,192.949997,196.300003,6013,0.0,1.0
2010-06-22,197,197.449997,194,196.75,1859,0.0,1.0
2010-06-23,199,199,194,195.699997,4274,0.0,1.0
2010-06-24,196,199.949997,195.199997,197.649994,31881,0.0,1.0
2010-06-25,199,199.899994,196.100006,196.199997,4652,0.0,1.0
2010-06-28,199,202.050003,196.050003,201.300003,58518,0.0,1.0
2010-06-29,199.699997,202.949997,197,200.649994,16520,0.0,1.0
2010-06-30,201.949997,214,197.199997,202.850006,64445,0.0,1.0
2010-07-01,199.899994,204,197.100006,198.550003,27689,0.0,1.0
2010-07-02,201.899994,204,198.300003,200.199997,17270,0.0,1.0
2010-07-05,200,201.850006,197.25,198.300003,1628,0.0,1.0
2010-07-06,199,199.699997,197.199997,197.550003,3283,0.0,1.0
2010-07-07,201,202.5,196,197.25,139732,0.0,1.0
2010-07-08,199.25,200,195.100006,197.75,11563,0.0,1.0
2010-07-09,199.899994,199.899994,195.100006,196,4755,0.0,1.0
2010-07-12,198,198,190.199997,192.949997,12452,0.0,1.0
2010-07-13,195,197.600006,193,196.149994,7750,0.0,1.0
2010-07-14,198.899994,198.899994,193.100006,194.550003,1589,0.0,1.0
2010-07-15,194.199997,196.399994,193,194.050003,3663,0.0,1.0
2010-07-16,197.899994,197.899994,193,194.350006,7688,0.0,1.0
2010-07-19,199.699997,199.699997,193.649994,195.449997,1212,0.0,1.0
