date,open,high,low,close,volume,dividend,split
2000-01-03,29,29.049999,29,29.049999,1000,0.0,1.0
2000-01-04,29.049999,30,29,29,1100,0.0,1.0
2000-01-05,29,29,27.1,28,1200,0.0,1.0
2000-01-06,26.5,27.75,26.299999,27.75,300,0.0,1.0
2000-01-07,27,27,25.6,25.6,1300,0.0,1.0
2000-01-10,25.5,25.5,25.5,25.5,100,0.0,1.0
2000-01-11,25.5,25.5,25,25,900,0.0,1.0
2000-01-12,25,25,23.5,23.5,200,0.0,1.0
2000-01-13,24.65,25.299999,24,25.299999,600,0.0,1.0
2000-01-14,25,25,24,24.5,2400,0.0,1.0
2000-01-17,24.75,24.75,24.75,24.75,100,0.0,1.0
2000-01-18,25.450001,25.450001,25.450001,25.450001,200,0.0,1.0
2000-01-19,25.1,25.1,24.1,24.200001,400,0.0,1.0
2000-01-20,24,25.25,23.5,24,1000,0.0,1.0
2000-01-21,23.5,24,23,24,1500,0.0,1.0
2000-01-24,25,25,22.15,22.15,1700,0.0,1.0
2000-01-25,22.5,23.75,21.35,23,700,0.0,1.0
2000-01-26,23,23,23,23,0,0.0,1.0
2000-01-27,22.25,22.700001,22,22,900,0.0,1.0
2000-01-28,22,22.25,21.6,22,500,0.0,1.0
2000-01-31,22.85,22.85,20.5,20.5,1300,0.0,1.0
2000-02-01,21,22.1,21,21.549999,1600,0.0,1.0
2000-02-02,21.950001,22.5,21.75,22.5,1100,0.0,1.0
2000-02-03,22.5,22.5,22.5,22.5,0,0.0,1.0
2000-02-04,22.049999,23,22.049999,22.5,2200,0.0,1.0
2000-02-07,22.5,22.5,22.5,22.5,100,0.0,1.0
2000-02-08,23,23,21.25,21.5,800,0.0,1.0
2000-02-09,21.5,21.5,21.5,21.5,100,0.0,1.0
2000-02-10,21.25,22.5,21.25,22,1100,0.0,1.0
2000-02-11,22,23,21.5,21.5,600,0.0,1.0
2000-02-14,21,22,19.950001,19.950001,1600,0.0,1.0
2000-02-15,19.85,20,18.4,19.9,7500,0.0,1.0
2000-02-16,19.950001,20,18.35,18.35,1200,0.0,1.0
2000-02-17,19.799999,19.799999,17.25,17.299999,4400,0.0,1.0
2000-02-18,17.25,18,17.200001,17.6,3100,0.0,1.0
2000-02-21,18,18.5,17.6,18.5,5000,0.0,1.0
2000-02-22,18.5,18.5,18,18.4,2800,0.0,1.0
2000-02-23,18.6,18.6,17.15,18.6,2900,0.0,1.0
2000-02-24,18.5,18.5,17.5,18.5,1900,0.0,1.0
2000-02-25,18.700001,19,17.1,17.1,20700,0.0,1.0
2000-02-28,17.1,17.1,17.1,17.1,0,0.0,1.0
2000-02-29,18,18,18,18,500,0.0,1.0
2000-03-01,17,17.6,17,17.549999,1400,0.0,1.0
2000-03-02,18.5,18.9,18.5,18.85,1000,0.0,1.0
2000-03-03,17.5,19.25,17.5,17.549999,1700,0.0,1.0
2000-03-06,18.25,18.25,17.5,17.5,800,0.0,1.0
2000-03-07,16.5,18.799999,16.5,16.5,2100,0.0,1.0
2000-03-08,17,17,16.5,16.75,1000,0.0,1.0
2000-03-09,16.950001,17,15.75,16,11800,0.0,1.0
